Date	Close	High	Low	Open	Volume
	ADP	ADP	ADP	ADP	ADP
1980-03-17	0.39	0.40	0.39	0.39	1158040
1980-03-18	0.40	0.40	0.39	0.39	1622063
1980-03-19	0.41	0.41	0.40	0.40	1367859
1980-03-20	0.40	0.41	0.40	0.41	3046412
1980-03-21	0.40	0.41	0.40	0.40	1020851
1980-03-24	0.40	0.41	0.40	0.40	778752
1980-03-25	0.40	0.41	0.40	0.40	944186
1980-03-26	0.41	0.41	0.40	0.40	2332220
1980-03-27	0.39	0.40	0.39	0.40	770682
1980-03-28	0.40	0.41	0.40	0.40	459988
1980-03-31	0.41	0.41	0.40	0.40	250169
1980-04-01	0.41	0.41	0.41	0.41	201749
1980-04-02	0.43	0.44	0.41	0.41	758577
1980-04-03	0.44	0.45	0.43	0.43	1480839
1980-04-07	0.43	0.44	0.43	0.44	464023
1980-04-08	0.43	0.43	0.43	0.43	1355754
1980-04-09	0.43	0.43	0.43	0.43	347009
1980-04-10	0.43	0.44	0.43	0.43	314729
1980-04-11	0.44	0.44	0.43	0.43	710157
1980-04-14	0.43	0.43	0.43	0.43	205784
1980-04-15	0.43	0.44	0.43	0.43	197714
1980-04-16	0.44	0.44	0.44	0.44	2134506
1980-04-17	0.43	0.43	0.43	0.43	1371894
1980-04-18	0.43	0.44	0.43	0.43	391393
1980-04-21	0.43	0.44	0.43	0.43	379288
1980-04-22	0.44	0.45	0.44	0.44	1125760
1980-04-23	0.44	0.44	0.44	0.44	625422
1980-04-24	0.44	0.44	0.44	0.44	246134
1980-04-25	0.44	0.44	0.44	0.44	121049
1980-04-28	0.45	0.45	0.44	0.44	347009
1980-04-29	0.44	0.45	0.44	0.45	1166110
1980-04-30	0.44	0.45	0.44	0.44	431743
1980-05-01	0.45	0.46	0.45	0.45	500338
1980-05-02	0.45	0.46	0.45	0.45	217889
1980-05-05	0.46	0.46	0.45	0.45	455953
1980-05-06	0.46	0.46	0.45	0.46	375253
1980-05-07	0.45	0.46	0.45	0.46	407533
1980-05-08	0.46	0.46	0.45	0.45	1343649
1980-05-09	0.45	0.46	0.45	0.46	669807
1980-05-12	0.46	0.46	0.45	0.45	141224
1980-05-13	0.46	0.47	0.46	0.46	322799
1980-05-14	0.47	0.47	0.46	0.46	439813
1980-05-15	0.46	0.47	0.46	0.47	72630
1980-05-16	0.46	0.47	0.46	0.46	8070
1980-05-19	0.45	0.46	0.45	0.46	1428384
1980-05-20	0.46	0.46	0.45	0.45	1388034
1980-05-21	0.46	0.46	0.46	0.46	371218
1980-05-22	0.47	0.47	0.46	0.46	314729
1980-05-23	0.47	0.47	0.47	0.47	1351719
1980-05-27	0.46	0.47	0.46	0.47	229994
1980-05-28	0.47	0.47	0.46	0.46	242099
1980-05-29	0.47	0.47	0.47	0.47	36315
1980-05-30	0.47	0.47	0.46	0.47	3453945
1980-06-02	0.46	0.47	0.46	0.47	217889
1980-06-03	0.46	0.46	0.46	0.46	2134506
1980-06-04	0.46	0.46	0.46	0.46	468058
1980-06-05	0.47	0.47	0.46	0.46	1751183
1980-06-06	0.47	0.47	0.46	0.47	2469409
1980-06-09	0.46	0.47	0.46	0.47	577003
1980-06-10	0.46	0.46	0.46	0.46	621387
1980-06-11	0.46	0.46	0.45	0.46	819102
1980-06-12	0.46	0.46	0.46	0.46	391393
1980-06-13	0.46	0.46	0.45	0.46	298589
1980-06-16	0.46	0.46	0.45	0.46	141224
1980-06-17	0.46	0.46	0.46	0.46	1141900
1980-06-18	0.46	0.46	0.46	0.46	1121725
1980-06-19	0.45	0.46	0.45	0.46	597177
1980-06-20	0.44	0.45	0.43	0.45	1069270
1980-06-23	0.44	0.45	0.44	0.44	694017
1980-06-24	0.46	0.46	0.45	0.45	3207811
1980-06-25	0.46	0.46	0.46	0.46	1492944
1980-06-26	0.46	0.47	0.46	0.46	435778
1980-06-27	0.46	0.46	0.45	0.46	1371894
1980-06-30	0.46	0.46	0.46	0.46	185609
1980-07-01	0.46	0.46	0.46	0.46	1359789
1980-07-02	0.47	0.47	0.46	0.46	637527
1980-07-03	0.48	0.48	0.47	0.47	3514470
1980-07-07	0.50	0.50	0.49	0.49	1396104
