Date	Open	High	Low	Close	Volume
2012-05-15	4.64	4.64	4.64	4.64	0.00
2012-05-16	4.64	4.64	4.64	4.64	0.00
2012-05-17	4.64	4.64	4.64	4.64	0.00
2012-05-18	4.64	4.64	4.64	4.64	0.00
2012-05-21	4.64	4.64	4.64	4.64	0.00
2012-05-22	4.64	4.64	4.64	4.64	0.00
2012-05-23	4.64	4.64	4.64	4.64	0.00
2012-05-24	4.64	4.64	4.64	4.64	0.00
2012-05-25	4.64	4.64	4.64	4.64	0.00
2012-05-29	4.64	4.64	4.64	4.64	0.00
2012-05-30	4.64	4.64	4.64	4.64	0.00
2012-05-31	4.64	4.64	4.64	4.64	0.00
2012-06-01	4.64	4.64	4.64	4.64	0.00
2012-06-04	4.64	4.64	4.64	4.64	0.00
2012-06-05	4.64	4.64	4.64	4.64	0.00
2012-06-06	4.64	4.64	4.64	4.64	0.00
2012-06-07	4.46	4.46	4.46	4.46	1900.00
2012-06-08	4.46	4.46	4.46	4.46	0.00
2012-06-11	4.46	4.46	4.46	4.46	0.00
2012-06-12	4.46	4.46	4.46	4.46	0.00
2012-06-13	4.46	4.46	4.46	4.46	0.00
2012-06-14	4.46	4.46	4.46	4.46	0.00
2012-06-15	4.46	4.46	4.46	4.46	0.00
2012-06-18	4.46	4.46	4.46	4.46	0.00
2012-06-19	4.46	4.46	4.46	4.46	0.00
2012-06-20	4.46	4.46	4.46	4.46	0.00
2012-06-21	4.46	4.46	4.46	4.46	0.00
2012-06-22	4.46	4.46	4.46	4.46	0.00
2012-06-25	4.46	4.46	4.46	4.46	0.00
2012-06-26	4.46	4.46	4.46	4.46	0.00
2012-06-27	4.46	4.46	4.46	4.46	0.00
2012-06-28	4.46	4.46	4.46	4.46	0.00
2012-06-29	4.46	4.46	4.46	4.46	0.00
2012-07-02	4.46	4.46	4.46	4.46	0.00
2012-07-03	4.46	4.46	4.46	4.46	0.00
2012-07-05	4.46	4.46	4.46	4.46	0.00
2012-07-06	4.46	4.46	4.46	4.46	0.00
2012-07-09	4.46	4.46	4.46	4.46	0.00
2012-07-10	4.46	4.46	4.46	4.46	0.00
2012-07-11	4.46	4.46	4.46	4.46	0.00
2012-07-12	4.46	4.46	4.46	4.46	0.00
2012-07-13	4.46	4.46	4.46	4.46	0.00
2012-07-16	4.46	4.46	4.46	4.46	0.00
2012-07-17	4.46	4.46	4.46	4.46	0.00
2012-07-18	4.46	4.46	4.46	4.46	0.00
2012-07-19	4.46	4.46	4.46	4.46	0.00
2012-07-20	4.46	4.46	4.46	4.46	0.00
2012-07-23	4.46	4.46	4.46	4.46	0.00
2012-07-24	4.46	4.46	4.46	4.46	0.00
2012-07-25	4.46	4.46	4.46	4.46	0.00
2012-07-26	4.46	4.46	4.46	4.46	0.00
2012-07-27	4.46	4.46	4.46	4.46	0.00
2012-07-30	4.46	4.46	4.46	4.46	0.00
2012-07-31	4.46	4.46	4.46	4.46	0.00
2012-08-01	4.46	4.46	4.46	4.46	0.00
2012-08-02	4.46	4.46	4.46	4.46	0.00
2012-08-03	4.46	4.46	4.46	4.46	0.00
2012-08-06	4.46	4.46	4.46	4.46	0.00
2012-08-07	4.46	4.46	4.46	4.46	0.00
2012-08-08	4.46	4.46	4.46	4.46	0.00
2012-08-09	4.46	4.46	4.46	4.46	0.00
2012-08-10	4.46	4.46	4.46	4.46	0.00
2012-08-13	4.46	4.46	4.46	4.46	0.00
2012-08-14	4.46	4.46	4.46	4.46	0.00
2012-08-15	4.46	4.46	4.46	4.46	0.00
2012-08-16	4.46	4.46	4.46	4.46	0.00
2012-08-17	4.70	4.70	4.70	4.70	1000.00
2012-08-20	4.70	4.70	4.70	4.70	0.00
2012-08-21	4.70	4.70	4.70	4.70	0.00
2012-08-22	4.70	4.70	4.70	4.70	0.00
2012-08-23	4.67	4.67	4.67	4.67	500.00
2012-08-24	4.67	4.67	4.67	4.67	0.00
2012-08-27	4.67	4.67	4.67	4.67	0.00
2012-08-28	4.55	4.55	4.55	4.55	600.00
2012-08-29	4.55	4.55	4.55	4.55	0.00
2012-08-30	4.55	4.55	4.55	4.55	0.00
2012-08-31	4.55	4.55	4.55	4.55	0.00
2012-09-04	4.55	4.55	4.55	4.55	0.00
2012-09-05	4.55	4.55	4.55	4.55	0.00
2012-09-06	4.55	4.55	4.55	4.55	0.00
2012-09-07	4.55	4.55	4.55	4.55	0.00
2012-09-10	4.55	4.55	4.55	4.55	0.00
2012-09-11	4.55	4.55	4.55	4.55	0.00
2012-09-12	4.55	4.55	4.55	4.55	0.00
2012-09-13	4.55	4.55	4.55	4.55	0.00
2012-09-14	4.55	4.55	4.55	4.55	0.00
2012-09-17	4.55	4.55	4.55	4.55	0.00
2012-09-18	4.55	4.55	4.55	4.55	0.00
2012-09-19	4.55	4.55	4.55	4.55	0.00
2012-09-20	4.55	4.55	4.55	4.55	0.00
2012-09-21	4.55	4.55	4.55	4.55	0.00
2012-09-24	4.55	4.55	4.55	4.55	0.00
2012-09-25	4.55	4.55	4.55	4.55	0.00
2012-09-26	4.55	4.55	4.55	4.55	0.00
2012-09-27	4.55	4.55	4.55	4.55	0.00
2012-09-28	4.55	4.55	4.55	4.55	0.00
2012-10-01	4.55	4.55	4.55	4.55	0.00
2012-10-02	4.55	4.55	4.55	4.55	0.00
2012-10-03	4.55	4.55	4.55	4.55	0.00
2012-10-04	4.55	4.55	4.55	4.55	0.00
2012-10-05	4.55	4.55	4.55	4.55	0.00
2012-10-08	4.55	4.55	4.55	4.55	0.00
2012-10-09	4.55	4.55	4.55	4.55	0.00
2012-10-10	4.55	4.55	4.55	4.55	0.00
2012-10-11	4.55	4.55	4.55	4.55	0.00
2012-10-12	4.55	4.55	4.55	4.55	0.00
2012-10-15	4.79	4.79	4.79	4.79	10000.00
2012-10-16	4.79	4.79	4.79	4.79	0.00
2012-10-17	4.79	4.79	4.79	4.79	0.00
2012-10-18	4.79	4.79	4.79	4.79	0.00
2012-10-19	4.79	4.79	4.79	4.79	0.00
2012-10-22	4.79	4.79	4.79	4.79	0.00
2012-10-23	4.79	4.79	4.79	4.79	0.00
2012-10-24	4.79	4.79	4.79	4.79	0.00
2012-10-25	4.79	4.79	4.79	4.79	0.00
2012-10-26	4.79	4.79	4.79	4.79	0.00
2012-10-31	4.79	4.79	4.79	4.79	0.00
2012-11-01	4.76	4.76	4.76	4.76	5000.00
2012-11-02	4.76	4.76	4.76	4.76	0.00
2012-11-05	4.76	4.76	4.76	4.76	0.00
2012-11-06	4.76	4.76	4.76	4.76	0.00
2012-11-07	4.76	4.76	4.76	4.76	0.00
2012-11-08	4.76	4.76	4.76	4.76	0.00
2012-11-09	4.76	4.76	4.76	4.76	0.00
2012-11-12	4.76	4.76	4.76	4.76	0.00
2012-11-13	4.76	4.76	4.76	4.76	0.00
2012-11-14	4.76	4.76	4.76	4.76	0.00
2012-11-15	4.76	4.76	4.76	4.76	0.00
2012-11-16	4.76	4.76	4.76	4.76	0.00
2012-11-19	4.76	4.76	4.76	4.76	0.00
2012-11-20	4.76	4.76	4.76	4.76	0.00
2012-11-21	4.76	4.76	4.76	4.76	12800.00
2012-11-23	4.76	4.76	4.76	4.76	0.00
2012-11-26	4.76	4.76	4.76	4.76	0.00
2012-11-27	4.92	4.92	4.92	4.92	2100.00
2012-11-28	4.92	4.92	4.92	4.92	0.00
2012-11-29	4.92	4.92	4.92	4.92	0.00
2012-11-30	4.94	4.94	4.94	4.94	200.00
2012-12-03	4.94	4.94	4.94	4.94	0.00
2012-12-04	4.94	4.94	4.94	4.94	0.00
2012-12-05	4.94	4.94	4.94	4.94	0.00
2012-12-06	4.94	4.94	4.94	4.94	0.00
2012-12-07	4.94	4.94	4.94	4.94	0.00
2012-12-10	4.94	4.94	4.94	4.94	0.00
2012-12-11	4.94	4.94	4.94	4.94	0.00
2012-12-12	4.94	4.94	4.94	4.94	0.00
2012-12-13	4.94	4.94	4.94	4.94	0.00
2012-12-14	4.94	4.94	4.94	4.94	0.00
2012-12-17	4.94	4.94	4.94	4.94	0.00
2012-12-18	5.05	5.05	5.05	5.05	200.00
2012-12-19	5.05	5.05	5.05	5.05	0.00
2012-12-20	5.05	5.05	5.05	5.05	0.00
2012-12-21	5.05	5.05	5.05	5.05	0.00
2012-12-24	5.05	5.05	5.05	5.05	0.00
2012-12-26	5.05	5.05	5.05	5.05	0.00
2012-12-27	5.05	5.05	5.05	5.05	0.00
2012-12-28	5.05	5.05	5.05	5.05	0.00
2012-12-31	5.05	5.05	5.05	5.05	0.00
2013-01-02	5.05	5.05	5.05	5.05	0.00
2013-01-03	5.05	5.05	5.05	5.05	0.00
