Date	Close	High	Low	Open	Volume
	AMDL	AMDL	AMDL	AMDL	AMDL
2024-03-18	25.51	25.62	25.51	25.51	600
2024-03-19	22.54	24.80	22.25	24.80	41800
2024-03-20	22.16	23.07	20.90	23.00	45400
2024-03-21	21.80	24.00	21.54	24.00	97500
2024-03-22	22.02	22.30	20.88	21.42	62600
2024-03-25	21.75	22.77	20.10	20.32	102200
2024-03-26	21.61	22.65	21.12	22.15	87800
2024-03-27	21.90	22.35	21.00	22.20	57500
2024-03-28	22.15	22.80	21.85	21.98	86600
2024-04-01	22.89	23.75	22.05	22.08	245500
2024-04-02	21.76	21.88	20.71	21.88	150300
2024-04-03	22.14	22.43	21.26	21.28	60200
2024-04-04	18.58	22.71	18.55	22.71	716500
2024-04-05	19.58	20.01	18.50	19.20	234900
2024-04-08	19.42	19.73	18.68	19.03	103400
2024-04-09	19.49	19.70	18.78	19.23	510100
2024-04-10	18.74	19.20	18.10	19.03	190800
2024-04-11	19.48	19.58	18.55	18.79	81300
2024-04-12	17.84	18.35	17.52	18.19	574400
2024-04-15	17.19	17.95	16.81	17.94	416700
2024-04-16	17.86	18.07	17.38	17.38	481700
2024-04-17	15.80	17.96	15.79	17.87	342400
2024-04-18	15.99	16.33	15.48	15.87	435100
2024-04-19	14.23	15.72	13.92	15.29	1078800
2024-04-22	14.56	14.81	14.09	14.44	210500
2024-04-23	15.33	15.53	14.99	15.22	234900
2024-04-24	15.20	16.33	14.98	16.18	239500
2024-04-25	15.60	15.83	14.18	14.60	768800
2024-04-26	16.28	16.55	15.51	15.68	224500
2024-04-29	16.90	17.00	16.07	16.72	861200
2024-04-30	16.60	17.30	16.50	16.97	796500
2024-05-01	13.53	15.00	13.10	14.33	868100
2024-05-02	13.85	14.12	12.92	13.69	351500
2024-05-03	14.68	14.72	14.09	14.30	512100
2024-05-06	15.71	15.83	14.79	15.18	369300
2024-05-07	15.40	16.00	15.25	15.73	221600
2024-05-08	15.27	15.55	15.02	15.20	145500
2024-05-09	14.99	15.30	14.62	15.16	129300
2024-05-10	14.89	15.75	14.75	15.42	194000
2024-05-13	14.60	15.13	14.56	14.82	207500
2024-05-14	15.09	15.20	14.27	14.52	524900
