Date	Open	High	Low	Close	Adj Close	Volume
2014-10-02	55.71	55.89	54.96	55.78		3380.00
2014-10-03	55.76	55.76	55.64	55.64		2590.00
2014-10-06	55.76	62.24	55.09	55.31		2260.00
2014-10-07	55.69	55.69	54.72	54.72		3840.00
2014-10-08	54.80	54.80	53.38	54.49		5950.00
2014-10-09	54.36	54.36	52.36	52.80		6120.00
2014-10-10	52.80	52.80	50.96	51.74		2570.00
2014-10-13	52.16	52.16	49.16	49.16		990.00
2014-10-14	49.38	49.53	47.48	48.28		980.00
2014-10-15	48.70	50.72	48.70	50.47		320.00
2014-10-16	50.43	53.36	50.10	52.80		1380.00
2014-10-17	53.27	53.65	51.73	53.25		2150.00
2014-10-20	53.27	53.78	52.58	53.21		540.00
2014-10-21	54.27	54.53	53.55	54.11		1600.00
2014-10-22	54.98	54.98	53.54	53.54		3770.00
2014-10-23	54.50	56.15	53.60	53.94		3860.00
2014-10-24	53.69	54.31	53.69	54.13		1080.00
2014-10-27	54.76	54.76	53.56	54.45		1420.00
2014-10-28	54.16	54.29	53.89	54.11		710.00
2014-10-29	54.36	54.36	53.91	53.91		180.00
2014-10-30	54.36	54.36	53.82	53.82		210.00
2014-10-31	54.00	54.00	53.40	53.76		790.00
2014-11-03	54.38	54.38	53.74	54.13		150.00
2014-11-04	52.98	52.98	52.45	52.89		900.00
2014-11-05	52.55	53.45	52.55	53.31		490.00
2014-11-06	53.27	53.40	53.06	53.40		260.00
2014-11-07	54.16	61.64	53.45	54.02		1980.00
2014-11-10	54.29	54.42	53.51	53.89		3520.00
2014-11-11	53.85	55.01	53.74	53.74		600.00
2014-11-12	53.82	53.97	53.80	53.89		260.00
2014-11-13	54.76	54.76	53.58	53.61		800.00
2014-11-14	54.02	54.27	53.94	54.18		270.00
2014-11-17	54.16	54.76	54.16	54.76		530.00
2014-11-18	54.69	55.02	54.69	55.00		460.00
2014-11-19	55.44	55.44	55.02	55.16		680.00
2014-11-20	55.07	55.64	55.07	55.56		540.00
2014-11-21	56.71	56.71	55.49	55.56		1350.00
2014-11-24	55.09	55.09	55.06	55.06		60.00
2014-11-25	55.40	55.40	55.27	55.27		230.00
2014-11-26	55.29	55.60	55.29	55.60		180.00
2014-11-28	54.07	54.07	53.51	53.62		320.00
2014-12-01	53.94	53.94	50.25	50.65		1540.00
2014-12-02	51.05	52.89	51.05	52.32		220.00
2014-12-03	53.14	53.38	53.14	53.36		220.00
2014-12-04	53.51	53.76	53.42	53.45		880.00
2014-12-05	53.42	53.42	52.78	52.78		640.00
2014-12-08	52.71	52.71	49.50	49.52		660.00
2014-12-09	48.83	50.10	48.79	50.10		260.00
2014-12-10	47.63	47.94	47.28	47.28		1180.00
2014-12-11	47.48	49.10	47.39	47.39		450.00
2014-12-12	47.19	47.19	46.03	47.10		350.00
2014-12-15	45.41	47.32	45.08	45.61		660.00
2014-12-16	43.92	47.21	43.68	46.37		620.00
2014-12-17	47.34	49.01	47.34	49.01		250.00
2014-12-18	50.49	50.58	48.83	49.38		290.00
2014-12-19	49.38	49.61	49.36	49.61		310.00
2014-12-22	48.83	49.76	48.83	49.76		120.00
2014-12-23	50.10	50.41	50.10	50.41		140.00
2014-12-24	50.58	50.92	50.58	50.87		200.00
2014-12-26	50.72	50.72	50.52	50.52		120.00
2014-12-29	50.67	51.27	50.67	51.14		290.00
2014-12-30	51.05	51.56	51.05	51.45		240.00
2014-12-31	51.05	51.58	50.94	50.94		170.00
2015-01-02	51.63	52.12	51.63	52.05		220.00
2015-01-05	50.69	50.98	49.18	49.18		750.00
2015-01-06	49.21	49.21	46.87	47.80		570.00
2015-01-07	48.57	48.57	46.92	47.27		830.00
2015-01-08	48.48	48.48	47.91	47.91		150.00
2015-01-09	49.03	49.03	47.48	48.04		450.00
2015-01-12	47.91	50.18	45.30	45.30		1010.00
2015-01-13	45.84	45.84	44.60	44.60		380.00
2015-01-14	43.69	44.87	43.12	44.87		1720.00
2015-01-15	45.51	46.07	45.44	45.53		540.00
2015-01-16	45.53	47.21	45.53	47.21		640.00
2015-01-20	47.21	47.91	47.21	47.78		140.00
2015-01-21	49.07	49.25	49.07	49.25		360.00
2015-01-22	49.53	49.96	48.94	49.09		560.00
2015-01-23	49.96	49.98	49.53	49.53		320.00
2015-01-26	49.93	49.93	49.75	49.75		110.00
2015-01-27	49.82	49.82	49.57	49.57		270.00
2015-01-28	49.05	49.05	48.71	48.71		70.00
2015-01-29	47.69	47.71	47.60	47.60		120.00
2015-01-30	47.91	47.91	47.73	47.73		130.00
2015-02-02	48.98	49.28	48.64	49.05		400.00
2015-02-03	49.98	50.45	49.71	50.07		970.00
2015-02-04	50.07	50.07	49.39	49.96		140.00
2015-02-05	50.41	50.80	50.18	50.71		310.00
2015-02-06	50.43	50.43	50.14	50.37		440.00
2015-02-09	50.09	50.09	49.37	49.37		370.00
2015-02-10	49.07	49.44	49.07	49.44		240.00
2015-02-11	48.82	48.82	48.82	48.82		30.00
2015-02-12	49.53	49.64	49.25	49.64		260.00
2015-02-13	50.64	50.68	50.30	50.41		810.00
2015-02-17	50.23	50.91	50.14	50.80		1010.00
2015-02-18	50.41	50.48	50.23	50.28		160.00
2015-02-19	49.30	50.39	49.30	50.39		170.00
2015-02-20	50.55	51.09	50.55	51.09		310.00
2015-02-23	50.59	50.66	50.39	50.64		510.00
2015-02-24	50.37	50.77	50.37	50.66		750.00
