Date	Close	High	Low	Open	Volume
	ARKB	ARKB	ARKB	ARKB	ARKB
2024-01-11	15.59	17.41	15.43	16.67	17925000
2024-01-12	14.62	15.54	14.50	15.53	10364400
2024-01-16	14.50	14.56	14.10	14.43	8599500
2024-01-17	14.29	14.35	14.10	14.22	3750900
2024-01-18	13.65	14.31	13.57	14.27	8620800
2024-01-19	13.91	14.09	13.46	13.74	6289800
2024-01-22	13.40	13.64	13.15	13.60	9714900
2024-01-23	13.07	13.22	12.87	12.97	8473500
2024-01-24	13.20	13.42	13.18	13.35	7111200
2024-01-25	13.29	13.38	13.19	13.36	3729000
2024-01-26	14.01	14.09	13.71	13.75	7229700
2024-01-29	14.40	14.45	13.93	14.01	7533000
2024-01-30	14.54	14.59	14.42	14.48	6047700
2024-01-31	14.18	14.60	14.17	14.25	4866300
2024-02-01	14.35	14.43	14.13	14.14	5284200
2024-02-02	14.32	14.50	14.24	14.25	6437700
2024-02-05	14.13	14.47	14.10	14.46	3540600
2024-02-06	14.37	14.47	14.28	14.30	4214100
2024-02-07	14.72	14.77	14.30	14.39	5939700
2024-02-08	15.20	15.23	14.97	15.04	6432000
2024-02-09	15.87	16.09	15.61	15.69	7257900
2024-02-12	16.77	16.83	16.07	16.09	6404100
2024-02-13	16.49	16.53	16.14	16.36	9443700
2024-02-14	17.27	17.40	17.11	17.26	11683500
2024-02-15	17.28	17.65	17.23	17.53	10072500
2024-02-16	17.32	17.52	17.24	17.45	5675700
2024-02-20	17.36	17.48	16.94	17.48	8202900
2024-02-21	17.01	17.16	16.90	17.00	11431800
2024-02-22	17.37	17.38	17.02	17.05	3781500
2024-02-23	17.05	17.12	16.89	17.09	4056300
2024-02-26	18.18	18.35	17.14	17.15	15595500
2024-02-27	19.05	19.25	18.78	18.99	10775700
2024-02-28	20.17	21.47	19.71	20.11	21924600
2024-02-29	20.76	21.25	20.15	21.15	9501300
2024-03-01	21.06	21.14	20.42	20.84	5721900
2024-03-04	22.60	22.70	21.82	21.83	12509700
2024-03-05	20.68	23.17	19.87	22.61	25505400
2024-03-06	22.37	22.56	21.80	22.32	8527200
2024-03-07	22.59	22.74	22.26	22.49	10567500
2024-03-08	23.13	23.49	22.08	22.75	11887200
2024-03-11	24.07	24.34	23.82	24.15	14723700
2024-03-12	23.80	24.43	22.91	24.13	22278300
2024-03-13	24.54	24.54	23.92	24.26	11204100
2024-03-14	23.14	24.27	22.80	24.24	17618700
2024-03-15	23.05	23.58	22.48	22.62	9571200
2024-03-18	22.29	22.86	22.19	22.66	9556200
2024-03-19	21.47	21.94	20.75	21.25	14887500
2024-03-20	21.97	22.04	20.69	21.15	16595400
2024-03-21	21.74	22.57	21.64	22.57	10282200
2024-03-22	21.33	21.45	20.88	21.39	8810700
2024-03-25	23.71	23.75	22.34	22.34	12596100
2024-03-26	23.18	23.68	23.12	23.63	7525800
2024-03-27	22.90	23.95	22.81	23.90	8552700
2024-03-28	23.66	23.93	23.51	23.72	9526800
2024-04-01	23.26	23.40	22.70	23.38	5875800
2024-04-02	21.99	22.11	21.52	21.64	5929500
2024-04-03	21.96	22.33	21.86	21.92	3618900
2024-04-04	22.85	23.14	22.39	22.46	5534100
2024-04-05	22.48	22.89	22.29	22.32	5460000
2024-04-08	23.93	24.09	23.75	24.08	6236400
2024-04-09	22.99	23.67	22.74	23.58	7454700
2024-04-10	23.38	23.38	22.48	22.55	6188400
2024-04-11	23.50	23.64	23.18	23.60	5789400
2024-04-12	22.30	23.43	21.73	23.38	10749300
2024-04-15	21.10	22.18	20.78	22.10	8256000
2024-04-16	20.91	21.12	20.57	21.08	4731000
2024-04-17	20.35	21.00	19.87	20.80	8520600
2024-04-18	21.19	21.40	20.64	20.80	7046100
2024-04-19	21.47	21.72	21.20	21.58	5412900
2024-04-22	22.20	22.29	21.90	22.05	4821000
2024-04-23	22.18	22.40	22.04	22.04	2796300
