Date	Close	High	Low	Open	Volume
	ASLE	ASLE	ASLE	ASLE	ASLE
2019-02-28	9.73	10.00	9.20	9.65	104600
2019-03-01	9.83	9.83	9.70	9.76	4300
2019-03-04	9.83	9.83	9.83	9.83	0
2019-03-05	9.83	9.83	9.83	9.83	0
2019-03-06	9.83	9.83	9.83	9.83	0
2019-03-07	9.80	9.80	9.80	9.80	100
2019-03-08	9.80	9.80	9.80	9.80	0
2019-03-11	9.80	9.80	9.80	9.80	0
2019-03-12	9.80	9.80	9.80	9.80	0
2019-03-13	9.80	9.80	9.80	9.80	0
2019-03-14	9.77	9.77	9.76	9.76	878000
2019-03-15	9.77	9.81	9.77	9.81	203000
2019-03-18	9.77	9.77	9.77	9.77	0
2019-03-19	9.77	9.80	9.77	9.80	35000
2019-03-20	9.77	9.79	9.77	9.79	37100
2019-03-21	9.77	9.78	9.77	9.77	200100
2019-03-22	9.77	9.77	9.77	9.77	0
2019-03-25	9.77	9.77	9.77	9.77	2500
2019-03-26	9.78	9.79	9.77	9.77	359900
2019-03-27	9.75	9.75	9.75	9.75	1100
2019-03-28	9.76	9.76	9.76	9.76	2600
2019-03-29	9.80	9.80	9.78	9.78	3500
2019-04-01	9.79	9.79	9.79	9.79	1000
2019-04-02	9.79	9.79	9.79	9.79	500
2019-04-03	9.80	9.80	9.78	9.78	21000
2019-04-04	9.80	9.80	9.75	9.75	20400
2019-04-05	9.79	9.80	9.78	9.78	253800
2019-04-08	9.79	9.79	9.77	9.77	33000
2019-04-09	9.79	9.79	9.79	9.79	1090000
2019-04-10	9.77	9.77	9.77	9.77	48600
2019-04-11	9.77	9.77	9.77	9.77	0
2019-04-12	9.77	9.77	9.77	9.77	0
2019-04-15	9.77	9.77	9.77	9.77	0
2019-04-16	9.78	9.78	9.78	9.78	2100
2019-04-17	9.78	9.78	9.78	9.78	0
2019-04-18	9.79	9.80	9.78	9.79	286900
2019-04-22	9.82	9.82	9.82	9.82	500
2019-04-23	9.82	9.82	9.82	9.82	0
2019-04-24	9.82	9.82	9.82	9.82	500
2019-04-25	9.83	9.83	9.82	9.82	5600
2019-04-26	9.77	9.79	9.77	9.79	900
2019-04-29	9.77	9.77	9.77	9.77	0
2019-04-30	9.77	9.77	9.77	9.77	0
2019-05-01	9.77	9.77	9.77	9.77	0
2019-05-02	9.77	9.77	9.77	9.77	0
2019-05-03	9.80	9.80	9.80	9.80	1000
2019-05-06	9.86	9.86	9.78	9.78	150900
2019-05-07	9.85	9.88	9.85	9.88	900
2019-05-08	9.85	9.85	9.85	9.85	0
2019-05-09	9.85	9.85	9.85	9.85	0
2019-05-10	9.85	9.85	9.83	9.84	50300
2019-05-13	9.85	9.85	9.85	9.85	5000
2019-05-14	9.85	9.85	9.84	9.85	500
2019-05-15	9.87	9.87	9.84	9.84	5300
2019-05-16	9.86	9.86	9.86	9.86	500
2019-05-17	9.84	9.84	9.83	9.84	2200
2019-05-20	9.84	9.84	9.84	9.84	0
2019-05-21	9.86	9.87	9.81	9.83	129500
2019-05-22	9.84	9.84	9.84	9.84	43400
2019-05-23	9.84	9.84	9.84	9.84	0
2019-05-24	9.84	9.84	9.84	9.84	0
2019-05-28	9.84	9.84	9.84	9.84	100
2019-05-29	9.84	9.84	9.84	9.84	0
2019-05-30	9.85	9.85	9.85	9.85	600
2019-05-31	9.85	9.85	9.85	9.85	0
2019-06-03	9.85	9.85	9.85	9.85	100
2019-06-04	9.86	9.89	9.86	9.89	400
2019-06-05	9.88	9.88	9.86	9.86	7000
2019-06-06	9.88	9.88	9.88	9.88	0
2019-06-07	9.88	9.88	9.88	9.88	100
2019-06-10	9.88	9.88	9.88	9.88	0
2019-06-11	9.88	9.88	9.87	9.87	28200
2019-06-12	9.88	9.88	9.88	9.88	0
2019-06-13	9.90	9.97	9.90	9.90	152000
2019-06-14	9.90	9.90	9.88	9.90	22600
2019-06-17	9.90	9.90	9.90	9.90	100
2019-06-18	9.90	9.95	9.90	9.95	1500
2019-06-19	9.92	9.92	9.92	9.92	11000
2019-06-20	9.92	9.92	9.92	9.92	100
2019-06-21	9.92	9.92	9.92	9.92	0
2019-06-24	9.90	9.90	9.90	9.90	200
2019-06-25	9.90	9.92	9.90	9.92	3200
2019-06-26	9.94	9.94	9.94	9.94	2000
2019-06-27	9.90	9.95	9.90	9.91	4000
2019-06-28	9.90	9.90	9.90	9.90	100
2019-07-01	9.90	9.91	9.90	9.90	32000
2019-07-02	9.90	9.90	9.90	9.90	100
2019-07-03	9.90	9.90	9.90	9.90	0
2019-07-05	9.93	9.93	9.93	9.93	300
2019-07-08	9.93	9.93	9.93	9.93	0
2019-07-09	9.93	9.93	9.93	9.93	0
2019-07-10	9.93	9.93	9.93	9.93	0
2019-07-11	9.93	9.93	9.93	9.93	0
2019-07-12	9.93	9.93	9.93	9.93	0
2019-07-15	9.93	9.93	9.93	9.93	100
2019-07-16	9.95	10.23	9.94	9.94	701300
2019-07-17	9.96	9.96	9.96	9.96	5300
2019-07-18	9.96	9.96	9.96	9.96	0
2019-07-19	9.94	9.97	9.94	9.97	28600
2019-07-22	9.94	9.94	9.94	9.94	0
2019-07-23	9.94	9.94	9.94	9.94	0
2019-07-24	10.09	10.33	9.94	9.98	38100
2019-07-25	10.07	10.07	10.07	10.07	400
2019-07-26	10.07	10.07	10.07	10.07	100
2019-07-29	9.99	10.02	9.99	10.02	1500
2019-07-30	10.00	10.01	10.00	10.01	1100
2019-07-31	9.96	9.96	9.96	9.96	100
2019-08-01	9.97	9.97	9.77	9.77	4800
2019-08-02	9.97	9.97	9.97	9.97	0
2019-08-05	9.95	9.95	9.95	9.95	100
2019-08-06	10.15	10.15	10.15	10.15	500
2019-08-07	10.10	10.10	10.10	10.10	200
2019-08-08	10.10	10.11	10.10	10.11	700
