Date	Close	High	Low	Open	Volume
	AS	AS	AS	AS	AS
2024-02-01	13.40	13.80	13.10	13.40	18656400
2024-02-02	14.95	15.12	13.55	13.55	10039400
2024-02-05	14.60	15.47	14.35	15.39	3585100
2024-02-06	15.13	15.52	14.55	14.84	3338000
2024-02-07	15.05	15.23	14.68	15.20	1624200
2024-02-08	15.18	15.18	14.90	15.10	1208400
2024-02-09	14.94	15.39	14.73	15.37	824900
2024-02-12	14.91	15.03	14.51	15.02	1142600
2024-02-13	14.50	14.72	14.36	14.64	519100
2024-02-14	14.85	15.00	14.65	14.79	641000
2024-02-15	15.50	15.50	14.96	14.96	1027900
2024-02-16	15.97	16.35	15.44	15.59	1413700
2024-02-20	14.97	15.98	14.80	15.98	1224400
2024-02-21	14.75	15.21	14.66	15.06	697500
2024-02-22	15.02	15.35	14.80	14.99	682500
2024-02-23	15.54	15.70	14.95	15.11	874800
2024-02-26	16.10	16.48	15.58	16.00	3320900
2024-02-27	15.99	16.53	15.95	16.35	1378200
2024-02-28	16.05	16.50	15.90	15.96	818400
2024-02-29	16.32	17.29	16.15	16.30	2178900
2024-03-01	17.66	18.10	16.62	16.62	3628900
2024-03-04	17.34	18.23	17.34	17.80	2544400
2024-03-05	16.45	16.57	15.52	16.00	5495100
2024-03-06	15.16	16.63	14.71	16.63	3123000
2024-03-07	15.06	15.30	14.76	15.24	1439600
2024-03-08	15.49	15.90	15.04	15.10	762200
2024-03-11	16.16	16.30	15.50	15.53	952300
2024-03-12	15.96	16.36	15.73	16.18	954500
2024-03-13	16.23	16.46	15.90	15.90	617200
2024-03-14	15.54	16.60	15.39	16.30	864600
2024-03-15	15.13	15.60	15.02	15.50	890100
2024-03-18	15.06	15.66	15.05	15.20	1048300
2024-03-19	15.08	15.32	14.92	15.13	774400
2024-03-20	15.47	15.67	15.05	15.07	1179200
2024-03-21	15.81	15.84	15.42	15.60	726100
2024-03-22	16.27	16.38	15.36	15.60	1282400
2024-03-25	16.68	16.98	16.12	16.17	1540700
2024-03-26	16.70	17.28	16.51	16.69	2064200
2024-03-27	16.06	16.98	16.06	16.75	1205400
2024-03-28	16.30	16.51	15.97	16.11	1544000
