Date	Close	High	Low	Open	Volume
	ATI	ATI	ATI	ATI	ATI
1999-11-29	16.97	17.31	16.80	17.31	30700
1999-11-30	16.93	17.43	16.93	16.97	218800
1999-12-01	15.79	16.93	15.63	16.93	818400
1999-12-02	16.26	16.38	15.96	16.30	341100
1999-12-03	16.59	16.72	16.34	16.72	425600
1999-12-06	16.59	16.59	16.30	16.34	319400
1999-12-07	15.92	16.34	15.84	16.34	419900
1999-12-08	15.42	16.05	15.42	16.00	563100
1999-12-09	15.25	15.63	15.21	15.58	411100
1999-12-10	15.29	15.29	14.91	14.91	559800
1999-12-13	14.95	15.21	14.74	15.04	337900
1999-12-14	14.53	14.87	14.37	14.87	524700
1999-12-15	14.20	14.62	13.86	14.03	1119200
1999-12-16	14.58	14.58	13.74	14.20	2292800
1999-12-17	14.74	14.83	14.45	14.58	681800
1999-12-20	14.49	14.70	14.24	14.62	639700
1999-12-21	13.65	14.49	13.65	14.45	423700
1999-12-22	13.95	14.11	13.61	13.69	313100
1999-12-23	14.16	14.20	14.03	14.03	323400
1999-12-27	13.74	14.28	13.74	14.24	248100
1999-12-28	14.28	14.32	13.69	13.69	235900
1999-12-29	14.79	14.83	14.20	14.20	160500
1999-12-30	14.79	15.25	14.70	14.70	307800
1999-12-31	15.08	15.12	14.79	14.95	100000
2000-01-03	14.91	15.12	14.87	15.00	401800
2000-01-04	15.37	15.84	15.00	15.08	572100
2000-01-05	15.88	15.96	15.29	15.37	452800
2000-01-06	15.79	15.92	15.71	15.79	506100
2000-01-07	15.79	15.96	15.67	15.75	197800
2000-01-10	15.67	15.96	15.58	15.75	334100
2000-01-11	15.33	15.50	15.33	15.46	393900
2000-01-12	15.33	15.42	15.21	15.42	391400
2000-01-13	15.33	15.54	15.25	15.46	373300
2000-01-14	15.75	15.79	15.16	15.16	521100
2000-01-18	15.71	15.75	15.12	15.50	345600
2000-01-19	15.29	15.67	15.29	15.63	236300
2000-01-20	15.12	15.46	15.12	15.29	384500
2000-01-21	14.83	15.37	14.83	15.37	358100
2000-01-24	14.45	15.29	14.41	15.29	207700
2000-01-25	14.53	14.53	14.24	14.37	375800
2000-01-26	14.53	14.53	14.32	14.45	188900
2000-01-27	14.41	14.62	14.32	14.37	255400
2000-01-28	14.20	14.49	14.20	14.32	172900
2000-01-31	14.03	14.28	13.95	14.16	302500
2000-02-01	13.95	13.99	13.57	13.99	380100
2000-02-02	13.11	13.90	13.11	13.86	594800
2000-02-03	12.69	13.15	12.43	13.15	651800
2000-02-04	12.52	12.81	12.43	12.81	395800
2000-02-07	12.48	12.60	12.10	12.48	315700
2000-02-08	12.22	12.90	11.97	12.77	453900
2000-02-09	12.31	12.60	12.10	12.22	617600
2000-02-10	12.01	12.27	11.97	12.22	259800
2000-02-11	11.64	12.01	11.17	11.76	377200
2000-02-14	11.64	11.80	11.43	11.47	331600
2000-02-15	11.85	11.93	11.59	11.68	315600
2000-02-16	11.76	11.89	11.64	11.76	211900
2000-02-17	11.80	12.01	11.59	12.01	258800
2000-02-18	11.68	11.72	11.34	11.64	332100
2000-02-22	11.89	12.22	11.43	11.59	297300
2000-02-23	11.97	12.10	11.38	11.93	437400
2000-02-24	11.43	11.98	10.96	11.98	545600
2000-02-25	11.34	11.64	11.17	11.26	296200
2000-02-28	11.64	11.81	11.30	11.34	242000
2000-02-29	11.51	11.60	11.34	11.56	412600
2000-03-01	11.60	11.73	11.05	11.34	314000
2000-03-02	11.98	12.02	11.51	11.60	305300
2000-03-03	12.41	12.66	12.07	12.07	478100
2000-03-06	12.24	12.36	12.07	12.36	717700
2000-03-07	12.02	12.24	11.98	12.19	452000
2000-03-08	11.51	11.94	11.39	11.94	424400
2000-03-09	11.30	11.51	11.17	11.51	441000
2000-03-10	12.02	12.02	11.26	11.26	201100
2000-03-13	11.60	12.32	11.56	12.19	520800
2000-03-14	11.81	11.85	11.51	11.56	312100
2000-03-15	12.19	12.32	11.68	11.73	544400
2000-03-16	12.70	12.75	12.28	12.36	580700
2000-03-17	12.32	12.66	12.15	12.45	501600
2000-03-20	12.66	12.87	12.45	12.49	296800
2000-03-21	12.49	12.49	12.32	12.32	473500
2000-03-22	12.24	12.49	12.15	12.49	300400
2000-03-23	12.66	12.83	12.32	12.41	327100
2000-03-24	12.58	12.66	12.41	12.49	408500
2000-03-27	12.28	12.92	12.28	12.58	323200
2000-03-28	12.32	12.87	12.24	12.36	243700
2000-03-29	12.45	12.70	12.24	12.24	173700
2000-03-30	13.25	13.72	12.53	12.58	300600
2000-03-31	13.64	13.98	13.09	13.09	455100
2000-04-03	13.76	13.81	13.51	13.64	367500
2000-04-04	13.55	14.06	13.30	14.02	252900
2000-04-05	13.81	13.85	13.55	13.81	294800
2000-04-06	13.68	13.93	13.55	13.89	362300
2000-04-07	13.55	13.72	13.51	13.72	168600
2000-04-10	13.59	13.76	13.55	13.76	246400
2000-04-11	13.59	13.81	13.42	13.59	251600
2000-04-12	14.23	14.36	13.64	13.68	338800
2000-04-13	14.49	14.70	14.27	14.70	245300
2000-04-14	13.42	14.57	13.21	14.57	236800
2000-04-17	13.81	13.85	13.09	13.47	260500
2000-04-18	13.98	14.10	13.72	13.72	533100
2000-04-19	14.19	14.49	13.98	13.98	320300
2000-04-20	14.15	14.61	14.10	14.10	202900
2000-04-24	13.59	14.19	13.57	14.02	185100
2000-04-25	14.10	14.19	13.98	14.10	229600
2000-04-26	15.68	15.68	14.23	14.44	743200
2000-04-27	15.93	16.10	15.59	15.72	702400
2000-04-28	16.44	16.65	15.93	15.93	526500
2000-05-01	16.91	16.99	16.48	16.48	244200
2000-05-02	16.95	17.29	16.82	17.08	554600
2000-05-03	17.16	17.25	16.87	17.04	192300
2000-05-04	17.29	17.33	16.95	17.12	305100
2000-05-05	17.21	17.46	16.99	17.33	409400
2000-05-08	17.12	17.21	16.82	16.99	176800
2000-05-09	16.78	17.12	16.78	17.08	233300
2000-05-10	16.78	16.95	16.61	16.87	317700
2000-05-11	17.42	17.76	16.70	16.74	337000
2000-05-12	17.29	17.89	17.29	17.50	270100
2000-05-15	17.33	17.59	17.33	17.38	192900
2000-05-16	17.21	17.38	16.74	17.33	348100
2000-05-17	16.65	16.74	16.06	16.53	1091100
2000-05-18	16.95	17.59	16.70	16.70	246800
2000-05-19	17.84	18.23	16.65	16.70	440100
2000-05-22	17.93	18.18	17.76	17.76	360700
2000-05-23	16.65	17.76	16.31	17.67	550100
2000-05-24	16.91	17.08	16.82	16.99	236300
2000-05-25	16.27	16.92	16.27	16.87	631300
2000-05-26	15.97	16.62	15.85	16.45	345100
2000-05-30	16.19	16.19	15.89	15.89	457600
2000-05-31	15.50	16.36	15.25	16.10	500300
2000-06-01	15.46	15.85	15.12	15.72	342900
2000-06-02	15.55	15.68	15.42	15.42	272600
2000-06-05	15.38	15.80	15.16	15.80	213500
2000-06-06	15.20	15.68	15.20	15.33	178900
2000-06-07	14.43	15.16	14.43	15.16	286200
2000-06-08	14.48	14.73	14.48	14.52	153900
2000-06-09	14.48	14.65	14.39	14.48	136300
2000-06-12	14.56	14.73	14.56	14.56	147200
2000-06-13	14.65	14.73	14.56	14.69	203800
2000-06-14	14.65	14.73	14.56	14.56	135400
2000-06-15	14.22	14.82	14.22	14.82	173000
2000-06-16	13.88	14.26	13.88	13.88	303400
2000-06-19	13.49	13.88	13.49	13.88	196600
2000-06-20	13.11	13.53	13.06	13.32	231700
2000-06-21	13.58	13.66	13.02	13.02	211500
2000-06-22	13.32	13.71	13.32	13.62	172000
2000-06-23	13.62	13.71	13.36	13.41	125000
2000-06-26	13.92	13.96	13.53	13.53	233200
2000-06-27	13.88	13.96	13.75	13.75	206000
2000-06-28	13.29	13.92	13.19	13.92	227500
2000-06-29	13.36	13.62	13.32	13.45	231500
2000-06-30	12.33	13.36	12.32	13.28	447200
2000-07-03	13.49	13.53	12.42	12.42	247600
2000-07-05	13.41	13.75	13.28	13.75	184500
2000-07-06	13.41	13.53	13.32	13.36	81800
2000-07-07	13.36	13.71	13.23	13.58	229900
2000-07-10	13.66	14.05	13.36	13.36	142800
2000-07-11	13.88	14.18	13.71	13.71	98400
2000-07-12	13.75	14.05	13.75	13.88	80900
2000-07-13	13.96	14.05	13.83	13.83	62100
2000-07-14	13.66	14.13	13.62	13.92	150000
2000-07-17	13.62	13.79	13.58	13.71	70600
2000-07-18	13.75	13.83	13.36	13.36	133500
2000-07-19	13.62	13.92	13.53	13.75	115800
2000-07-20	13.62	13.79	13.53	13.53	135400
2000-07-21	13.71	13.75	13.62	13.62	120000
2000-07-24	13.96	14.09	13.71	13.71	145600
2000-07-25	13.75	14.05	13.71	14.05	87100
2000-07-26	13.71	13.79	13.45	13.75	312700
2000-07-27	14.48	14.56	13.88	13.88	312500
2000-07-28	13.88	14.65	13.79	14.52	283600
2000-07-31	14.18	14.48	13.79	13.79	487800
2000-08-01	14.48	14.65	14.22	14.26	385800
2000-08-02	14.78	14.99	14.52	14.52	391100
2000-08-03	14.52	14.90	14.48	14.78	278300
2000-08-04	14.39	14.69	14.35	14.69	247100
2000-08-07	14.39	14.48	14.30	14.35	403600
2000-08-08	14.69	14.73	14.39	14.39	82000
2000-08-09	14.52	14.60	14.30	14.60	153300
2000-08-10	14.65	14.78	14.43	14.43	103400
2000-08-11	14.95	15.12	14.65	14.65	129300
2000-08-14	14.99	15.12	14.73	14.78	88700
2000-08-15	14.90	15.08	14.90	14.90	78300
2000-08-16	14.95	15.12	14.82	14.82	61700
2000-08-17	14.90	15.12	14.86	14.86	123400
2000-08-18	14.90	15.12	14.90	15.08	108400
2000-08-21	14.86	14.99	14.82	14.90	79300
2000-08-22	15.25	15.29	14.82	14.82	184600
2000-08-23	14.99	15.20	14.86	15.16	172600
2000-08-24	15.21	15.21	14.96	14.96	94100
2000-08-25	15.26	15.34	15.21	15.21	53300
2000-08-28	15.21	15.34	15.17	15.26	61600
2000-08-29	14.91	15.21	14.87	15.21	114900
2000-08-30	14.91	15.04	14.83	14.96	47400
2000-08-31	15.05	15.34	14.91	14.96	138600
2000-09-01	15.00	15.04	14.70	15.04	110200
2000-09-05	15.60	15.65	15.00	15.00	126700
2000-09-06	15.52	15.65	15.13	15.65	101800
2000-09-07	14.78	15.47	14.74	15.39	275800
2000-09-08	14.61	14.74	14.18	14.74	248800
2000-09-11	14.18	14.44	14.18	14.26	163700
2000-09-12	13.87	14.18	13.87	14.09	194000
2000-09-13	14.35	14.39	13.70	13.70	226900
2000-09-14	14.13	14.44	14.00	14.35	683200
2000-09-15	13.66	14.05	13.62	14.05	470700
2000-09-18	13.31	13.66	13.31	13.57	455800
2000-09-19	13.01	13.27	12.88	13.27	467400
2000-09-20	12.88	13.14	12.84	13.01	439900
2000-09-21	12.66	12.79	12.49	12.79	287300
2000-09-22	12.62	12.79	12.45	12.71	303700
2000-09-25	12.41	12.71	12.41	12.71	204200
2000-09-26	12.10	12.53	11.97	12.45	209100
2000-09-27	12.15	12.36	11.84	11.93	233400
2000-09-28	12.23	12.41	11.80	12.06	251300
2000-09-29	12.53	12.71	12.15	12.15	269500
2000-10-02	12.58	12.75	12.49	12.62	233800
2000-10-03	12.49	12.66	12.45	12.49	112200
2000-10-04	12.45	12.66	12.36	12.36	147600
2000-10-05	12.32	12.53	12.32	12.49	195800
2000-10-06	12.28	12.32	12.02	12.32	230300
2000-10-09	12.62	12.79	12.36	12.36	85200
2000-10-10	12.79	12.92	12.66	12.71	152400
2000-10-11	12.79	12.97	12.66	12.79	102100
2000-10-12	12.75	12.92	12.66	12.79	121200
2000-10-13	12.88	12.97	12.75	12.92	166100
2000-10-16	12.92	13.05	12.79	12.84	139700
2000-10-17	12.97	13.18	12.97	13.05	165400
2000-10-18	12.92	13.10	12.79	13.01	112100
2000-10-19	13.31	13.49	12.88	12.92	156800
2000-10-20	13.10	13.44	13.05	13.44	139000
2000-10-23	13.10	13.36	12.88	13.10	141300
2000-10-24	13.40	13.44	13.18	13.18	159100
2000-10-25	13.14	13.49	13.14	13.49	126900
2000-10-26	13.40	13.49	13.18	13.23	70300
2000-10-27	13.23	13.44	13.10	13.44	147000
2000-10-30	13.83	14.22	13.31	13.31	151600
2000-10-31	14.00	14.18	13.70	13.70	201400
2000-11-01	13.87	14.13	13.62	13.83	122500
2000-11-02	13.92	14.09	13.75	13.83	90900
2000-11-03	13.92	13.96	13.79	13.96	73500
2000-11-06	13.75	13.87	13.75	13.83	122800
2000-11-07	13.57	13.70	13.53	13.57	64100
2000-11-08	13.49	13.66	13.31	13.53	119800
2000-11-09	13.83	13.92	13.31	13.49	141800
2000-11-10	13.40	13.87	13.27	13.87	114400
2000-11-13	13.44	13.44	13.23	13.44	149800
2000-11-14	13.49	14.00	13.23	13.27	305500
2000-11-15	13.36	13.44	13.05	13.44	198700
2000-11-16	12.88	13.40	12.58	13.40	201300
2000-11-17	12.66	13.05	12.45	12.71	223200
2000-11-20	13.18	13.36	12.58	12.66	303900
2000-11-21	13.96	14.48	13.36	13.53	400900
2000-11-22	13.84	14.06	13.71	13.93	121200
2000-11-24	13.84	14.01	13.71	13.75	32500
2000-11-27	14.23	14.49	13.93	13.93	128100
2000-11-28	14.32	14.54	14.14	14.14	102000
2000-11-29	13.93	14.19	13.75	14.19	125300
2000-11-30	13.88	13.97	13.71	13.97	151300
2000-12-01	14.01	14.10	13.84	13.88	274900
2000-12-04	14.54	14.62	14.01	14.10	168100
2000-12-05	14.32	14.54	14.06	14.49	221200
2000-12-06	13.93	14.67	13.84	14.41	172800
2000-12-07	13.14	13.93	13.14	13.93	211300
2000-12-08	13.10	13.53	12.79	13.53	390300
2000-12-11	12.97	13.14	12.79	13.10	295700
2000-12-12	12.88	13.27	12.79	13.10	179000
2000-12-13	12.92	13.18	12.79	13.18	243500
2000-12-14	12.31	12.92	12.14	12.92	155800
2000-12-15	11.39	12.49	11.39	12.05	634200
2000-12-18	11.09	11.74	10.83	11.66	491600
2000-12-19	10.87	11.22	10.87	11.09	632500
2000-12-20	9.08	9.34	8.73	9.08	1847700
2000-12-21	9.69	9.95	9.17	9.26	398800
2000-12-22	10.26	10.78	9.69	9.74	586900
2000-12-26	10.43	10.61	10.22	10.26	331300
2000-12-27	10.30	10.70	10.17	10.35	411800
2000-12-28	10.65	10.87	10.22	10.22	261900
2000-12-29	11.09	11.31	10.65	10.74	376600
2001-01-02	10.61	11.31	10.48	11.13	328900
2001-01-03	10.48	10.87	10.13	10.78	361000
2001-01-04	10.39	10.74	10.22	10.48	357100
2001-01-05	10.08	10.65	9.95	10.48	1201300
2001-01-08	9.74	10.61	9.34	10.17	861600
2001-01-09	9.65	10.04	9.43	9.91	541300
2001-01-10	9.60	9.69	9.39	9.60	463500
2001-01-11	9.52	9.87	9.47	9.69	301900
2001-01-12	9.21	9.60	9.21	9.52	251000
2001-01-16	10.08	10.35	9.39	9.47	454500
2001-01-17	10.22	10.22	9.87	10.08	285600
2001-01-18	10.13	10.43	9.47	9.95	626200
2001-01-19	10.26	10.30	10.00	10.13	219400
2001-01-22	10.26	10.39	10.00	10.17	606500
2001-01-23	10.87	10.96	10.22	10.22	425400
2001-01-24	11.09	11.35	11.00	11.09	470700
2001-01-25	11.04	11.09	10.91	10.91	334900
2001-01-26	11.13	11.26	10.96	11.13	308700
2001-01-29	11.35	11.38	11.23	11.38	205300
2001-01-30	11.43	11.56	11.36	11.46	268500
2001-01-31	11.77	11.87	11.59	11.59	317000
2001-02-01	11.76	11.85	11.71	11.71	331100
2001-02-02	11.87	11.93	11.73	11.73	121400
2001-02-05	12.01	12.01	11.73	11.80	182600
2001-02-06	11.80	12.01	11.69	12.01	265000
2001-02-07	11.89	11.94	11.74	11.94	84300
2001-02-08	11.95	12.05	11.70	11.94	129100
2001-02-09	12.01	12.08	11.95	11.95	113900
2001-02-12	12.24	12.29	12.01	12.02	138500
2001-02-13	12.27	12.50	12.15	12.24	263500
2001-02-14	12.24	12.47	12.08	12.22	593400
2001-02-15	12.62	12.64	12.25	12.41	167400
2001-02-16	12.37	12.59	12.23	12.58	488200
2001-02-20	12.50	12.63	12.23	12.23	75400
2001-02-21	12.13	12.57	12.02	12.50	169900
2001-02-22	12.26	12.30	12.01	12.30	160400
2001-02-23	12.33	12.60	12.01	12.12	562900
2001-02-26	12.60	12.75	12.30	12.33	327200
2001-02-27	12.66	12.71	12.30	12.60	312600
2001-02-28	12.52	12.65	12.37	12.61	142900
2001-03-01	12.30	12.51	12.08	12.40	426800
2001-03-02	12.49	12.83	12.15	12.15	405600
2001-03-05	12.76	12.85	12.26	12.67	213800
2001-03-06	12.75	12.96	12.63	12.79	72200
2001-03-07	12.68	12.99	12.56	12.75	121300
2001-03-08	12.97	13.07	12.44	12.68	159100
2001-03-09	13.15	13.28	12.75	13.25	204500
2001-03-12	12.72	13.11	12.72	12.97	136400
2001-03-13	12.75	13.07	12.24	12.89	291900
2001-03-14	12.39	12.72	12.33	12.72	182900
2001-03-15	12.42	12.90	12.37	12.90	145400
2001-03-16	12.18	12.51	12.08	12.49	275000
2001-03-19	13.39	13.43	12.10	12.18	246100
2001-03-20	12.73	13.12	12.72	13.12	203700
2001-03-21	12.25	12.40	12.01	12.30	233600
2001-03-22	11.93	12.30	11.73	12.07	211900
2001-03-23	12.01	12.10	11.73	11.86	247700
2001-03-26	12.17	12.30	11.89	12.01	100900
2001-03-27	12.20	12.20	12.02	12.18	232500
2001-03-28	12.40	12.65	12.01	12.02	165400
2001-03-29	12.25	12.90	12.18	12.37	133600
2001-03-30	12.30	12.51	11.98	12.30	147200
2001-04-02	12.43	12.61	11.98	12.13	206100
2001-04-03	11.89	12.54	11.60	12.54	163700
2001-04-04	12.03	12.06	11.62	11.87	160000
2001-04-05	12.72	12.72	12.08	12.21	181000
2001-04-06	12.27	12.54	12.13	12.54	131900
2001-04-09	12.69	12.84	12.22	12.27	106500
2001-04-10	13.04	13.04	12.71	12.76	90700
2001-04-11	12.92	13.00	12.72	12.93	120800
2001-04-12	12.99	13.00	12.87	13.00	105400
2001-04-16	12.87	12.95	12.68	12.83	110900
2001-04-17	12.98	12.98	12.46	12.87	98000
2001-04-18	13.65	13.73	12.83	13.01	152000
2001-04-19	12.55	13.14	11.59	12.95	910600
2001-04-20	12.49	12.81	12.27	12.66	562600
2001-04-23	12.38	12.54	12.01	12.49	330700
2001-04-24	12.68	12.69	12.16	12.38	263600
2001-04-25	12.71	12.75	12.44	12.75	105400
2001-04-26	12.78	12.79	12.56	12.72	277300
2001-04-27	12.80	13.07	12.72	12.85	165900
2001-04-30	12.89	13.31	12.87	12.87	91800
2001-05-01	12.75	12.86	12.51	12.82	281200
2001-05-02	12.76	12.97	12.51	12.93	128400
2001-05-03	12.65	12.79	12.40	12.79	114100
2001-05-04	12.60	12.86	12.42	12.58	132700
2001-05-07	12.81	13.34	12.65	12.72	292500
2001-05-08	12.62	13.21	12.56	12.86	216700
2001-05-09	12.37	12.76	12.36	12.62	192600
2001-05-10	12.85	13.00	12.40	12.44	596400
2001-05-11	12.88	13.08	12.76	12.87	113800
2001-05-14	13.28	13.28	12.81	12.81	155600
2001-05-15	13.39	13.50	12.92	13.12	194900
2001-05-16	13.85	13.96	13.28	13.36	239700
2001-05-17	14.03	14.14	13.79	13.85	333200
2001-05-18	14.37	14.37	13.83	14.13	317300
2001-05-21	14.56	14.56	14.33	14.42	156400
2001-05-22	14.24	14.66	14.20	14.66	184900
