Date	Close	High	Low	Open	Volume
	BAM	BAM	BAM	BAM	BAM
2022-12-01	29.06	33.15	29.06	29.56	4000
2022-12-02	29.98	30.88	28.15	29.93	42200
2022-12-05	29.91	30.88	29.60	29.60	39700
2022-12-06	29.06	29.51	28.50	29.51	9800
2022-12-07	29.98	31.09	28.90	29.06	10300
2022-12-08	29.06	32.81	28.93	30.87	15200
2022-12-09	29.06	29.93	29.05	29.93	31000
2022-12-12	29.42	29.96	27.60	29.19	3548800
2022-12-13	27.93	30.55	27.79	30.31	3388900
2022-12-14	26.79	28.24	26.43	28.15	3393100
2022-12-15	25.86	27.04	25.86	26.41	3034800
2022-12-16	24.62	25.85	24.30	25.67	4467300
2022-12-19	25.44	25.84	24.61	24.63	4974300
2022-12-20	26.66	26.68	25.61	25.95	3326900
2022-12-21	25.61	26.88	25.59	26.68	3028100
2022-12-22	25.47	25.83	24.98	25.79	2691900
2022-12-23	25.46	25.81	25.24	25.63	1477900
2022-12-27	26.28	27.12	25.43	25.57	979900
2022-12-28	25.55	26.34	25.33	26.25	1951100
2022-12-29	26.59	27.06	25.32	25.59	1114700
2022-12-30	26.03	26.36	25.53	26.34	850700
2023-01-03	25.84	26.72	25.66	26.33	1111700
2023-01-04	26.94	27.05	26.04	26.13	1124000
2023-01-05	26.81	27.10	26.45	26.94	1294400
2023-01-06	27.04	27.22	26.35	27.00	1730800
2023-01-09	28.14	28.53	27.47	27.70	2031400
2023-01-10	27.43	28.04	27.41	27.95	1110800
2023-01-11	27.70	27.83	27.27	27.62	1306000
2023-01-12	28.12	28.60	27.53	27.81	1298900
2023-01-13	28.96	29.07	27.68	27.77	1630500
2023-01-17	28.93	29.49	28.63	29.49	1146100
2023-01-18	28.61	29.32	28.48	28.97	1367500
2023-01-19	28.51	28.63	28.09	28.42	1323600
2023-01-20	29.06	29.08	28.27	28.52	918400
2023-01-23	29.42	29.65	28.88	29.30	1191800
2023-01-24	29.24	29.54	28.80	29.32	987900
2023-01-25	28.70	29.29	28.39	29.24	1843000
2023-01-26	29.10	29.22	28.74	28.90	1915800
2023-01-27	29.51	29.82	29.13	29.24	1303100
2023-01-30	28.69	29.39	28.68	29.16	1102000
2023-01-31	29.65	29.70	28.65	28.70	1958600
2023-02-01	29.52	29.66	28.94	29.65	2118700
2023-02-02	30.30	30.34	29.52	29.61	1670700
2023-02-03	30.60	30.88	29.82	29.82	2144900
2023-02-06	30.45	30.58	29.95	30.23	2285500
2023-02-07	30.84	30.93	30.19	30.33	1517700
2023-02-08	31.52	31.97	30.90	31.64	2140300
2023-02-09	31.72	32.50	31.66	32.01	2075500
2023-02-10	31.49	31.98	31.26	31.74	2511100
2023-02-13	31.90	32.03	31.43	31.48	2525400
2023-02-14	32.26	32.37	31.60	31.82	2001600
2023-02-15	32.36	32.68	31.86	32.13	1723100
2023-02-16	32.13	32.44	31.62	31.79	2352000
2023-02-17	31.87	32.24	31.67	31.91	2135300
2023-02-21	31.29	31.78	31.11	31.56	1858100
2023-02-22	31.31	31.58	31.14	31.33	1664500
2023-02-23	30.93	31.55	30.58	31.47	2108800
2023-02-24	30.83	30.91	30.30	30.46	1476600
2023-02-27	30.71	31.21	30.56	31.17	1292900
2023-02-28	30.82	30.99	30.44	30.76	1370200
2023-03-01	30.99	31.34	30.67	30.84	1305200
2023-03-02	30.99	31.21	30.63	30.63	1427400
2023-03-03	31.43	31.63	31.05	31.13	1449200
2023-03-06	31.58	31.81	31.32	31.34	1405600
2023-03-07	30.86	31.68	30.65	31.60	2102700
2023-03-08	30.57	30.89	30.30	30.78	2904000
2023-03-09	30.09	30.87	29.94	30.47	3249500
2023-03-10	29.01	30.00	28.79	29.81	4860600
2023-03-13	28.40	28.98	27.97	28.45	2570900
2023-03-14	29.02	29.15	28.66	28.93	1750700
2023-03-15	28.26	28.52	27.61	28.23	2101600
2023-03-16	28.63	28.65	27.72	27.91	1703800
2023-03-17	28.16	28.57	27.77	28.39	2562200
2023-03-20	28.65	28.70	28.19	28.36	1633500
2023-03-21	29.04	29.34	28.75	29.32	1095300
2023-03-22	28.46	29.06	28.35	28.91	2040100
2023-03-23	28.64	29.09	28.46	28.46	1246400
2023-03-24	28.44	28.57	28.01	28.26	1494600
2023-03-27	28.48	28.77	28.36	28.64	1596900
2023-03-28	28.49	28.51	28.10	28.42	1372400
2023-03-29	28.78	29.02	28.23	29.02	2335100
2023-03-30	29.36	29.38	28.96	29.09	2608400
2023-03-31	30.00	30.06	29.24	29.49	1645900
2023-04-03	29.32	30.05	29.25	29.79	843700
2023-04-04	29.13	29.36	29.04	29.32	2210500
2023-04-05	28.97	29.19	28.82	28.97	1456600
2023-04-06	28.99	29.12	28.79	28.84	1123500
2023-04-10	28.92	28.95	28.68	28.88	837800
2023-04-11	29.19	29.37	28.96	28.96	903900
2023-04-12	29.45	29.77	29.30	29.50	1151700
2023-04-13	30.73	30.75	29.67	29.67	1060900
2023-04-14	30.70	30.97	30.32	30.80	1246300
2023-04-17	30.39	30.79	30.25	30.71	1086900
2023-04-18	30.20	30.21	29.28	29.97	2224500
2023-04-19	30.22	30.33	29.56	29.73	1980800
2023-04-20	30.02	30.20	29.86	30.12	2870500
2023-04-21	29.92	29.98	29.66	29.98	1516700
2023-04-24	29.98	30.14	29.88	29.95	593200
2023-04-25	29.79	30.14	29.77	29.89	1242100
