Date	Close	High	Low	Open	Volume
	BBVA	BBVA	BBVA	BBVA	BBVA
1988-12-15	0.74	0.75	0.74	0.75	1782791
1988-12-16	0.74	0.74	0.74	0.74	777471
1988-12-19	0.73	0.74	0.73	0.74	411056
1988-12-20	0.73	0.74	0.73	0.73	134849
1988-12-21	0.74	0.74	0.73	0.73	242727
1988-12-22	0.73	0.74	0.73	0.74	97649
1988-12-23	0.73	0.73	0.73	0.73	20460
1988-12-27	0.73	0.73	0.73	0.73	0
1988-12-28	0.73	0.73	0.73	0.73	167398
1988-12-29	0.73	0.73	0.73	0.73	26970
1988-12-30	0.73	0.73	0.73	0.73	130199
1989-01-03	0.74	0.74	0.73	0.73	130199
1989-01-04	0.74	0.74	0.74	0.74	10230
1989-01-05	0.73	0.74	0.73	0.74	12090
1989-01-06	0.73	0.73	0.73	0.73	9300
1989-01-09	0.73	0.74	0.73	0.73	10230
1989-01-10	0.73	0.73	0.73	0.73	9300
1989-01-11	0.74	0.74	0.73	0.73	1252696
1989-01-12	0.74	0.74	0.74	0.74	9300
1989-01-13	0.73	0.74	0.73	0.74	6510
1989-01-16	0.74	0.74	0.73	0.73	132989
1989-01-17	0.74	0.74	0.73	0.74	14880
1989-01-18	0.74	0.74	0.73	0.74	10230
1989-01-19	0.74	0.74	0.73	0.74	106949
1989-01-20	0.74	0.74	0.73	0.74	10230
1989-01-23	0.73	0.73	0.73	0.73	102299
1989-01-24	0.73	0.73	0.73	0.73	52079
1989-01-25	0.73	0.73	0.73	0.73	33480
1989-01-26	0.73	0.74	0.73	0.73	331076
1989-01-27	0.74	0.74	0.74	0.74	32550
1989-01-30	0.74	0.74	0.74	0.74	12090
1989-01-31	0.72	0.74	0.72	0.74	607283
1989-02-01	0.71	0.72	0.71	0.72	208318
1989-02-02	0.69	0.70	0.69	0.70	592404
1989-02-03	0.70	0.70	0.70	0.70	2167806
1989-02-06	0.70	0.70	0.70	0.70	13950
1989-02-07	0.72	0.72	0.71	0.71	50219
1989-02-08	0.72	0.72	0.72	0.72	1025779
1989-02-09	0.72	0.73	0.72	0.72	297597
1989-02-10	0.73	0.73	0.72	0.72	265047
1989-02-13	0.73	0.73	0.73	0.73	0
1989-02-14	0.73	0.73	0.73	0.73	41850
1989-02-15	0.73	0.73	0.73	0.73	930
1989-02-16	0.73	0.73	0.73	0.73	0
1989-02-17	0.73	0.73	0.73	0.73	0
1989-02-21	0.73	0.73	0.73	0.73	69749
1989-02-22	0.72	0.73	0.72	0.73	213898
1989-02-23	0.73	0.73	0.73	0.73	18600
1989-02-24	0.73	0.73	0.73	0.73	251097
1989-02-27	0.73	0.73	0.73	0.73	2790
1989-02-28	0.73	0.73	0.73	0.73	0
1989-03-01	0.72	0.72	0.72	0.72	18600
1989-03-02	0.72	0.72	0.72	0.72	4650
1989-03-03	0.72	0.72	0.72	0.72	0
1989-03-06	0.73	0.73	0.72	0.72	94859
1989-03-07	0.73	0.73	0.72	0.73	312477
1989-03-08	0.72	0.72	0.71	0.72	74399
1989-03-09	0.72	0.72	0.72	0.72	930
1989-03-10	0.71	0.71	0.71	0.71	61379
1989-03-13	0.72	0.72	0.72	0.72	4650
1989-03-14	0.72	0.72	0.72	0.72	5580
1989-03-15	0.72	0.72	0.72	0.72	0
1989-03-16	0.72	0.72	0.72	0.72	190648
1989-03-17	0.72	0.72	0.72	0.72	29760
1989-03-20	0.72	0.72	0.72	0.72	0
1989-03-21	0.71	0.71	0.71	0.71	11990359
1989-03-22	0.72	0.72	0.71	0.71	11160
1989-03-23	0.72	0.72	0.72	0.72	0
1989-03-27	0.72	0.72	0.72	0.72	0
1989-03-28	0.66	0.66	0.66	0.66	139498
1989-03-29	0.66	0.66	0.66	0.66	0
1989-03-30	0.65	0.65	0.65	0.65	18600
1989-03-31	0.65	0.65	0.65	0.65	3720
1989-04-03	0.65	0.65	0.65	0.65	16740
1989-04-04	0.65	0.65	0.65	0.65	48359
1989-04-05	0.66	0.66	0.65	0.65	354326
1989-04-06	0.66	0.66	0.66	0.66	4650
1989-04-07	0.66	0.66	0.66	0.66	0
1989-04-10	0.66	0.66	0.66	0.66	0
1989-04-11	0.65	0.65	0.65	0.65	140428
1989-04-12	0.65	0.65	0.65	0.65	43710
1989-04-13	0.65	0.65	0.64	0.65	216688
1989-04-14	0.64	0.64	0.64	0.64	51149
1989-04-17	0.65	0.65	0.64	0.64	611933
1989-04-18	0.65	0.65	0.65	0.65	9300
1989-04-19	0.66	0.66	0.65	0.65	779331
1989-04-20	0.66	0.66	0.66	0.66	687262
1989-04-21	0.67	0.67	0.66	0.66	805371
1989-04-24	0.67	0.67	0.67	0.67	0
1989-04-25	0.67	0.67	0.67	0.67	11160
1989-04-26	0.67	0.67	0.67	0.67	49289
1989-04-27	0.67	0.67	0.67	0.67	104159
1989-04-28	0.67	0.67	0.67	0.67	0
1989-05-01	0.67	0.67	0.67	0.67	0
1989-05-02	0.67	0.67	0.67	0.67	0
1989-05-03	0.67	0.67	0.67	0.67	930
1989-05-04	0.66	0.66	0.66	0.66	178558
1989-05-05	0.66	0.66	0.66	0.66	0
1989-05-08	0.66	0.66	0.66	0.66	930
1989-05-09	0.66	0.66	0.66	0.66	33480
1989-05-10	0.66	0.66	0.66	0.66	158098
1989-05-11	0.66	0.66	0.66	0.66	48359
1989-05-12	0.66	0.66	0.66	0.66	9300
1989-05-15	0.65	0.65	0.65	0.65	69749
1989-05-16	0.65	0.65	0.65	0.65	0
1989-05-17	0.65	0.65	0.65	0.65	547764
1989-05-18	0.65	0.65	0.65	0.65	1860
1989-05-19	0.65	0.65	0.65	0.65	7440
1989-05-22	0.64	0.65	0.64	0.65	577524
1989-05-23	0.64	0.64	0.64	0.64	0
1989-05-24	0.64	0.64	0.64	0.64	3720
1989-05-25	0.64	0.64	0.64	0.64	232497
1989-05-26	0.64	0.64	0.64	0.64	27900
1989-05-30	0.64	0.64	0.64	0.64	4650
1989-05-31	0.64	0.64	0.64	0.64	9300
1989-06-01	0.64	0.64	0.64	0.64	0
1989-06-02	0.64	0.64	0.64	0.64	11160
1989-06-05	0.64	0.64	0.64	0.64	54869
1989-06-06	0.63	0.63	0.63	0.63	50219
1989-06-07	0.64	0.64	0.63	0.63	167398
1989-06-08	0.64	0.64	0.64	0.64	9300
1989-06-09	0.64	0.64	0.64	0.64	227848
1989-06-12	0.64	0.64	0.64	0.64	0
1989-06-13	0.64	0.64	0.64	0.64	9300
1989-06-14	0.62	0.63	0.62	0.63	43710
1989-06-15	0.62	0.62	0.62	0.62	0
1989-06-16	0.63	0.63	0.62	0.62	8370
1989-06-19	0.63	0.63	0.63	0.63	18600
1989-06-20	0.63	0.63	0.63	0.63	0
1989-06-21	0.64	0.64	0.64	0.64	65099
1989-06-22	0.64	0.64	0.64	0.64	9300
1989-06-23	0.65	0.65	0.65	0.65	27900
1989-06-26	0.65	0.65	0.65	0.65	0
1989-06-27	0.65	0.65	0.65	0.65	0
1989-06-28	0.65	0.65	0.65	0.65	5580
1989-06-29	0.65	0.65	0.65	0.65	0
1989-06-30	0.65	0.65	0.65	0.65	12090
1989-07-03	0.66	0.66	0.66	0.66	0
1989-07-05	0.66	0.66	0.65	0.65	735622
1989-07-06	0.66	0.66	0.66	0.66	282717
1989-07-07	0.66	0.66	0.65	0.66	974629
1989-07-10	0.69	0.69	0.67	0.67	112529
1989-07-11	0.69	0.69	0.69	0.69	0
1989-07-12	0.70	0.70	0.69	0.69	53009
1989-07-13	0.70	0.70	0.69	0.70	72539
1989-07-14	0.69	0.69	0.69	0.69	3720
1989-07-17	0.68	0.69	0.68	0.69	50219
1989-07-18	0.68	0.68	0.68	0.68	0
1989-07-19	0.68	0.68	0.68	0.68	92999
1989-07-20	0.69	0.69	0.68	0.68	216688
1989-07-21	0.68	0.69	0.68	0.69	48359
1989-07-24	0.69	0.69	0.68	0.68	109739
1989-07-25	0.68	0.68	0.68	0.68	1860
1989-07-26	0.68	0.68	0.68	0.68	0
1989-07-27	0.69	0.69	0.69	0.69	9300
1989-07-28	0.69	0.69	0.69	0.69	0
1989-07-31	0.70	0.70	0.69	0.69	114389
1989-08-01	0.71	0.72	0.71	0.71	156238
1989-08-02	0.73	0.73	0.72	0.72	132989
1989-08-03	0.74	0.74	0.73	0.73	57659
1989-08-04	0.75	0.75	0.75	0.75	22320
1989-08-07	0.74	0.74	0.74	0.74	31620
1989-08-08	0.74	0.74	0.73	0.74	151588
1989-08-09	0.74	0.74	0.74	0.74	9300
1989-08-10	0.75	0.75	0.75	0.75	13950
1989-08-11	0.75	0.75	0.74	0.74	159958
1989-08-14	0.74	0.75	0.74	0.75	46499
1989-08-15	0.74	0.74	0.74	0.74	0
1989-08-16	0.74	0.74	0.74	0.74	195298
1989-08-17	0.74	0.74	0.74	0.74	167398
1989-08-18	0.74	0.74	0.74	0.74	42780
1989-08-21	0.74	0.74	0.74	0.74	46499
1989-08-22	0.73	0.74	0.73	0.74	7692876
1989-08-23	0.74	0.74	0.74	0.74	52079
1989-08-24	0.74	0.75	0.74	0.75	49289
1989-08-25	0.73	0.74	0.73	0.74	847221
1989-08-28	0.74	0.75	0.74	0.74	1980878
1989-08-29	0.75	0.75	0.75	0.75	4650
1989-08-30	0.74	0.74	0.74	0.74	90209
1989-08-31	0.73	0.74	0.73	0.74	69749
1989-09-01	0.74	0.74	0.73	0.73	758872
1989-09-05	0.74	0.74	0.74	0.74	2790
1989-09-06	0.75	0.75	0.74	0.74	5580
1989-09-07	0.74	0.74	0.74	0.74	23250
1989-09-08	0.74	0.74	0.74	0.74	46499
1989-09-11	0.73	0.73	0.73	0.73	4650
1989-09-12	0.73	0.73	0.73	0.73	97649
1989-09-13	0.73	0.73	0.73	0.73	95789
1989-09-14	0.73	0.73	0.73	0.73	486385
1989-09-15	0.73	0.73	0.73	0.73	11160
1989-09-18	0.72	0.72	0.72	0.72	4650
1989-09-19	0.73	0.73	0.72	0.72	24180
1989-09-20	0.72	0.72	0.72	0.72	9300
1989-09-21	0.71	0.71	0.71	0.71	167398
1989-09-22	0.71	0.71	0.71	0.71	9300
1989-09-25	0.72	0.72	0.72	0.72	195298
1989-09-26	0.73	0.73	0.72	0.72	599843
1989-09-27	0.73	0.73	0.73	0.73	62309
1989-09-28	0.73	0.73	0.73	0.73	0
1989-09-29	0.73	0.73	0.73	0.73	79049
1989-10-02	0.73	0.73	0.73	0.73	10230
1989-10-03	0.73	0.73	0.73	0.73	13950
1989-10-04	0.73	0.73	0.73	0.73	24180
1989-10-05	0.72	0.73	0.71	0.73	1261066
1989-10-06	0.73	0.73	0.73	0.73	4650
1989-10-09	0.73	0.73	0.73	0.73	0
1989-10-10	0.73	0.73	0.73	0.73	0
1989-10-11	0.73	0.73	0.72	0.72	10230
1989-10-12	0.72	0.72	0.72	0.72	1029499
1989-10-13	0.72	0.73	0.72	0.73	47429
