Date	Close	High	Low	Open	Volume
	BLD	BLD	BLD	BLD	BLD
2015-06-17	22.75	22.75	22.75	22.75	100
2015-06-18	22.75	22.75	22.75	22.75	100
2015-06-19	22.75	22.75	22.75	22.75	0
2015-06-22	22.75	22.75	22.75	22.75	200
2015-06-23	22.75	22.75	22.75	22.75	0
2015-06-24	25.90	25.90	25.90	25.90	300
2015-06-25	25.90	25.90	25.90	25.90	100
2015-06-26	25.90	25.90	25.90	25.90	100
2015-06-29	26.00	26.01	25.90	25.94	2800
2015-06-30	29.00	30.40	26.60	26.95	5558800
2015-07-01	27.00	29.22	26.67	27.95	5140200
2015-07-02	27.81	28.41	27.48	27.90	1957700
2015-07-06	28.99	28.99	27.50	27.75	1297800
2015-07-07	28.14	29.02	27.76	28.41	1289500
2015-07-08	27.10	27.89	26.92	27.13	1619900
2015-07-09	26.95	27.45	26.86	27.00	2155800
2015-07-10	28.79	29.12	27.00	27.02	1641800
2015-07-13	29.57	29.97	28.11	28.50	1772100
2015-07-14	30.10	30.28	29.00	29.04	1225700
2015-07-15	29.19	29.99	28.64	29.92	1427100
2015-07-16	29.34	29.58	28.96	29.01	1721000
2015-07-17	31.11	31.43	28.77	29.04	1401900
2015-07-20	31.44	33.00	30.93	31.67	1514300
2015-07-21	31.13	31.53	29.88	30.74	1264600
2015-07-22	30.88	31.52	30.12	31.12	1007700
2015-07-23	30.61	31.00	30.25	31.00	456300
2015-07-24	30.33	30.64	29.80	30.53	435500
2015-07-27	30.23	30.86	30.14	30.36	462400
2015-07-28	30.00	30.85	28.81	29.91	933700
2015-07-29	29.30	30.22	29.13	30.14	538900
2015-07-30	29.09	29.30	28.79	29.30	643000
2015-07-31	28.76	29.08	28.56	28.94	690900
2015-08-03	29.25	29.35	28.21	28.21	697500
2015-08-04	28.83	29.44	28.30	28.97	501300
2015-08-05	28.70	29.51	28.50	28.50	753500
2015-08-06	28.78	28.90	28.46	28.46	543600
2015-08-07	28.50	28.92	28.07	28.88	265700
2015-08-10	28.97	30.04	28.48	28.48	730900
2015-08-11	29.77	30.03	28.53	29.00	905100
2015-08-12	29.62	29.69	28.89	29.47	287900
2015-08-13	30.06	30.28	29.29	29.56	663700
2015-08-14	30.35	30.40	29.64	30.06	308000
2015-08-17	31.88	32.22	29.81	30.08	558300
2015-08-18	32.32	33.88	32.09	32.15	974600
2015-08-19	32.57	32.70	32.01	32.01	568900
2015-08-20	32.71	33.72	32.22	32.39	345700
2015-08-21	31.98	32.65	31.74	32.59	757000
2015-08-24	30.63	32.16	29.80	29.90	343300
2015-08-25	30.35	31.55	30.20	31.55	749400
2015-08-26	30.64	30.97	29.87	30.84	275400
2015-08-27	30.27	31.12	29.73	31.00	587200
2015-08-28	31.51	31.60	30.36	30.36	362700
2015-08-31	31.72	31.87	30.98	31.47	349500
2015-09-01	31.98	32.05	31.26	31.56	428400
2015-09-02	33.05	33.54	31.97	31.97	666900
2015-09-03	33.32	33.86	32.91	33.12	397800
2015-09-04	33.43	33.55	32.39	32.92	356100
2015-09-08	34.02	34.71	33.35	33.50	505400
