Date	Close	High	Low	Open	Volume
	B	B	B	B	B
1985-02-13	0.40	0.45	0.40	0.40	19680
1985-02-14	0.40	0.45	0.40	0.40	65920
1985-02-15	0.40	0.45	0.40	0.40	31360
1985-02-19	0.40	0.40	0.40	0.40	9120
1985-02-20	0.40	0.40	0.40	0.40	40000
1985-02-21	0.40	0.40	0.40	0.40	28960
1985-02-22	0.35	0.40	0.35	0.40	65600
1985-02-25	0.35	0.40	0.35	0.35	53600
1985-02-26	0.35	0.40	0.35	0.35	28800
1985-02-27	0.35	0.40	0.35	0.35	15200
1985-02-28	0.35	0.40	0.35	0.35	34560
1985-03-01	0.35	0.40	0.35	0.35	64000
1985-03-04	0.40	0.40	0.40	0.40	8000
1985-03-05	0.35	0.40	0.35	0.40	19200
1985-03-06	0.35	0.40	0.35	0.35	71200
1985-03-07	0.35	0.40	0.35	0.35	50560
1985-03-08	0.35	0.35	0.35	0.35	252320
1985-03-11	0.35	0.35	0.35	0.35	55200
1985-03-12	0.35	0.35	0.35	0.35	87040
1985-03-13	0.35	0.40	0.35	0.35	16480
1985-03-14	0.35	0.40	0.35	0.35	8320
1985-03-15	0.35	0.40	0.35	0.35	8800
1985-03-18	0.40	0.40	0.40	0.40	58880
1985-03-19	0.45	0.45	0.45	0.45	150240
1985-03-20	0.40	0.45	0.40	0.45	58880
1985-03-21	0.40	0.45	0.40	0.40	46880
1985-03-22	0.45	0.45	0.45	0.45	25600
1985-03-25	0.40	0.45	0.40	0.45	47840
1985-03-26	0.40	0.45	0.40	0.40	25600
1985-03-27	0.40	0.45	0.40	0.40	7840
1985-03-28	0.40	0.45	0.40	0.40	46080
1985-03-29	0.40	0.45	0.40	0.40	19360
1985-04-01	0.40	0.45	0.40	0.40	54720
1985-04-02	0.40	0.40	0.40	0.40	76000
1985-04-03	0.40	0.40	0.40	0.40	13280
1985-04-04	0.40	0.40	0.40	0.40	76000
1985-04-08	0.40	0.40	0.40	0.40	0
1985-04-09	0.35	0.40	0.35	0.40	19040
1985-04-10	0.35	0.40	0.35	0.35	13440
1985-04-11	0.35	0.40	0.35	0.35	30880
1985-04-12	0.35	0.40	0.35	0.35	28160
1985-04-15	0.35	0.40	0.35	0.35	41760
1985-04-16	0.40	0.40	0.40	0.40	16640
1985-04-17	0.40	0.40	0.40	0.40	41600
1985-04-18	0.40	0.40	0.35	0.40	3200
1985-04-19	0.45	0.45	0.40	0.40	7680
1985-04-22	0.40	0.40	0.40	0.40	51360
1985-04-23	0.40	0.40	0.40	0.40	37440
1985-04-24	0.40	0.40	0.35	0.40	24160
1985-04-25	0.40	0.40	0.35	0.40	73920
1985-04-26	0.35	0.40	0.35	0.40	9600
1985-04-29	0.40	0.40	0.35	0.35	420160
1985-04-30	0.40	0.40	0.40	0.40	28320
1985-05-01	0.40	0.40	0.40	0.40	12640
1985-05-02	0.40	0.40	0.35	0.40	12160
1985-05-03	0.40	0.40	0.40	0.40	39040
1985-05-06	0.35	0.40	0.35	0.40	79360
1985-05-07	0.40	0.40	0.35	0.35	13120
1985-05-08	0.35	0.40	0.35	0.40	18080
1985-05-09	0.40	0.40	0.35	0.35	102400
1985-05-10	0.40	0.40	0.35	0.40	69920
1985-05-13	0.40	0.40	0.35	0.40	19680
1985-05-14	0.40	0.40	0.40	0.40	294240
1985-05-15	0.40	0.40	0.40	0.40	22240
1985-05-16	0.40	0.40	0.40	0.40	36960
1985-05-17	0.40	0.40	0.40	0.40	51840
1985-05-20	0.40	0.45	0.40	0.40	58240
1985-05-21	0.40	0.45	0.40	0.40	136320
1985-05-22	0.40	0.45	0.40	0.40	20320
1985-05-23	0.40	0.40	0.40	0.40	20800
1985-05-24	0.40	0.40	0.40	0.40	81600
1985-05-28	0.40	0.40	0.40	0.40	16480
1985-05-29	0.40	0.40	0.40	0.40	5920
1985-05-30	0.40	0.40	0.40	0.40	2080
1985-05-31	0.40	0.40	0.40	0.40	192800
1985-06-03	0.40	0.40	0.40	0.40	34400
1985-06-04	0.40	0.40	0.40	0.40	54720
1985-06-05	0.40	0.40	0.40	0.40	11200
1985-06-06	0.40	0.40	0.40	0.40	16480
1985-06-07	0.40	0.40	0.40	0.40	44960
1985-06-10	0.40	0.40	0.40	0.40	33600
1985-06-11	0.40	0.40	0.40	0.40	137120
1985-06-12	0.40	0.40	0.35	0.40	73280
1985-06-13	0.40	0.40	0.35	0.40	45760
1985-06-14	0.40	0.40	0.35	0.40	66080
1985-06-17	0.40	0.40	0.40	0.40	95360
1985-06-18	0.40	0.45	0.40	0.40	38880
1985-06-19	0.40	0.40	0.40	0.40	30720
1985-06-20	0.40	0.40	0.35	0.40	50560
1985-06-21	0.35	0.40	0.35	0.40	52960
1985-06-24	0.35	0.40	0.35	0.35	9760
1985-06-25	0.35	0.40	0.35	0.35	5440
1985-06-26	0.40	0.40	0.35	0.35	18560
1985-06-27	0.40	0.40	0.35	0.40	37120
1985-06-28	0.40	0.40	0.35	0.40	76160
1985-07-01	0.35	0.40	0.35	0.40	24160
1985-07-02	0.40	0.40	0.35	0.35	19360
1985-07-03	0.40	0.40	0.35	0.40	21120
1985-07-05	0.40	0.40	0.35	0.40	11040
1985-07-08	0.40	0.40	0.35	0.40	21600
1985-07-09	0.40	0.40	0.40	0.40	87040
1985-07-10	0.45	0.45	0.40	0.40	41760
1985-07-11	0.40	0.45	0.40	0.45	81280
1985-07-12	0.45	0.45	0.40	0.40	39520
1985-07-15	0.45	0.45	0.40	0.45	66560
1985-07-16	0.45	0.45	0.45	0.45	51200
1985-07-17	0.45	0.50	0.45	0.45	204160
1985-07-18	0.45	0.50	0.45	0.45	32960
1985-07-19	0.50	0.50	0.45	0.45	78880
1985-07-22	0.50	0.50	0.45	0.50	63360
1985-07-23	0.45	0.50	0.45	0.50	34560
1985-07-24	0.45	0.50	0.45	0.45	11840
1985-07-25	0.45	0.45	0.45	0.45	25760
1985-07-26	0.45	0.45	0.45	0.45	36800
1985-07-29	0.45	0.45	0.45	0.45	69440
1985-07-30	0.45	0.45	0.45	0.45	31360
1985-07-31	0.50	0.50	0.45	0.45	32480
1985-08-01	0.55	0.55	0.50	0.50	275040
1985-08-02	0.50	0.50	0.50	0.50	76800
1985-08-05	0.50	0.50	0.50	0.50	29440
1985-08-06	0.50	0.50	0.50	0.50	49600
1985-08-07	0.50	0.50	0.45	0.50	127680
1985-08-08	0.50	0.50	0.45	0.50	43840
1985-08-09	0.50	0.50	0.45	0.50	21760
1985-08-12	0.50	0.50	0.50	0.50	100160
1985-08-13	0.50	0.50	0.50	0.50	37920
1985-08-14	0.50	0.50	0.50	0.50	30400
1985-08-15	0.55	0.55	0.50	0.50	364640
1985-08-16	0.60	0.65	0.55	0.55	358560
1985-08-19	0.60	0.60	0.55	0.60	271360
1985-08-20	0.55	0.60	0.55	0.60	240000
1985-08-21	0.55	0.55	0.55	0.55	124640
1985-08-22	0.55	0.55	0.55	0.55	90880
1985-08-23	0.55	0.55	0.55	0.55	34240
1985-08-26	0.55	0.55	0.55	0.55	33120
1985-08-27	0.55	0.55	0.55	0.55	70400
1985-08-28	0.55	0.60	0.55	0.55	42080
1985-08-29	0.55	0.55	0.55	0.55	285600
1985-08-30	0.55	0.55	0.55	0.55	81600
1985-09-03	0.55	0.55	0.50	0.55	77760
1985-09-04	0.55	0.55	0.50	0.55	2560
1985-09-05	0.50	0.55	0.50	0.55	32160
1985-09-06	0.50	0.50	0.50	0.50	151680
1985-09-09	0.50	0.50	0.50	0.50	22880
1985-09-10	0.50	0.55	0.50	0.50	135840
1985-09-11	0.50	0.55	0.50	0.50	54720
1985-09-12	0.50	0.55	0.50	0.50	81280
1985-09-13	0.50	0.50	0.50	0.50	279840
1985-09-16	0.50	0.55	0.50	0.50	148160
1985-09-17	0.50	0.55	0.50	0.50	201120
1985-09-18	0.50	0.50	0.50	0.50	364320
1985-09-19	0.50	0.55	0.50	0.50	124480
1985-09-20	0.55	0.55	0.50	0.50	66880
1985-09-23	0.55	0.60	0.55	0.55	178240
1985-09-24	0.55	0.60	0.50	0.55	148640
1985-09-25	0.55	0.60	0.55	0.55	177120
1985-09-26	0.60	0.60	0.55	0.55	521280
1985-09-30	0.60	0.60	0.55	0.60	904960
1985-10-01	0.60	0.60	0.55	0.60	236160
1985-10-02	0.55	0.60	0.55	0.60	86720
1985-10-03	0.60	0.60	0.55	0.55	312160
1985-10-04	0.60	0.60	0.55	0.60	49440
1985-10-07	0.60	0.60	0.55	0.60	872800
1985-10-08	0.60	0.60	0.55	0.60	160320
1985-10-09	0.55	0.60	0.55	0.60	83200
1985-10-10	0.55	0.55	0.55	0.55	129600
1985-10-11	0.55	0.55	0.55	0.55	60640
1985-10-14	0.55	0.55	0.55	0.55	17440
1985-10-15	0.55	0.60	0.55	0.55	94560
1985-10-16	0.55	0.55	0.55	0.55	243200
1985-10-17	0.55	0.60	0.55	0.55	192320
1985-10-18	0.55	0.55	0.55	0.55	363040
1985-10-21	0.55	0.55	0.55	0.55	82880
1985-10-22	0.55	0.55	0.50	0.55	129120
1985-10-23	0.55	0.55	0.55	0.55	202080
1985-10-24	0.50	0.55	0.50	0.55	216320
1985-10-25	0.50	0.50	0.50	0.50	154720
1985-10-28	0.50	0.50	0.50	0.50	93600
1985-10-29	0.50	0.50	0.50	0.50	254720
1985-10-30	0.50	0.50	0.50	0.50	74720
1985-10-31	0.50	0.50	0.50	0.50	156800
1985-11-01	0.50	0.50	0.45	0.50	64480
1985-11-04	0.50	0.55	0.50	0.50	133920
1985-11-05	0.55	0.55	0.50	0.50	87840
1985-11-06	0.55	0.55	0.50	0.55	80640
1985-11-07	0.55	0.55	0.50	0.55	26080
1985-11-08	0.50	0.50	0.50	0.50	262400
1985-11-11	0.55	0.55	0.50	0.50	322400
1985-11-12	0.50	0.55	0.50	0.55	662400
1985-11-13	0.50	0.55	0.50	0.50	315680
1985-11-14	0.50	0.55	0.50	0.50	48320
1985-11-15	0.50	0.50	0.50	0.50	64000
1985-11-18	0.50	0.50	0.50	0.50	93280
1985-11-19	0.50	0.50	0.50	0.50	121920
1985-11-20	0.50	0.50	0.50	0.50	68800
1985-11-21	0.50	0.50	0.50	0.50	32800
1985-11-22	0.50	0.50	0.50	0.50	102880
1985-11-25	0.50	0.50	0.50	0.50	215520
1985-11-26	0.50	0.50	0.50	0.50	119840
1985-11-27	0.50	0.50	0.50	0.50	57120
1985-11-29	0.50	0.50	0.50	0.50	50240
1985-12-02	0.50	0.50	0.50	0.50	25920
1985-12-03	0.50	0.50	0.45	0.50	140960
1985-12-04	0.50	0.50	0.45	0.50	83680
1985-12-05	0.50	0.50	0.45	0.50	152640
1985-12-06	0.50	0.50	0.45	0.50	119200
1985-12-09	0.45	0.50	0.45	0.50	84160
1985-12-10	0.50	0.50	0.45	0.45	69920
1985-12-11	0.45	0.45	0.45	0.45	62880
1985-12-12	0.45	0.45	0.40	0.45	97600
1985-12-13	0.46	0.47	0.46	0.46	144000
1985-12-16	0.48	0.48	0.45	0.46	262400
1985-12-17	0.48	0.48	0.46	0.48	44000
1985-12-18	0.48	0.48	0.47	0.48	176000
1985-12-19	0.50	0.50	0.48	0.48	66400
1985-12-20	0.50	0.50	0.50	0.50	112800
1985-12-23	0.53	0.53	0.50	0.50	323200
1985-12-24	0.54	0.54	0.53	0.53	120800
1985-12-26	0.54	0.54	0.53	0.54	16800
1985-12-27	0.54	0.54	0.53	0.54	29600
1985-12-30	0.54	0.54	0.53	0.54	32800
1985-12-31	0.54	0.54	0.53	0.54	24000
1986-01-02	0.53	0.53	0.53	0.53	32800
1986-01-03	0.53	0.53	0.52	0.53	24000
1986-01-06	0.53	0.53	0.50	0.53	23200
1986-01-07	0.53	0.53	0.50	0.53	28000
1986-01-08	0.53	0.53	0.53	0.53	252000
1986-01-09	0.54	0.55	0.53	0.53	634400
1986-01-10	0.54	0.55	0.53	0.54	187200
1986-01-13	0.53	0.54	0.53	0.54	88800
1986-01-14	0.54	0.54	0.52	0.53	884800
1986-01-15	0.55	0.56	0.54	0.54	279200
1986-01-16	0.58	0.60	0.56	0.56	1183200
1986-01-17	0.58	0.58	0.56	0.58	460000
1986-01-20	0.57	0.58	0.56	0.58	2184800
1986-01-21	0.57	0.57	0.56	0.57	350400
1986-01-22	0.57	0.57	0.56	0.57	576000
1986-01-23	0.56	0.56	0.56	0.56	82400
1986-01-24	0.57	0.58	0.56	0.56	1556000
1986-01-27	0.58	0.60	0.57	0.57	1123200
1986-01-28	0.57	0.57	0.56	0.57	20000
1986-01-29	0.60	0.60	0.56	0.57	255200
1986-01-30	0.61	0.61	0.58	0.60	421600
1986-01-31	0.58	0.60	0.57	0.60	166400
1986-02-03	0.57	0.58	0.56	0.58	92800
1986-02-04	0.53	0.56	0.50	0.56	310400
