Date	Close	High	Low	Open	Volume
	CACI	CACI	CACI	CACI	CACI
1980-03-17	0.47	0.53	0.47	0.47	65520
1980-03-18	0.45	0.51	0.45	0.47	14040
1980-03-19	0.51	0.58	0.51	0.51	107640
1980-03-20	0.49	0.56	0.49	0.51	74880
1980-03-21	0.51	0.58	0.51	0.51	30420
1980-03-24	0.47	0.53	0.47	0.51	53820
1980-03-25	0.45	0.51	0.45	0.47	4680
1980-03-26	0.47	0.53	0.47	0.47	39780
1980-03-27	0.41	0.47	0.41	0.47	175500
1980-03-28	0.47	0.53	0.47	0.47	100620
1980-03-31	0.47	0.53	0.47	0.47	21060
1980-04-01	0.47	0.53	0.47	0.47	37440
1980-04-02	0.47	0.53	0.47	0.47	37440
1980-04-03	0.47	0.53	0.47	0.47	11700
1980-04-07	0.47	0.53	0.47	0.47	37440
1980-04-08	0.45	0.51	0.45	0.47	18720
1980-04-09	0.47	0.53	0.47	0.47	11700
1980-04-10	0.47	0.53	0.47	0.47	9360
1980-04-11	0.51	0.58	0.51	0.51	39780
1980-04-14	0.49	0.56	0.49	0.51	18720
1980-04-15	0.49	0.56	0.49	0.49	4680
1980-04-16	0.49	0.49	0.49	0.49	0
1980-04-17	0.45	0.51	0.45	0.49	37440
1980-04-18	0.47	0.53	0.47	0.47	46800
1980-04-21	0.49	0.56	0.49	0.49	79560
1980-04-22	0.49	0.56	0.49	0.49	11700
1980-04-23	0.56	0.62	0.56	0.56	44460
1980-04-24	0.56	0.62	0.56	0.56	46800
1980-04-25	0.56	0.62	0.56	0.56	4680
1980-04-28	0.56	0.62	0.56	0.56	28080
1980-04-29	0.56	0.62	0.56	0.56	23400
1980-04-30	0.56	0.62	0.56	0.56	2340
1980-05-01	0.56	0.56	0.56	0.56	0
1980-05-02	0.51	0.58	0.51	0.56	30420
1980-05-05	0.51	0.58	0.51	0.51	2340
1980-05-06	0.51	0.58	0.51	0.51	16380
1980-05-07	0.51	0.58	0.51	0.51	16380
1980-05-08	0.51	0.58	0.51	0.51	4680
1980-05-09	0.51	0.58	0.51	0.51	4680
1980-05-12	0.51	0.58	0.51	0.51	14040
1980-05-13	0.51	0.58	0.51	0.51	2340
1980-05-14	0.56	0.62	0.56	0.56	72540
1980-05-15	0.53	0.60	0.53	0.56	23400
1980-05-16	0.53	0.60	0.53	0.53	7020
1980-05-19	0.51	0.58	0.51	0.53	4680
1980-05-20	0.51	0.51	0.51	0.51	0
1980-05-21	0.51	0.51	0.51	0.51	0
1980-05-22	0.56	0.62	0.56	0.56	42120
1980-05-23	0.58	0.64	0.58	0.58	46800
1980-05-27	0.56	0.62	0.56	0.58	9360
1980-05-28	0.56	0.62	0.56	0.56	25740
1980-05-29	0.56	0.62	0.56	0.56	60840
1980-05-30	0.56	0.62	0.56	0.56	18720
1980-06-02	0.56	0.62	0.56	0.56	11700
1980-06-03	0.56	0.62	0.56	0.56	9360
1980-06-04	0.56	0.62	0.56	0.56	7020
1980-06-05	0.56	0.62	0.56	0.56	25740
1980-06-06	0.56	0.62	0.56	0.56	11700
1980-06-09	0.56	0.62	0.56	0.56	16380
1980-06-10	0.56	0.62	0.56	0.56	2340
1980-06-11	0.54	0.61	0.54	0.56	9360
1980-06-12	0.53	0.60	0.53	0.54	32760
1980-06-13	0.53	0.60	0.53	0.53	11700
1980-06-16	0.56	0.62	0.56	0.56	30420
1980-06-17	0.56	0.62	0.56	0.56	7020
1980-06-18	0.56	0.62	0.56	0.56	32760
1980-06-19	0.53	0.60	0.53	0.56	2340
1980-06-20	0.53	0.60	0.53	0.53	7020
1980-06-23	0.56	0.62	0.56	0.56	7020
1980-06-24	0.56	0.62	0.56	0.56	7020
1980-06-25	0.56	0.62	0.56	0.56	14040
1980-06-26	0.57	0.63	0.57	0.57	4680
1980-06-27	0.57	0.57	0.57	0.57	0
1980-06-30	0.56	0.62	0.56	0.57	21060
1980-07-01	0.56	0.56	0.56	0.56	0
1980-07-02	0.56	0.56	0.56	0.56	0
1980-07-03	0.53	0.60	0.53	0.56	46800
1980-07-07	0.57	0.60	0.57	0.57	28080
1980-07-08	0.56	0.60	0.56	0.57	39780
1980-07-09	0.56	0.56	0.56	0.56	0
1980-07-10	0.56	0.58	0.56	0.56	53820
1980-07-11	0.56	0.58	0.56	0.56	28080
1980-07-14	0.56	0.60	0.56	0.56	21060
1980-07-15	0.57	0.60	0.57	0.57	18720
1980-07-16	0.58	0.60	0.58	0.58	16380
1980-07-17	0.61	0.64	0.61	0.61	86580
1980-07-18	0.63	0.66	0.63	0.63	39780
1980-07-21	0.62	0.66	0.62	0.63	46800
1980-07-22	0.62	0.65	0.62	0.62	49140
1980-07-23	0.62	0.64	0.62	0.62	53820
1980-07-24	0.62	0.62	0.62	0.62	0
1980-07-25	0.62	0.64	0.62	0.62	23400
1980-07-28	0.62	0.65	0.62	0.62	7020
1980-07-29	0.63	0.66	0.63	0.63	23400
1980-07-30	0.73	0.77	0.73	0.73	107640
1980-07-31	0.73	0.79	0.73	0.73	170820
1980-08-01	0.73	0.77	0.73	0.73	65520
1980-08-04	0.73	0.77	0.73	0.73	51480
1980-08-05	0.71	0.75	0.71	0.73	23400
1980-08-06	0.75	0.77	0.75	0.75	102960
1980-08-07	0.73	0.75	0.73	0.75	63180
1980-08-08	0.71	0.75	0.71	0.73	39780
1980-08-11	0.71	0.71	0.71	0.71	0
1980-08-12	0.71	0.75	0.71	0.71	44460
1980-08-13	0.71	0.75	0.71	0.71	30420
1980-08-14	0.71	0.75	0.71	0.71	63180
1980-08-15	0.83	0.90	0.83	0.83	166140
1980-08-18	0.83	0.88	0.83	0.83	203580
1980-08-19	0.92	0.96	0.92	0.92	318240
1980-08-20	1.00	1.05	1.00	1.00	189540
1980-08-21	1.00	1.05	1.00	1.00	84240
1980-08-22	1.09	1.13	1.09	1.09	496080
1980-08-25	1.13	1.18	1.13	1.13	395460
1980-08-26	1.13	1.18	1.13	1.13	301860
1980-08-27	1.11	1.18	1.11	1.13	95940
1980-08-28	1.09	1.13	1.09	1.11	88920
1980-08-29	1.07	1.13	1.07	1.09	180180
1980-09-02	0.81	0.88	0.81	0.88	624780
1980-09-03	0.88	0.94	0.88	0.88	271440
1980-09-04	0.85	0.90	0.85	0.88	159120
1980-09-05	0.85	0.90	0.85	0.85	44460
1980-09-08	0.90	0.94	0.90	0.90	276120
1980-09-09	0.88	0.92	0.88	0.90	63180
1980-09-10	0.85	0.92	0.85	0.88	37440
1980-09-11	0.88	0.94	0.88	0.88	53820
1980-09-12	0.88	0.94	0.88	0.88	4680
1980-09-15	1.05	1.09	1.05	1.05	154440
1980-09-16	1.00	1.05	1.00	1.05	205920
1980-09-17	1.03	1.07	1.03	1.03	84240
1980-09-18	0.98	1.03	0.98	1.03	262080
1980-09-19	1.07	1.13	1.07	1.07	304200
1980-09-22	1.05	1.09	1.05	1.07	65520
1980-09-23	0.98	1.03	0.98	1.03	205920
1980-09-24	0.96	1.03	0.96	0.98	63180
1980-09-25	0.94	1.00	0.94	0.96	142740
1980-09-26	0.88	0.94	0.88	0.94	147420
1980-09-29	0.92	0.96	0.92	0.92	67860
1980-09-30	0.92	0.98	0.92	0.92	91260
1980-10-01	0.90	0.96	0.90	0.92	35100
1980-10-02	0.90	0.94	0.90	0.90	30420
1980-10-03	0.90	0.94	0.90	0.90	60840
1980-10-06	0.96	1.03	0.96	0.96	238680
1980-10-07	0.92	0.96	0.92	0.96	60840
1980-10-08	0.90	0.96	0.90	0.92	51480
1980-10-09	0.90	0.96	0.90	0.90	32760
1980-10-10	0.90	0.96	0.90	0.90	9360
1980-10-13	0.90	0.94	0.90	0.90	14040
1980-10-14	0.96	0.98	0.96	0.96	556920
1980-10-15	1.03	1.05	1.03	1.03	184860
1980-10-16	0.98	1.03	0.98	1.03	63180
1980-10-17	0.96	1.00	0.96	0.98	147420
1980-10-20	0.96	1.00	0.96	0.96	72540
1980-10-21	0.96	0.98	0.96	0.96	70200
1980-10-22	0.96	1.00	0.96	0.96	37440
1980-10-23	0.96	0.96	0.96	0.96	0
1980-10-24	0.98	1.03	0.98	0.98	16380
1980-10-27	1.04	1.11	1.04	1.04	100620
1980-10-28	1.05	1.09	1.05	1.05	86580
1980-10-29	1.05	1.09	1.05	1.05	56160
1980-10-30	0.98	1.05	0.98	1.05	56160
1980-10-31	0.96	1.00	0.96	0.98	88920
1980-11-03	0.96	1.00	0.96	0.96	51480
1980-11-05	0.99	1.03	0.99	0.99	198900
1980-11-06	0.99	1.03	0.99	0.99	88920
1980-11-07	0.99	1.03	0.99	0.99	9360
1980-11-10	0.99	1.03	0.99	0.99	28080
1980-11-11	1.00	1.07	1.00	1.00	88920
1980-11-12	1.03	1.07	1.03	1.03	119340
1980-11-13	1.15	1.20	1.15	1.15	238680
1980-11-14	1.10	1.13	1.10	1.13	161460
1980-11-17	1.07	1.11	1.07	1.10	105300
1980-11-18	1.11	1.14	1.11	1.11	95940
1980-11-19	1.09	1.13	1.09	1.11	156780
1980-11-20	1.13	1.19	1.13	1.13	46800
1980-11-21	1.13	1.16	1.13	1.13	117000
1980-11-24	1.10	1.15	1.10	1.13	91260
1980-11-25	1.10	1.15	1.10	1.10	18720
1980-11-26	1.16	1.20	1.16	1.16	126360
1980-11-28	1.19	1.21	1.19	1.19	88920
1980-12-01	1.11	1.15	1.11	1.15	119340
1980-12-02	1.10	1.14	1.10	1.11	63180
1980-12-03	1.08	1.14	1.08	1.10	142740
1980-12-04	1.08	1.14	1.08	1.08	117000
1980-12-05	1.03	1.09	1.03	1.08	65520
1980-12-08	0.96	1.00	0.96	1.00	44460
1980-12-09	0.99	1.07	0.99	0.99	56160
1980-12-10	1.00	1.07	1.00	1.00	46800
1980-12-11	0.98	1.05	0.98	1.00	53820
1980-12-12	1.00	1.05	1.00	1.00	49140
1980-12-15	1.04	1.09	1.04	1.04	39780
1980-12-16	1.03	1.07	1.03	1.04	86580
1980-12-17	1.03	1.07	1.03	1.03	14040
1980-12-18	1.03	1.07	1.03	1.03	4680
1980-12-19	1.03	1.07	1.03	1.03	4680
1980-12-22	1.00	1.06	1.00	1.03	11700
1980-12-23	1.00	1.05	1.00	1.00	114660
1980-12-24	1.00	1.05	1.00	1.00	30420
1980-12-26	0.98	1.05	0.98	1.00	140400
1980-12-29	1.00	1.07	1.00	1.00	4680
1980-12-30	1.10	1.13	1.10	1.10	53820
1980-12-31	1.25	1.31	1.25	1.25	145080
1981-01-02	1.30	1.35	1.30	1.30	168480
1981-01-05	1.23	1.28	1.23	1.28	138060
1981-01-06	1.21	1.26	1.21	1.23	42120
1981-01-07	1.07	1.13	1.07	1.13	145080
1981-01-08	1.09	1.13	1.09	1.09	79560
1981-01-09	1.07	1.13	1.07	1.09	44460
1981-01-12	1.09	1.13	1.09	1.09	72540
1981-01-13	1.09	1.13	1.09	1.09	32760
1981-01-14	1.07	1.13	1.07	1.09	63180
1981-01-15	1.03	1.09	1.03	1.07	21060
1981-01-16	0.98	1.05	0.98	1.03	67860
1981-01-19	0.98	1.05	0.98	0.98	16380
1981-01-20	0.94	1.00	0.94	0.98	65520
1981-01-21	0.92	0.98	0.92	0.94	56160
1981-01-22	0.92	0.98	0.92	0.92	9360
1981-01-23	0.94	0.97	0.94	0.94	32760
1981-01-26	0.92	0.96	0.92	0.94	70200
1981-01-27	0.91	0.96	0.91	0.92	9360
1981-01-28	0.90	0.94	0.90	0.91	39780
1981-01-29	0.88	0.90	0.88	0.90	44460
1981-01-30	0.85	0.88	0.85	0.88	56160
1981-02-02	0.85	0.89	0.85	0.85	86580
1981-02-03	0.85	0.89	0.85	0.85	18720
1981-02-04	0.87	0.90	0.87	0.87	23400
1981-02-05	0.90	0.97	0.90	0.90	44460
1981-02-06	0.94	1.00	0.94	0.94	56160
1981-02-09	0.89	0.92	0.89	0.92	32760
1981-02-10	0.85	0.88	0.85	0.88	25740
1981-02-11	0.84	0.90	0.84	0.85	28080
1981-02-12	0.82	0.88	0.82	0.84	16380
1981-02-13	0.82	0.89	0.82	0.82	32760
1981-02-17	0.82	0.85	0.82	0.82	58500
1981-02-18	0.82	0.90	0.82	0.82	72540
1981-02-19	0.80	0.88	0.80	0.82	18720
1981-02-20	0.79	0.85	0.79	0.80	14040
1981-02-23	0.79	0.87	0.79	0.79	21060
1981-02-24	0.80	0.88	0.80	0.80	170820
1981-02-25	0.81	0.88	0.81	0.81	60840
1981-02-26	0.85	0.91	0.85	0.85	56160
1981-02-27	0.83	0.90	0.83	0.85	18720
1981-03-02	0.83	0.90	0.83	0.83	60840
1981-03-03	0.83	0.83	0.83	0.83	0
1981-03-04	0.83	0.83	0.83	0.83	0
1981-03-05	0.87	0.92	0.87	0.87	128700
1981-03-06	0.87	0.92	0.87	0.87	4680
1981-03-09	0.87	0.92	0.87	0.87	11700
1981-03-10	0.87	0.92	0.87	0.87	23400
1981-03-11	0.87	0.92	0.87	0.87	4680
1981-03-12	0.87	0.92	0.87	0.87	44460
1981-03-13	0.88	0.92	0.88	0.88	42120
1981-03-16	0.88	0.91	0.88	0.88	23400
1981-03-17	0.87	0.90	0.87	0.88	114660
1981-03-18	0.85	0.89	0.85	0.87	42120
1981-03-19	0.81	0.88	0.81	0.85	9360
1981-03-20	0.81	0.81	0.81	0.81	0
1981-03-23	0.85	0.88	0.85	0.85	9360
1981-03-24	0.85	0.90	0.85	0.85	74880
1981-03-25	0.90	0.94	0.90	0.90	23400
1981-03-26	0.90	0.94	0.90	0.90	175500
1981-03-27	0.90	0.95	0.90	0.90	23400
1981-03-30	0.90	0.96	0.90	0.90	16380
1981-03-31	0.91	0.96	0.91	0.91	7020
1981-04-01	0.91	0.97	0.91	0.91	28080
1981-04-02	0.91	0.97	0.91	0.91	49140
1981-04-03	0.91	0.97	0.91	0.91	4680
1981-04-06	0.88	0.95	0.88	0.91	51480
1981-04-07	0.82	0.89	0.82	0.88	46800
1981-04-08	0.82	0.89	0.82	0.82	2340
1981-04-09	0.82	0.89	0.82	0.82	65520
1981-04-10	0.82	0.89	0.82	0.82	18720
1981-04-13	0.81	0.89	0.81	0.82	65520
1981-04-14	0.81	0.89	0.81	0.81	74880
1981-04-15	0.80	0.87	0.80	0.81	21060
1981-04-16	0.80	0.88	0.80	0.80	11700
1981-04-20	0.79	0.85	0.79	0.80	42120
1981-04-21	0.78	0.85	0.78	0.79	42120
1981-04-22	0.77	0.81	0.77	0.78	51480
1981-04-23	0.76	0.81	0.76	0.77	70200
1981-04-24	0.76	0.79	0.76	0.76	280800
1981-04-27	0.80	0.85	0.80	0.80	37440
1981-04-28	0.81	0.88	0.81	0.81	133380
1981-04-29	0.81	0.88	0.81	0.81	4680
1981-04-30	0.83	0.88	0.83	0.83	28080
1981-05-01	0.81	0.88	0.81	0.83	28080
1981-05-04	0.81	0.85	0.81	0.81	79560
1981-05-05	0.78	0.83	0.78	0.81	58500
1981-05-06	0.78	0.83	0.78	0.78	21060
1981-05-07	0.78	0.83	0.78	0.78	9360
1981-05-08	0.79	0.85	0.79	0.79	16380
1981-05-11	0.77	0.84	0.77	0.79	39780
1981-05-12	0.77	0.77	0.77	0.77	0
1981-05-13	0.77	0.84	0.77	0.77	28080
1981-05-14	0.77	0.84	0.77	0.77	14040
1981-05-15	0.79	0.84	0.79	0.79	23400
1981-05-18	0.79	0.84	0.79	0.79	18720
1981-05-19	0.79	0.84	0.79	0.79	32760
1981-05-20	0.79	0.84	0.79	0.79	49140
1981-05-21	0.79	0.84	0.79	0.79	35100
1981-05-22	0.79	0.83	0.79	0.79	28080
1981-05-26	0.79	0.83	0.79	0.79	7020
1981-05-27	0.79	0.79	0.79	0.79	0
1981-05-28	0.79	0.83	0.79	0.79	11700
1981-05-29	0.81	0.84	0.81	0.81	44460
1981-06-01	0.82	0.90	0.82	0.82	72540
1981-06-02	0.84	0.89	0.84	0.84	18720
1981-06-03	0.83	0.89	0.83	0.84	63180
1981-06-04	0.83	0.89	0.83	0.83	14040
1981-06-05	0.83	0.89	0.83	0.83	32760
1981-06-08	0.83	0.89	0.83	0.83	37440
1981-06-09	0.83	0.89	0.83	0.83	21060
1981-06-10	0.83	0.88	0.83	0.83	28080
1981-06-11	0.87	0.93	0.87	0.87	95940
1981-06-12	0.93	0.99	0.93	0.93	93600
1981-06-15	0.99	1.05	0.99	0.99	58500
1981-06-16	1.04	1.10	1.04	1.04	161460
1981-06-17	1.03	1.07	1.03	1.04	117000
1981-06-18	1.00	1.05	1.00	1.03	126360
1981-06-19	1.00	1.05	1.00	1.00	39780
1981-06-22	1.01	1.05	1.01	1.01	2340
1981-06-23	1.01	1.05	1.01	1.01	16380
1981-06-24	1.03	1.06	1.03	1.03	37440
1981-06-25	1.03	1.07	1.03	1.03	44460
1981-06-26	1.03	1.07	1.03	1.03	37440
1981-06-29	1.03	1.06	1.03	1.03	72540
1981-06-30	0.95	0.99	0.95	0.99	84240
1981-07-01	0.94	0.98	0.94	0.95	60840
1981-07-02	0.95	0.99	0.95	0.95	7020
1981-07-06	0.92	0.98	0.92	0.95	58500
1981-07-07	0.90	0.96	0.90	0.92	32760
1981-07-08	0.88	0.92	0.88	0.90	21060
1981-07-09	0.83	0.87	0.83	0.87	98280
1981-07-10	0.83	0.87	0.83	0.83	46800
1981-07-13	0.85	0.88	0.85	0.85	49140
1981-07-14	0.87	0.90	0.87	0.87	11700
1981-07-15	0.90	0.96	0.90	0.90	23400
1981-07-16	0.90	0.96	0.90	0.90	14040
1981-07-17	0.92	0.96	0.92	0.92	30420
1981-07-20	0.92	0.97	0.92	0.92	49140
1981-07-21	0.94	0.98	0.94	0.94	86580
1981-07-22	0.96	1.03	0.96	0.96	60840
1981-07-23	0.98	1.07	0.98	0.98	63180
1981-07-24	0.98	1.07	0.98	0.98	9360
1981-07-27	1.00	1.05	1.00	1.00	51480
1981-07-28	1.05	1.13	1.05	1.05	131040
1981-07-29	1.09	1.15	1.09	1.09	145080
1981-07-30	1.09	1.13	1.09	1.09	56160
1981-07-31	1.09	1.13	1.09	1.09	25740
1981-08-03	1.05	1.09	1.05	1.09	67860
1981-08-04	1.03	1.07	1.03	1.05	35100
1981-08-05	1.11	1.15	1.11	1.11	114660
