Date	Open	High	Low	Close	Volume
1993-03-25	5.16	5.18	5.05	5.09	20047500.00
1993-03-26	5.09	5.18	5.07	5.12	5826000.00
1993-03-29	5.07	5.12	5.03	5.05	2249400.00
1993-03-30	5.03	5.05	4.98	5.05	2520900.00
1993-03-31	5.03	5.18	5.03	5.16	2130900.00
1993-04-01	5.14	5.16	5.09	5.09	1686300.00
1993-04-02	5.09	5.09	5.07	5.07	1596000.00
1993-04-05	5.05	5.05	5.00	5.00	1044300.00
1993-04-06	5.03	5.07	5.03	5.07	458100.00
1993-04-07	5.07	5.27	5.07	5.18	632100.00
1993-04-08	5.16	5.21	5.14	5.14	1555500.00
1993-04-12	5.14	5.16	5.07	5.09	980100.00
1993-04-13	5.07	5.12	5.07	5.12	4521000.00
1993-04-14	5.12	5.14	5.09	5.09	385200.00
1993-04-15	5.12	5.18	5.09	5.16	479100.00
1993-04-16	5.16	5.21	5.16	5.18	317400.00
1993-04-19	5.14	5.18	5.12	5.16	189900.00
1993-04-20	5.16	5.16	5.03	5.03	1680000.00
1993-04-21	5.03	5.05	5.03	5.05	440400.00
1993-04-22	5.03	5.05	5.00	5.03	390900.00
1993-04-23	5.05	5.05	4.98	5.05	700800.00
1993-04-26	5.03	5.03	4.89	4.89	1038300.00
1993-04-27	4.89	4.92	4.89	4.92	604200.00
1993-04-28	4.92	4.92	4.89	4.89	815700.00
1993-04-29	4.92	4.94	4.89	4.89	477600.00
1993-04-30	4.92	5.09	4.92	5.09	1086600.00
1993-05-03	5.07	5.16	5.07	5.16	654600.00
1993-05-04	5.29	5.34	5.27	5.29	1054200.00
1993-05-05	5.47	5.65	5.45	5.65	1123500.00
1993-05-06	5.69	5.69	5.52	5.54	699600.00
1993-05-07	5.49	5.56	5.49	5.52	197400.00
1993-05-10	5.52	5.54	5.43	5.52	288900.00
1993-05-11	5.49	5.54	5.49	5.54	396000.00
1993-05-12	5.52	5.54	5.49	5.54	428400.00
1993-05-13	5.52	5.52	5.36	5.36	135300.00
1993-05-14	5.34	5.38	5.34	5.36	402600.00
1993-05-17	5.36	5.36	5.27	5.32	121800.00
1993-05-18	5.32	5.32	5.29	5.32	91200.00
1993-05-19	5.27	5.45	5.27	5.43	201600.00
1993-05-20	5.45	5.45	5.34	5.38	138900.00
1993-05-21	5.41	5.41	5.36	5.36	244500.00
1993-05-24	5.36	5.38	5.34	5.36	162600.00
1993-05-25	5.29	5.34	5.27	5.27	30300.00
1993-05-26	5.29	5.29	5.12	5.16	139500.00
1993-05-27	5.21	5.25	5.14	5.14	398400.00
1993-05-28	5.16	5.16	5.07	5.09	262800.00
1993-06-01	5.09	5.14	5.05	5.07	204000.00
1993-06-02	5.07	5.12	5.03	5.03	305700.00
1993-06-03	5.03	5.03	4.98	4.98	487800.00
1993-06-04	4.98	5.03	4.94	4.94	240300.00
