Date	Open	High	Low	Close	Volume
1987-07-24	1.90	1.94	1.90	1.94	15566400.00
1987-07-27	1.94	1.94	1.90	1.92	1931200.00
1987-07-28	1.92	1.92	1.90	1.90	2074800.00
1987-07-29	1.90	1.92	1.90	1.90	4930800.00
1987-07-30	1.90	1.92	1.87	1.87	4654400.00
1987-07-31	1.86	1.86	1.75	1.78	3006800.00
1987-08-03	1.78	1.89	1.72	1.89	1277600.00
1987-08-04	1.89	1.92	1.84	1.86	698400.00
1987-08-05	1.86	1.87	1.84	1.86	262000.00
1987-08-06	1.86	1.86	1.83	1.84	480400.00
1987-08-07	1.84	1.89	1.84	1.89	582400.00
1987-08-10	1.89	1.95	1.87	1.92	1524800.00
1987-08-11	1.92	1.94	1.90	1.94	2395200.00
1987-08-12	1.94	1.94	1.92	1.94	1514400.00
1987-08-13	1.94	1.94	1.89	1.90	516000.00
1987-08-14	1.90	1.94	1.89	1.90	324000.00
1987-08-17	1.90	1.90	1.89	1.90	183600.00
1987-08-18	1.90	1.90	1.83	1.83	554400.00
1987-08-19	1.83	1.84	1.80	1.84	304400.00
1987-08-20	1.84	1.87	1.84	1.84	516000.00
1987-08-21	1.84	1.89	1.83	1.87	620400.00
1987-08-24	1.89	1.94	1.89	1.94	1596800.00
1987-08-25	1.94	2.04	1.94	2.03	1371600.00
1987-08-26	2.06	2.15	2.06	2.12	1897200.00
1987-08-27	2.12	2.12	2.06	2.07	604800.00
1987-08-28	2.07	2.09	2.06	2.09	171200.00
1987-08-31	2.07	2.07	2.04	2.07	192000.00
1987-09-01	2.07	2.10	2.06	2.06	1219600.00
1987-09-02	2.06	2.07	1.95	1.97	1449600.00
1987-09-03	1.97	2.01	1.94	1.97	252400.00
1987-09-04	1.97	1.97	1.92	1.95	225600.00
1987-09-08	1.95	1.95	1.86	1.90	536000.00
1987-09-09	1.90	1.90	1.87	1.89	376800.00
1987-09-10	1.89	1.90	1.86	1.89	803600.00
1987-09-11	1.89	1.95	1.89	1.94	519600.00
1987-09-14	1.94	1.97	1.92	1.95	206400.00
1987-09-15	1.95	1.97	1.94	1.95	78000.00
1987-09-16	1.95	1.97	1.94	1.97	390400.00
1987-09-17	1.95	1.95	1.94	1.94	134400.00
1987-09-18	1.94	1.95	1.92	1.92	95600.00
