Date	Close	High	Low	Open	Volume
	CDNS	CDNS	CDNS	CDNS	CDNS
1987-06-10	2.00	2.11	1.94	1.94	10395450
1987-06-11	1.89	2.03	1.89	2.00	2233350
1987-06-12	1.89	1.94	1.89	1.89	1120950
1987-06-15	1.89	1.94	1.89	1.89	1815300
1987-06-16	1.83	1.92	1.83	1.89	686700
1987-06-17	1.89	1.89	1.81	1.83	891450
1987-06-18	1.83	1.89	1.83	1.89	126900
1987-06-19	1.86	1.86	1.83	1.83	638100
1987-06-22	1.83	1.86	1.83	1.86	276750
1987-06-23	1.81	1.86	1.78	1.83	554850
1987-06-24	1.81	1.81	1.78	1.81	337050
1987-06-25	1.78	1.78	1.78	1.78	15300
1987-06-26	1.78	1.81	1.78	1.78	248850
1987-06-29	1.61	1.81	1.61	1.78	355500
1987-06-30	1.47	1.67	1.47	1.61	80550
1987-07-01	1.67	1.67	1.47	1.47	290700
1987-07-02	1.72	1.72	1.58	1.67	252450
1987-07-06	1.67	1.78	1.67	1.72	95850
1987-07-07	1.81	1.89	1.67	1.67	470700
1987-07-08	1.78	1.86	1.78	1.81	274050
1987-07-09	1.72	1.86	1.72	1.78	124650
1987-07-10	1.72	1.83	1.72	1.72	12150
1987-07-13	1.61	1.78	1.61	1.72	89100
1987-07-14	1.67	1.69	1.61	1.61	115200
1987-07-15	1.61	1.69	1.61	1.67	96750
1987-07-16	1.69	1.72	1.67	1.67	28800
1987-07-17	1.72	1.72	1.72	1.72	5850
1987-07-20	1.61	1.72	1.61	1.72	11700
1987-07-21	1.72	1.72	1.67	1.67	12150
1987-07-22	1.64	1.72	1.61	1.72	191700
1987-07-23	1.64	1.69	1.64	1.64	72450
1987-07-24	1.64	1.69	1.64	1.64	6750
1987-07-27	1.64	1.67	1.64	1.64	100350
1987-07-28	1.64	1.67	1.64	1.64	151200
1987-07-29	1.64	1.64	1.64	1.64	2700
1987-07-30	1.64	1.67	1.64	1.64	158400
1987-07-31	1.64	1.72	1.64	1.64	40950
