Date	Open	High	Low	Close	Volume
2018-01-19	13.97	14.36	13.61	14.18	18176900.00
2018-01-22	14.28	14.36	14.01	14.20	2261600.00
2018-01-23	14.32	14.32	13.89	14.08	2391200.00
2018-01-24	14.23	14.23	14.00	14.07	1419900.00
2018-01-25	14.05	14.40	13.81	14.17	3198700.00
2018-01-26	14.21	14.28	14.09	14.17	562100.00
2018-01-29	14.05	14.36	14.03	14.32	947300.00
2018-01-30	14.30	14.34	14.04	14.29	925600.00
2018-01-31	14.29	14.64	14.23	14.59	1161100.00
2018-02-01	14.58	14.69	14.46	14.58	974300.00
2018-02-02	14.55	14.60	14.25	14.51	1226100.00
2018-02-05	14.46	14.60	14.21	14.32	613400.00
2018-02-06	14.24	14.36	13.77	14.21	1929500.00
2018-02-07	14.16	14.44	14.09	14.38	510500.00
2018-02-08	14.32	14.38	14.09	14.11	484600.00
2018-02-09	14.13	14.32	12.87	14.20	1018700.00
2018-02-12	14.02	14.31	13.85	13.99	559500.00
2018-02-13	14.09	14.44	14.05	14.33	334500.00
2018-02-14	14.32	14.37	14.13	14.35	391900.00
2018-02-15	14.36	14.43	14.28	14.30	393900.00
2018-02-16	14.31	14.42	14.23	14.35	341800.00
2018-02-20	14.36	14.39	14.28	14.34	390900.00
2018-02-21	14.36	14.38	14.19	14.28	641400.00
2018-02-22	14.25	14.32	14.09	14.25	564400.00
2018-02-23	14.21	14.56	14.21	14.54	747700.00
2018-02-26	14.58	14.66	14.43	14.44	330900.00
2018-02-27	14.50	14.56	14.30	14.36	718600.00
2018-02-28	14.36	14.41	14.28	14.36	720200.00
2018-03-01	14.36	14.57	14.25	14.29	733100.00
2018-03-02	14.22	14.44	13.71	14.28	563600.00
2018-03-05	14.29	14.32	14.13	14.17	377400.00
2018-03-06	14.21	14.48	14.17	14.18	266700.00
2018-03-07	14.19	14.31	14.14	14.16	257700.00
2018-03-08	14.27	14.36	14.19	14.25	249600.00
2018-03-09	14.32	14.40	14.21	14.34	471500.00
2018-03-12	14.63	14.64	14.31	14.47	364900.00
2018-03-13	14.40	14.53	14.17	14.29	256100.00
2018-03-14	14.28	14.41	14.18	14.32	456300.00
2018-03-15	14.35	14.70	14.35	14.63	493300.00
2018-03-16	14.62	14.90	14.45	14.90	7694500.00
2018-03-19	14.90	15.00	14.75	14.92	740800.00
2018-03-20	14.99	14.99	14.73	14.94	451200.00
2018-03-21	14.84	15.27	14.80	15.07	970600.00
2018-03-22	14.97	15.12	14.95	15.04	368300.00
2018-03-23	15.03	15.12	14.82	14.89	563700.00
2018-03-26	15.04	15.08	14.78	14.88	885900.00
2018-03-27	14.96	15.00	14.72	14.74	259200.00
2018-03-28	14.78	15.04	14.72	14.98	759300.00
2018-03-29	14.92	15.50	14.92	15.34	726000.00
2018-04-02	15.28	15.46	14.93	14.94	529200.00
2018-04-03	15.11	15.11	14.90	15.00	569800.00
2018-04-04	14.88	15.25	14.83	15.13	552900.00
2018-04-05	15.12	15.18	15.00	15.15	555200.00
2018-04-06	15.09	15.23	15.03	15.14	195500.00
2018-04-09	15.25	15.49	15.05	15.33	651000.00
2018-04-10	15.43	15.45	15.29	15.36	529200.00
2018-04-11	15.33	15.73	15.28	15.65	716300.00
2018-04-12	15.71	15.79	15.51	15.51	578700.00
2018-04-13	15.60	15.60	15.29	15.29	301600.00
2018-04-16	15.33	15.58	15.21	15.57	252200.00
2018-04-17	15.58	15.81	15.57	15.66	298400.00
2018-04-18	15.70	15.95	15.47	15.86	266400.00
2018-04-19	15.77	15.90	15.68	15.86	441200.00
2018-04-20	15.87	16.14	15.86	15.96	469100.00
2018-04-23	15.97	16.17	15.96	16.07	566600.00
2018-04-24	16.12	16.17	16.03	16.15	575200.00
2018-04-25	16.22	16.29	16.06	16.24	191000.00
2018-04-26	16.36	16.48	16.27	16.35	256200.00
2018-04-27	16.36	16.93	16.36	16.74	350400.00
2018-04-30	16.74	16.99	16.51	16.57	580200.00
2018-05-01	16.57	16.60	16.32	16.57	707000.00
2018-05-02	16.53	16.82	16.48	16.49	732400.00
2018-05-03	16.49	16.72	16.34	16.66	222100.00
2018-05-04	16.66	16.82	16.60	16.68	318000.00
2018-05-07	16.78	16.92	16.60	16.88	197300.00
2018-05-08	16.82	17.02	16.64	17.00	381300.00
2018-05-09	17.05	17.31	16.92	17.28	351700.00
2018-05-10	17.47	17.74	17.17	17.23	805400.00
2018-05-11	18.65	18.93	17.47	17.93	2001700.00
2018-05-14	17.93	18.00	17.07	17.22	622600.00
2018-05-15	17.20	17.48	16.69	16.91	1317500.00
2018-05-16	16.94	17.28	16.81	17.22	933800.00
2018-05-17	17.24	17.75	16.98	17.57	1642000.00
2018-05-18	17.65	17.72	17.45	17.57	526000.00
2018-05-21	17.57	17.77	17.51	17.60	467800.00
2018-05-22	17.49	17.70	17.09	17.22	739700.00
2018-05-23	17.31	17.68	17.11	17.40	876700.00
2018-05-24	17.46	17.53	17.25	17.43	312700.00
2018-05-25	17.49	17.55	17.23	17.38	283700.00
