Date	Open	High	Low	Close	Volume
1986-07-09	7.15	7.40	7.07	7.36	1116800.00
1986-07-10	7.40	7.44	7.15	7.32	595600.00
1986-07-11	7.28	7.32	7.07	7.07	800400.00
1986-07-14	7.11	7.11	6.77	6.86	738000.00
1986-07-15	6.82	6.82	6.23	6.65	2059200.00
1986-07-16	6.65	7.02	6.65	6.77	1160400.00
1986-07-17	6.77	6.86	6.69	6.82	1046000.00
1986-07-18	6.82	6.92	6.69	6.86	1420000.00
1986-07-21	6.86	6.90	6.82	6.86	322800.00
1986-07-22	6.86	6.88	6.82	6.82	390800.00
1986-07-23	6.86	6.86	6.69	6.73	1004000.00
1986-07-24	6.73	6.77	6.56	6.65	1071600.00
1986-07-25	6.65	6.77	6.61	6.73	688400.00
1986-07-28	6.73	6.86	6.67	6.77	414800.00
1986-07-29	6.69	6.82	6.69	6.82	278400.00
1986-07-30	6.73	6.77	6.61	6.77	459200.00
1986-07-31	6.77	6.86	6.69	6.73	1213600.00
1986-08-01	6.69	6.77	6.52	6.52	1118000.00
1986-08-04	6.56	6.56	6.38	6.52	892400.00
1986-08-05	6.52	6.52	6.36	6.40	868800.00
1986-08-06	6.40	6.44	6.10	6.10	550400.00
1986-08-07	6.02	6.06	5.44	5.60	7560000.00
1986-08-08	5.64	5.98	5.60	5.94	2802000.00
1986-08-11	6.02	6.10	5.94	6.10	1428000.00
1986-08-12	6.10	6.31	6.10	6.27	1155200.00
1986-08-13	6.31	6.75	6.27	6.48	865600.00
1986-08-14	6.52	6.56	6.27	6.36	762000.00
1986-08-15	6.36	6.36	6.15	6.27	654400.00
1986-08-18	6.31	6.61	6.19	6.48	606800.00
1986-08-19	6.52	6.52	6.36	6.40	2744000.00
1986-08-20	6.40	6.40	6.27	6.36	500000.00
1986-08-21	6.36	6.40	6.31	6.31	353200.00
1986-08-22	6.36	6.40	6.27	6.27	286000.00
1986-08-25	6.36	6.36	6.10	6.19	766400.00
1986-08-26	6.15	6.27	6.15	6.27	408800.00
1986-08-27	6.27	6.27	6.15	6.23	686400.00
1986-08-28	6.23	6.23	6.10	6.15	286000.00
1986-08-29	6.10	6.19	6.06	6.10	1128800.00
1986-09-02	6.15	6.15	5.81	5.85	916800.00
1986-09-03	5.85	5.98	5.81	5.98	684400.00
1986-09-04	6.02	6.23	5.94	6.23	576800.00
1986-09-05	6.23	6.31	6.02	6.02	961600.00
1986-09-08	6.10	6.10	5.77	5.85	1793200.00
1986-09-09	5.81	5.85	5.69	5.77	388000.00
1986-09-10	5.77	5.77	5.69	5.69	802400.00
1986-09-11	5.73	5.73	5.18	5.31	6240000.00
1986-09-12	5.27	5.31	5.06	5.10	2066800.00
1986-09-15	5.10	5.18	4.98	5.10	1746800.00
1986-09-16	5.06	5.10	4.89	4.98	1547200.00
1986-09-17	5.02	5.02	4.72	4.93	997600.00
1986-09-18	4.93	5.85	4.93	5.85	833200.00
1986-09-19	5.85	5.85	5.48	5.73	928000.00
1986-09-22	5.73	5.81	5.60	5.69	464000.00
1986-09-23	5.73	5.73	5.39	5.52	436400.00
1986-09-24	5.52	5.73	5.44	5.69	649600.00
1986-09-25	5.69	5.69	5.56	5.56	305600.00
1986-09-26	5.56	5.64	5.52	5.56	278400.00
1986-09-29	5.60	5.60	5.39	5.52	724800.00
1986-09-30	5.48	5.85	5.48	5.73	773200.00
1986-10-01	5.81	5.85	5.73	5.73	668400.00
1986-10-02	5.73	5.77	5.73	5.73	592000.00
1986-10-03	5.77	5.77	5.52	5.60	228000.00
1986-10-06	5.69	5.69	5.56	5.64	467600.00
1986-10-07	5.60	5.69	5.60	5.64	176000.00
1986-10-08	5.69	5.77	5.64	5.77	558800.00
1986-10-09	5.77	5.77	5.60	5.64	243200.00
1986-10-10	5.64	5.64	5.52	5.56	238400.00
1986-10-13	5.60	5.60	5.39	5.39	362800.00
1986-10-14	5.39	5.77	5.39	5.69	612000.00
1986-10-15	5.73	5.90	5.69	5.85	606800.00
1986-10-16	5.85	5.90	5.81	5.81	269200.00
1986-10-17	5.85	5.85	5.64	5.69	216000.00
1986-10-20	5.64	5.69	5.39	5.56	595200.00
1986-10-21	5.56	5.56	5.48	5.48	327200.00
1986-10-22	5.56	5.56	5.48	5.52	396000.00
1986-10-23	5.56	5.56	5.52	5.54	1358400.00
1986-10-24	5.56	5.60	5.52	5.56	809600.00
1986-10-27	5.60	5.60	5.52	5.56	305200.00
1986-10-28	5.52	5.69	5.52	5.69	329200.00
1986-10-29	5.69	6.02	5.69	5.94	835600.00
1986-10-30	5.94	6.15	5.90	6.06	973200.00
1986-10-31	6.06	6.06	5.94	6.02	632400.00
1986-11-03	5.94	6.06	5.94	6.02	408800.00
1986-11-04	5.98	6.06	5.98	5.98	283200.00
1986-11-05	6.02	6.02	5.94	5.94	231200.00
1986-11-06	5.94	5.98	5.73	5.90	434000.00
1986-11-07	5.90	5.98	5.85	5.87	517200.00
1986-11-10	5.90	5.90	5.77	5.85	503200.00
1986-11-11	5.90	5.98	5.81	5.98	142000.00
1986-11-12	5.98	6.04	5.94	6.00	669600.00
1986-11-13	5.98	6.02	5.60	5.60	578800.00
1986-11-14	5.56	5.64	5.48	5.60	806000.00
1986-11-17	5.60	5.64	5.52	5.60	734400.00
1986-11-18	5.64	5.64	5.48	5.52	605600.00
1986-11-19	5.56	5.60	5.48	5.56	495600.00
1986-11-20	5.56	5.69	5.56	5.69	828400.00
1986-11-21	5.73	6.02	5.69	5.98	666800.00
1986-11-24	5.90	6.19	5.90	6.10	715600.00
