Date	Close	High	Low	Open	Volume
	COSW	COSW	COSW	COSW	COSW
2025-10-23	47.75	47.86	47.35	47.63	8000
2025-10-24	47.13	48.19	47.11	48.19	7900
2025-10-27	46.96	47.19	46.75	47.14	10800
2025-10-28	46.66	47.42	46.43	47.42	4000
2025-10-29	45.99	47.06	45.82	47.06	6300
2025-10-30	46.42	46.54	45.91	46.35	2500
2025-10-31	45.96	46.40	45.80	46.07	10000
2025-11-03	47.07	47.07	46.01	46.39	3200
2025-11-04	47.56	47.64	47.08	47.31	4400
2025-11-05	47.35	47.64	47.16	47.56	2400
2025-11-06	46.53	47.64	46.19	47.64	1600
2025-11-07	46.44	47.32	46.44	47.32	4400
2025-11-10	46.22	46.47	45.87	46.47	3000
2025-11-11	46.12	46.21	46.07	46.21	3200
2025-11-12	46.09	46.19	45.97	45.97	2000
2025-11-13	46.72	46.88	45.53	45.53	2500
2025-11-14	46.58	47.08	46.18	46.18	6300
2025-11-17	45.93	46.52	45.86	46.24	6500
2025-11-18	44.97	46.06	44.82	45.99	5200
2025-11-19	44.57	44.57	43.64	44.29	8300
2025-11-20	44.74	45.31	44.74	45.31	2300
2025-11-21	46.96	46.96	44.78	45.06	594700
2025-11-24	44.31	44.89	44.18	44.89	6200
2025-11-25	44.88	44.88	43.99	43.99	7800
2025-11-26	45.71	45.86	45.21	45.21	2400
2025-11-28	45.96	45.96	45.53	45.53	2500
2025-12-01	45.88	46.18	45.61	46.17	4200
2025-12-02	46.47	46.47	45.38	45.38	1800
2025-12-03	46.46	46.56	46.21	46.28	1500
2025-12-04	44.81	45.10	44.43	45.10	12900
2025-12-05	44.70	45.31	44.70	44.83	4800
2025-12-08	44.26	44.43	44.08	44.43	6700
2025-12-09	44.30	44.30	43.99	44.25	5000
2025-12-10	43.65	44.12	43.34	44.12	2900
2025-12-11	44.12	44.28	43.32	43.59	25200
2025-12-12	44.10	44.21	42.92	44.18	18300
2025-12-15	42.69	44.40	42.17	44.40	13500
2025-12-16	42.70	42.70	41.77	42.59	5700
2025-12-17	42.79	43.09	42.66	42.89	3400
2025-12-18	42.41	42.80	42.30	42.80	6200
2025-12-19	42.40	42.40	42.05	42.32	39200
2025-12-22	41.94	42.27	41.90	42.27	7200
2025-12-23	42.25	42.25	41.97	42.00	8600
2025-12-24	43.23	43.49	42.98	42.99	4300
2025-12-26	43.30	43.46	43.23	43.44	8300
