Date	Close	High	Low	Open	Volume
	CPNG	CPNG	CPNG	CPNG	CPNG
2021-03-11	49.25	69.00	49.25	63.50	91584100
2021-03-12	48.47	52.76	46.25	52.54	30521000
2021-03-15	50.45	51.85	49.02	50.13	17387800
2021-03-16	47.13	50.77	46.70	50.59	14552400
2021-03-17	43.29	46.90	43.19	46.00	15251100
2021-03-18	43.89	45.45	42.70	43.55	15391100
2021-03-19	44.89	46.06	42.80	43.92	14452500
2021-03-22	44.86	46.03	44.29	45.29	4984000
2021-03-23	46.00	47.14	44.65	44.67	8656800
2021-03-24	43.79	46.60	43.30	46.00	8099900
2021-03-25	43.70	44.20	41.41	43.18	7532300
2021-03-26	43.53	45.35	42.52	44.04	4306800
2021-03-29	46.01	47.43	43.82	44.20	5340800
2021-03-30	48.75	48.75	45.92	45.92	4874000
2021-03-31	49.35	50.38	47.80	48.83	8033100
2021-04-01	47.31	50.50	46.60	49.81	4928700
2021-04-05	45.94	48.09	45.31	47.20	4607500
2021-04-06	46.57	46.95	45.50	45.70	2438700
2021-04-07	45.33	46.80	44.95	46.74	3608300
2021-04-08	45.58	46.11	44.06	45.50	4568900
2021-04-09	45.85	46.50	44.92	45.36	3974800
2021-04-12	45.22	46.02	44.40	45.85	3670900
2021-04-13	47.10	47.65	45.11	45.45	3570300
2021-04-14	45.71	47.49	45.25	47.00	3640700
2021-04-15	45.80	46.30	45.23	46.14	3121900
2021-04-16	45.90	46.12	45.47	45.80	2955500
2021-04-19	45.72	46.40	45.35	46.00	3329100
2021-04-20	42.62	45.79	42.01	45.40	8413200
2021-04-21	41.98	42.36	41.63	42.05	4004300
2021-04-22	42.81	45.22	41.78	42.50	7274800
2021-04-23	45.56	45.69	42.90	42.90	4596900
2021-04-26	45.67	46.00	44.32	46.00	1949700
2021-04-27	45.54	46.22	45.01	45.83	1873100
2021-04-28	43.71	45.91	43.58	45.90	2907900
2021-04-29	42.56	43.80	42.49	43.55	3217700
2021-04-30	41.90	42.74	41.85	42.56	3498700
2021-05-03	42.06	43.04	41.83	42.50	2607400
2021-05-04	41.49	41.96	40.15	41.78	3665400
2021-05-05	41.26	42.39	40.84	41.76	3249500
2021-05-06	40.23	41.35	39.33	41.26	3984900
2021-05-07	38.93	40.30	38.71	40.09	3080400
2021-05-10	37.07	39.00	36.88	38.93	5003100
2021-05-11	36.25	37.69	36.15	36.38	5418900
2021-05-12	35.33	37.27	34.97	36.51	7087000
2021-05-13	32.04	36.00	30.65	35.98	14661500
2021-05-14	36.43	36.60	31.37	32.96	11063300
2021-05-17	35.18	35.83	32.81	35.47	10345100
2021-05-18	37.25	37.38	35.50	36.46	6072800
2021-05-19	37.06	37.32	35.19	35.77	6752200
2021-05-20	38.74	38.97	36.68	37.15	5928000
2021-05-21	38.01	39.35	37.81	39.35	2757000
2021-05-24	40.50	40.90	38.35	39.16	6524800
2021-05-25	40.14	41.10	38.29	41.08	4784300
2021-05-26	41.80	41.90	38.89	40.20	5014000
2021-05-27	41.00	41.78	40.62	41.65	3977100
2021-05-28	40.79	41.50	40.75	41.00	2304700
2021-06-01	41.31	42.12	41.20	41.20	2483600
2021-06-02	40.84	41.67	40.56	41.00	2918700
2021-06-03	39.52	40.56	39.27	40.35	2210000
2021-06-04	38.89	39.95	38.83	39.52	2867900
2021-06-07	38.58	39.00	38.18	38.93	2556700
2021-06-08	38.19	39.42	37.94	38.62	3295200
2021-06-09	37.78	38.50	37.74	38.10	2079400
2021-06-10	38.06	38.43	37.60	37.71	2972700
2021-06-11	38.60	39.31	38.06	38.06	3465300
2021-06-14	38.51	39.44	38.36	38.80	2219700
2021-06-15	38.82	38.88	37.95	38.65	3200500
2021-06-16	38.67	39.09	38.30	38.81	2964300
2021-06-17	39.73	39.80	38.32	38.34	4137400
2021-06-18	39.41	40.18	38.92	39.04	3553700
2021-06-21	39.44	39.50	37.88	39.00	2835400
2021-06-22	40.02	40.60	38.90	39.18	5641600
2021-06-23	39.64	40.04	39.15	40.04	5327400
2021-06-24	38.17	40.50	38.04	39.99	4148400
2021-06-25	37.40	38.64	37.33	38.50	4240300
2021-06-28	38.25	38.29	37.25	37.68	4885600
2021-06-29	42.16	44.19	38.45	38.54	10531200
2021-06-30	41.82	44.48	41.23	41.70	6292400
2021-07-01	41.52	42.13	40.74	42.13	2685300
2021-07-02	40.46	41.42	40.10	41.19	2931000
2021-07-06	39.95	41.33	39.85	40.61	3185100
2021-07-07	40.03	40.51	39.10	40.50	3230800
2021-07-08	40.00	40.47	38.95	39.00	2496900
2021-07-09	42.13	42.88	40.02	40.90	3722300
2021-07-12	43.08	43.63	41.65	42.20	3166000
2021-07-13	44.54	46.00	42.44	42.51	6926500
2021-07-14	44.06	45.53	43.84	44.33	3968600
2021-07-15	42.25	44.47	41.82	43.56	5791400
2021-07-16	40.19	42.04	39.95	41.40	7221400
2021-07-19	39.90	40.03	38.75	39.45	3342400
2021-07-20	38.83	40.30	38.55	40.00	3922400
2021-07-21	39.65	40.18	39.23	39.47	3144400
2021-07-22	38.56	39.68	38.43	39.67	3273800
2021-07-23	38.61	39.55	37.65	39.47	3718400
2021-07-26	37.19	38.42	36.76	38.30	6039600
2021-07-27	37.54	38.06	36.62	36.66	3851600
2021-07-28	38.39	38.95	37.69	38.27	3119000
2021-07-29	37.57	38.59	36.90	38.02	3684900
2021-07-30	36.32	37.34	35.75	37.25	4890500
2021-08-02	36.74	37.91	36.02	36.52	4999000
2021-08-03	38.03	38.03	36.24	36.50	4856200
2021-08-04	39.37	40.12	37.88	37.94	5069500
2021-08-05	40.06	40.11	38.46	38.72	3621900
2021-08-06	38.80	40.38	38.71	39.70	3807400
2021-08-09	39.49	39.86	38.32	38.40	3379600
2021-08-10	36.70	39.84	36.34	39.73	7948400
2021-08-11	37.20	37.55	36.16	36.30	8563000
2021-08-12	34.13	35.06	33.89	34.25	21287700
2021-08-13	33.87	36.49	33.01	34.65	41979600
2021-08-16	33.22	33.85	32.46	33.79	15174000
2021-08-17	33.63	33.95	32.22	33.03	8512800
2021-08-18	32.37	33.64	32.37	33.00	13769200
2021-08-19	31.73	32.78	31.61	32.29	8626000
2021-08-20	31.29	32.13	30.71	31.80	17175700
2021-08-23	30.55	31.82	30.18	31.80	14470400
2021-08-24	31.78	32.10	30.43	30.70	14771200
2021-08-25	30.86	32.00	30.75	32.00	9521500
2021-08-26	30.93	31.64	30.56	30.92	10263200
2021-08-27	29.99	30.91	29.94	30.75	9171700
2021-08-30	30.09	30.20	28.96	29.99	11457800
2021-08-31	29.96	30.38	29.70	30.00	6680600
2021-09-01	31.29	31.50	29.55	30.00	12248700
2021-09-02	29.85	31.43	29.83	31.38	10261500
2021-09-03	29.65	30.03	29.20	30.00	11333500
2021-09-07	32.55	32.79	29.59	29.99	24625600
2021-09-08	31.35	32.88	31.05	31.63	16975600
2021-09-09	30.25	31.59	30.22	31.12	7847100
2021-09-10	29.98	31.19	29.94	30.52	5875400
2021-09-13	30.52	30.88	29.93	30.10	6692800
2021-09-14	29.87	30.20	28.98	30.19	29353100
2021-09-15	29.39	29.88	28.85	29.80	11843200
2021-09-16	29.41	29.47	28.86	29.32	6920300
2021-09-17	29.72	29.99	28.99	29.35	12852800
2021-09-20	29.14	29.48	28.91	29.14	9159800
2021-09-21	28.87	29.43	28.67	29.21	5894700
2021-09-22	28.45	29.13	28.29	28.70	7657200
2021-09-23	29.07	29.33	28.30	28.57	8867500
2021-09-24	28.31	29.08	28.19	28.78	7110300
2021-09-27	28.79	28.80	27.78	28.25	8903100
2021-09-28	28.11	29.11	27.81	28.70	8531700
2021-09-29	28.23	28.49	27.95	28.22	9289200
2021-09-30	27.85	28.45	27.56	28.35	7316200
2021-10-01	27.22	28.00	26.89	27.92	10389300
2021-10-04	26.05	26.97	25.75	26.96	14481700
2021-10-05	27.03	27.05	25.88	26.17	7396600
2021-10-06	26.65	27.14	26.50	26.59	3390100
2021-10-07	27.51	27.59	26.84	26.84	6075700
2021-10-08	28.10	28.45	27.59	27.59	6162600
2021-10-11	26.76	28.15	26.72	28.15	5707800
2021-10-12	26.18	27.04	26.03	26.67	9000300
2021-10-13	26.44	26.69	26.05	26.17	5152500
2021-10-14	27.26	27.32	26.44	26.64	5547300
2021-10-15	27.59	27.60	27.19	27.50	3988500
2021-10-18	27.55	27.59	27.02	27.54	4722000
2021-10-19	28.43	28.47	27.72	27.75	4598700
2021-10-20	28.83	28.94	28.26	28.46	7822300
2021-10-21	29.15	29.27	28.46	28.85	12063600
2021-10-22	29.00	29.29	28.70	29.04	14085700
2021-10-25	29.24	29.28	28.71	28.93	5940200
2021-10-26	29.86	29.88	29.30	29.30	7441000
2021-10-27	29.63	30.00	29.40	29.80	14020700
2021-10-28	29.82	29.92	29.55	29.56	8053600
2021-10-29	29.76	29.92	29.57	29.62	5106900
2021-11-01	30.23	30.25	29.63	29.68	4464000
2021-11-02	30.14	30.33	29.69	30.29	8486800
2021-11-03	30.40	30.50	29.88	30.01	3473800
2021-11-04	30.45	30.94	29.75	30.35	8256800
2021-11-05	29.93	30.52	29.76	29.92	5184800
2021-11-08	30.19	30.46	29.58	29.58	4225000
2021-11-09	29.70	30.25	29.32	30.10	6283800
2021-11-10	29.86	30.02	29.32	29.55	7952400
2021-11-11	29.19	30.38	28.42	30.16	10745600
2021-11-12	26.58	28.05	26.43	27.81	15498100
2021-11-15	28.15	28.26	26.58	26.72	7563300
2021-11-16	29.79	30.03	28.08	28.09	12848600
2021-11-17	28.34	29.67	28.33	29.65	6524300
2021-11-18	27.42	28.36	27.35	28.36	5221200
2021-11-19	27.16	28.01	27.12	27.47	6262900
2021-11-22	26.51	27.59	26.06	27.50	4956100
2021-11-23	25.69	26.60	25.38	26.57	5868900
2021-11-24	26.78	26.78	25.25	25.42	5131900
2021-11-26	27.39	27.80	26.52	26.63	3902100
2021-11-29	26.95	27.39	26.28	27.36	6611600
2021-11-30	26.50	27.06	25.68	26.50	10151200
2021-12-01	26.00	27.26	26.00	26.65	8738900
2021-12-02	26.15	26.19	25.06	25.94	9392600
2021-12-03	26.55	26.74	25.98	26.12	10389900
2021-12-06	26.07	26.07	25.50	26.05	9687800
2021-12-07	27.36	27.87	26.24	26.25	7268900
2021-12-08	28.05	28.15	26.89	27.37	4503800
2021-12-09	27.52	28.42	27.35	28.05	4535600
2021-12-10	26.76	27.36	26.55	27.36	4811700
2021-12-13	27.24	27.28	26.25	26.76	5347600
2021-12-14	27.36	27.78	26.65	27.08	6587300
2021-12-15	26.82	27.12	25.74	26.89	17396700
2021-12-16	26.97	27.25	26.75	26.95	6370000
2021-12-17	29.15	29.26	26.57	26.73	15053600
2021-12-20	28.17	28.78	28.13	28.47	5287700
2021-12-21	29.99	30.01	28.40	28.58	7887700
2021-12-22	29.49	30.58	28.89	29.80	9666600
2021-12-23	30.23	30.51	29.45	29.47	5980700
2021-12-27	29.42	30.65	29.41	30.00	4822900
2021-12-28	29.52	29.93	29.03	29.40	5116400
2021-12-29	28.93	29.85	28.88	29.65	4379800
2021-12-30	29.58	30.09	28.72	28.75	4143800
2021-12-31	29.38	30.23	29.34	29.66	3890800
2022-01-03	28.72	29.65	28.41	29.65	4278100
2022-01-04	26.41	28.70	26.38	28.57	11873200
2022-01-05	25.61	26.82	25.39	26.70	9257300
2022-01-06	25.66	25.89	24.51	25.51	7126900
2022-01-07	25.97	26.30	25.55	25.63	6481700
2022-01-10	24.12	25.63	22.88	25.56	16072900
2022-01-11	25.05	25.09	23.88	23.88	7363900
2022-01-12	23.44	25.48	23.38	25.14	10391600
2022-01-13	22.42	23.56	22.27	23.49	10094100
2022-01-14	21.21	22.33	20.71	22.14	14656700
2022-01-18	20.61	21.38	20.19	20.80	9832000
2022-01-19	20.49	21.36	20.49	20.70	10710700
2022-01-20	19.99	21.03	19.95	21.00	11526800
2022-01-21	18.10	19.94	18.07	19.90	11919100
2022-01-24	18.35	18.38	16.61	16.88	17235800
2022-01-25	18.74	18.77	17.81	17.88	13587500
2022-01-26	18.85	19.22	18.58	19.05	15881300
2022-01-27	18.99	19.20	18.61	18.90	15846600
2022-01-28	18.92	19.16	18.11	18.90	14162100
2022-01-31	20.82	20.83	19.22	19.29	10983100
2022-02-01	21.30	21.34	20.45	20.53	11573500
2022-02-02	21.03	21.50	20.26	21.50	10301900
2022-02-03	19.99	20.54	19.96	20.40	8976100
2022-02-04	20.84	20.92	19.76	20.24	7153400
2022-02-07	20.90	21.34	20.58	20.88	7537800
2022-02-08	21.55	21.60	20.87	20.98	4712500
2022-02-09	22.50	22.53	21.82	21.88	5428500
2022-02-10	23.19	23.35	21.80	21.88	12782100
2022-02-11	22.55	23.59	22.41	22.78	10404800
2022-02-14	22.86	23.09	21.96	22.21	5393000
2022-02-15	23.68	23.70	23.02	23.30	4981500
2022-02-16	23.14	23.50	22.76	23.48	7222600
2022-02-17	23.27	23.75	23.12	23.37	6600700
2022-02-18	22.99	23.40	22.67	23.28	12975800
2022-02-22	21.93	22.79	21.09	22.45	16962600
2022-02-23	22.64	23.36	22.00	22.00	12311700
2022-02-24	23.64	23.97	21.25	21.30	13316400
2022-02-25	25.00	25.00	23.18	23.18	13532400
2022-02-28	26.52	26.74	24.66	24.92	14578200
2022-03-01	25.46	27.12	25.27	26.44	10973700
2022-03-02	25.41	25.73	24.76	25.73	8348800
2022-03-03	25.47	26.56	23.65	25.10	16151300
2022-03-04	21.10	24.96	20.94	24.80	18254800
2022-03-07	19.72	21.23	19.14	21.10	12657200
2022-03-08	20.54	20.89	18.66	19.53	10024000
2022-03-09	22.70	23.35	21.32	21.90	10945200
2022-03-10	18.94	20.00	17.82	19.91	32862600
2022-03-11	17.42	19.49	17.19	19.33	18911500
2022-03-14	16.12	17.49	15.92	17.04	17621600
2022-03-15	15.45	16.96	15.27	16.07	30197600
2022-03-16	18.09	18.12	15.82	16.00	40631500
2022-03-17	19.20	19.25	17.40	17.68	19894800
2022-03-18	19.24	19.92	18.49	18.63	16537600
2022-03-21	18.85	19.66	18.21	18.97	9306800
2022-03-22	19.70	20.03	19.17	19.25	9879100
2022-03-23	19.84	20.51	19.02	19.64	6946200
2022-03-24	18.92	20.00	18.69	19.75	9332300
2022-03-25	17.70	18.80	17.24	18.75	17566900
2022-03-28	17.75	18.49	17.36	17.99	8597300
2022-03-29	18.98	19.15	18.01	18.15	10068300
2022-03-30	18.71	19.17	18.32	18.52	6165900
2022-03-31	17.68	18.83	17.65	18.82	5296200
2022-04-01	18.37	18.83	17.84	18.12	5107800
2022-04-04	18.94	19.50	18.55	18.70	6712300
2022-04-05	18.31	18.90	17.71	18.90	7981500
2022-04-06	18.53	18.57	17.86	18.00	8283700
2022-04-07	17.75	18.76	17.17	18.42	6828200
2022-04-08	17.79	18.48	17.67	18.00	6218900
2022-04-11	17.24	17.90	16.97	17.45	4717500
2022-04-12	16.96	17.88	16.92	17.53	5677300
2022-04-13	17.32	17.51	16.79	16.99	4618900
2022-04-14	16.88	17.35	16.74	17.22	4087600
2022-04-18	16.42	16.79	16.09	16.76	4579100
2022-04-19	16.81	16.99	16.17	16.22	3557700
2022-04-20	15.82	16.69	15.79	16.63	8068900
2022-04-21	14.43	16.17	14.42	15.92	11575000
2022-04-22	14.07	14.90	13.99	14.60	7665000
2022-04-25	14.26	14.46	13.96	14.07	8541400
2022-04-26	13.19	14.28	13.15	14.18	8257600
2022-04-27	13.12	13.74	13.06	13.16	9938800
2022-04-28	13.63	13.74	13.02	13.33	6285600
2022-04-29	12.87	14.15	12.82	13.72	7750300
2022-05-02	13.90	13.92	12.75	12.90	7758400
2022-05-03	13.53	14.16	13.37	13.62	5911200
2022-05-04	13.37	13.39	12.34	13.35	15004700
2022-05-05	11.99	12.98	11.91	12.94	11488600
2022-05-06	12.04	13.00	11.59	12.15	16471900
2022-05-09	9.35	11.72	9.08	11.60	23036000
2022-05-10	10.58	10.79	10.02	10.06	25170400
2022-05-11	9.67	10.84	8.98	10.45	30434800
2022-05-12	11.46	13.30	9.86	10.99	43279800
2022-05-13	13.34	13.65	12.01	12.04	30865400
2022-05-16	12.63	13.39	12.57	13.07	15179900
2022-05-17	13.17	13.45	12.44	12.97	10307800
2022-05-18	13.06	14.30	12.66	12.87	14158000
2022-05-19	12.95	13.67	12.69	12.99	10350400
2022-05-20	13.00	13.50	12.46	13.41	11750100
2022-05-23	13.80	13.80	12.68	12.80	12548300
2022-05-24	12.89	13.57	12.63	13.39	10865300
2022-05-25	13.40	13.56	12.86	12.93	8858200
2022-05-26	13.35	13.93	13.26	13.36	10399100
2022-05-27	13.41	13.85	13.00	13.49	12056700
2022-05-31	13.51	14.04	13.42	13.58	7477700
2022-06-01	12.90	14.02	12.81	13.62	7101200
2022-06-02	13.18	13.35	12.74	12.85	7429900
2022-06-03	12.64	12.96	12.20	12.96	8640300
2022-06-06	12.79	13.15	12.60	12.99	6036600
