Date	Close	High	Low	Open	Volume
	CSL	CSL	CSL	CSL	CSL
1973-02-21	0.35	0.35	0.35	0.35	64000
1973-02-22	0.35	0.35	0.35	0.35	22400
1973-02-23	0.35	0.35	0.35	0.35	22400
1973-02-26	0.34	0.35	0.34	0.35	51200
1973-02-27	0.34	0.34	0.34	0.34	25600
1973-02-28	0.33	0.34	0.33	0.34	70400
1973-03-01	0.33	0.33	0.33	0.33	57600
1973-03-02	0.33	0.33	0.33	0.33	12800
1973-03-05	0.33	0.33	0.33	0.33	16000
1973-03-06	0.35	0.35	0.34	0.34	70400
1973-03-07	0.34	0.34	0.34	0.34	19200
1973-03-08	0.34	0.34	0.34	0.34	16000
1973-03-09	0.34	0.34	0.34	0.34	28800
1973-03-12	0.33	0.34	0.33	0.34	38400
1973-03-13	0.33	0.33	0.33	0.33	19200
1973-03-14	0.33	0.33	0.33	0.33	0
1973-03-15	0.33	0.34	0.33	0.33	16000
1973-03-16	0.33	0.33	0.33	0.33	9600
1973-03-19	0.33	0.33	0.33	0.33	16000
1973-03-20	0.33	0.33	0.33	0.33	16000
1973-03-21	0.32	0.33	0.32	0.33	35200
1973-03-22	0.31	0.32	0.31	0.32	16000
1973-03-23	0.31	0.31	0.31	0.31	41600
1973-03-26	0.32	0.32	0.32	0.32	41600
1973-03-27	0.32	0.32	0.32	0.32	3200
1973-03-28	0.32	0.32	0.32	0.32	32000
1973-03-29	0.32	0.32	0.32	0.32	41600
1973-03-30	0.31	0.32	0.31	0.32	41600
1973-04-02	0.32	0.32	0.32	0.32	19200
1973-04-03	0.31	0.32	0.31	0.32	41600
1973-04-04	0.30	0.31	0.30	0.31	41600
1973-04-05	0.30	0.30	0.30	0.30	28800
1973-04-06	0.31	0.31	0.30	0.30	22400
1973-04-09	0.31	0.31	0.31	0.31	9600
1973-04-10	0.31	0.31	0.31	0.31	35200
1973-04-11	0.32	0.32	0.31	0.31	57600
1973-04-12	0.33	0.33	0.32	0.32	38400
1973-04-13	0.34	0.34	0.33	0.33	73600
1973-04-16	0.34	0.34	0.34	0.34	25600
1973-04-17	0.34	0.34	0.34	0.34	12800
1973-04-18	0.34	0.34	0.34	0.34	16000
1973-04-19	0.34	0.34	0.34	0.34	9600
1973-04-23	0.33	0.34	0.33	0.34	38400
1973-04-24	0.33	0.34	0.33	0.33	60800
1973-04-25	0.33	0.33	0.33	0.33	44800
1973-04-26	0.33	0.33	0.33	0.33	3200
1973-04-27	0.32	0.32	0.32	0.32	9600
1973-04-30	0.32	0.32	0.32	0.32	44800
1973-05-01	0.32	0.32	0.32	0.32	12800
1973-05-02	0.32	0.32	0.32	0.32	0
1973-05-03	0.31	0.32	0.31	0.32	16000
1973-05-04	0.32	0.32	0.31	0.31	41600
1973-05-07	0.33	0.33	0.33	0.33	35200
1973-05-08	0.33	0.33	0.33	0.33	16000
1973-05-09	0.32	0.32	0.32	0.32	6400
1973-05-10	0.32	0.32	0.32	0.32	22400
1973-05-11	0.32	0.32	0.31	0.32	12800
1973-05-14	0.30	0.31	0.30	0.31	51200
1973-05-15	0.30	0.30	0.30	0.30	6400
1973-05-16	0.30	0.30	0.30	0.30	80000
1973-05-17	0.29	0.30	0.29	0.30	48000
1973-05-18	0.28	0.29	0.28	0.29	54400
1973-05-21	0.27	0.28	0.27	0.28	80000
1973-05-22	0.27	0.27	0.27	0.27	32000
1973-05-23	0.27	0.27	0.27	0.27	28800
1973-05-24	0.26	0.27	0.26	0.27	57600
1973-05-25	0.27	0.27	0.26	0.26	22400
1973-05-29	0.27	0.28	0.27	0.27	16000
1973-05-30	0.27	0.27	0.27	0.27	6400
1973-05-31	0.27	0.27	0.27	0.27	12800
1973-06-01	0.27	0.27	0.27	0.27	0
1973-06-04	0.25	0.26	0.25	0.26	60800
1973-06-05	0.25	0.25	0.25	0.25	22400
