Date	Open	High	Low	Close	Volume
2014-10-23	19.59	19.73	19.59	19.72	7400.00
2014-10-24	19.63	19.67	19.63	19.67	15200.00
2014-10-27	19.54	19.54	19.54	19.54	300.00
2014-10-28	19.87	19.92	19.87	19.92	3800.00
2014-10-29	20.04	20.05	20.04	20.05	13600.00
2014-10-30	19.83	19.83	19.83	19.83	100.00
2014-10-31	19.91	20.11	19.91	20.11	10100.00
2014-11-03	20.34	20.34	20.34	20.34	200.00
2014-11-04	19.91	19.91	19.91	19.91	2500.00
2014-11-05	20.02	20.02	20.02	20.02	300.00
2014-11-06	19.96	19.96	19.96	19.96	200.00
2014-11-07	19.88	19.88	19.88	19.88	100.00
2014-11-10	19.88	19.88	19.88	19.88	0.00
2014-11-11	20.12	20.12	20.12	20.12	200.00
2014-11-12	19.72	19.72	19.72	19.72	1000.00
2014-11-13	19.72	19.72	19.72	19.72	0.00
2014-11-14	19.72	19.72	19.72	19.72	0.00
2014-11-17	19.72	19.72	19.72	19.72	0.00
2014-11-18	20.76	20.76	20.30	20.45	2200.00
2014-11-19	20.46	20.46	20.46	20.46	200.00
2014-11-20	20.46	20.46	20.46	20.46	0.00
2014-11-21	20.72	20.72	20.66	20.69	1000.00
2014-11-24	21.35	21.35	20.94	20.97	3500.00
2014-11-25	21.16	21.16	21.16	21.16	200.00
2014-11-26	21.29	21.31	21.29	21.31	400.00
2014-11-28	21.34	21.34	21.34	21.34	100.00
2014-12-01	21.87	21.87	21.37	21.37	300.00
2014-12-02	21.20	21.20	21.20	21.20	100.00
2014-12-03	21.15	21.15	21.15	21.15	400.00
2014-12-04	21.10	21.10	21.05	21.05	300.00
2014-12-05	22.65	22.65	21.29	21.29	300.00
2014-12-08	21.16	21.16	21.16	21.16	100.00
2014-12-09	20.93	20.93	20.93	20.93	200.00
2014-12-10	20.96	20.96	20.82	20.82	1100.00
2014-12-11	20.86	20.86	20.86	20.86	100.00
2014-12-12	20.62	20.62	20.62	20.62	200.00
2014-12-15	19.05	20.04	19.05	20.01	500.00
2014-12-16	20.20	20.49	20.20	20.49	700.00
2014-12-17	20.50	20.50	20.38	20.38	600.00
2014-12-18	20.69	20.69	20.69	20.69	1100.00
2014-12-19	20.65	20.65	20.65	20.65	100.00
2014-12-22	20.76	20.78	20.76	20.78	300.00
2014-12-23	20.78	20.79	20.78	20.79	400.00
2014-12-24	20.86	20.86	20.82	20.82	200.00
2014-12-26	20.89	20.89	20.77	20.77	500.00
2014-12-29	20.68	20.73	20.68	20.73	1200.00
2014-12-30	20.43	20.43	20.43	20.43	100.00
2014-12-31	20.43	20.43	20.43	20.43	0.00
2015-01-02	20.43	20.43	20.43	20.43	0.00
2015-01-05	20.19	20.19	19.43	19.43	2700.00
2015-01-06	19.43	19.43	19.43	19.43	0.00
2015-01-07	19.43	19.43	19.43	19.43	100.00
2015-01-08	19.87	19.98	19.87	19.98	1200.00
2015-01-09	19.98	19.98	19.98	19.98	0.00
2015-01-12	20.30	20.30	19.75	19.87	1900.00
2015-01-13	20.16	20.18	19.94	19.94	1800.00
