Date	Close	High	Low	Open	Volume
	DAY	DAY	DAY	DAY	DAY
2018-04-26	31.21	31.75	28.65	28.90	13590200
2018-04-27	30.52	31.50	29.68	30.95	1744900
2018-04-30	31.58	32.00	30.21	30.76	638900
2018-05-01	31.48	32.40	31.26	31.42	858600
2018-05-02	32.75	33.65	31.48	31.48	845500
2018-05-03	33.79	34.43	32.53	32.63	1807900
2018-05-04	34.09	34.89	33.80	33.88	679600
2018-05-07	33.99	34.70	33.90	34.09	325600
2018-05-08	32.95	34.77	32.46	34.48	413900
2018-05-09	33.47	34.25	33.04	33.13	466700
2018-05-10	33.13	33.87	32.83	33.59	731600
2018-05-11	34.38	34.63	33.17	33.32	241900
2018-05-14	36.48	37.13	33.36	34.50	868300
2018-05-15	36.95	37.31	36.46	36.61	565800
2018-05-16	37.20	37.41	35.74	37.41	219200
2018-05-17	38.33	38.41	36.66	37.20	826700
2018-05-18	36.82	38.87	36.52	38.44	615800
2018-05-21	35.16	36.62	34.80	36.43	909300
2018-05-22	34.32	35.92	33.20	35.08	335500
2018-05-23	33.97	34.50	33.76	34.14	405300
2018-05-24	33.71	34.31	33.53	34.11	397100
2018-05-25	33.60	33.87	33.22	33.57	256900
2018-05-29	34.24	34.34	33.00	33.40	218100
2018-05-30	34.67	34.75	33.79	34.23	546100
2018-05-31	34.52	35.00	34.28	34.63	361000
2018-06-01	34.53	35.01	34.01	35.01	414400
2018-06-04	35.96	36.26	34.39	34.44	521200
2018-06-05	36.35	36.68	35.95	35.97	319400
2018-06-06	38.16	38.64	36.56	36.56	307200
2018-06-07	37.11	38.85	36.68	38.27	782500
2018-06-08	37.40	37.65	35.95	36.47	666200
2018-06-11	36.49	38.23	36.27	37.83	408500
2018-06-12	37.62	37.82	36.39	36.48	508300
2018-06-13	37.66	37.83	37.23	37.53	641200
2018-06-14	38.19	41.02	35.40	37.46	1771500
2018-06-15	38.45	38.86	37.26	38.15	1402700
2018-06-18	39.78	42.46	38.34	38.36	1646100
2018-06-19	37.20	39.62	37.00	39.26	602300
