Date	Close	High	Low	Open	Volume
	DD	DD	DD	DD	DD
1972-06-01	0.45	0.45	0.44	0.44	178334
1972-06-02	0.45	0.45	0.45	0.45	544071
1972-06-05	0.45	0.45	0.45	0.45	229719
1972-06-06	0.45	0.45	0.45	0.45	184380
1972-06-07	0.44	0.45	0.44	0.45	290171
1972-06-08	0.44	0.44	0.44	0.44	785881
1972-06-09	0.43	0.44	0.43	0.44	556162
1972-06-12	0.44	0.44	0.43	0.43	435257
1972-06-13	0.44	0.44	0.44	0.44	486641
1972-06-14	0.45	0.45	0.44	0.44	402008
1972-06-15	0.45	0.46	0.45	0.45	1671507
1972-06-16	0.45	0.45	0.45	0.45	129973
1972-06-19	0.45	0.45	0.45	0.45	380850
1972-06-20	0.45	0.45	0.45	0.45	136018
1972-06-21	0.45	0.45	0.45	0.45	269013
1972-06-22	0.45	0.45	0.45	0.45	175312
1972-06-23	0.45	0.45	0.44	0.45	253900
1972-06-26	0.44	0.45	0.44	0.45	178334
1972-06-27	0.44	0.44	0.44	0.44	284126
1972-06-28	0.44	0.44	0.44	0.44	577320
1972-06-29	0.44	0.44	0.44	0.44	123927
1972-06-30	0.44	0.44	0.44	0.44	770767
1972-07-03	0.44	0.44	0.44	0.44	66498
1972-07-05	0.44	0.44	0.44	0.44	139040
1972-07-06	0.45	0.45	0.45	0.45	453393
1972-07-07	0.45	0.45	0.45	0.45	456415
1972-07-10	0.45	0.45	0.44	0.45	166244
1972-07-11	0.44	0.45	0.44	0.45	166244
1972-07-12	0.44	0.44	0.44	0.44	958170
1972-07-13	0.43	0.44	0.43	0.44	223674
1972-07-14	0.43	0.43	0.43	0.43	181357
1972-07-17	0.42	0.43	0.42	0.43	347601
1972-07-18	0.43	0.43	0.42	0.42	259945
1972-07-19	0.43	0.44	0.43	0.43	208561
1972-07-20	0.43	0.44	0.43	0.43	1429698
1972-07-21	0.43	0.43	0.43	0.43	187402
1972-07-24	0.43	0.43	0.43	0.43	259945
1972-07-25	0.43	0.43	0.43	0.43	961192
1972-07-26	0.43	0.43	0.43	0.43	438280
1972-07-27	0.43	0.44	0.43	0.43	232742
1972-07-28	0.43	0.44	0.43	0.43	184380
1972-07-31	0.44	0.44	0.43	0.43	314352
1972-08-01	0.44	0.44	0.43	0.44	933989
