Date	Close	High	Low	Open	Volume
	DGX	DGX	DGX	DGX	DGX
1996-12-17	2.50	2.68	2.50	2.68	1272400
1996-12-18	2.55	2.57	2.37	2.50	1186800
1996-12-19	2.61	2.66	2.57	2.57	528800
1996-12-20	2.66	2.66	2.59	2.59	233200
1996-12-23	2.73	2.75	2.66	2.68	57200
1996-12-24	2.79	2.79	2.75	2.75	14000
1996-12-26	2.73	2.82	2.73	2.79	22000
1996-12-27	2.73	2.73	2.73	2.73	800
1996-12-30	2.70	2.75	2.70	2.75	28400
1996-12-31	2.70	2.70	2.68	2.68	15600
1997-01-02	2.61	2.68	2.61	2.68	710000
1997-01-03	2.68	2.70	2.61	2.61	1579600
1997-01-06	2.70	2.73	2.68	2.70	2490800
1997-01-07	2.86	2.86	2.70	2.73	641200
1997-01-08	2.88	2.99	2.88	2.91	336000
1997-01-09	2.91	2.93	2.88	2.88	459200
1997-01-10	2.93	2.95	2.91	2.93	812800
1997-01-13	2.91	2.93	2.86	2.93	3370000
1997-01-14	3.17	3.17	2.99	3.02	2018000
1997-01-15	2.93	3.11	2.93	3.08	2648400
1997-01-16	2.86	2.91	2.84	2.86	2926000
1997-01-17	2.88	2.91	2.84	2.86	1323600
1997-01-20	2.84	2.88	2.84	2.86	2368400
1997-01-21	2.86	2.88	2.86	2.86	2347200
1997-01-22	2.86	2.88	2.86	2.88	2797600
1997-01-23	2.93	2.97	2.91	2.91	1058800
1997-01-24	2.88	3.06	2.88	2.93	1254800
1997-01-27	2.88	2.93	2.88	2.88	1658000
1997-01-28	2.86	2.99	2.86	2.88	1005600
1997-01-29	2.86	2.93	2.84	2.86	1512000
1997-01-30	2.86	2.91	2.84	2.86	2211200
1997-01-31	2.82	2.86	2.79	2.82	1540400
1997-02-03	2.91	2.91	2.79	2.82	1889600
1997-02-04	2.95	2.95	2.88	2.91	1865600
1997-02-05	2.97	2.97	2.93	2.95	458400
1997-02-06	2.95	2.97	2.95	2.95	643600
1997-02-07	2.99	3.02	2.93	2.95	2542800
1997-02-10	2.95	2.97	2.93	2.95	944000
1997-02-11	2.95	2.97	2.91	2.91	772000
1997-02-12	2.93	2.95	2.91	2.93	400400
1997-02-13	3.02	3.06	2.93	2.93	1190800
1997-02-14	2.95	3.02	2.93	3.02	1210800
1997-02-18	2.95	2.97	2.91	2.91	2076800
1997-02-19	2.97	2.99	2.93	2.93	830800
1997-02-20	3.02	3.13	2.95	2.95	1074000
1997-02-21	3.04	3.06	2.99	3.02	638800
1997-02-24	3.15	3.15	3.04	3.04	1108000
1997-02-25	3.17	3.20	3.13	3.15	462000
1997-02-26	3.11	3.15	3.08	3.13	525600
1997-02-27	3.06	3.17	3.04	3.08	854800
