Date	Open	High	Low	Close	Volume
1995-05-09	2.91	3.19	2.91	3.11	2629321.00
1995-05-10	3.19	3.39	3.19	3.31	4705896.00
1995-05-11	3.31	3.43	3.31	3.39	3039098.00
1995-05-12	3.39	3.43	3.35	3.35	1584909.00
1995-05-15	3.35	3.39	3.35	3.35	1119421.00
1995-05-16	3.35	3.39	3.31	3.35	1203826.00
1995-05-17	3.35	3.35	3.23	3.27	1458888.00
1995-05-18	3.27	3.35	3.27	3.31	420349.00
1995-05-19	3.35	3.35	3.27	3.31	414476.00
1995-05-22	3.47	3.63	3.43	3.55	1283868.00
1995-05-23	3.51	3.63	3.47	3.59	1303502.00
1995-05-24	3.59	3.59	3.51	3.51	989708.00
1995-05-25	3.51	3.51	3.39	3.43	510628.00
1995-05-26	3.47	3.47	3.43	3.47	613659.00
1995-05-30	3.43	3.63	3.35	3.55	1501510.00
1995-05-31	3.47	3.59	3.43	3.51	2194037.00
1995-06-01	3.47	3.51	3.39	3.47	1504531.00
1995-06-02	3.43	3.47	3.39	3.43	834657.00
1995-06-05	3.43	3.55	3.39	3.51	3204050.00
1995-06-06	3.47	3.55	3.47	3.51	2015158.00
1995-06-07	3.51	3.59	3.47	3.51	1190066.00
1995-06-08	3.51	3.63	3.51	3.55	1448149.00
1995-06-09	3.51	3.59	3.51	3.51	1782918.00
1995-06-12	3.55	3.55	3.51	3.51	2554648.00
1995-06-13	3.47	3.55	3.47	3.55	1734422.00
1995-06-14	3.51	3.59	3.51	3.55	1136201.00
1995-06-15	3.55	3.67	3.55	3.59	1744826.00
1995-06-16	3.59	3.63	3.55	3.55	1245609.00
1995-06-19	3.55	3.63	3.51	3.63	1539098.00
1995-06-20	3.59	3.67	3.55	3.59	2288343.00
1995-06-21	3.59	3.59	3.47	3.47	1784260.00
1995-06-22	3.47	3.51	3.39	3.43	2418056.00
1995-06-23	3.47	3.59	3.47	3.47	1266417.00
1995-06-26	3.47	3.55	3.43	3.43	1429858.00
1995-06-27	3.43	3.59	3.43	3.55	1263900.00
1995-06-28	3.47	3.59	3.47	3.59	1961125.00
1995-06-29	3.51	3.63	3.51	3.55	1098109.00
1995-06-30	3.59	3.59	3.47	3.47	1102137.00
1995-07-03	3.43	3.51	3.43	3.51	299866.00
1995-07-05	3.47	3.59	3.47	3.55	938528.00
1995-07-06	3.55	3.59	3.47	3.47	1517116.00
1995-07-07	3.47	3.59	3.39	3.55	1615785.00
1995-07-10	3.51	3.55	3.43	3.43	627251.00
1995-07-11	3.39	3.51	3.39	3.43	1358877.00
1995-07-12	3.43	3.43	3.35	3.35	1030317.00
1995-07-13	3.31	3.35	3.23	3.35	2453798.00
1995-07-14	3.27	3.35	3.23	3.35	1149961.00
1995-07-17	3.35	3.39	3.31	3.31	947421.00
1995-07-18	3.31	3.39	3.31	3.35	4018067.00
1995-07-19	3.35	3.35	3.27	3.31	1287728.00
1995-07-20	3.31	3.35	3.27	3.31	1097103.00
1995-07-21	3.31	3.35	3.27	3.31	960007.00
1995-07-24	3.27	3.43	3.27	3.39	1604374.00
1995-07-25	3.35	3.47	3.35	3.39	898087.00
1995-07-26	3.39	3.43	3.35	3.43	1296286.00
1995-07-27	3.39	3.51	3.39	3.47	1643976.00
1995-07-28	3.43	3.47	3.39	3.39	651751.00
1995-07-31	3.39	3.47	3.39	3.47	731793.00
1995-08-01	3.43	3.43	3.35	3.35	1008502.00
1995-08-02	3.35	3.43	3.35	3.35	1249469.00
1995-08-03	3.35	3.39	3.35	3.35	979975.00
1995-08-04	3.35	3.39	3.27	3.27	1071093.00
1995-08-07	3.27	3.35	3.27	3.35	1070086.00
1995-08-08	3.35	3.43	3.31	3.35	1603535.00
1995-08-09	3.35	3.39	3.27	3.27	1522486.00
1995-08-10	3.27	3.31	3.15	3.19	1727207.00
1995-08-11	3.19	3.27	3.11	3.15	1148618.00
1995-08-14	3.15	3.19	3.11	3.15	991218.00
1995-08-15	3.15	3.19	3.11	3.15	1258194.00
1995-08-16	3.15	3.23	3.11	3.19	1688108.00
1995-08-17	3.19	3.27	3.19	3.27	1783253.00
1995-08-18	3.31	3.43	3.31	3.39	1335216.00
1995-08-21	3.39	3.47	3.27	3.27	1349815.00
1995-08-22	3.39	3.59	3.39	3.51	2717250.00
1995-08-23	3.47	3.55	3.39	3.39	1014040.00
1995-08-24	3.39	3.43	3.35	3.35	822743.00
1995-08-25	3.35	3.39	3.31	3.31	1359716.00
1995-08-28	3.35	3.35	3.23	3.31	474382.00
1995-08-29	3.27	3.31	3.23	3.27	598221.00
1995-08-30	3.23	3.31	3.19	3.23	1036861.00
1995-08-31	3.23	3.31	3.23	3.27	1533393.00
1995-09-01	3.23	3.27	3.19	3.19	612485.00
1995-09-05	3.23	3.27	3.19	3.23	731290.00
1995-09-06	3.31	3.55	3.31	3.47	2635194.00
1995-09-07	3.43	3.55	3.43	3.47	883656.00
1995-09-08	3.47	3.59	3.47	3.59	906309.00
1995-09-11	3.59	3.75	3.59	3.71	1534400.00
1995-09-12	3.75	3.75	3.59	3.71	877615.00
1995-09-13	3.63	3.71	3.59	3.67	1074617.00
1995-09-14	3.59	3.67	3.59	3.67	531435.00
1995-09-15	3.71	3.71	3.47	3.51	929466.00
1995-09-18	3.51	3.59	3.47	3.55	882649.00
1995-09-19	3.55	3.67	3.55	3.63	863352.00
1995-09-20	3.63	3.71	3.51	3.51	1477179.00
1995-09-21	3.51	3.51	3.43	3.51	1510739.00
1995-09-22	3.43	3.55	3.39	3.51	829791.00
1995-09-25	3.51	3.63	3.47	3.63	555935.00
1995-09-26	3.59	3.67	3.59	3.67	887515.00
