Date	Open	High	Low	Close	Volume
2004-02-19	83.00	99.80	80.50	94.00	260510.00
2004-02-20	95.40	95.70	85.40	90.00	63380.00
2004-02-23	92.50	92.50	80.40	86.00	12280.00
2004-02-24	83.90	90.00	82.20	85.50	6490.00
2004-02-25	85.00	87.50	85.00	86.00	6650.00
2004-02-26	87.40	90.00	85.00	88.00	6250.00
2004-02-27	90.00	91.50	82.40	84.00	5380.00
2004-03-01	85.10	85.10	81.50	82.10	6940.00
2004-03-02	83.00	84.00	79.10	82.00	4670.00
2004-03-03	82.00	82.00	80.00	81.50	9870.00
2004-03-04	81.10	90.00	79.10	88.50	2750.00
2004-03-05	83.00	92.00	78.80	82.40	2400.00
2004-03-08	82.40	83.00	79.00	82.00	1100.00
2004-03-09	82.80	82.80	77.30	80.00	1170.00
2004-03-10	81.10	84.20	80.00	81.50	5360.00
2004-03-11	81.90	82.70	78.80	80.00	2140.00
2004-03-12	78.00	82.00	78.00	80.50	1580.00
2004-03-15	81.50	81.50	78.00	80.50	680.00
2004-03-16	79.50	79.50	77.60	77.60	1100.00
2004-03-17	80.50	80.50	77.50	79.90	720.00
2004-03-18	78.00	80.00	75.20	78.40	1390.00
2004-03-19	77.90	80.00	75.10	75.50	1150.00
2004-03-22	75.50	77.30	73.60	73.80	3480.00
2004-03-23	75.00	75.30	73.70	74.10	480.00
2004-03-24	74.00	74.00	71.20	72.00	1990.00
2004-03-25	71.00	74.00	71.00	72.00	600.00
2004-03-26	71.50	75.70	71.50	73.90	3530.00
2004-03-29	71.70	76.90	71.70	76.30	1100.00
2004-03-30	77.20	77.30	75.50	77.00	400.00
2004-03-31	84.00	84.00	74.80	75.80	11240.00
2004-04-01	75.00	75.80	74.60	74.80	1000.00
2004-04-02	78.80	78.80	73.60	74.70	2320.00
2004-04-05	78.80	78.80	76.00	77.40	1630.00
2004-04-06	74.00	77.00	73.00	76.00	2630.00
2004-04-07	73.20	75.00	69.10	69.60	3530.00
2004-04-08	74.80	75.00	65.00	66.90	4700.00
2004-04-12	72.00	72.00	66.00	72.00	2850.00
2004-04-13	71.50	71.50	66.50	68.80	970.00
2004-04-14	66.30	71.90	66.30	71.30	20260.00
2004-04-15	62.10	71.80	62.10	71.50	860.00
2004-04-16	71.50	72.90	71.50	71.50	1570.00
2004-04-19	67.50	72.50	67.50	70.00	2800.00
2004-04-20	69.50	71.00	67.00	67.50	3470.00
2004-04-21	67.60	69.20	60.10	63.30	6000.00
2004-04-22	66.80	71.50	61.50	66.70	1560.00
