Date	Open	High	Low	Close	Adj Close	Volume
2007-11-20	31.22	31.64	31.03	31.03		400.00
2007-11-21	30.29	30.29	29.71	30.12		37600.00
2007-11-23	30.53	30.67	30.46	30.57		15800.00
2007-11-26	30.61	30.73	29.91	29.97		36700.00
2007-11-27	29.78	30.12	29.69	30.09		19500.00
2007-11-28	30.82	31.37	30.72	31.33		12900.00
2007-11-29	31.73	32.02	31.64	31.75		87900.00
2007-11-30	32.51	33.15	32.28	32.35		32600.00
2007-12-03	32.45	32.45	32.16	32.26		81700.00
2007-12-04	31.85	31.95	31.63	31.63		14900.00
2007-12-05	32.20	32.76	32.19	32.76		20200.00
2007-12-06	33.00	33.73	32.97	33.65		137900.00
2007-12-07	33.93	33.93	33.61	33.65		76000.00
2007-12-10	33.62	33.74	33.42	33.44		15100.00
2007-12-11	33.18	33.71	32.42	32.43		32300.00
2007-12-12	32.79	33.02	31.60	31.76		47800.00
2007-12-13	31.08	31.09	30.64	31.00		43700.00
2007-12-14	30.55	31.15	30.36	31.01		28000.00
2007-12-17	30.60	30.77	29.95	30.04		8900.00
2007-12-18	30.71	30.71	29.92	30.25		34600.00
2007-12-19	30.44	30.47	30.26	30.35		7300.00
2007-12-20	31.10	31.64	30.69	31.31		21500.00
2007-12-21	32.38	32.38	31.82	32.07		33200.00
2007-12-24	32.24	32.26	31.92	32.05		25600.00
2007-12-26	31.86	32.05	31.81	32.05		8000.00
2007-12-27	32.03	32.17	31.75	31.75		36400.00
2007-12-28	31.79	31.98	31.74	31.90		8000.00
2007-12-31	31.72	31.84	31.70	31.83		76300.00
2008-01-02	31.82	31.82	31.12	31.20		29800.00
2008-01-03	31.08	31.37	31.03	31.27		43900.00
2008-01-04	30.78	30.78	30.20	30.40		15800.00
2008-01-07	30.25	30.34	29.73	29.88		28100.00
2008-01-08	30.06	30.16	29.73	29.79		13200.00
2008-01-09	29.13	29.62	29.05	29.59		105700.00
2008-01-10	29.79	30.47	29.72	30.41		89400.00
2008-01-11	31.01	31.01	30.59	30.86		26700.00
2008-01-14	32.49	32.49	30.84	31.03		34300.00
2008-01-15	31.03	31.03	29.49	29.49		38200.00
2008-01-16	28.90	29.20	28.44	28.93		42700.00
2008-01-17	29.39	29.39	27.75	27.75		52800.00
2008-01-18	28.24	28.35	27.60	27.78		58200.00
2008-01-22	26.18	28.78	26.15	28.11		29700.00
2008-01-23	26.42	28.63	26.22	26.94		8700.00
2008-01-24	28.70	29.60	28.70	29.54		30200.00
2008-01-25	31.73	31.73	29.13	29.13		14400.00
2008-01-28	28.98	29.76	28.98	29.76		49600.00
2008-01-29	31.04	31.04	30.32	30.56		37500.00
2008-01-30	31.04	31.46	30.55	30.66		23900.00
2008-01-31	30.36	31.27	30.01	31.27		142900.00
2008-02-01	31.16	31.38	30.94	31.30		21700.00
2008-02-04	31.52	31.60	31.03	31.31		45400.00
2008-02-05	30.62	30.62	29.49	29.51		14700.00
