Date	Close	High	Low	Open	Volume
	EMA	EMA	EMA	EMA	EMA
2010-01-05	13.82	13.82	13.82	13.82	0
2010-01-06	13.98	13.98	13.98	13.98	500
2010-01-07	13.98	13.98	13.98	13.98	0
2010-01-08	13.98	13.98	13.98	13.98	0
2010-01-11	13.98	13.98	13.98	13.98	0
2010-01-12	13.98	13.98	13.98	13.98	0
2010-01-13	13.98	13.98	13.98	13.98	0
2010-01-14	14.02	14.02	14.02	14.02	1100
2010-01-15	14.10	14.10	14.10	14.10	3300
2010-01-19	14.15	14.15	14.14	14.14	3200
2010-01-20	13.98	13.98	13.96	13.96	500
2010-01-21	13.84	13.96	13.84	13.96	5600
2010-01-22	13.42	13.59	13.42	13.59	400
2010-01-25	13.32	13.36	13.32	13.36	3500
2010-01-26	13.32	13.32	13.32	13.32	0
2010-01-27	13.10	13.10	12.97	12.97	3800
2010-01-28	12.90	12.90	12.77	12.79	700
2010-01-29	12.75	12.75	12.75	12.75	3800
2010-02-01	12.76	12.76	12.73	12.73	4200
2010-02-02	13.04	13.04	13.04	13.04	1400
2010-02-03	13.04	13.04	13.04	13.04	0
2010-02-04	12.75	12.75	12.75	12.75	4400
2010-02-05	12.75	12.75	12.75	12.75	0
2010-02-08	12.75	12.75	12.75	12.75	0
2010-02-09	12.75	12.75	12.75	12.75	0
2010-02-10	12.75	12.75	12.75	12.75	0
2010-02-11	12.75	12.75	12.75	12.75	0
2010-02-12	12.75	12.75	12.75	12.75	0
2010-02-16	12.75	12.75	12.75	12.75	0
2010-02-17	12.75	12.75	12.75	12.75	0
2010-02-18	13.22	13.22	13.22	13.22	8100
2010-02-19	13.24	13.24	13.24	13.24	2400
2010-02-22	13.24	13.24	13.24	13.24	0
2010-02-23	13.21	13.28	13.21	13.28	8600
2010-02-24	13.21	13.21	13.21	13.21	0
2010-02-25	12.99	13.01	12.99	13.01	9100
2010-02-26	12.99	12.99	12.99	12.99	0
2010-03-01	12.99	12.99	12.99	12.99	0
2010-03-02	13.59	13.59	13.53	13.53	9800
2010-03-03	13.58	13.58	13.58	13.58	2000
2010-03-04	13.58	13.58	13.58	13.58	0
2010-03-05	13.58	13.58	13.58	13.58	0
2010-03-08	13.58	13.58	13.58	13.58	0
2010-03-09	13.58	13.58	13.58	13.58	0
2010-03-10	13.58	13.58	13.58	13.58	0
2010-03-11	13.58	13.58	13.58	13.58	0
2010-03-12	13.95	13.95	13.93	13.93	10100
2010-03-15	13.96	13.96	13.96	13.96	10000
2010-03-16	13.96	13.96	13.96	13.96	10700
2010-03-17	14.21	14.25	14.21	14.25	4500
2010-03-18	14.21	14.21	14.21	14.21	0
2010-03-19	14.21	14.21	14.21	14.21	0
2010-03-22	14.21	14.21	14.21	14.21	0
2010-03-23	14.03	14.03	14.02	14.03	10800
2010-03-24	14.03	14.03	14.03	14.03	0
2010-03-25	14.05	14.05	14.05	14.05	10100
2010-03-26	13.78	13.96	13.78	13.96	5100
2010-03-29	13.78	13.78	13.78	13.78	0
2010-03-30	13.78	13.78	13.78	13.78	0
2010-03-31	13.78	13.78	13.78	13.78	0
2010-04-01	14.24	14.24	14.24	14.24	800
2010-04-05	14.30	14.30	14.30	14.30	9400
2010-04-06	14.30	14.30	14.30	14.30	0
2010-04-07	14.30	14.30	14.30	14.30	0
2010-04-08	14.28	14.28	14.17	14.17	3000
2010-04-09	14.28	14.28	14.28	14.28	0
2010-04-12	14.32	14.32	14.31	14.31	10100
2010-04-13	14.32	14.32	14.32	14.32	0
2010-04-14	14.32	14.32	14.32	14.32	0
2010-04-15	14.16	14.19	14.16	14.19	4400
2010-04-16	14.12	14.12	14.12	14.12	1000
2010-04-19	14.05	14.05	14.00	14.00	4200
2010-04-20	14.30	14.32	14.30	14.32	2200
2010-04-21	14.24	14.42	14.24	14.42	4700
2010-04-22	14.24	14.24	14.24	14.24	0
2010-04-23	14.44	14.44	14.44	14.44	900
2010-04-26	14.44	14.44	14.44	14.44	0
2010-04-27	14.44	14.44	14.44	14.44	0
2010-04-28	14.44	14.44	14.44	14.44	0
2010-04-29	13.86	13.99	13.86	13.99	4600
2010-04-30	13.66	13.66	13.66	13.66	8500
2010-05-03	13.86	13.86	13.64	13.64	5300
2010-05-04	13.74	13.74	13.67	13.67	2100
2010-05-05	13.80	13.80	13.63	13.63	3600
2010-05-06	13.56	13.70	13.56	13.70	2300
2010-05-07	13.15	13.26	13.02	13.26	10900
2010-05-10	13.80	13.80	13.79	13.79	3500
2010-05-11	14.09	14.10	14.06	14.07	1900
2010-05-12	14.15	14.15	14.15	14.15	3300
2010-05-13	14.12	14.12	14.12	14.12	3400
2010-05-14	13.88	13.95	13.80	13.95	8900
2010-05-17	13.78	13.78	13.65	13.70	6900
2010-05-18	13.75	13.88	13.75	13.88	2800
2010-05-19	13.65	13.65	13.65	13.65	900
2010-05-20	13.10	13.10	13.10	13.10	1300
