Date	Open	High	Low	Close	Volume
1972-06-01	0.77	0.78	0.77	0.78	314400.00
1972-06-02	0.78	0.78	0.77	0.78	1396800.00
1972-06-05	0.78	0.78	0.77	0.77	372000.00
1972-06-06	0.77	0.78	0.77	0.77	177600.00
1972-06-07	0.77	0.77	0.76	0.76	379200.00
1972-06-08	0.76	0.77	0.76	0.76	552000.00
1972-06-09	0.76	0.77	0.76	0.77	177600.00
1972-06-12	0.77	0.77	0.76	0.77	506400.00
1972-06-13	0.77	0.77	0.76	0.77	288000.00
1972-06-14	0.77	0.77	0.76	0.76	789600.00
1972-06-15	0.76	0.77	0.76	0.77	220800.00
1972-06-16	0.77	0.77	0.76	0.76	96000.00
1972-06-19	0.76	0.77	0.75	0.77	124800.00
1972-06-20	0.77	0.77	0.77	0.77	206400.00
1972-06-21	0.77	0.78	0.77	0.78	232800.00
1972-06-22	0.78	0.78	0.78	0.78	336000.00
1972-06-23	0.78	0.78	0.77	0.77	242400.00
1972-06-26	0.77	0.77	0.77	0.77	237600.00
1972-06-27	0.77	0.78	0.77	0.78	285600.00
1972-06-28	0.77	0.77	0.77	0.77	139200.00
1972-06-29	0.77	0.78	0.76	0.78	278400.00
1972-06-30	0.78	0.79	0.78	0.78	153600.00
1972-07-03	0.78	0.78	0.77	0.77	134400.00
1972-07-05	0.78	0.80	0.78	0.79	148800.00
1972-07-06	0.80	0.81	0.80	0.80	391200.00
1972-07-07	0.80	0.81	0.80	0.80	175200.00
1972-07-10	0.80	0.80	0.79	0.79	201600.00
1972-07-11	0.79	0.79	0.78	0.78	117600.00
1972-07-12	0.78	0.79	0.78	0.78	242400.00
1972-07-13	0.78	0.78	0.78	0.78	120000.00
1972-07-14	0.78	0.79	0.78	0.78	182400.00
1972-07-17	0.78	0.78	0.78	0.78	170400.00
1972-07-18	0.78	0.79	0.78	0.79	158400.00
1972-07-19	0.79	0.80	0.79	0.79	307200.00
1972-07-20	0.79	0.80	0.79	0.80	76800.00
1972-07-21	0.80	0.81	0.80	0.80	184800.00
1972-07-24	0.80	0.82	0.80	0.82	194400.00
1972-07-25	0.82	0.84	0.82	0.82	391200.00
1972-07-26	0.82	0.82	0.81	0.82	196800.00
1972-07-27	0.82	0.82	0.81	0.82	446400.00
1972-07-28	0.82	0.82	0.81	0.81	218400.00
1972-07-31	0.81	0.81	0.81	0.81	144000.00
1972-08-01	0.82	0.82	0.82	0.82	206400.00
1972-08-02	0.82	0.82	0.82	0.82	1514400.00
1972-08-03	0.82	0.82	0.82	0.82	350400.00
1972-08-04	0.82	0.82	0.81	0.82	148800.00
1972-08-07	0.82	0.82	0.81	0.81	216000.00
1972-08-08	0.82	0.82	0.82	0.82	100800.00
1972-08-09	0.82	0.82	0.82	0.82	741600.00
1972-08-10	0.82	0.83	0.82	0.83	302400.00
1972-08-11	0.83	0.83	0.83	0.83	91200.00
1972-08-14	0.83	0.84	0.83	0.83	667200.00
1972-08-15	0.83	0.84	0.83	0.83	268800.00
1972-08-16	0.83	0.83	0.83	0.83	420000.00
1972-08-17	0.83	0.83	0.82	0.82	379200.00
1972-08-18	0.82	0.82	0.82	0.82	232800.00
1972-08-21	0.82	0.82	0.82	0.82	244800.00
1972-08-22	0.82	0.82	0.82	0.82	364800.00
1972-08-23	0.82	0.82	0.81	0.81	314400.00
1972-08-24	0.81	0.82	0.81	0.81	105600.00
1972-08-25	0.81	0.81	0.81	0.81	81600.00
1972-08-28	0.81	0.81	0.80	0.81	177600.00
1972-08-29	0.81	0.81	0.80	0.81	343200.00
1972-08-30	0.81	0.81	0.81	0.81	127200.00
