Date	Close	High	Low	Open	Volume
	EQNR	EQNR	EQNR	EQNR	EQNR
2001-06-18	2.24	2.25	2.24	2.25	7189500
2001-06-19	2.29	2.32	2.27	2.27	1410700
2001-06-20	2.29	2.31	2.28	2.31	550400
2001-06-21	2.27	2.28	2.27	2.27	643600
2001-06-22	2.25	2.27	2.25	2.26	822600
2001-06-25	2.25	2.27	2.25	2.25	488500
2001-06-26	2.25	2.25	2.25	2.25	202200
2001-06-27	2.23	2.25	2.23	2.25	1558800
2001-06-28	2.14	2.17	2.13	2.17	259000
2001-06-29	2.21	2.24	2.18	2.18	100600
2001-07-02	2.16	2.18	2.14	2.15	114300
2001-07-03	2.16	2.16	2.12	2.13	128000
2001-07-05	2.12	2.16	2.11	2.16	144300
2001-07-06	2.18	2.19	2.12	2.12	113100
2001-07-09	2.12	2.14	2.11	2.12	134000
2001-07-10	2.06	2.11	2.03	2.11	205600
2001-07-11	2.04	2.05	2.02	2.03	93500
2001-07-12	2.04	2.05	2.01	2.02	256200
2001-07-13	2.04	2.06	2.02	2.03	86600
2001-07-16	2.06	2.06	2.04	2.04	83000
2001-07-17	1.97	2.02	1.92	2.02	127200
2001-07-18	1.98	1.98	1.95	1.96	176000
2001-07-19	2.06	2.06	2.01	2.01	155300
2001-07-20	2.07	2.10	2.04	2.09	105400
2001-07-23	2.12	2.14	2.10	2.10	170200
2001-07-24	2.10	2.12	2.07	2.12	73600
2001-07-25	2.12	2.13	2.08	2.08	64100
2001-07-26	2.09	2.13	2.06	2.13	43800
2001-07-27	2.16	2.22	2.03	2.03	188500
2001-07-30	2.12	2.14	2.12	2.14	19500
2001-07-31	2.12	2.16	2.10	2.11	69900
2001-08-01	2.16	2.19	2.16	2.18	138600
2001-08-02	2.19	2.19	2.13	2.15	90900
2001-08-03	2.12	2.15	2.05	2.15	182200
2001-08-06	2.12	2.15	2.12	2.12	23800
2001-08-07	2.07	2.16	2.07	2.12	60200
2001-08-08	2.03	2.09	2.01	2.09	72100
2001-08-09	2.07	2.10	2.07	2.07	76700
2001-08-10	2.06	2.10	2.06	2.10	29100
2001-08-13	2.09	2.10	2.06	2.07	64500
2001-08-14	2.07	2.10	2.05	2.06	152100
2001-08-15	2.11	2.13	2.06	2.09	93500
2001-08-16	2.09	2.12	2.08	2.09	63500
2001-08-17	2.09	2.12	2.07	2.07	25800
2001-08-20	2.08	2.10	2.08	2.09	58900
2001-08-21	2.11	2.11	2.09	2.11	206100
2001-08-22	2.08	2.10	2.08	2.10	60800
2001-08-23	2.04	2.06	2.01	2.01	125600
2001-08-24	2.04	2.07	2.04	2.04	26000
2001-08-27	2.05	2.09	2.05	2.06	27300
2001-08-28	2.04	2.08	2.04	2.06	27100
2001-08-29	2.07	2.09	2.06	2.09	27500
2001-08-30	2.09	2.10	2.07	2.09	83500
2001-08-31	2.07	2.10	2.06	2.06	29700
2001-09-04	2.04	2.07	2.04	2.04	19700
2001-09-05	2.03	2.06	2.01	2.04	35500
2001-09-06	2.06	2.09	2.03	2.03	44000
2001-09-07	2.07	2.09	2.07	2.07	88600
2001-09-10	2.04	2.08	2.04	2.04	49400
2001-09-17	2.10	2.10	2.06	2.06	62000
2001-09-18	2.10	2.15	2.10	2.10	82900
2001-09-19	2.07	2.10	1.97	2.08	272000
2001-09-20	2.04	2.05	2.01	2.05	65900
2001-09-21	1.94	2.00	1.86	2.00	96200
2001-09-24	1.88	1.94	1.85	1.94	70100
2001-09-25	1.87	1.87	1.83	1.85	97900
2001-09-26	1.87	1.91	1.87	1.89	55400
2001-09-27	1.89	1.92	1.86	1.89	116300
2001-09-28	1.94	2.00	1.92	1.92	63500
2001-10-01	1.89	1.93	1.86	1.93	37700
2001-10-02	1.85	1.89	1.83	1.88	40300
2001-10-03	1.89	1.91	1.87	1.87	174000
2001-10-04	1.91	1.94	1.86	1.94	53400
