Date	Close	High	Low	Open	Volume
	EQT	EQT	EQT	EQT	EQT
1980-03-17	0.28	0.28	0.28	0.28	29759
1980-03-18	0.28	0.28	0.28	0.28	148797
1980-03-19	0.28	0.28	0.28	0.28	96718
1980-03-20	0.28	0.28	0.28	0.28	63239
1980-03-21	0.28	0.28	0.28	0.28	226915
1980-03-24	0.27	0.28	0.27	0.28	252955
1980-03-25	0.24	0.26	0.24	0.26	245515
1980-03-26	0.24	0.25	0.24	0.24	182276
1980-03-27	0.23	0.24	0.23	0.24	85558
1980-03-28	0.24	0.24	0.23	0.23	212036
1980-03-31	0.24	0.24	0.23	0.24	297594
1980-04-01	0.24	0.24	0.23	0.24	223196
1980-04-02	0.23	0.23	0.23	0.23	438951
1980-04-03	0.24	0.24	0.23	0.23	74399
1980-04-07	0.23	0.24	0.23	0.24	126477
1980-04-08	0.24	0.24	0.23	0.23	241795
1980-04-09	0.25	0.25	0.24	0.24	305034
1980-04-10	0.27	0.27	0.25	0.25	212036
1980-04-11	0.28	0.28	0.27	0.27	141357
1980-04-14	0.27	0.27	0.27	0.27	174836
1980-04-15	0.28	0.28	0.27	0.27	111598
1980-04-16	0.28	0.29	0.28	0.28	200876
1980-04-17	0.27	0.28	0.27	0.28	52079
1980-04-18	0.27	0.27	0.27	0.27	33479
1980-04-21	0.27	0.27	0.27	0.27	33479
1980-04-22	0.28	0.28	0.27	0.27	223196
1980-04-23	0.28	0.29	0.28	0.28	107878
1980-04-24	0.29	0.29	0.29	0.29	212036
1980-04-25	0.30	0.30	0.29	0.29	249235
1980-04-28	0.31	0.31	0.30	0.30	491030
1980-04-29	0.31	0.31	0.30	0.31	409192
1980-04-30	0.32	0.32	0.31	0.31	267835
1980-05-01	0.33	0.33	0.32	0.32	409192
1980-05-02	0.32	0.33	0.32	0.33	364553
1980-05-05	0.32	0.32	0.31	0.32	3292134
1980-05-06	0.32	0.32	0.31	0.32	442671
1980-05-07	0.33	0.33	0.32	0.32	383152
1980-05-08	0.32	0.33	0.32	0.33	215756
1980-05-09	0.32	0.32	0.32	0.32	111598
1980-05-12	0.32	0.32	0.31	0.32	677026
1980-05-13	0.31	0.32	0.31	0.32	275274
1980-05-14	0.31	0.31	0.31	0.31	122758
1980-05-15	0.30	0.31	0.30	0.31	212036
1980-05-16	0.30	0.30	0.29	0.30	70679
1980-05-19	0.30	0.30	0.30	0.30	100438
1980-05-20	0.31	0.31	0.30	0.30	271555
1980-05-21	0.31	0.31	0.31	0.31	78118
1980-05-22	0.32	0.32	0.31	0.31	163677
1980-05-23	0.32	0.33	0.32	0.32	174836
1980-05-27	0.32	0.33	0.32	0.32	178556
1980-05-28	0.32	0.32	0.32	0.32	133917
1980-05-29	0.32	0.32	0.32	0.32	249235
1980-05-30	0.32	0.32	0.32	0.32	78118
1980-06-02	0.32	0.32	0.31	0.32	792344
1980-06-03	0.32	0.32	0.31	0.32	401752
1980-06-04	0.33	0.33	0.32	0.32	267835
1980-06-05	0.34	0.34	0.33	0.33	115318
1980-06-06	0.33	0.33	0.33	0.33	100438
1980-06-09	0.35	0.35	0.34	0.34	278994
1980-06-10	0.34	0.35	0.34	0.35	96718
1980-06-11	0.34	0.35	0.34	0.34	260395
1980-06-12	0.35	0.36	0.35	0.35	293874
1980-06-13	0.36	0.36	0.35	0.35	286434
1980-06-16	0.35	0.36	0.35	0.36	256675
1980-06-17	0.35	0.35	0.35	0.35	59519
1980-06-18	0.35	0.35	0.35	0.35	126477
1980-06-19	0.36	0.36	0.36	0.36	398032
1980-06-20	0.36	0.36	0.35	0.36	126477
1980-06-23	0.36	0.36	0.35	0.36	290154
1980-06-24	0.36	0.36	0.36	0.36	182276
1980-06-25	0.38	0.38	0.37	0.37	379432
1980-06-26	0.37	0.38	0.37	0.38	137637
1980-06-27	0.37	0.38	0.37	0.37	293874
1980-06-30	0.36	0.37	0.36	0.37	308754
1980-07-01	0.36	0.36	0.35	0.36	252955
1980-07-02	0.37	0.37	0.36	0.36	130197
1980-07-03	0.37	0.37	0.36	0.37	104158
1980-07-07	0.38	0.38	0.38	0.38	353393
1980-07-08	0.38	0.38	0.38	0.38	234355
1980-07-09	0.38	0.38	0.38	0.38	204596
1980-07-10	0.38	0.38	0.38	0.38	66959
1980-07-11	0.38	0.38	0.38	0.38	52079
1980-07-14	0.38	0.38	0.38	0.38	137637
1980-07-15	0.38	0.38	0.38	0.38	126477
1980-07-16	0.38	0.38	0.38	0.38	2049679
1980-07-17	0.38	0.38	0.38	0.38	74399
1980-07-18	0.39	0.39	0.38	0.38	100438
1980-07-21	0.40	0.40	0.39	0.39	171117
1980-07-22	0.40	0.40	0.40	0.40	185996
1980-07-23	0.40	0.40	0.40	0.40	1182936
1980-07-24	0.39	0.40	0.39	0.40	278994
1980-07-25	0.39	0.40	0.39	0.39	81838
1980-07-28	0.39	0.39	0.39	0.39	491030
1980-07-29	0.40	0.40	0.39	0.39	159957
1980-07-30	0.41	0.41	0.40	0.40	185996
1980-07-31	0.40	0.41	0.40	0.41	312474
1980-08-01	0.42	0.42	0.41	0.41	301314
1980-08-04	0.42	0.42	0.41	0.42	241795
1980-08-05	0.41	0.42	0.41	0.42	189716
1980-08-06	0.41	0.41	0.41	0.41	167397
1980-08-07	0.40	0.41	0.40	0.41	260395
1980-08-08	0.42	0.42	0.41	0.41	487310
1980-08-11	0.42	0.42	0.41	0.42	204596
1980-08-12	0.42	0.42	0.42	0.42	200876
1980-08-13	0.43	0.43	0.42	0.42	145077
1980-08-14	0.43	0.43	0.42	0.43	122758
1980-08-15	0.42	0.43	0.42	0.43	249235
1980-08-18	0.42	0.42	0.42	0.42	293874
1980-08-19	0.42	0.42	0.42	0.42	185996
1980-08-20	0.42	0.42	0.42	0.42	59519
1980-08-21	0.42	0.42	0.42	0.42	111598
1980-08-22	0.42	0.42	0.42	0.42	148797
1980-08-25	0.42	0.43	0.42	0.42	111598
1980-08-26	0.43	0.43	0.43	0.43	145077
1980-08-27	0.43	0.43	0.43	0.43	159957
1980-08-28	0.43	0.43	0.43	0.43	115318
1980-08-29	0.44	0.44	0.43	0.43	96718
1980-09-02	0.45	0.45	0.44	0.44	185996
1980-09-03	0.47	0.48	0.46	0.46	338513
1980-09-04	0.47	0.48	0.47	0.47	412912
1980-09-05	0.46	0.47	0.46	0.47	171117
1980-09-08	0.46	0.47	0.46	0.46	197156
1980-09-09	0.47	0.47	0.46	0.46	241795
1980-09-10	0.47	0.47	0.47	0.47	1052739
1980-09-11	0.47	0.48	0.47	0.47	278994
1980-09-12	0.47	0.48	0.47	0.47	200876
1980-09-15	0.48	0.48	0.47	0.47	145077
1980-09-16	0.49	0.49	0.47	0.48	360833
1980-09-17	0.49	0.49	0.49	0.49	174836
1980-09-18	0.51	0.51	0.49	0.49	301314
1980-09-19	0.51	0.52	0.50	0.51	316194
1980-09-22	0.51	0.51	0.50	0.51	293874
1980-09-23	0.52	0.52	0.51	0.51	606348
1980-09-24	0.52	0.52	0.52	0.52	740265
1980-09-25	0.53	0.53	0.53	0.53	197156
1980-09-26	0.51	0.52	0.51	0.52	323633
1980-09-29	0.50	0.51	0.50	0.51	770024
1980-09-30	0.50	0.50	0.49	0.50	290154
1980-10-01	0.50	0.50	0.50	0.50	509630
1980-10-02	0.50	0.50	0.50	0.50	282714
1980-10-03	0.52	0.52	0.50	0.50	230635
1980-10-06	0.52	0.52	0.51	0.52	896502
1980-10-07	0.52	0.52	0.52	0.52	104158
