Date	Open	High	Low	Close	Volume
2006-02-03	1.51	1.52	1.47	1.48	42988400.00
2006-02-06	1.49	1.50	1.48	1.49	4602400.00
2006-02-07	1.48	1.48	1.46	1.47	2974400.00
2006-02-08	1.47	1.47	1.42	1.43	3296400.00
2006-02-09	1.44	1.45	1.42	1.44	1966400.00
2006-02-10	1.44	1.45	1.43	1.44	1546400.00
2006-02-13	1.44	1.44	1.41	1.42	1031200.00
2006-02-14	1.43	1.43	1.41	1.42	1130000.00
2006-02-15	1.42	1.43	1.41	1.43	1126000.00
2006-02-16	1.44	1.45	1.43	1.43	1001600.00
2006-02-17	1.44	1.44	1.43	1.43	1125200.00
2006-02-21	1.43	1.44	1.43	1.43	759200.00
2006-02-22	1.44	1.44	1.43	1.43	1069200.00
2006-02-23	1.43	1.44	1.43	1.44	913200.00
2006-02-24	1.44	1.44	1.43	1.44	1021200.00
2006-02-27	1.44	1.45	1.44	1.44	482000.00
2006-02-28	1.44	1.44	1.43	1.44	701600.00
2006-03-01	1.43	1.45	1.43	1.43	932400.00
2006-03-02	1.43	1.44	1.43	1.44	744400.00
2006-03-03	1.43	1.44	1.43	1.44	793200.00
2006-03-06	1.43	1.43	1.41	1.43	1523200.00
2006-03-07	1.41	1.42	1.40	1.41	1000400.00
2006-03-08	1.41	1.43	1.40	1.43	912800.00
2006-03-09	1.43	1.46	1.42	1.45	1309600.00
2006-03-10	1.46	1.48	1.44	1.48	1282400.00
2006-03-13	1.47	1.50	1.47	1.49	1007200.00
2006-03-14	1.51	1.51	1.49	1.50	1432000.00
2006-03-15	1.50	1.50	1.48	1.49	1046000.00
2006-03-16	1.49	1.51	1.48	1.51	1038000.00
2006-03-17	1.51	1.51	1.50	1.51	731600.00
2006-03-20	1.52	1.53	1.51	1.51	730000.00
2006-03-21	1.51	1.52	1.51	1.52	926400.00
2006-03-22	1.52	1.53	1.52	1.53	1028400.00
2006-03-23	1.54	1.55	1.53	1.54	1028800.00
2006-03-24	1.54	1.57	1.53	1.54	427200.00
2006-03-27	1.55	1.60	1.54	1.59	1115600.00
2006-03-28	1.59	1.59	1.57	1.58	676000.00
2006-03-29	1.57	1.58	1.56	1.57	790400.00
2006-03-30	1.57	1.58	1.53	1.54	1368400.00
2006-03-31	1.54	1.57	1.51	1.57	697600.00
2006-04-03	1.57	1.57	1.54	1.55	351200.00
2006-04-04	1.55	1.55	1.51	1.53	780800.00
2006-04-05	1.53	1.55	1.53	1.54	514400.00
2006-04-06	1.54	1.54	1.52	1.54	558800.00
2006-04-07	1.53	1.54	1.51	1.54	543200.00
2006-04-10	1.55	1.59	1.55	1.57	1334400.00
2006-04-11	1.56	1.60	1.55	1.59	1149200.00
2006-04-12	1.58	1.59	1.57	1.57	1927600.00
2006-04-13	1.58	1.59	1.57	1.57	443600.00
2006-04-17	1.57	1.58	1.56	1.57	237200.00
2006-04-18	1.57	1.62	1.57	1.61	914000.00
2006-04-19	1.62	1.63	1.60	1.63	1054800.00
2006-04-20	1.65	1.65	1.63	1.64	984800.00
2006-04-21	1.66	1.67	1.65	1.67	757200.00
2006-04-24	1.69	1.69	1.64	1.66	428000.00
2006-04-25	1.66	1.66	1.64	1.65	454000.00
2006-04-26	1.64	1.65	1.62	1.63	410000.00
2006-04-27	1.62	1.64	1.60	1.63	353200.00
2006-04-28	1.63	1.64	1.61	1.63	394800.00
2006-05-01	1.64	1.64	1.61	1.63	212000.00
2006-05-02	1.62	1.64	1.62	1.64	222400.00
2006-05-03	1.63	1.63	1.61	1.63	322800.00
2006-05-04	1.64	1.65	1.61	1.64	410800.00
2006-05-05	1.67	1.71	1.67	1.70	1673600.00
2006-05-08	1.72	1.77	1.71	1.76	1562800.00
2006-05-09	1.81	1.81	1.76	1.79	1697600.00
2006-05-10	1.79	1.80	1.78	1.80	845600.00
2006-05-11	1.80	1.81	1.73	1.78	1221200.00
2006-05-12	1.79	1.79	1.77	1.77	375600.00
2006-05-15	1.76	1.76	1.72	1.74	496800.00
2006-05-16	1.77	1.77	1.73	1.77	964800.00
2006-05-17	1.77	1.77	1.74	1.76	378800.00
2006-05-18	1.77	1.77	1.76	1.76	591200.00
2006-05-19	1.77	1.77	1.74	1.76	691200.00
2006-05-22	1.77	1.77	1.73	1.76	345200.00
2006-05-23	1.76	1.77	1.75	1.76	341200.00
2006-05-24	1.75	1.76	1.73	1.74	465200.00
2006-05-25	1.75	1.76	1.74	1.75	162800.00
2006-05-26	1.76	1.76	1.73	1.75	360400.00
2006-05-30	1.77	1.77	1.73	1.74	541200.00
2006-05-31	1.75	1.77	1.73	1.75	603200.00
2006-06-01	1.75	1.75	1.73	1.73	624400.00
2006-06-02	1.73	1.75	1.73	1.74	1052800.00
2006-06-05	1.75	1.77	1.72	1.73	812400.00
2006-06-06	1.73	1.77	1.72	1.75	348000.00
2006-06-07	1.74	1.77	1.73	1.74	586800.00
2006-06-08	1.74	1.74	1.70	1.71	312000.00
2006-06-09	1.70	1.74	1.70	1.74	120400.00
2006-06-12	1.74	1.77	1.70	1.75	483200.00
2006-06-13	1.73	1.74	1.71	1.72	283200.00
2006-06-14	1.72	1.73	1.70	1.72	530400.00
2006-06-15	1.72	1.74	1.71	1.74	308000.00
2006-06-16	1.74	1.75	1.73	1.73	110000.00
2006-06-19	1.74	1.74	1.68	1.70	280800.00
2006-06-20	1.69	1.72	1.68	1.69	358400.00
2006-06-21	1.68	1.69	1.66	1.68	476000.00
2006-06-22	1.67	1.68	1.66	1.67	77600.00
2006-06-23	1.67	1.71	1.66	1.68	317600.00
2006-06-26	1.70	1.71	1.67	1.68	377600.00
2006-06-27	1.69	1.72	1.69	1.72	714000.00
2006-06-28	1.71	1.73	1.71	1.73	330800.00
2006-06-29	1.74	1.74	1.70	1.74	261200.00
2006-06-30	1.73	1.77	1.73	1.75	415600.00
2006-07-03	1.75	1.76	1.74	1.74	152400.00
2006-07-05	1.74	1.75	1.73	1.73	410400.00
2006-07-06	1.73	1.73	1.71	1.73	130800.00
2006-07-07	1.74	1.74	1.72	1.73	143600.00
2006-07-10	1.73	1.73	1.71	1.72	120400.00
2006-07-11	1.73	1.77	1.73	1.73	286400.00
2006-07-12	1.75	1.75	1.73	1.74	923600.00
2006-07-13	1.74	1.75	1.72	1.73	295200.00
2006-07-14	1.72	1.72	1.71	1.72	258400.00
2006-07-17	1.72	1.72	1.70	1.71	366400.00
2006-07-18	1.72	1.72	1.70	1.71	546800.00
2006-07-19	1.71	1.72	1.68	1.68	602000.00
2006-07-20	1.68	1.72	1.68	1.69	171600.00
2006-07-21	1.68	1.68	1.65	1.67	266800.00
2006-07-24	1.68	1.71	1.67	1.70	204800.00
2006-07-25	1.69	1.71	1.69	1.70	194800.00
2006-07-26	1.69	1.72	1.69	1.71	169600.00
2006-07-27	1.73	1.73	1.70	1.70	364800.00
2006-07-28	1.70	1.74	1.70	1.73	202400.00
2006-07-31	1.75	1.75	1.71	1.74	337600.00
2006-08-01	1.74	1.74	1.73	1.73	207200.00
2006-08-02	1.74	1.76	1.73	1.74	234000.00
2006-08-03	1.75	1.76	1.74	1.75	230400.00
2006-08-04	1.75	1.76	1.74	1.76	244000.00
2006-08-07	1.75	1.77	1.75	1.75	334800.00
2006-08-08	1.75	1.76	1.74	1.75	132800.00
2006-08-09	1.75	1.75	1.71	1.72	239600.00
2006-08-10	1.72	1.74	1.71	1.72	201200.00
2006-08-11	1.71	1.74	1.71	1.74	201600.00
2006-08-14	1.74	1.74	1.72	1.73	184800.00
2006-08-15	1.76	1.76	1.73	1.74	1786800.00
2006-08-16	1.73	1.74	1.73	1.73	115200.00
2006-08-17	1.74	1.74	1.73	1.73	188000.00
2006-08-18	1.73	1.74	1.72	1.73	324400.00
2006-08-21	1.74	1.74	1.72	1.73	160800.00
2006-08-22	1.73	1.75	1.71	1.72	186400.00
2006-08-23	1.72	1.76	1.72	1.75	163600.00
2006-08-24	1.74	1.78	1.74	1.76	204800.00
2006-08-25	1.75	1.77	1.74	1.76	298800.00
2006-08-28	1.76	1.78	1.76	1.78	381600.00
2006-08-29	1.77	1.79	1.77	1.78	118800.00
2006-08-30	1.79	1.79	1.77	1.78	156000.00
2006-08-31	1.78	1.80	1.78	1.80	342400.00
2006-09-01	1.81	1.82	1.81	1.82	354400.00
2006-09-05	1.82	1.83	1.79	1.80	368400.00
2006-09-06	1.81	1.82	1.77	1.79	280400.00
2006-09-07	1.79	1.79	1.75	1.77	352000.00
2006-09-08	1.77	1.77	1.75	1.75	221200.00
2006-09-11	1.75	1.75	1.73	1.73	1094400.00
2006-09-12	1.74	1.74	1.73	1.73	555200.00
2006-09-13	1.73	1.74	1.72	1.73	268000.00
2006-09-14	1.73	1.76	1.73	1.74	234400.00
2006-09-15	1.77	1.81	1.77	1.80	1069600.00
2006-09-18	1.81	1.83	1.80	1.82	1563200.00
2006-09-19	1.83	1.86	1.83	1.85	1237600.00
2006-09-20	1.87	1.87	1.82	1.82	1430000.00
2006-09-21	1.84	1.87	1.83	1.86	2948000.00
2006-09-22	1.87	1.90	1.86	1.88	1907200.00
2006-09-25	1.88	1.93	1.88	1.92	1309200.00
2006-09-26	1.96	1.96	1.94	1.95	2727200.00
2006-09-27	1.98	1.98	1.93	1.95	598800.00
2006-09-28	1.95	1.96	1.94	1.94	382800.00
2006-09-29	1.94	1.95	1.93	1.94	1350800.00
2006-10-02	1.93	1.96	1.93	1.94	281600.00
2006-10-03	1.93	1.93	1.91	1.92	647200.00
2006-10-04	1.90	1.92	1.89	1.89	435600.00
2006-10-05	1.89	1.91	1.87	1.90	1396000.00
2006-10-06	1.90	1.92	1.89	1.90	545600.00
2006-10-09	1.89	1.89	1.87	1.88	269200.00
2006-10-10	1.88	1.90	1.88	1.89	189600.00
2006-10-11	1.90	1.90	1.86	1.88	700800.00
