Date	Close	High	Low	Open	Volume
	EWBC	EWBC	EWBC	EWBC	EWBC
1999-02-03	3.14	3.22	3.14	3.18	52000
1999-02-04	3.22	3.22	3.22	3.22	400
1999-02-05	3.22	3.22	3.22	3.22	0
1999-02-08	3.18	3.30	3.09	3.30	495200
1999-02-09	3.16	3.22	3.14	3.22	88200
1999-02-10	3.11	3.18	3.09	3.18	83800
1999-02-11	3.05	3.09	3.01	3.09	938600
1999-02-12	3.01	3.03	2.97	3.03	112600
1999-02-16	3.05	3.05	2.99	3.05	23200
1999-02-17	3.07	3.07	3.05	3.05	34800
1999-02-18	3.05	3.07	3.05	3.07	12000
1999-02-19	3.05	3.09	3.05	3.09	5000
1999-02-22	3.05	3.11	3.05	3.11	12600
1999-02-23	3.09	3.09	3.01	3.05	144400
1999-02-24	3.09	3.09	3.05	3.05	1800
1999-02-25	3.01	3.09	3.01	3.09	30800
1999-02-26	3.09	3.09	3.05	3.09	408400
1999-03-01	3.05	3.09	3.05	3.09	800
1999-03-02	3.22	3.22	3.05	3.05	75000
1999-03-03	3.14	3.14	3.14	3.14	18000
1999-03-04	3.14	3.18	3.14	3.18	2200
1999-03-05	3.05	3.05	3.05	3.05	8000
1999-03-08	3.14	3.14	3.05	3.05	11600
1999-03-09	3.07	3.14	3.01	3.14	205800
1999-03-10	3.05	3.09	3.05	3.09	10000
1999-03-11	3.14	3.22	3.05	3.05	209000
1999-03-12	3.18	3.26	3.18	3.26	408400
1999-03-15	3.18	3.26	3.18	3.26	4800
1999-03-16	3.18	3.22	3.18	3.18	767800
1999-03-17	3.22	3.22	3.20	3.22	118200
1999-03-18	3.26	3.26	3.18	3.18	150400
1999-03-19	3.20	3.22	3.18	3.22	56200
1999-03-22	3.14	3.18	3.14	3.18	10600
1999-03-23	3.14	3.14	3.14	3.14	34800
1999-03-24	3.14	3.14	3.11	3.14	80000
1999-03-25	3.09	3.09	3.08	3.08	52800
1999-03-26	3.05	3.05	3.05	3.05	200
1999-03-29	2.48	3.05	2.31	3.05	348400
1999-03-30	2.97	3.09	2.81	2.81	216600
1999-03-31	2.95	3.09	2.93	2.93	206400
1999-04-01	2.95	3.01	2.93	3.01	309600
1999-04-05	2.93	2.95	2.93	2.93	46600
1999-04-06	2.95	2.95	2.93	2.93	14000
1999-04-07	2.91	2.95	2.91	2.95	5600
1999-04-08	2.81	2.91	2.76	2.91	20400
1999-04-09	2.81	2.81	2.76	2.76	355800
1999-04-12	2.89	2.89	2.89	2.89	5200
1999-04-13	2.93	2.99	2.93	2.93	28600
1999-04-14	3.05	3.18	2.99	3.01	48400
1999-04-15	3.22	3.22	3.09	3.09	253600
1999-04-16	3.16	3.28	3.16	3.22	326400
1999-04-19	3.20	3.22	3.14	3.18	215400
1999-04-20	3.22	3.22	3.14	3.18	108200
1999-04-21	3.22	3.22	3.14	3.22	210400
1999-04-22	3.18	3.26	3.14	3.21	365000
1999-04-23	3.14	3.26	3.14	3.26	183800
1999-04-26	3.22	3.30	3.18	3.30	104200
1999-04-27	3.18	3.26	2.93	2.93	344800
1999-04-28	3.26	3.28	3.22	3.26	35000
1999-04-29	3.22	3.28	3.22	3.28	36400
1999-04-30	3.26	3.28	3.22	3.28	115000
1999-05-03	3.31	3.33	3.23	3.23	146400
1999-05-04	3.43	3.58	3.31	3.33	211400
1999-05-05	3.48	3.52	3.43	3.48	244200
1999-05-06	3.43	3.52	3.41	3.52	88600
1999-05-07	3.48	3.48	3.43	3.43	18800
1999-05-10	3.46	3.46	3.46	3.46	13200
1999-05-11	3.48	3.48	3.39	3.48	36800
1999-05-12	3.39	3.56	3.38	3.56	228400
1999-05-13	3.43	3.43	3.35	3.35	41800
1999-05-14	3.48	3.50	3.35	3.35	1286000
1999-05-17	3.48	3.52	3.46	3.48	68800
1999-05-18	3.54	3.54	3.50	3.52	31800
1999-05-19	3.52	3.54	3.52	3.54	15400
1999-05-20	3.43	3.52	3.37	3.52	113000
1999-05-21	3.33	3.39	3.19	3.35	901800
1999-05-24	3.35	3.35	3.31	3.35	64000
1999-05-25	3.33	3.33	3.33	3.33	20200
1999-05-26	3.31	3.33	3.31	3.33	67400
1999-05-27	3.31	3.35	3.31	3.33	78600
1999-05-28	3.35	3.35	3.31	3.31	36600
1999-06-01	3.33	3.35	3.31	3.31	135200
1999-06-02	3.33	3.35	3.31	3.31	47400
1999-06-03	3.33	3.33	3.31	3.33	177400
1999-06-04	3.33	3.35	3.31	3.33	81800
1999-06-07	3.31	3.35	3.31	3.35	336600
1999-06-08	3.31	3.35	3.29	3.29	91600
1999-06-09	3.31	3.33	3.31	3.31	7600
1999-06-10	3.32	3.33	3.31	3.31	42200
1999-06-11	3.29	3.33	3.27	3.33	142000
1999-06-14	3.27	3.29	3.25	3.29	72800
1999-06-15	3.29	3.31	3.23	3.27	27000
1999-06-16	3.23	3.29	3.23	3.29	42600
1999-06-17	3.29	3.29	3.26	3.26	13200
1999-06-18	3.29	3.29	3.27	3.29	5600
1999-06-21	3.23	3.26	3.23	3.26	91800
