Date	Open	High	Low	Close	Adj Close	Volume
2003-02-07	8.92	8.92	8.87	8.87		2602400.00
2003-02-10	8.87	8.87	8.84	8.84		50400.00
2003-02-11	8.84	8.84	8.84	8.84		0.00
2003-02-12	8.84	8.84	8.84	8.84		0.00
2003-02-13	8.70	8.70	8.70	8.70		200.00
2003-02-14	8.70	8.70	8.70	8.70		0.00
2003-02-18	8.76	8.76	8.76	8.76		400.00
2003-02-19	8.72	8.75	8.72	8.75		70000.00
2003-02-20	8.81	8.81	8.81	8.81		20000.00
2003-02-21	8.92	8.92	8.92	8.92		2600.00
2003-02-24	8.87	8.87	8.87	8.87		200.00
2003-02-25	8.72	8.73	8.72	8.73		2600.00
2003-02-26	8.73	8.73	8.73	8.73		0.00
2003-02-27	8.73	8.73	8.73	8.73		0.00
2003-02-28	8.73	8.73	8.73	8.73		0.00
2003-03-03	8.73	8.73	8.73	8.73		0.00
2003-03-04	8.73	8.73	8.73	8.73		0.00
2003-03-05	8.73	8.73	8.73	8.73		0.00
2003-03-06	8.73	8.73	8.73	8.73		0.00
2003-03-07	8.46	8.47	8.45	8.45		800.00
2003-03-10	8.42	8.42	8.42	8.42		2800.00
2003-03-11	8.42	8.42	8.42	8.42		0.00
2003-03-12	8.17	8.17	8.15	8.15		1600.00
2003-03-13	8.32	8.32	8.32	8.32		400.00
2003-03-14	8.32	8.32	8.32	8.32		0.00
2003-03-17	8.47	8.47	8.47	8.47		200.00
2003-03-18	8.55	8.55	8.55	8.55		200.00
2003-03-19	8.55	8.55	8.55	8.55		0.00
2003-03-20	8.59	8.59	8.57	8.57		2000.00
2003-03-21	8.57	8.57	8.57	8.57		0.00
2003-03-24	8.57	8.57	8.57	8.57		0.00
2003-03-25	8.57	8.57	8.57	8.57		0.00
2003-03-26	8.36	8.36	8.36	8.36		200.00
2003-03-27	8.30	8.30	8.30	8.30		200.00
2003-03-28	8.19	8.19	8.19	8.19		600.00
2003-03-31	8.19	8.19	8.19	8.19		0.00
2003-04-01	8.19	8.19	8.19	8.19		0.00
2003-04-02	8.19	8.19	8.19	8.19		0.00
2003-04-03	8.19	8.19	8.19	8.19		0.00
2003-04-04	8.40	8.41	8.40	8.41		21200.00
2003-04-07	8.62	8.62	8.54	8.57		9600.00
2003-04-08	8.57	8.57	8.57	8.57		0.00
2003-04-09	8.46	8.46	8.46	8.46		200.00
2003-04-10	8.46	8.46	8.46	8.46		0.00
2003-04-11	8.56	8.56	8.56	8.56		19400.00
2003-04-14	8.66	8.66	8.66	8.66		200.00
2003-04-15	8.62	8.62	8.62	8.62		600.00
2003-04-16	8.64	8.64	8.64	8.64		1000.00
2003-04-17	8.64	8.64	8.64	8.64		0.00
2003-04-21	8.66	8.66	8.66	8.66		200.00
2003-04-22	8.69	8.73	8.69	8.73		1200.00
2003-04-23	8.73	8.73	8.73	8.73		0.00
2003-04-24	8.73	8.73	8.73	8.73		0.00
2003-04-25	8.69	8.69	8.69	8.69		2200.00
2003-04-28	8.74	8.74	8.74	8.74		400.00
2003-04-29	8.74	8.74	8.74	8.74		0.00
2003-04-30	8.78	8.79	8.72	8.79		3400.00
2003-05-01	8.80	8.80	8.80	8.80		6200.00
2003-05-02	8.74	8.79	8.74	8.79		2400.00
2003-05-05	8.69	9.01	8.69	8.98		3400.00
2003-05-06	8.96	8.96	8.96	8.96		8000.00
2003-05-07	8.98	9.02	8.98	9.01		40200.00
2003-05-08	8.90	8.90	8.89	8.89		600.00
2003-05-09	8.99	8.99	8.99	8.99		400.00
2003-05-12	9.14	9.14	9.14	9.14		400.00
2003-05-13	9.10	9.16	9.10	9.16		400.00
2003-05-14	9.07	9.07	9.07	9.07		1000.00
2003-05-15	8.98	8.98	8.80	8.80		12800.00
2003-05-16	8.80	8.80	8.80	8.80		0.00
2003-05-19	8.82	8.83	8.80	8.83		61000.00
2003-05-20	8.83	8.83	8.83	8.83		0.00
2003-05-21	8.83	8.83	8.83	8.83		200.00
2003-05-22	8.82	8.82	8.81	8.81		3200.00
2003-05-23	8.81	8.81	8.81	8.81		0.00
2003-05-27	8.87	8.87	8.82	8.85		4200.00
2003-05-28	8.91	8.91	8.91	8.91		600.00
2003-05-29	8.96	8.96	8.96	8.96		2000.00
2003-05-30	9.07	9.07	9.04	9.04		4800.00
2003-06-02	9.13	9.23	9.11	9.23		26000.00
2003-06-03	9.23	9.23	9.23	9.23		0.00
2003-06-04	9.10	9.11	9.10	9.11		2000.00
2003-06-05	9.11	9.11	9.11	9.11		0.00
2003-06-06	9.41	9.42	9.41	9.42		37200.00
2003-06-09	9.44	9.44	9.37	9.37		3800.00
2003-06-10	9.37	9.38	9.37	9.38		2800.00
2003-06-11	9.37	9.37	9.37	9.37		200.00
2003-06-12	9.29	9.42	9.29	9.37		11400.00
2003-06-13	9.43	9.43	9.38	9.39		3000.00
2003-06-16	9.43	9.50	9.43	9.50		2800.00
2003-06-17	9.55	9.55	9.55	9.55		800.00
2003-06-18	9.48	9.49	9.48	9.49		800.00
2003-06-19	9.54	9.56	9.54	9.56		1600.00
2003-06-20	9.53	9.55	9.53	9.55		1600.00
2003-06-23	9.38	9.38	9.34	9.36		22400.00
2003-06-24	9.32	9.32	9.30	9.32		22400.00
2003-06-25	9.36	9.36	9.36	9.36		400.00
2003-06-26	9.32	9.35	9.31	9.35		23400.00
2003-06-27	9.34	9.36	9.34	9.36		1600.00
2003-06-30	9.40	9.41	9.40	9.41		21200.00
2003-07-01	9.54	9.58	9.54	9.58		3200.00
2003-07-02	9.60	9.63	9.60	9.63		40600.00
2003-07-03	9.69	9.69	9.69	9.69		2000.00
2003-07-07	9.58	9.62	9.58	9.62		4000.00
2003-07-08	9.63	9.72	9.62	9.72		1600.00
2003-07-09	9.72	9.72	9.62	9.63		22200.00
2003-07-10	9.68	9.68	9.64	9.67		14400.00
2003-07-11	9.64	9.69	9.64	9.69		1800.00
2003-07-14	9.85	9.88	9.85	9.87		2000.00
2003-07-15	9.83	9.83	9.65	9.65		2600.00
2003-07-16	9.65	9.65	9.65	9.65		0.00
2003-07-17	9.48	9.48	9.38	9.38		3200.00
2003-07-18	9.36	9.43	9.36	9.43		15000.00
2003-07-21	9.43	9.43	9.43	9.43		200.00
2003-07-22	9.51	9.51	9.51	9.51		200.00
2003-07-23	9.63	9.63	9.63	9.63		20000.00
2003-07-24	9.74	9.75	9.74	9.75		8800.00
2003-07-25	10.02	10.02	10.02	10.02		400.00
2003-07-28	10.14	10.18	10.14	10.14		5800.00
2003-07-29	10.14	10.14	10.09	10.09		400.00
2003-07-30	9.95	9.99	9.95	9.99		800.00
2003-07-31	9.96	10.05	9.96	10.05		2400.00
2003-08-01	9.98	10.00	9.98	10.00		400.00
2003-08-04	9.95	10.04	9.95	10.04		22600.00
2003-08-05	10.02	10.03	10.02	10.03		1000.00
2003-08-06	10.07	10.07	10.07	10.07		200.00
2003-08-07	10.07	10.07	10.07	10.07		0.00
2003-08-08	10.09	10.09	10.05	10.05		20600.00
2003-08-11	10.20	10.22	10.20	10.22		2600.00
2003-08-12	10.28	10.28	10.26	10.26		6400.00
2003-08-13	10.35	10.35	10.35	10.35		2000.00
2003-08-14	10.35	10.35	10.35	10.35		600.00
2003-08-15	10.37	10.37	10.37	10.37		200.00
2003-08-18	10.42	10.47	10.42	10.47		10800.00
2003-08-19	10.49	10.53	10.49	10.51		21000.00
2003-08-20	10.51	10.51	10.51	10.51		1400.00
2003-08-21	10.60	10.61	10.52	10.53		4800.00
2003-08-22	10.59	10.59	10.57	10.57		9400.00
2003-08-25	10.48	10.48	10.48	10.48		20000.00
2003-08-26	10.41	10.48	10.40	10.48		2000.00
2003-08-27	10.51	10.52	10.51	10.52		5400.00
2003-08-28	10.56	10.57	10.55	10.57		5400.00
2003-08-29	10.62	10.62	10.58	10.58		1400.00
2003-09-02	10.66	10.68	10.66	10.68		600.00
2003-09-03	10.80	10.84	10.79	10.84		17800.00
2003-09-04	10.78	10.78	10.78	10.78		5600.00
2003-09-05	10.79	10.82	10.78	10.78		3400.00
2003-09-08	10.71	10.71	10.65	10.65		800.00
2003-09-09	10.85	10.87	10.79	10.79		21000.00
2003-09-10	10.74	10.74	10.72	10.72		20200.00
2003-09-11	10.80	10.80	10.68	10.68		41800.00
2003-09-12	10.65	10.65	10.64	10.64		20400.00
2003-09-15	10.58	10.58	10.55	10.55		20800.00
2003-09-16	10.53	10.64	10.53	10.64		190200.00
2003-09-17	10.64	10.73	10.64	10.73		3200.00
2003-09-18	10.87	10.87	10.79	10.81		25000.00
2003-09-19	10.81	10.84	10.81	10.84		6600.00
2003-09-22	10.87	10.88	10.87	10.87		2200.00
2003-09-23	10.83	10.86	10.83	10.83		1800.00
2003-09-24	10.87	10.89	10.86	10.88		25600.00
2003-09-25	10.85	10.88	10.85	10.86		33400.00
2003-09-26	10.66	10.70	10.66	10.68		1000.00
2003-09-29	10.73	10.81	10.73	10.81		800.00
2003-09-30	10.93	10.93	10.81	10.81		102400.00
2003-10-01	10.85	10.85	10.81	10.83		1200.00
2003-10-02	10.83	10.83	10.83	10.83		0.00
2003-10-03	11.16	11.18	11.03	11.03		29600.00
2003-10-06	11.10	11.22	11.10	11.21		3200.00
2003-10-07	11.22	11.25	11.17	11.17		7600.00
2003-10-08	11.25	11.35	11.25	11.34		3400.00
2003-10-09	11.42	11.47	11.42	11.45		29600.00
2003-10-10	11.53	11.53	11.47	11.50		6000.00
2003-10-13	11.61	11.61	11.53	11.57		4400.00
2003-10-14	11.48	11.57	11.48	11.57		3600.00
2003-10-15	11.59	11.59	11.50	11.51		8200.00
2003-10-16	11.55	11.64	11.55	11.60		7000.00
2003-10-17	11.51	11.56	11.50	11.51		25400.00
2003-10-20	11.51	11.51	11.48	11.48		17600.00
2003-10-21	11.54	11.55	11.50	11.53		16800.00
2003-10-22	11.55	11.59	11.52	11.58		10000.00
2003-10-23	11.43	11.50	11.41	11.50		22600.00
2003-10-24	11.53	11.59	11.52	11.59		1600.00
2003-10-27	11.58	11.64	11.55	11.63		34600.00
2003-10-28	11.66	11.71	11.65	11.71		50800.00
2003-10-29	11.73	11.89	11.73	11.89		16800.00
2003-10-30	11.96	12.06	11.96	12.00		12200.00
2003-10-31	11.93	11.97	11.93	11.96		13600.00
2003-11-03	12.14	12.14	11.98	11.98		24800.00
2003-11-04	12.05	12.08	12.04	12.07		10400.00
2003-11-05	12.00	12.01	11.84	11.97		13800.00
