Date	Open	High	Low	Close	Adj Close	Volume
1996-03-18	8.05	8.05	8.05	8.05		650
1996-03-19	8.05	8.05	8.05	8.05		0
1996-03-20	8.05	8.05	8.05	8.05		0
1996-03-21	8.05	8.05	8.05	8.05		0
1996-03-22	8.05	8.05	8.05	8.05		0
1996-03-25	8.05	8.05	8.05	8.05		0
1996-03-26	7.83	7.91	7.83	7.91		7500
1996-03-27	7.76	7.87	7.76	7.87		17550
1996-03-28	7.83	7.83	7.83	7.83		2500
1996-03-29	7.91	8.05	7.91	8.05		88550
1996-04-01	8.05	8.05	8.05	8.05		0
1996-04-02	8.13	8.13	8.13	8.13		11300
1996-04-03	8.13	8.13	8.13	8.13		0
1996-04-04	8.20	8.24	8.20	8.24		27500
1996-04-08	8.09	8.09	8.05	8.05		8000
1996-04-09	8.13	8.32	8.13	8.28		39800
1996-04-10	8.35	8.43	8.35	8.39		66700
1996-04-11	8.43	8.43	8.35	8.43		11200
1996-04-12	8.39	8.43	8.39	8.39		20250
1996-04-15	8.50	8.58	8.43	8.50		135850
1996-04-16	8.43	8.47	8.39	8.47		35000
1996-04-17	8.35	8.39	8.32	8.35		23300
1996-04-18	8.43	8.50	8.43	8.50		18350
1996-04-19	8.50	8.58	8.50	8.58		9600
1996-04-22	8.95	9.25	8.95	9.21		162050
1996-04-23	9.17	9.21	9.10	9.21		48600
1996-04-24	9.06	9.21	9.06	9.21		70800
1996-04-25	9.17	9.25	9.17	9.21		18350
1996-04-26	9.25	9.25	9.21	9.25		30900
1996-04-29	9.06	9.14	9.02	9.10		28700
1996-04-30	9.14	9.17	9.10	9.14		15600
1996-05-01	9.06	9.10	9.06	9.10		16150
1996-05-02	9.17	9.17	9.10	9.14		16450
1996-05-03	9.17	9.17	9.10	9.17		22400
1996-05-06	9.17	9.17	9.17	9.17		2200
1996-05-07	9.21	9.21	9.17	9.17		15350
1996-05-08	9.06	9.06	9.02	9.06		7500
1996-05-09	9.06	9.06	8.99	9.06		11500
1996-05-10	9.02	9.10	9.02	9.10		28050
1996-05-13	9.10	9.10	9.02	9.10		4750
1996-05-14	9.10	9.17	9.10	9.17		13300
1996-05-15	9.17	9.17	9.06	9.06		8550
1996-05-16	8.99	8.99	8.99	8.99		2350
1996-05-17	9.17	9.25	9.17	9.25		23950
1996-05-20	9.17	9.32	9.17	9.25		38350
1996-05-21	9.10	9.14	9.10	9.14		1200
1996-05-22	9.10	9.14	9.06	9.14		3750
1996-05-23	9.14	9.14	9.14	9.14		8000
1996-05-24	9.10	9.10	9.10	9.10		250
1996-05-28	9.14	9.14	9.14	9.14		1400
1996-05-29	9.14	9.17	9.14	9.17		4700
1996-05-30	9.14	9.17	9.10	9.17		34950
1996-05-31	9.10	9.14	9.06	9.14		3850
1996-06-03	9.02	9.06	8.99	8.99		17350
1996-06-04	8.99	9.06	8.99	9.06		2500
1996-06-05	9.06	9.10	9.06	9.10		17750
1996-06-06	9.10	9.10	9.06	9.06		1650
1996-06-07	9.02	9.02	9.02	9.02		250
1996-06-10	9.10	9.10	9.02	9.02		6750
1996-06-11	8.84	8.95	8.76	8.95		9750
1996-06-12	9.02	9.06	9.02	9.06		36450
1996-06-13	9.06	9.06	9.02	9.06		16000
1996-06-14	8.99	9.02	8.99	8.99		38250
1996-06-17	8.99	9.10	8.99	9.10		26600
1996-06-18	9.14	9.14	9.14	9.14		6450
1996-06-19	9.17	9.40	9.17	9.36		84600
1996-06-20	9.32	9.36	9.25	9.29		73850
1996-06-21	9.29	9.29	9.17	9.17		1700
1996-06-24	9.14	9.21	9.14	9.21		13950
1996-06-25	9.17	9.29	9.17	9.25		34100
1996-06-26	9.25	9.25	9.21	9.21		24250
1996-06-27	9.17	9.25	9.14	9.25		32200
1996-06-28	9.17	9.17	9.17	9.17		2400
1996-07-01	9.21	9.25	9.17	9.21		3450
1996-07-02	9.21	9.25	9.14	9.14		8050
1996-07-03	9.17	9.25	9.17	9.25		2700
1996-07-05	9.17	9.17	9.17	9.17		2950
1996-07-08	9.17	9.17	9.06	9.14		1800
1996-07-09	9.10	9.10	8.99	9.02		75150
1996-07-10	9.02	9.10	9.02	9.10		12100
1996-07-11	9.02	9.02	8.99	8.99		9750
1996-07-12	8.95	8.95	8.88	8.88		2750
1996-07-15	8.76	8.76	8.39	8.39		83900
1996-07-16	8.43	8.58	8.43	8.50		4700
