Date	Open	High	Low	Close	Adj Close	Volume
1996-03-18	5.39	5.42	5.39	5.42		5500
1996-03-19	5.42	5.42	5.42	5.42		100
1996-03-20	5.42	5.42	5.42	5.42		100
1996-03-21	5.37	5.37	5.37	5.37		2000
1996-03-22	5.37	5.37	5.37	5.37		0
1996-03-25	5.37	5.37	5.37	5.37		0
1996-03-26	5.53	5.53	5.53	5.53		15000
1996-03-27	5.53	5.53	5.47	5.47		10400
1996-03-28	5.50	5.50	5.50	5.50		100
1996-03-29	5.61	5.61	5.61	5.61		200
1996-04-01	5.61	5.61	5.61	5.61		0
1996-04-02	5.69	5.69	5.69	5.69		4000
1996-04-03	5.69	5.69	5.66	5.69		202800
1996-04-04	5.69	5.69	5.69	5.69		4700
1996-04-08	5.69	5.69	5.69	5.69		0
1996-04-09	5.69	5.69	5.69	5.69		1000
1996-04-10	5.69	5.69	5.66	5.66		1800
1996-04-11	5.63	5.63	5.58	5.61		2600
1996-04-12	5.63	5.63	5.63	5.63		300
1996-04-15	5.63	5.63	5.63	5.63		300
1996-04-16	5.63	5.63	5.63	5.63		0
1996-04-17	5.63	5.63	5.53	5.53		2500
1996-04-18	5.58	5.63	5.58	5.61		73600
1996-04-19	5.66	5.69	5.66	5.69		400
1996-04-22	5.69	5.69	5.69	5.69		12200
1996-04-23	5.69	5.69	5.69	5.69		3200
1996-04-24	5.71	5.71	5.71	5.71		1000
1996-04-25	5.66	5.66	5.66	5.66		1400
1996-04-26	5.71	5.71	5.71	5.71		100
1996-04-29	5.71	5.71	5.71	5.71		1600
1996-04-30	5.69	5.69	5.69	5.69		1000
1996-05-01	5.66	5.69	5.66	5.69		800
1996-05-02	5.71	5.77	5.71	5.74		19300
1996-05-03	5.63	5.66	5.63	5.66		9900
1996-05-06	5.66	5.66	5.61	5.63		18600
1996-05-07	5.58	5.61	5.58	5.61		12800
1996-05-08	5.61	5.61	5.61	5.61		800
1996-05-09	5.61	5.61	5.61	5.61		3800
1996-05-10	5.63	5.63	5.63	5.63		400
1996-05-13	5.55	5.58	5.55	5.58		51000
1996-05-14	5.63	5.63	5.61	5.63		8900
1996-05-15	5.61	5.63	5.61	5.63		12500
