Date	Open	High	Low	Close	Adj Close	Volume
1996-03-18	9.16	9.16	9.16	9.16		500.00
1996-03-19	9.25	9.25	9.25	9.25		18500.00
1996-03-20	9.16	9.16	9.16	9.16		3400.00
1996-03-21	9.16	9.16	9.16	9.16		0.00
1996-03-22	9.34	9.34	9.34	9.34		350.00
1996-03-25	9.43	9.43	9.43	9.43		1100.00
1996-03-26	9.48	9.48	9.39	9.48		1550.00
1996-03-27	9.43	9.43	9.39	9.39		900.00
1996-03-28	9.25	9.25	9.25	9.25		2500.00
1996-03-29	9.43	9.43	9.34	9.39		3100.00
1996-04-01	9.43	9.43	9.25	9.25		4900.00
1996-04-02	9.20	9.20	9.11	9.20		31450.00
1996-04-03	9.25	9.25	9.25	9.25		900.00
1996-04-04	9.30	9.30	9.25	9.25		1500.00
1996-04-08	9.16	9.16	9.07	9.07		900.00
1996-04-09	9.20	9.20	9.07	9.07		500.00
1996-04-10	9.25	9.25	9.16	9.16		4300.00
1996-04-11	9.20	9.20	9.20	9.20		150.00
1996-04-12	9.20	9.25	9.20	9.25		1000.00
1996-04-15	9.25	9.25	9.25	9.25		200.00
1996-04-16	9.39	9.39	9.39	9.39		12650.00
1996-04-17	9.43	9.43	9.34	9.34		6400.00
1996-04-18	9.30	9.34	9.30	9.34		5550.00
1996-04-19	9.34	9.34	9.34	9.34		2300.00
1996-04-22	9.34	9.34	9.25	9.25		6300.00
1996-04-23	9.25	9.25	9.16	9.16		14500.00
1996-04-24	9.16	9.16	9.07	9.11		2550.00
1996-04-25	9.02	9.11	9.02	9.07		5400.00
1996-04-26	9.11	9.25	9.11	9.20		16450.00
1996-04-29	9.30	9.30	9.20	9.25		2550.00
1996-04-30	9.25	9.34	9.25	9.30		16850.00
1996-05-01	9.30	9.30	9.25	9.25		6000.00
1996-05-02	9.25	9.30	9.20	9.20		16150.00
1996-05-03	9.25	9.25	9.20	9.25		9000.00
1996-05-06	9.20	9.25	9.16	9.20		7050.00
1996-05-07	9.20	9.25	9.11	9.16		15800.00
1996-05-08	9.11	9.16	9.02	9.11		8800.00
1996-05-09	9.25	9.25	9.11	9.20		14250.00
1996-05-10	9.20	9.25	9.16	9.16		7700.00
1996-05-13	9.16	9.25	9.16	9.20		8100.00
1996-05-14	9.16	9.20	9.02	9.16		33000.00
1996-05-15	9.02	9.02	8.88	8.93		3200.00
1996-05-16	8.84	9.02	8.84	8.97		4050.00
1996-05-17	8.97	8.97	8.84	8.88		2700.00
1996-05-20	8.88	8.88	8.75	8.84		9500.00
1996-05-21	8.79	8.84	8.65	8.84		14300.00
1996-05-22	8.79	8.79	8.65	8.75		3000.00
1996-05-23	8.84	8.84	8.84	8.84		50.00
1996-05-24	8.75	8.97	8.75	8.97		27350.00
1996-05-28	8.97	8.97	8.79	8.88		16600.00
1996-05-29	8.79	8.84	8.79	8.79		16750.00
1996-05-30	8.79	8.79	8.79	8.79		2100.00
1996-05-31	8.84	8.88	8.84	8.84		5900.00
1996-06-03	8.79	8.79	8.52	8.61		10900.00
1996-06-04	8.56	8.75	8.56	8.75		8700.00
1996-06-05	8.70	8.70	8.70	8.70		2100.00
1996-06-06	8.88	8.93	8.88	8.88		1600.00
1996-06-07	8.79	8.84	8.75	8.79		3900.00
1996-06-10	8.93	8.93	8.93	8.93		2500.00
1996-06-11	8.93	8.93	8.88	8.88		3300.00
1996-06-12	8.88	8.88	8.79	8.84		700.00
1996-06-13	8.75	8.79	8.65	8.75		6550.00
1996-06-14	8.84	8.84	8.84	8.84		700.00
1996-06-17	8.93	8.93	8.75	8.75		3650.00
1996-06-18	8.88	8.93	8.88	8.93		1850.00
1996-06-19	8.93	8.93	8.88	8.88		2100.00
1996-06-20	8.93	8.93	8.93	8.93		150.00
1996-06-21	8.88	8.93	8.88	8.93		1150.00
1996-06-24	8.93	8.93	8.93	8.93		3150.00
1996-06-25	8.93	8.93	8.93	8.93		1550.00
1996-06-26	8.93	8.93	8.93	8.93		350.00
1996-06-27	8.88	8.88	8.79	8.84		1900.00
1996-06-28	8.88	8.88	8.88	8.88		3400.00
1996-07-01	8.79	8.88	8.79	8.88		550.00
1996-07-02	8.88	8.88	8.79	8.79		3450.00
1996-07-03	8.79	8.79	8.79	8.79		0.00
1996-07-05	8.61	8.61	8.61	8.61		50.00
1996-07-08	8.70	8.70	8.52	8.52		1950.00
1996-07-09	8.56	8.61	8.56	8.61		150.00
1996-07-10	8.61	8.61	8.61	8.61		1050.00
1996-07-11	8.65	8.65	8.38	8.52		1050.00
1996-07-12	8.43	8.43	8.24	8.43		1000.00
1996-07-15	8.20	8.20	8.20	8.20		100.00
1996-07-16	8.24	8.24	8.06	8.06		3050.00
1996-07-17	8.20	8.43	8.20	8.43		2100.00
1996-07-18	8.43	8.47	8.43	8.47		2750.00
1996-07-19	8.52	8.52	8.29	8.29		15850.00
1996-07-22	8.20	8.29	8.20	8.29		350.00
1996-07-23	8.33	8.33	8.24	8.29		8000.00
1996-07-24	8.20	8.29	8.10	8.24		40350.00
1996-07-25	8.24	8.24	8.24	8.24		400.00
1996-07-26	8.20	8.20	8.20	8.20		100.00
1996-07-29	8.06	8.06	7.97	7.97		400.00
1996-07-30	7.97	7.97	7.97	7.97		2150.00
1996-07-31	8.06	8.20	8.06	8.20		1900.00
1996-08-01	8.29	8.29	8.24	8.24		2850.00
1996-08-02	8.29	8.33	8.24	8.24		2800.00
1996-08-05	8.29	8.29	8.24	8.24		800.00
1996-08-06	8.38	8.38	8.29	8.29		1050.00
1996-08-07	8.38	8.47	8.38	8.47		600.00
1996-08-08	8.38	8.38	8.24	8.33		1850.00
1996-08-09	8.33	8.33	8.20	8.20		12650.00
1996-08-12	8.38	8.38	8.15	8.24		6900.00
1996-08-13	8.06	8.06	8.06	8.06		550.00
1996-08-14	8.33	8.33	8.24	8.24		450.00
1996-08-15	8.15	8.15	8.01	8.15		950.00
1996-08-16	8.15	8.15	8.06	8.06		650.00
1996-08-19	8.06	8.06	8.01	8.01		6000.00
1996-08-20	8.15	8.24	8.15	8.24		600.00
1996-08-21	8.24	8.43	8.24	8.38		14500.00
1996-08-22	8.43	8.43	8.38	8.38		1400.00
1996-08-23	8.47	8.47	8.43	8.43		400.00
1996-08-26	8.41	8.41	8.36	8.36		450.00
1996-08-27	8.41	8.45	8.27	8.45		550.00
1996-08-28	8.45	8.45	8.45	8.45		2100.00
1996-08-29	8.41	8.41	8.31	8.36		15050.00
1996-08-30	8.36	8.45	8.36	8.45		2550.00
1996-09-03	8.22	8.22	8.08	8.22		11300.00
1996-09-04	8.22	8.22	8.22	8.22		100.00
1996-09-05	8.27	8.27	8.27	8.27		950.00
1996-09-06	8.31	8.31	8.18	8.18		6400.00
1996-09-09	8.18	8.27	8.18	8.22		6900.00
1996-09-10	8.31	8.31	8.18	8.27		250.00
1996-09-11	8.18	8.18	8.18	8.18		550.00
1996-09-12	8.18	8.27	8.18	8.27		700.00
1996-09-13	8.36	8.36	8.36	8.36		400.00
1996-09-16	8.36	8.41	8.36	8.41		200.00
1996-09-17	8.41	8.45	8.41	8.45		10050.00
1996-09-18	8.45	8.45	8.36	8.36		33600.00
1996-09-19	8.45	8.45	8.45	8.45		12550.00
1996-09-20	8.36	8.50	8.36	8.50		750.00
1996-09-23	8.27	8.41	8.27	8.41		650.00
1996-09-24	8.22	8.36	8.22	8.36		1900.00
1996-09-25	8.27	8.27	8.27	8.27		150.00
1996-09-26	8.31	8.36	8.27	8.31		25050.00
1996-09-27	8.31	8.41	8.31	8.31		13300.00
1996-09-30	8.36	8.36	8.27	8.36		7450.00
1996-10-01	8.36	8.36	8.27	8.31		3500.00
1996-10-02	8.36	8.41	8.31	8.36		13200.00
1996-10-03	8.36	8.36	8.27	8.27		7500.00
1996-10-04	8.22	8.36	8.22	8.36		2150.00
1996-10-07	8.18	8.18	8.08	8.08		4600.00
1996-10-08	7.95	8.08	7.95	7.99		3500.00
1996-10-09	7.99	8.18	7.99	8.08		1400.00
1996-10-10	7.99	8.18	7.99	8.18		6250.00
1996-10-11	8.08	8.13	8.08	8.08		3250.00
1996-10-14	8.08	8.08	7.95	7.95		33050.00
1996-10-15	8.13	8.13	7.90	8.04		8650.00
1996-10-16	8.08	8.13	8.08	8.13		9950.00
1996-10-17	8.08	8.13	7.99	8.13		1850.00
1996-10-18	8.13	8.18	8.04	8.08		2350.00
1996-10-21	7.99	7.99	7.85	7.90		16700.00
1996-10-22	7.95	7.99	7.90	7.99		1050.00
1996-10-23	7.99	8.04	7.95	7.95		10850.00
1996-10-24	8.13	8.18	8.13	8.18		1450.00
1996-10-25	8.18	8.27	8.18	8.18		2950.00
