Date	Open	High	Low	Close	Adj Close	Volume
1996-03-18	8.17	8.17	8.17	8.17		250
1996-03-19	8.17	8.17	8.17	8.17		250
1996-03-20	8.17	8.17	8.17	8.17		11000
1996-03-21	8.17	8.17	8.17	8.17		0
1996-03-22	8.17	8.17	8.17	8.17		0
1996-03-25	8.17	8.17	8.17	8.17		0
1996-03-26	8.17	8.17	8.17	8.17		0
1996-03-27	8.17	8.17	8.09	8.09		200
1996-03-28	7.92	8.09	7.92	8.09		14950
1996-03-29	8.13	8.13	8.13	8.13		100
1996-04-01	8.17	8.30	8.17	8.30		102500
1996-04-02	8.30	8.30	8.30	8.30		0
1996-04-03	8.30	8.30	8.30	8.30		0
1996-04-04	8.30	8.30	8.30	8.30		0
1996-04-08	8.13	8.21	8.13	8.21		2500
1996-04-09	8.30	8.30	8.30	8.30		650
1996-04-10	8.25	8.30	8.25	8.30		2500
1996-04-11	8.30	8.30	8.30	8.30		0
1996-04-12	8.30	8.30	8.30	8.30		0
1996-04-15	8.25	8.38	8.25	8.38		34550
1996-04-16	8.42	8.42	8.42	8.42		350
1996-04-17	8.42	8.42	8.42	8.42		0
1996-04-18	8.42	8.42	8.42	8.42		0
1996-04-19	8.54	8.54	8.54	8.54		500
1996-04-22	8.58	8.58	8.54	8.54		1150
1996-04-23	8.54	8.54	8.54	8.54		0
1996-04-24	8.42	8.46	8.42	8.46		5500
1996-04-25	8.46	8.46	8.46	8.46		0
1996-04-26	8.46	8.46	8.46	8.46		0
1996-04-29	8.42	8.42	8.42	8.42		450
1996-04-30	8.38	8.38	8.38	8.38		50
1996-05-01	8.38	8.38	8.38	8.38		0
1996-05-02	8.30	8.30	8.17	8.17		2600
1996-05-03	8.13	8.25	8.13	8.21		6200
1996-05-06	8.25	8.25	8.25	8.25		6800
1996-05-07	8.17	8.17	8.13	8.17		22350
1996-05-08	8.09	8.25	8.09	8.25		1150
1996-05-09	8.30	8.34	8.30	8.34		1550
1996-05-10	8.38	8.38	8.38	8.38		850
1996-05-13	8.25	8.25	8.25	8.25		1300
1996-05-14	8.21	8.30	8.21	8.30		950
1996-05-15	8.30	8.30	8.30	8.30		0
1996-05-16	8.25	8.25	8.25	8.25		950
1996-05-17	8.30	8.30	8.30	8.30		3250
1996-05-20	8.30	8.30	8.30	8.30		4700
1996-05-21	8.34	8.38	8.34	8.38		850
1996-05-22	8.30	8.34	8.30	8.30		9050
1996-05-23	8.30	8.30	8.30	8.30		0
1996-05-24	8.25	8.25	8.25	8.25		1100
1996-05-28	8.30	8.30	8.25	8.25		3200
1996-05-29	8.30	8.38	8.30	8.38		18800
1996-05-30	8.34	8.34	8.25	8.25		13750
1996-05-31	8.30	8.30	8.30	8.30		1250
1996-06-03	8.42	8.42	8.42	8.42		50
1996-06-04	8.42	8.42	8.42	8.42		100
1996-06-05	8.42	8.42	8.38	8.38		600
1996-06-06	8.46	8.46	8.46	8.46		1700
1996-06-07	8.30	8.30	8.30	8.30		2500
1996-06-10	8.30	8.30	8.25	8.25		3950
1996-06-11	8.30	8.30	8.30	8.30		3450
1996-06-12	8.38	8.42	8.34	8.42		3400
1996-06-13	8.34	8.34	8.25	8.34		11450
1996-06-14	8.21	8.21	8.21	8.21		250
1996-06-17	8.42	8.42	8.42	8.42		50
1996-06-18	8.42	8.46	8.42	8.46		32000
1996-06-19	8.42	8.42	8.42	8.42		500
1996-06-20	8.42	8.42	8.42	8.42		0
1996-06-21	8.34	8.34	8.34	8.34		3000
1996-06-24	8.34	8.34	8.34	8.34		2500
1996-06-25	8.34	8.34	8.25	8.25		8250
1996-06-26	8.25	8.25	8.25	8.25		1300
1996-06-27	8.25	8.25	8.25	8.25		0
1996-06-28	8.25	8.38	8.25	8.38		1600
1996-07-01	8.25	8.38	8.25	8.38		250
1996-07-02	8.38	8.38	8.30	8.30		12550
1996-07-03	8.30	8.30	8.30	8.30		0
1996-07-05	8.42	8.42	8.42	8.42		4300
1996-07-08	8.42	8.42	8.42	8.42		50
1996-07-09	8.38	8.38	8.38	8.38		150
1996-07-10	8.38	8.38	8.38	8.38		0
1996-07-11	8.50	8.50	8.42	8.42		2400
1996-07-12	8.34	8.38	8.34	8.38		14050
1996-07-15	8.34	8.34	8.25	8.25		15800
1996-07-16	8.21	8.21	8.01	8.01		5250
1996-07-17	8.01	8.01	8.01	8.01		0
1996-07-18	8.34	8.34	8.30	8.30		18500
1996-07-19	8.30	8.30	8.30	8.30		0
1996-07-22	8.30	8.30	8.30	8.30		0
1996-07-23	8.34	8.34	8.34	8.34		6350
1996-07-24	8.25	8.38	8.25	8.25		183150
1996-07-25	8.30	8.30	8.30	8.30		50
1996-07-26	8.30	8.30	8.30	8.30		0
1996-07-29	8.34	8.34	8.34	8.34		150
1996-07-30	8.42	8.42	8.42	8.42		1100
1996-07-31	8.42	8.50	8.42	8.50		16400
1996-08-01	8.50	8.50	8.46	8.46		3750
1996-08-02	8.75	8.75	8.58	8.58		10000
1996-08-05	8.58	8.58	8.58	8.58		0
1996-08-06	8.58	8.58	8.58	8.58		0
1996-08-07	8.58	8.58	8.58	8.58		0
1996-08-08	8.58	8.58	8.58	8.58		0
1996-08-09	8.58	8.58	8.58	8.58		0
1996-08-12	8.67	8.67	8.67	8.67		300
1996-08-13	8.67	8.67	8.67	8.67		0
1996-08-14	8.71	8.71	8.63	8.63		300
1996-08-15	8.71	8.71	8.71	8.71		1900
1996-08-16	8.71	8.71	8.71	8.71		0
1996-08-19	8.71	8.71	8.71	8.71		0
1996-08-20	8.71	8.71	8.71	8.71		0
1996-08-21	8.75	8.75	8.75	8.75		1400
1996-08-22	8.87	8.87	8.87	8.87		200
1996-08-23	8.96	8.96	8.91	8.91		1100
1996-08-26	8.92	8.92	8.92	8.92		0
1996-08-27	9.00	9.00	8.96	8.96		400
1996-08-28	8.88	8.88	8.88	8.88		3500
1996-08-29	8.92	8.92	8.92	8.92		1900
1996-08-30	8.79	8.79	8.79	8.79		400
1996-09-03	8.88	8.96	8.88	8.96		11350
1996-09-04	8.79	8.92	8.79	8.92		12650
1996-09-05	8.92	8.92	8.92	8.92		100
1996-09-06	8.88	8.96	8.88	8.96		13850
1996-09-09	9.00	9.00	9.00	9.00		750
1996-09-10	9.00	9.00	9.00	9.00		550
1996-09-11	8.96	8.96	8.96	8.96		100
1996-09-12	8.96	8.96	8.96	8.96		100
1996-09-13	9.09	9.09	9.09	9.09		300
1996-09-16	9.00	9.09	9.00	9.09		2850
1996-09-17	9.09	9.09	9.09	9.09		200
1996-09-18	9.04	9.09	8.96	9.04		82950
1996-09-19	9.04	9.04	9.00	9.00		2500
1996-09-20	9.09	9.09	9.09	9.09		250
1996-09-23	8.92	8.92	8.92	8.92		2600
1996-09-24	9.00	9.00	9.00	9.00		2500
1996-09-25	8.92	8.92	8.92	8.92		800
1996-09-26	8.92	8.92	8.92	8.92		0
1996-09-27	8.92	8.92	8.92	8.92		0
1996-09-30	9.04	9.04	8.96	8.96		6600
1996-10-01	9.17	9.17	9.17	9.17		2500
1996-10-02	9.17	9.17	9.17	9.17		0
1996-10-03	9.25	9.25	9.25	9.25		1050
1996-10-04	9.21	9.34	9.21	9.34		1000
1996-10-07	9.21	9.21	9.21	9.21		14500
1996-10-08	9.17	9.21	9.17	9.21		26400
1996-10-09	9.30	9.30	9.13	9.13		5250
1996-10-10	9.13	9.13	9.13	9.13		0
1996-10-11	9.17	9.30	9.17	9.30		300
1996-10-14	9.30	9.30	9.30	9.30		0
1996-10-15	9.30	9.30	9.30	9.30		0
1996-10-16	9.30	9.30	9.30	9.30		0
1996-10-17	9.25	9.38	9.25	9.34		28450
1996-10-18	9.38	9.42	9.38	9.38		54000
1996-10-21	9.42	9.47	9.42	9.47		3000
1996-10-22	9.51	9.51	9.51	9.51		700
1996-10-23	9.47	9.47	9.42	9.42		18350
1996-10-24	9.25	9.25	9.25	9.25		20000
1996-10-25	9.25	9.25	9.25	9.25		0
1996-10-28	9.55	9.55	9.55	9.55		100
1996-10-29	9.55	9.55	9.55	9.55		0
1996-10-30	9.38	9.38	9.34	9.34		20900
1996-10-31	9.47	9.47	9.47	9.47		1000
1996-11-01	9.47	9.47	9.47	9.47		0
1996-11-04	9.47	9.47	9.47	9.47		0
1996-11-05	9.51	9.51	9.51	9.51		250
1996-11-06	9.47	9.51	9.47	9.51		650
1996-11-07	9.25	9.34	9.25	9.34		550
1996-11-08	9.34	9.34	9.34	9.34		0
1996-11-11	9.47	9.51	9.47	9.51		1950
1996-11-12	9.55	9.55	9.55	9.55		300
1996-11-13	9.55	9.55	9.55	9.55		0
1996-11-14	9.51	9.59	9.51	9.59		500
1996-11-15	9.63	9.63	9.55	9.59		2000
1996-11-18	9.72	9.72	9.72	9.72		1000
1996-11-19	9.72	9.76	9.72	9.76		1750
1996-11-20	9.76	9.80	9.76	9.76		1100
1996-11-21	10.35	10.35	9.76	9.80		1000
1996-11-22	9.89	9.89	9.89	9.89		100
1996-11-25	9.97	9.97	9.97	9.97		3000
1996-11-26	10.01	10.01	10.01	10.01		1200
1996-11-27	9.84	9.84	9.84	9.84		250
1996-11-29	10.05	10.05	9.93	9.93		250
1996-12-02	9.89	9.97	9.84	9.93		14100
1996-12-03	9.84	9.84	9.76	9.80		500
1996-12-04	9.68	9.72	9.59	9.59		1200
1996-12-05	9.72	9.72	9.68	9.72		4300
1996-12-06	9.72	9.72	9.72	9.72		0
1996-12-09	9.72	9.72	9.68	9.72		2050
1996-12-10	9.72	9.72	9.72	9.72		0
1996-12-11	9.72	9.72	9.72	9.72		0
1996-12-12	9.72	9.72	9.72	9.72		2000
1996-12-13	9.68	9.68	9.68	9.68		450
1996-12-16	9.59	9.68	9.59	9.68		1450
1996-12-17	9.68	9.68	9.68	9.68		800
1996-12-18	9.68	9.68	9.68	9.68		0
1996-12-19	9.84	9.84	9.84	9.84		100
1996-12-20	10.01	10.01	9.97	9.97		3950
1996-12-23	9.98	10.02	9.89	10.02		8500
1996-12-24	10.02	10.02	10.02	10.02		900
1996-12-26	10.11	10.11	10.11	10.11		50
1996-12-27	10.11	10.11	10.11	10.11		0
1996-12-30	10.15	10.23	10.15	10.15		395250
1996-12-31	10.36	10.44	10.27	10.44		8700
1997-01-02	10.15	10.15	10.02	10.02		600
1997-01-03	10.02	10.15	10.02	10.02		2350
1997-01-06	10.02	10.19	10.02	10.19		1750
1997-01-07	10.15	10.15	10.15	10.15		5550
1997-01-08	10.02	10.19	10.02	10.15		3200
1997-01-09	10.06	10.15	9.98	10.15		1400
1997-01-10	10.02	10.02	9.94	10.02		2000
1997-01-13	10.02	10.02	9.94	10.02		1100
1997-01-14	10.19	10.19	10.06	10.11		2150
1997-01-15	10.23	10.27	10.11	10.11		6900
1997-01-16	10.32	10.36	10.23	10.36		8000
1997-01-17	10.32	10.32	10.23	10.32		3900
1997-01-20	10.27	10.27	10.11	10.27		5450
1997-01-21	10.27	10.27	10.11	10.27		1850
1997-01-22	10.32	10.32	10.15	10.19		29600
1997-01-23	10.27	10.27	10.11	10.11		5300
1997-01-24	10.11	10.15	9.98	9.98		80450
1997-01-27	10.11	10.11	9.98	9.98		450
1997-01-28	10.06	10.06	10.06	10.06		1350
1997-01-29	10.06	10.06	9.98	9.98		650
1997-01-30	10.06	10.06	9.98	9.98		2150
1997-01-31	10.11	10.15	9.89	9.89		26750
1997-02-03	10.06	10.06	9.89	10.06		2150
1997-02-04	10.11	10.15	9.98	9.98		1700
1997-02-05	10.27	10.27	10.11	10.11		2100
1997-02-06	10.23	10.23	10.06	10.06		550
1997-02-07	10.11	10.15	10.11	10.15		200
1997-02-10	10.32	10.36	10.19	10.19		2300
1997-02-11	10.36	10.40	10.23	10.40		4900
1997-02-12	10.36	10.36	10.23	10.23		3750
1997-02-13	10.27	10.27	10.11	10.11		6350
1997-02-14	10.36	10.36	10.19	10.36		1200
1997-02-18	10.23	10.23	10.02	10.02		4450
1997-02-19	10.23	10.23	10.15	10.23		8100
1997-02-20	10.27	10.27	10.15	10.23		4100
1997-02-21	10.32	10.32	10.15	10.23		25800
1997-02-24	10.32	10.36	10.23	10.23		850
1997-02-25	10.44	10.44	10.27	10.27		2850
1997-02-26	10.44	10.44	10.40	10.44		1350
1997-02-27	10.32	10.32	10.23	10.23		6350
1997-02-28	10.11	10.23	10.11	10.23		550
