Date	Open	High	Low	Close	Adj Close	Volume
1996-03-18	5.50	5.50	5.50	5.50		100
1996-03-19	5.50	5.50	5.50	5.50		400
1996-03-20	5.67	5.70	5.64	5.67		26200
1996-03-21	5.64	5.64	5.64	5.64		5500
1996-03-22	5.70	5.74	5.70	5.70		1500
1996-03-25	5.70	5.70	5.70	5.70		10000
1996-03-26	5.70	5.84	5.70	5.74		29700
1996-03-27	5.90	5.90	5.60	5.60		6100
1996-03-28	5.64	5.67	5.64	5.67		21400
1996-03-29	5.64	5.64	5.64	5.64		3400
1996-04-01	5.74	5.80	5.74	5.80		12100
1996-04-02	5.77	5.80	5.74	5.74		17200
1996-04-03	5.74	5.77	5.74	5.77		2600
1996-04-04	5.80	5.80	5.74	5.77		1600
1996-04-08	5.70	5.70	5.60	5.64		6400
1996-04-09	5.64	5.64	5.64	5.64		1100
1996-04-10	5.70	5.70	5.70	5.70		2500
1996-04-11	5.64	5.64	5.60	5.60		20500
1996-04-12	5.57	5.94	5.57	5.94		3400
1996-04-15	5.90	6.03	5.90	6.03		1200
1996-04-16	6.03	6.03	5.97	6.00		29900
1996-04-17	6.00	6.23	6.00	6.17		18000
1996-04-18	6.17	6.30	6.17	6.30		16700
1996-04-19	6.37	6.40	6.13	6.40		20300
1996-04-22	6.30	6.43	6.30	6.37		3500
1996-04-23	6.37	6.37	6.23	6.30		3600
1996-04-24	6.30	6.30	6.27	6.27		6500
1996-04-25	6.27	6.27	6.17	6.20		10100
1996-04-26	6.30	6.30	6.23	6.23		63600
1996-04-29	6.17	6.17	6.10	6.10		11300
1996-04-30	6.10	6.13	6.10	6.13		3600
1996-05-01	6.17	6.17	6.07	6.17		2800
1996-05-02	6.17	6.17	5.97	5.97		4700
1996-05-03	6.10	6.10	6.00	6.00		9700
1996-05-06	5.87	5.87	5.84	5.84		10800
1996-05-07	5.97	6.00	5.90	5.90		2600
1996-05-08	6.00	6.07	5.97	6.07		53100
1996-05-09	6.10	6.13	6.10	6.13		1600
1996-05-10	6.13	6.17	6.13	6.17		11400
1996-05-13	6.17	6.20	6.17	6.20		2000
1996-05-14	6.30	6.30	6.23	6.23		4700
1996-05-15	6.27	6.27	6.23	6.23		2000
1996-05-16	6.20	6.20	6.17	6.20		2400
1996-05-17	6.10	6.27	6.10	6.27		27500
1996-05-20	6.30	6.33	6.30	6.33		52500
1996-05-21	6.37	6.43	6.37	6.43		7000
1996-05-22	6.40	6.40	6.40	6.40		51900
1996-05-23	6.40	6.43	6.40	6.40		6600
1996-05-24	6.43	6.43	6.37	6.37		1600
1996-05-28	6.43	6.43	6.40	6.40		13200
1996-05-29	6.40	6.40	6.30	6.33		6200
1996-05-30	6.27	6.33	6.23	6.27		21100
1996-05-31	6.23	6.23	6.17	6.17		2600
1996-06-03	6.20	6.20	6.17	6.20		700
1996-06-04	6.30	6.30	6.30	6.30		1500
1996-06-05	6.33	6.33	6.27	6.27		1200
1996-06-06	6.30	6.30	6.30	6.30		400
1996-06-07	6.17	6.17	6.17	6.17		700
1996-06-10	6.17	6.17	6.17	6.17		0
1996-06-11	6.20	6.20	6.17	6.17		3000
1996-06-12	6.10	6.10	6.10	6.10		200
1996-06-13	6.10	6.10	6.10	6.10		0
1996-06-14	6.07	6.07	6.07	6.07		1000
1996-06-17	6.07	6.07	6.07	6.07		0
1996-06-18	6.17	6.20	6.13	6.13		142000
1996-06-19	6.23	6.23	6.20	6.20		2900
1996-06-20	6.23	6.23	6.10	6.17		2300
1996-06-21	6.10	6.10	6.10	6.10		2000
1996-06-24	6.00	6.00	5.90	5.90		5000
1996-06-25	6.03	6.03	6.03	6.03		200
1996-06-26	5.94	6.00	5.94	6.00		1400
1996-06-27	6.03	6.20	6.03	6.20		31600
1996-06-28	6.17	6.17	6.17	6.17		6900
1996-07-01	6.17	6.17	6.03	6.03		400
1996-07-02	6.03	6.07	6.03	6.07		4000
1996-07-03	6.10	6.10	6.03	6.03		3200
1996-07-05	5.90	5.90	5.84	5.84		33900
1996-07-08	5.84	5.84	5.70	5.70		900
1996-07-09	5.77	5.77	5.77	5.77		3000
1996-07-10	5.74	5.84	5.74	5.84		800
1996-07-11	5.77	5.77	5.64	5.64		4500
1996-07-12	5.77	5.77	5.77	5.77		600
1996-07-15	5.57	5.57	5.47	5.47		18400
1996-07-16	5.44	5.44	5.37	5.37		14200
1996-07-17	5.57	5.64	5.57	5.64		7800
1996-07-18	5.77	5.77	5.77	5.77		11500
1996-07-19	5.77	5.77	5.77	5.77		0
1996-07-22	5.70	5.70	5.67	5.67		8600
1996-07-23	5.64	5.70	5.64	5.64		30300
1996-07-24	5.60	5.64	5.57	5.57		37900
1996-07-25	5.67	5.67	5.67	5.67		100
1996-07-26	5.64	5.64	5.57	5.57		25500
1996-07-29	5.67	5.67	5.54	5.54		11000
1996-07-30	5.64	5.64	5.60	5.60		2100
1996-07-31	5.60	5.60	5.57	5.57		100000
1996-08-01	5.70	5.90	5.70	5.84		800
1996-08-02	6.03	6.03	6.03	6.03		3000
1996-08-05	5.97	6.00	5.90	6.00		1800
1996-08-06	5.97	6.00	5.90	6.00		16900
1996-08-07	6.03	6.10	5.97	6.03		115600
1996-08-08	6.00	6.00	6.00	6.00		2500
1996-08-09	6.00	6.00	6.00	6.00		0
1996-08-12	6.10	6.10	6.03	6.10		6300
1996-08-13	6.17	6.17	6.13	6.13		7500
1996-08-14	6.13	6.17	6.07	6.10		9800
1996-08-15	6.03	6.27	6.03	6.27		5800
1996-08-16	6.30	6.33	6.20	6.33		4800
1996-08-19	6.37	6.43	6.37	6.40		3800
1996-08-20	6.37	6.43	6.33	6.37		14300
1996-08-21	6.50	6.50	6.43	6.47		6000
1996-08-22	6.47	6.50	6.43	6.47		33900
1996-08-23	6.47	6.47	6.37	6.37		3600
1996-08-26	6.37	6.44	6.37	6.44		19900
1996-08-27	6.51	6.51	6.41	6.47		36700
1996-08-28	6.57	6.57	6.51	6.54		78100
1996-08-29	6.51	6.51	6.24	6.24		17600
1996-08-30	6.31	6.31	6.08	6.14		27300
1996-09-03	6.11	6.24	6.08	6.14		84000
1996-09-04	6.14	6.24	6.14	6.24		3800
1996-09-05	6.18	6.21	6.14	6.14		2600
1996-09-06	6.14	6.24	6.14	6.24		1400
1996-09-09	6.24	6.24	6.18	6.18		2300
1996-09-10	6.34	6.37	6.27	6.31		157400
1996-09-11	6.27	6.31	6.24	6.31		3400
1996-09-12	6.31	6.31	6.24	6.31		1500
1996-09-13	6.34	6.41	6.24	6.24		10600
1996-09-16	6.18	6.24	6.18	6.24		3500
1996-09-17	6.31	6.31	6.21	6.27		1000
1996-09-18	6.27	6.37	6.27	6.31		19700
1996-09-19	6.34	6.37	6.34	6.37		12700
1996-09-20	6.34	6.34	6.27	6.27		700
1996-09-23	6.24	6.24	6.14	6.24		1600
1996-09-24	6.24	6.27	6.24	6.27		500
1996-09-25	6.27	6.31	6.24	6.31		800
1996-09-26	6.24	6.24	6.24	6.24		300
1996-09-27	6.21	6.21	6.14	6.14		12700
1996-09-30	6.11	6.14	6.11	6.14		800
1996-10-01	6.24	6.27	6.24	6.27		10800
1996-10-02	6.34	6.34	6.34	6.34		10000
1996-10-03	6.34	6.41	6.34	6.37		1300
1996-10-04	6.41	6.41	6.41	6.41		400
1996-10-07	6.44	6.44	6.37	6.37		6900
1996-10-08	6.41	6.41	6.34	6.37		13800
1996-10-09	6.37	6.37	6.37	6.37		1000
1996-10-10	6.37	6.41	6.31	6.31		46300
1996-10-11	6.31	6.37	6.27	6.27		16100
1996-10-14	6.18	6.18	6.04	6.11		3800
1996-10-15	6.04	6.08	5.98	5.98		5000
1996-10-16	5.98	5.98	5.91	5.98		2200
1996-10-17	5.94	6.04	5.94	6.04		7400
1996-10-18	6.18	6.18	6.18	6.18		2700
1996-10-21	6.18	6.18	6.08	6.11		2600
1996-10-22	6.11	6.14	6.04	6.08		3300
1996-10-23	6.04	6.04	5.88	5.88		1100
1996-10-24	6.04	6.04	5.98	6.01		5900
1996-10-25	6.08	6.08	5.88	5.88		20900
1996-10-28	5.91	5.94	5.91	5.91		2500
1996-10-29	5.91	5.91	5.74	5.78		2200
1996-10-30	5.78	5.78	5.64	5.68		4600
1996-10-31	5.71	5.78	5.64	5.78		90000
1996-11-01	5.74	5.84	5.74	5.84		62700
1996-11-04	5.84	5.88	5.84	5.84		800
1996-11-05	5.84	5.84	5.84	5.84		0
1996-11-06	6.04	6.04	5.98	5.98		1300
1996-11-07	6.01	6.01	5.94	5.98		1800
1996-11-08	6.04	6.04	6.04	6.04		400
1996-11-11	6.04	6.18	5.98	6.18		30900
1996-11-12	6.14	6.14	6.04	6.08		26600
1996-11-13	6.08	6.11	6.04	6.11		38800
1996-11-14	6.18	6.18	6.11	6.11		1800
1996-11-15	6.24	6.24	6.08	6.08		1700
1996-11-18	6.14	6.14	6.11	6.11		3600
1996-11-19	6.11	6.14	6.04	6.11		4100
1996-11-20	6.14	6.14	6.08	6.08		22700
1996-11-21	6.08	6.08	6.01	6.01		300
1996-11-22	6.01	6.08	6.01	6.01		3000
1996-11-25	6.08	6.08	5.91	5.91		3000
1996-11-26	5.94	5.98	5.94	5.94		2200
1996-11-27	5.94	6.04	5.94	5.94		800
1996-11-29	6.04	6.04	5.94	5.94		500
1996-12-02	6.08	6.11	6.01	6.04		2000
1996-12-03	6.08	6.21	6.08	6.18		2200
1996-12-04	6.21	6.21	6.11	6.11		6200
1996-12-05	6.18	6.18	6.08	6.08		800
1996-12-06	5.98	6.11	5.98	5.98		600
1996-12-09	6.04	6.04	6.04	6.04		1000
1996-12-10	6.11	6.11	6.01	6.01		600
1996-12-11	5.98	6.08	5.84	5.84		61100
1996-12-12	5.91	5.98	5.84	5.84		15900
1996-12-13	5.91	5.94	5.84	5.84		800
1996-12-16	5.84	5.84	5.78	5.78		1500
1996-12-17	5.74	5.91	5.74	5.91		2700
1996-12-18	5.91	6.04	5.91	5.98		1300
1996-12-19	6.01	6.01	5.94	6.01		3500
1996-12-20	6.04	6.04	6.01	6.01		32000
1996-12-23	6.04	6.04	6.04	6.04		1500
1996-12-24	6.04	6.04	6.04	6.04		0
1996-12-26	6.01	6.14	6.01	6.01		1400
1996-12-27	6.01	6.14	6.01	6.14		1800
1996-12-30	6.18	6.18	6.18	6.18		2200
1996-12-31	6.18	6.18	6.04	6.18		1500
1997-01-02	6.11	6.11	6.11	6.11		400
1997-01-03	6.24	6.24	6.11	6.11		800
1997-01-06	6.37	6.41	6.31	6.37		3200
1997-01-07	6.31	6.31	6.31	6.31		100
1997-01-08	6.44	6.51	6.44	6.51		14900
1997-01-09	6.54	6.54	6.37	6.41		10600
1997-01-10	6.44	6.51	6.37	6.51		4500
1997-01-13	6.57	6.57	6.44	6.44		7000
1997-01-14	6.51	6.61	6.51	6.61		30000
1997-01-15	6.67	6.74	6.67	6.74		17500
1997-01-16	6.81	6.84	6.71	6.77		37900
1997-01-17	6.77	6.81	6.77	6.81		13400
1997-01-20	6.84	6.84	6.67	6.77		25000
1997-01-21	6.77	6.84	6.74	6.77		25500
1997-01-22	6.64	6.74	6.64	6.64		38300
1997-01-23	6.57	6.84	6.57	6.71		44900
1997-01-24	6.67	6.67	6.57	6.64		26700
1997-01-27	6.64	6.64	6.57	6.57		7400
1997-01-28	6.67	6.74	6.67	6.71		1300
1997-01-29	6.64	6.67	6.47	6.51		219900
1997-01-30	6.61	6.64	6.57	6.64		1800
1997-01-31	6.71	6.71	6.57	6.64		4400
1997-02-03	6.61	6.61	6.51	6.57		6300
1997-02-04	6.61	6.61	6.54	6.54		3100
1997-02-05	6.51	6.51	6.51	6.51		100
1997-02-06	6.57	6.64	6.57	6.64		2000
1997-02-07	6.67	6.67	6.57	6.57		17800
1997-02-10	6.67	6.67	6.57	6.64		2200
1997-02-11	6.64	6.71	6.64	6.71		7400
1997-02-12	6.81	6.81	6.81	6.81		100
1997-02-13	6.97	6.97	6.77	6.77		9900
1997-02-14	6.87	6.91	6.77	6.91		4400
1997-02-18	7.01	7.01	6.91	6.97		18200
1997-02-19	6.97	7.07	6.94	7.01		4500
1997-02-20	7.04	7.04	6.97	6.97		3900
1997-02-21	6.97	7.10	6.97	7.04		8900
1997-02-24	7.10	7.10	7.01	7.10		6400
1997-02-25	7.10	7.14	7.07	7.14		12700
1997-02-26	7.14	7.14	6.97	6.97		21000
1997-02-27	7.04	7.04	6.71	6.71		11200
1997-02-28	6.71	6.84	6.67	6.84		2800
1997-03-03	6.71	6.74	6.64	6.71		2400
1997-03-04	6.77	6.81	6.71	6.71		29200
1997-03-05	6.64	6.71	6.57	6.64		41300
1997-03-06	6.71	6.74	6.61	6.64		3200
1997-03-07	6.61	6.77	6.61	6.71		56600
1997-03-10	6.64	6.77	6.64	6.77		2700
1997-03-11	6.84	6.84	6.67	6.67		1100
1997-03-12	6.67	6.71	6.64	6.71		2700
1997-03-13	6.64	6.67	6.51	6.51		4100
1997-03-14	6.47	6.57	6.37	6.57		204900
1997-03-17	6.67	6.67	6.57	6.57		58500
1997-03-18	6.71	6.71	6.71	6.71		2400
1997-03-19	6.71	6.84	6.71	6.84		5600
1997-03-20	6.77	6.84	6.71	6.71		31200
1997-03-21	6.67	6.77	6.64	6.77		2300
1997-03-24	6.67	6.67	6.64	6.67		3800
1997-03-25	6.84	6.84	6.74	6.74		1300
1997-03-26	6.84	6.84	6.74	6.74		2600
1997-03-27	6.87	6.87	6.74	6.74		4200
1997-03-31	6.74	6.74	6.74	6.74		1100
1997-04-01	6.71	6.71	6.57	6.57		4800
1997-04-02	6.54	6.64	6.54	6.64		700
1997-04-03	6.51	6.71	6.51	6.71		37500
1997-04-04	6.71	6.71	6.71	6.71		0
1997-04-07	6.74	6.77	6.64	6.71		3100
1997-04-08	6.77	6.77	6.74	6.74		1500
1997-04-09	6.77	6.77	6.71	6.77		1900
1997-04-10	6.81	6.81	6.71	6.71		4600
1997-04-11	6.71	6.81	6.57	6.57		5500
1997-04-14	6.54	6.54	6.54	6.54		2000
1997-04-15	6.71	6.71	6.71	6.71		500
1997-04-16	6.81	6.91	6.81	6.84		1300
1997-04-17	6.84	6.84	6.84	6.84		1500
1997-04-18	6.84	6.84	6.77	6.77		200
1997-04-21	6.77	6.77	6.77	6.77		0
1997-04-22	6.77	6.81	6.77	6.81		8100
1997-04-23	6.74	6.91	6.74	6.91		400
1997-04-24	6.94	6.94	6.77	6.77		30700
1997-04-25	6.81	6.81	6.81	6.81		1900
1997-04-28	6.84	6.84	6.64	6.64		45800
1997-04-29	6.67	6.67	6.64	6.64		900
1997-04-30	6.74	6.74	6.74	6.74		1900
1997-05-01	6.64	6.64	6.61	6.64		1000
1997-05-02	6.64	6.64	6.61	6.64		20000
1997-05-05	6.67	6.81	6.67	6.81		3000
1997-05-06	6.91	6.91	6.87	6.87		15600
1997-05-07	6.84	6.84	6.71	6.71		300
1997-05-08	6.77	6.81	6.77	6.81		1600
1997-05-09	6.87	6.91	6.87	6.91		2100
1997-05-12	6.91	7.07	6.91	7.07		11300
1997-05-13	7.14	7.14	7.01	7.01		18600
1997-05-14	6.97	6.97	6.97	6.97		2000
1997-05-15	7.04	7.04	6.91	6.97		2700
1997-05-16	6.97	7.04	6.94	6.94		4400
1997-05-19	7.10	7.10	6.91	6.94		1700
1997-05-20	7.01	7.14	7.01	7.10		9900
1997-05-21	7.04	7.17	7.04	7.17		3000
1997-05-22	7.20	7.20	7.20	7.20		900
1997-05-23	7.10	7.24	7.10	7.17		13700
1997-05-27	7.24	7.24	7.14	7.17		37700
1997-05-28	7.17	7.17	7.04	7.04		1800
1997-05-29	6.91	7.04	6.91	7.04		5900
1997-05-30	7.04	7.04	7.01	7.04		4500
1997-06-02	6.97	7.14	6.97	7.14		8100
1997-06-03	7.07	7.27	7.07	7.17		9000
1997-06-04	7.27	7.27	7.20	7.27		4000
1997-06-05	7.30	7.37	7.30	7.30		3800
1997-06-06	7.34	7.37	7.27	7.37		26700
1997-06-09	7.40	7.40	7.30	7.30		3800
1997-06-10	7.34	7.37	7.34	7.37		3400
1997-06-11	7.37	7.37	7.37	7.37		500
1997-06-12	7.44	7.50	7.37	7.37		1900
1997-06-13	7.54	7.57	7.54	7.57		4200
1997-06-16	7.57	7.60	7.50	7.60		7700
1997-06-17	7.64	7.67	7.54	7.54		2400
1997-06-18	7.60	7.60	7.47	7.47		600
1997-06-19	7.60	7.77	7.60	7.77		9600
1997-06-20	7.64	7.80	7.64	7.77		25100
1997-06-23	7.77	7.87	7.70	7.87		1500
1997-06-24	7.90	7.90	7.77	7.84		9700
1997-06-25	7.64	7.77	7.64	7.67		3100
1997-06-26	7.77	7.90	7.74	7.74		5000
1997-06-27	7.80	7.93	7.80	7.84		2100
1997-06-30	7.90	7.93	7.77	7.90		4800
1997-07-01	7.77	7.97	7.77	7.97		17600
1997-07-02	8.03	8.10	7.97	8.07		44700
1997-07-03	8.07	8.17	8.07	8.17		3000
1997-07-07	8.27	8.40	8.27	8.40		30700
1997-07-08	8.47	8.67	8.47	8.67		279300
1997-07-09	8.63	8.70	8.57	8.60		59300
1997-07-10	8.63	8.63	8.50	8.57		5500
1997-07-11	8.76	8.76	8.53	8.53		26200
1997-07-14	8.50	8.57	8.43	8.43		3300
1997-07-15	8.37	8.47	8.17	8.17		46400
1997-07-16	8.20	8.50	8.20	8.50		2200
1997-07-17	8.57	8.70	8.47	8.63		15000
1997-07-18	8.43	8.47	8.23	8.23		25700
1997-07-21	8.23	8.23	8.10	8.10		93100
1997-07-22	8.20	8.30	8.17	8.20		24900
1997-07-23	8.23	8.37	8.23	8.37		15400
1997-07-24	8.47	8.57	8.47	8.50		17300
1997-07-25	8.57	8.60	8.47	8.47		76300
1997-07-28	8.50	8.50	8.43	8.43		19600
1997-07-29	8.50	8.67	8.37	8.53		14600
1997-07-30	8.73	8.90	8.73	8.90		3800
1997-07-31	9.03	9.13	8.96	9.10		11300
1997-08-01	9.00	9.13	8.90	8.96		59500
1997-08-04	9.03	9.06	8.96	9.06		1100
1997-08-05	9.20	9.30	9.13	9.16		5300
1997-08-06	9.30	9.40	9.30	9.40		1600
1997-08-07	9.40	9.40	9.20	9.30		7800
1997-08-08	9.10	9.16	8.90	8.96		55500
1997-08-11	8.96	9.10	8.76	8.90		19800
1997-08-12	9.00	9.03	8.93	9.00		9300
1997-08-13	9.00	9.03	8.86	8.86		34000
1997-08-14	9.00	9.03	8.90	8.90		1200
1997-08-15	8.83	8.90	8.76	8.76		60200
1997-08-18	8.86	8.86	8.60	8.67		29500
1997-08-19	8.86	9.00	8.83	9.00		10500
1997-08-20	9.03	9.13	9.03	9.13		15400
1997-08-21	9.20	9.20	8.93	8.93		45100
1997-08-22	8.96	8.96	8.47	8.47		41100
1997-08-25	8.88	9.02	8.84	8.84		2400
1997-08-26	8.84	8.91	8.74	8.74		3700
1997-08-27	8.88	8.88	8.57	8.57		9100
1997-08-28	8.71	8.71	8.71	8.71		12500
1997-08-29	8.50	8.50	8.19	8.26		42500
1997-09-02	8.40	8.57	8.40	8.57		36500
1997-09-03	8.64	8.78	8.60	8.78		14400
1997-09-04	8.64	8.71	8.57	8.64		15600
1997-09-05	8.81	8.81	8.60	8.60		5100
1997-09-08	8.78	8.78	8.78	8.78		4100
1997-09-09	8.81	8.81	8.81	8.81		100
1997-09-10	8.71	8.71	8.60	8.60		22500
1997-09-11	8.64	8.64	8.36	8.43		55000
1997-09-12	8.57	8.67	8.50	8.67		1600
1997-09-15	8.74	8.74	8.74	8.74		100
1997-09-16	8.54	8.84	8.54	8.84		14800
1997-09-17	8.64	8.84	8.64	8.74		3100
1997-09-18	8.95	9.08	8.95	9.08		14600
1997-09-19	9.05	9.12	9.05	9.12		800
1997-09-22	9.12	9.22	9.12	9.15		2000
1997-09-23	9.22	9.22	9.15	9.15		8200
1997-09-24	9.12	9.32	9.12	9.29		13200
1997-09-25	9.29	9.29	9.19	9.22		9800
1997-09-26	9.26	9.36	9.26	9.32		42000
1997-09-29	9.19	9.39	9.19	9.39		1300
1997-09-30	9.43	9.43	9.29	9.39		10300
1997-10-01	9.46	9.60	9.46	9.60		12400
1997-10-02	9.50	9.60	9.50	9.50		7200
1997-10-03	9.73	9.73	9.50	9.50		3100
1997-10-06	9.56	9.60	9.53	9.53		7300
1997-10-07	9.60	9.60	9.50	9.53		7100
1997-10-08	9.60	9.60	9.50	9.50		41300
1997-10-09	9.43	9.43	9.26	9.26		11300
1997-10-10	9.32	9.32	9.26	9.26		4600
1997-10-13	9.29	9.29	9.29	9.29		100
1997-10-14	9.46	9.46	9.46	9.46		1100
1997-10-15	9.46	9.46	9.43	9.43		27800
1997-10-16	9.67	9.67	9.53	9.63		7900
1997-10-17	9.46	9.46	9.26	9.26		102200
1997-10-20	9.46	9.60	9.46	9.53		1000
1997-10-21	9.50	9.56	9.50	9.56		1700
1997-10-22	9.60	9.63	9.46	9.46		6400
1997-10-23	9.26	9.26	8.88	8.98		42900
1997-10-24	9.12	9.22	8.54	8.64		54800
1997-10-27	8.33	8.33	7.13	7.16		24000
1997-10-28	6.44	8.09	6.38	8.09		127100
1997-10-29	8.26	8.47	7.85	7.85		70400
1997-10-30	7.61	7.78	7.40	7.40		86300
1997-10-31	7.88	7.88	7.51	7.58		50400
1997-11-03	7.95	8.12	7.95	8.06		34600
1997-11-04	8.23	8.23	8.06	8.06		2000
1997-11-05	8.30	8.36	8.23	8.23		5100
1997-11-06	8.06	8.06	8.06	8.06		400
1997-11-07	7.71	7.82	7.54	7.54		6100
1997-11-10	7.68	7.78	7.47	7.47		11900
1997-11-11	7.64	7.64	7.58	7.58		2100
1997-11-12	7.34	7.34	7.13	7.13		7100
1997-11-13	7.34	7.37	7.13	7.37		10100
1997-11-14	7.54	7.64	7.47	7.64		7200
1997-11-17	7.88	7.92	7.75	7.92		13300
1997-11-18	7.82	7.82	7.71	7.71		8500
1997-11-19	7.61	7.61	7.61	7.61		1500
1997-11-20	7.99	7.99	7.82	7.82		185900
1997-11-21	8.09	8.26	8.09	8.26		10800
1997-11-24	7.99	8.09	7.99	8.09		1400
1997-11-25	7.88	8.02	7.88	7.95		13000
