Date	Open	High	Low	Close	Volume
2008-11-19	18.41	18.50	12.60	13.21	2392848.00
2008-11-20	12.62	13.21	8.70	9.23	8704656.00
2008-11-21	11.12	11.91	7.38	10.08	11770416.00
2008-11-24	11.74	15.09	10.91	13.23	8626320.00
2008-11-25	15.44	16.77	13.66	15.63	9135936.00
2008-11-26	14.52	18.27	14.18	18.11	5217984.00
2008-11-28	18.29	19.94	17.80	19.36	1990368.00
2008-12-01	17.35	17.46	10.76	11.03	7285680.00
2008-12-02	11.54	12.70	10.23	12.48	12267792.00
2008-12-03	11.38	14.57	11.22	14.34	12839904.00
2008-12-04	13.76	16.31	13.14	13.78	11968992.00
2008-12-05	13.23	17.17	13.17	16.87	14646096.00
2008-12-08	19.12	20.59	18.46	19.85	14047200.00
2008-12-09	19.00	20.48	17.18	17.35	13600656.00
2008-12-10	18.26	18.36	16.00	17.45	12672000.00
2008-12-11	16.48	16.92	13.23	13.71	13038480.00
2008-12-12	11.78	14.51	11.54	14.28	17100288.00
2008-12-15	14.41	14.41	12.15	12.78	10703232.00
2008-12-16	13.50	16.56	13.43	16.44	15984288.00
2008-12-17	15.72	17.64	15.37	16.22	16822368.00
2008-12-18	16.72	17.11	14.41	15.00	11686752.00
2008-12-19	15.20	16.07	14.31	14.90	11412288.00
2008-12-22	15.20	15.26	13.01	13.74	9411552.00
2008-12-23	14.03	14.18	12.94	12.94	9400032.00
2008-12-24	13.05	13.51	12.76	13.35	3300768.00
2008-12-26	13.89	14.20	13.18	13.51	3337200.00
2008-12-29	13.73	13.77	12.55	13.10	5497056.00
2008-12-30	13.20	14.60	13.20	14.52	6333120.00
2008-12-31	14.63	16.19	14.46	16.08	9345888.00
2009-01-02	16.03	16.83	14.89	16.34	10192176.00
2009-01-05	16.05	16.69	15.38	15.74	9434160.00
2009-01-06	16.24	17.04	15.94	16.50	11635920.00
2009-01-07	15.67	15.78	14.20	14.23	10223136.00
2009-01-08	13.96	14.65	13.69	14.43	9951840.00
2009-01-09	14.60	14.65	12.83	12.92	11605680.00
2009-01-12	12.85	12.91	10.57	10.96	15686928.00
2009-01-13	10.43	11.76	10.30	11.34	21438864.00
2009-01-14	10.38	10.61	9.48	9.58	26588880.00
2009-01-15	9.65	9.72	7.61	8.57	57221280.00
2009-01-16	9.53	9.71	7.13	8.09	58245408.00
2009-01-20	7.13	7.16	4.73	4.82	104164272.00
2009-01-21	5.26	6.33	4.80	6.25	106899408.00
2009-01-22	5.50	6.14	4.89	5.29	119303136.00
2009-01-23	4.66	5.88	4.55	5.69	114519600.00
2009-01-26	5.98	6.42	5.25	5.46	105678864.00
2009-01-27	5.82	6.03	5.51	5.87	82338336.00
2009-01-28	7.03	7.91	6.96	7.79	125130816.00
2009-01-29	7.03	7.25	6.15	6.24	85907376.00
2009-01-30	6.45	6.61	5.52	5.79	117647424.00
2009-02-02	5.28	5.90	5.21	5.79	94885344.00
