Date	Close	High	Low	Open	Volume
	FBTC	FBTC	FBTC	FBTC	FBTC
2024-01-11	40.88	50.70	40.26	41.99	16805200
2024-01-12	38.35	40.81	37.95	40.74	11393000
2024-01-16	38.10	38.14	36.91	37.90	8479200
2024-01-17	37.40	37.69	37.03	37.45	7913000
2024-01-18	35.76	37.52	35.60	37.40	10271800
2024-01-19	36.49	36.92	35.28	36.08	13819400
2024-01-22	35.18	35.77	34.49	35.61	11640300
2024-01-23	34.34	34.69	33.77	33.95	10426500
2024-01-24	34.60	35.20	34.58	35.00	7558400
2024-01-25	34.81	35.10	34.61	35.05	6420800
2024-01-26	36.75	36.97	35.99	36.05	9170600
2024-01-29	37.82	37.94	36.60	36.78	8468300
2024-01-30	38.13	38.30	37.85	38.03	7622200
2024-01-31	37.24	38.31	37.19	37.38	6036500
2024-02-01	37.66	37.88	37.06	37.08	4569500
2024-02-02	37.58	38.06	37.37	37.39	4967400
2024-02-05	37.07	37.98	37.01	37.95	3112800
2024-02-06	37.73	37.99	37.50	37.54	3485900
2024-02-07	38.66	38.76	37.55	37.77	5326400
2024-02-08	39.88	39.97	39.28	39.45	6192800
2024-02-09	41.64	42.25	40.99	41.15	9931400
2024-02-12	44.02	44.18	42.18	42.21	10984400
2024-02-13	43.29	43.37	42.34	42.94	7508000
2024-02-14	45.32	45.66	44.88	45.30	10127000
2024-02-15	45.32	46.31	45.22	45.99	8284400
2024-02-16	45.43	45.97	45.23	45.77	5304600
2024-02-20	45.52	45.86	44.43	45.81	7629400
2024-02-21	44.62	45.03	44.35	44.60	7042400
2024-02-22	45.56	45.60	44.67	44.74	5628000
2024-02-23	44.75	44.94	44.32	44.85	5043800
2024-02-26	47.72	48.15	44.98	45.00	12383100
2024-02-27	49.93	50.48	49.28	49.86	11636500
2024-02-28	52.84	56.36	51.72	52.72	27106800
2024-02-29	54.33	55.76	52.85	55.48	18719000
2024-03-01	55.19	55.46	53.57	54.68	14617100
2024-03-04	59.27	59.58	57.30	57.34	18891300
2024-03-05	54.18	60.83	52.13	59.32	37918500
2024-03-06	58.63	59.20	57.21	58.55	19354800
2024-03-07	59.25	59.72	58.40	59.02	19018400
2024-03-08	60.73	61.64	57.91	59.69	27919100
2024-03-11	63.09	63.87	62.48	63.38	22552500
2024-03-12	62.50	64.08	60.12	63.33	26079300
2024-03-13	64.40	64.42	62.78	63.74	16266200
2024-03-14	60.63	63.67	59.85	63.59	20022200
2024-03-15	60.48	61.85	59.01	59.34	19669000
2024-03-18	58.53	60.00	58.21	59.43	10788900
2024-03-19	56.35	57.58	54.44	55.82	17171600
2024-03-20	57.59	57.81	54.32	55.51	18122400
2024-03-21	57.05	59.23	56.76	59.19	12246800
2024-03-22	55.91	56.29	54.80	56.18	9250700
2024-03-25	62.20	62.28	58.58	58.59	20329900
2024-03-26	60.80	62.14	60.66	62.06	9752400
2024-03-27	60.04	62.83	59.88	62.74	9846300
2024-03-28	62.06	62.81	61.71	62.25	10605800
2024-04-01	61.03	61.40	59.58	61.34	9116300
2024-04-02	57.66	58.05	56.46	56.81	11730500
2024-04-03	57.59	58.59	57.33	57.57	8566200
2024-04-04	59.93	60.74	58.75	58.90	9555500
2024-04-05	58.94	60.05	58.47	58.58	7150300
2024-04-08	62.83	63.21	62.31	63.17	7785200
2024-04-09	60.31	62.11	59.68	61.87	8102600
2024-04-10	61.33	61.34	59.02	59.22	9814500
2024-04-11	61.69	62.06	60.85	61.92	7879000
2024-04-12	58.51	61.52	57.01	61.41	13398700
2024-04-15	55.36	58.23	54.52	57.98	10387300
2024-04-16	54.89	55.43	53.97	55.32	7728000
2024-04-17	53.30	55.10	52.16	54.59	9862700
2024-04-18	55.59	56.17	54.13	54.63	8162300
2024-04-19	56.32	57.01	55.62	56.72	5964300
2024-04-22	58.23	58.53	57.47	57.86	6580400
2024-04-23	58.19	58.77	57.83	57.89	4001300
2024-04-24	55.90	58.03	55.70	57.78	8738500
2024-04-25	56.61	56.78	54.95	55.21	5595300
2024-04-26	55.75	56.67	55.34	55.80	5531400
2024-04-29	55.08	55.27	53.96	54.67	4100300
2024-04-30	51.68	53.76	51.52	53.49	9484200
2024-05-01	49.72	51.92	49.43	50.43	10785800
2024-05-02	51.93	52.15	50.92	51.36	6578200
2024-05-03	54.38	54.50	53.51	53.55	6741600
2024-05-06	55.29	56.21	54.86	55.64	5373100
2024-05-07	55.16	56.31	54.93	55.61	3769500
2024-05-08	54.36	54.96	54.00	54.26	3043900
