Date	Close	High	Low	Open	Volume
	FIGR	FIGR	FIGR	FIGR	FIGR
2025-09-11	31.11	38.05	30.13	36.00	39451400
2025-09-12	32.50	36.58	30.01	30.21	10779300
2025-09-15	37.33	40.39	33.47	33.50	10161700
2025-09-16	40.48	42.75	37.80	39.33	8147300
2025-09-17	37.17	43.80	36.45	42.53	12140100
2025-09-18	43.17	46.20	38.26	38.51	7559100
2025-09-19	44.96	45.74	41.10	42.96	6005500
2025-09-22	43.09	45.90	42.04	45.85	3788700
2025-09-23	39.60	43.08	39.08	43.08	3989200
2025-09-24	40.69	41.20	38.31	40.16	2432700
2025-09-25	40.33	41.50	36.54	38.69	3018300
2025-09-26	39.25	39.89	38.30	39.40	2172000
2025-09-29	37.75	41.18	37.00	39.97	4144400
2025-09-30	36.37	38.14	35.57	37.74	3475400
2025-10-01	37.82	39.35	35.88	36.35	2897100
2025-10-02	41.28	41.72	37.16	37.90	3810100
2025-10-03	40.30	42.50	39.55	41.20	2596300
2025-10-06	43.59	44.49	41.02	41.02	2814000
2025-10-07	44.23	49.45	43.10	44.00	6909700
2025-10-08	49.17	49.25	43.60	45.85	3979000
2025-10-09	48.03	49.50	46.01	49.00	2615000
2025-10-10	42.25	48.50	42.04	48.03	4240400
2025-10-13	44.00	44.88	41.50	43.76	2843600
2025-10-14	44.54	45.85	40.51	41.89	1877100
2025-10-15	44.62	46.10	42.63	46.02	2200900
2025-10-16	40.46	44.56	39.80	44.34	2889200
2025-10-17	38.46	40.32	37.28	39.50	2408900
2025-10-20	40.69	42.15	39.39	39.88	1526300
2025-10-21	39.24	40.98	39.21	40.40	912100
2025-10-22	38.05	39.69	37.57	39.01	1680900
2025-10-23	40.03	40.49	38.28	38.49	1283800
2025-10-24	39.97	41.58	39.92	41.00	1280000
2025-10-27	41.75	43.00	40.50	41.14	1653800
2025-10-28	43.26	44.98	41.77	42.25	1797200
2025-10-29	42.56	44.31	42.39	43.60	1227700
2025-10-30	40.66	41.85	37.80	41.76	2334100
2025-10-31	39.60	41.14	38.84	41.00	1490300
2025-11-03	41.84	41.96	39.15	39.34	1374600
2025-11-04	38.27	40.11	37.65	39.58	1529400
2025-11-05	38.69	39.53	37.56	38.27	787100
2025-11-06	35.69	39.09	34.89	38.81	1765800
2025-11-07	36.56	37.01	33.55	34.65	1004100
2025-11-10	37.60	38.65	36.31	37.34	847100
2025-11-11	36.17	37.64	34.90	37.02	1187900
2025-11-12	37.31	37.59	34.83	36.40	1878100
2025-11-13	34.59	36.72	33.86	36.25	2617600
2025-11-14	40.24	43.62	35.47	35.50	5207800
2025-11-17	42.24	46.46	41.87	42.36	4756300
2025-11-18	39.19	41.90	37.78	40.01	4371200
2025-11-19	37.20	39.48	36.03	39.29	1921600
2025-11-20	35.61	39.37	34.70	38.55	3162300
2025-11-21	34.80	35.34	32.80	34.99	3636400
2025-11-24	35.77	36.32	34.60	35.50	2798300
2025-11-25	33.74	35.34	32.93	35.11	2219300
2025-11-26	35.31	35.33	32.91	33.75	2666700
2025-11-28	36.24	37.25	35.31	35.86	1057800
2025-12-01	35.08	35.46	33.90	34.88	1129600
2025-12-02	35.27	36.11	34.20	35.24	1540600
2025-12-03	35.38	35.95	34.38	35.22	1672500
2025-12-04	39.02	39.70	35.33	35.40	1950800
2025-12-05	39.00	39.49	37.60	38.77	2697600
2025-12-08	40.74	41.17	39.12	39.40	2500100
2025-12-09	40.57	41.40	39.95	40.14	1278400
2025-12-10	39.75	40.90	38.01	40.66	2449200
2025-12-11	42.05	42.85	38.74	39.53	2136300
2025-12-12	41.16	42.78	39.73	42.23	3344400
2025-12-15	38.08	41.30	37.68	40.66	1782800
2025-12-16	38.69	38.85	37.33	38.02	1572900
2025-12-17	37.29	40.37	37.19	38.98	1370800
2025-12-18	39.76	40.69	38.63	38.63	1209900
2025-12-19	42.21	42.68	39.75	39.85	5908400
2025-12-22	45.21	45.37	42.40	42.50	2272700
2025-12-23	44.67	45.18	42.92	44.54	2042000
2025-12-24	45.24	45.40	44.39	44.90	768200
2025-12-26	44.05	45.45	43.66	45.41	1190900
