Date	Close	High	Low	Open	Volume
	FIG	FIG	FIG	FIG	FIG
2025-07-31	115.50	124.63	84.11	85.00	64409000
2025-08-01	122.00	142.92	110.11	134.82	56350600
2025-08-04	88.60	114.29	88.60	113.92	39710100
2025-08-05	79.08	94.00	79.00	91.19	25581100
2025-08-06	90.32	91.49	76.65	76.90	28703600
2025-08-07	78.24	87.88	77.80	86.65	14153700
2025-08-08	78.11	82.60	78.00	82.54	7353700
2025-08-11	82.50	84.00	78.00	78.78	8644600
2025-08-12	87.36	90.69	83.91	84.00	10438200
2025-08-13	81.91	91.00	81.05	90.96	8138900
2025-08-14	76.31	82.94	76.00	81.50	8133900
2025-08-15	79.42	81.00	76.56	79.00	4685900
2025-08-18	76.16	80.75	75.50	79.20	4296800
2025-08-19	69.41	76.57	68.61	76.42	9025600
2025-08-20	74.04	75.15	67.00	70.00	8574000
2025-08-21	72.76	74.07	71.82	73.10	2786400
2025-08-22	77.30	78.00	72.41	73.41	4151900
2025-08-25	70.40	75.70	69.61	74.56	6761600
2025-08-26	70.13	72.20	69.30	70.88	3355400
2025-08-27	69.88	71.68	68.52	70.50	3915300
2025-08-28	71.26	72.11	69.31	70.18	3138000
2025-08-29	70.28	71.44	68.90	70.51	3420000
2025-09-02	65.57	68.96	64.55	68.96	8027800
2025-09-03	68.13	68.59	65.54	66.70	12276100
2025-09-04	54.56	57.35	53.20	55.90	29316400
2025-09-05	54.86	54.96	50.49	52.38	20813800
2025-09-08	52.47	55.32	52.40	54.17	9662800
2025-09-09	53.32	53.62	51.43	52.45	7845400
2025-09-10	51.06	55.21	50.81	53.61	9614200
2025-09-11	55.96	56.32	51.04	51.05	13224300
2025-09-12	53.07	56.30	53.00	56.06	8611000
2025-09-15	54.12	55.55	52.30	54.67	8938800
2025-09-16	53.67	55.00	52.22	54.19	5707500
2025-09-17	54.78	57.49	53.31	53.67	11400900
2025-09-18	58.41	58.88	54.66	55.48	12053100
2025-09-19	56.81	59.49	55.24	59.37	10658500
2025-09-22	58.79	59.69	55.36	56.30	9769200
2025-09-23	58.13	59.59	56.89	59.59	7677300
2025-09-24	55.21	57.70	54.80	57.50	9373600
2025-09-25	54.39	55.12	52.45	53.88	6701500
2025-09-26	52.91	54.39	52.13	53.82	7584500
2025-09-29	53.15	54.30	52.64	54.06	5645700
2025-09-30	51.87	54.50	51.34	53.65	7998400
2025-10-01	50.30	52.29	49.53	51.28	11446300
2025-10-02	51.91	52.45	51.12	51.17	6991100
2025-10-03	53.04	56.09	52.33	52.50	11309000
2025-10-06	56.96	61.75	51.10	53.46	28006300
2025-10-07	60.84	64.17	58.78	61.60	25145800
2025-10-08	71.08	71.48	62.52	63.00	27356500
2025-10-09	67.94	70.79	67.15	70.16	11430500
2025-10-10	61.06	70.40	60.76	69.67	16558800
2025-10-13	64.28	65.47	61.36	63.00	8221800
2025-10-14	60.82	62.75	60.49	62.00	7166700
2025-10-15	63.82	65.50	60.88	62.22	10656800
2025-10-16	57.79	67.68	57.43	65.15	16694300
2025-10-17	56.84	57.99	54.10	57.00	7529100
2025-10-20	55.71	58.58	54.00	58.18	7895600
2025-10-21	55.71	57.25	54.92	55.88	5368200
2025-10-22	52.81	54.85	51.10	54.72	8750200
2025-10-23	53.35	53.68	52.00	53.36	3545800
2025-10-24	53.36	55.48	53.00	54.55	4439800
2025-10-27	53.14	55.27	52.73	54.48	4333200
2025-10-28	51.89	54.75	51.82	54.75	4810100
2025-10-29	50.81	52.64	50.21	52.10	5824500
2025-10-30	48.84	50.42	48.68	50.07	6417400
2025-10-31	49.84	50.30	46.88	48.47	8199000
2025-11-03	48.17	50.04	47.43	49.95	8654500
2025-11-04	45.81	48.69	45.44	46.35	7701200
2025-11-05	44.01	46.54	43.80	46.12	14285500
2025-11-06	45.98	46.79	43.00	45.82	20916700
2025-11-07	44.25	45.02	43.00	44.52	32071000
2025-11-10	44.42	44.83	42.24	44.75	12845100
2025-11-11	44.48	44.98	42.90	43.83	9644500
2025-11-12	44.00	45.42	43.41	44.24	5309000
2025-11-13	40.56	43.31	40.02	43.21	10436000
2025-11-14	38.53	41.24	38.53	40.00	8574100
2025-11-17	37.38	38.53	36.56	37.80	14106700
2025-11-18	36.76	37.33	35.72	36.48	9129200
2025-11-19	35.74	36.70	35.50	36.59	6637100
2025-11-20	33.57	36.89	33.42	36.41	8622500
2025-11-21	34.31	34.56	32.83	33.55	7307300
2025-11-24	35.47	35.72	33.35	34.37	7173900
2025-11-25	35.50	35.63	33.50	35.01	5388300
2025-11-26	36.13	36.45	34.82	35.60	4800500
2025-11-28	35.97	36.55	35.60	36.26	2927800
2025-12-01	35.69	36.10	34.26	35.10	6044600
2025-12-02	36.18	36.86	35.83	36.10	5073000
2025-12-03	37.37	37.50	35.33	36.28	4053100
2025-12-04	38.71	39.15	36.70	37.32	6476100
2025-12-05	37.97	38.83	37.40	38.40	5004800
2025-12-08	37.65	38.07	36.64	38.00	4985400
2025-12-09	38.47	39.01	36.99	37.32	4096800
2025-12-10	39.26	40.28	38.13	38.35	6343600
2025-12-11	38.69	38.91	37.81	38.91	4020600
2025-12-12	36.07	38.68	36.01	38.67	5021800
2025-12-15	35.08	35.91	33.92	35.81	7219400
2025-12-16	35.94	36.18	34.66	34.66	4747800
2025-12-17	37.36	37.80	35.86	36.00	6076500
2025-12-18	36.99	38.49	36.57	37.88	5574400
2025-12-19	39.48	39.50	37.44	37.70	5513900
2025-12-22	39.25	40.18	38.82	40.00	4575800
2025-12-23	38.39	38.87	37.41	38.60	3861100
2025-12-24	38.86	38.94	38.11	38.30	1552800
2025-12-26	38.54	39.37	37.88	39.26	3277100
