Date	Open	High	Low	Close	Volume
2012-07-10	10.02	10.02	10.02	10.02	0.00
2012-07-11	10.16	10.16	10.16	10.16	0.00
2012-07-12	9.76	10.02	9.76	10.02	4400.00
2012-07-13	10.33	10.66	10.33	10.66	8600.00
2012-07-16	10.60	10.71	10.60	10.60	7600.00
2012-07-17	10.75	10.75	10.47	10.56	19400.00
2012-07-18	10.77	10.77	10.77	10.77	1000.00
2012-07-19	10.33	10.33	10.33	10.33	13200.00
2012-07-20	10.14	10.16	10.00	10.00	12200.00
2012-07-23	9.64	9.78	9.49	9.78	39000.00
2012-07-24	9.51	9.51	9.51	9.51	400.00
2012-07-25	9.80	9.80	9.73	9.73	8200.00
2012-07-26	10.06	10.14	10.06	10.14	1940.00
2012-07-27	10.29	10.70	10.22	10.68	42700.00
2012-07-30	10.79	10.79	10.65	10.66	1700.00
2012-07-31	10.59	10.62	10.51	10.57	21460.00
2012-08-01	10.57	10.57	10.57	10.57	0.00
2012-08-02	9.90	9.90	9.90	9.90	400.00
2012-08-03	10.56	10.62	10.56	10.62	2000.00
2012-08-06	11.01	11.01	10.90	10.90	856.00
2012-08-07	11.07	11.07	10.96	10.98	6800.00
2012-08-08	10.90	10.94	10.90	10.94	1200.00
2012-08-09	10.98	10.98	10.98	10.98	800.00
2012-08-10	10.87	10.87	10.84	10.84	800.00
2012-08-13	10.84	10.84	10.84	10.84	0.00
2012-08-14	11.06	11.06	11.06	11.06	480.00
2012-08-15	11.06	11.06	11.06	11.06	0.00
2012-08-16	11.11	11.19	11.11	11.19	3600.00
2012-08-17	11.27	11.27	11.26	11.26	4000.00
2012-08-20	11.26	11.35	11.25	11.35	16480.00
2012-08-21	11.66	11.66	11.66	11.66	400.00
2012-08-22	11.35	11.49	11.30	11.41	70000.00
2012-08-23	11.41	11.41	11.41	11.41	0.00
2012-08-24	11.04	11.26	11.04	11.26	800.00
2012-08-27	11.26	11.26	11.26	11.26	0.00
2012-08-28	11.22	11.39	11.16	11.32	5200.00
2012-08-29	11.32	11.36	11.32	11.32	12000.00
2012-08-30	11.19	11.23	11.15	11.15	9600.00
2012-08-31	11.45	11.45	11.45	11.45	2000.00
2012-09-04	11.37	11.44	11.34	11.34	9600.00
2012-09-05	11.45	11.50	11.39	11.39	2000.00
2012-09-06	11.70	12.12	11.70	12.12	12320.00
2012-09-07	12.35	12.50	12.32	12.50	10800.00
2012-09-10	12.47	12.51	12.23	12.23	11600.00
2012-09-11	12.23	12.23	12.23	12.23	400.00
2012-09-12	12.70	12.70	12.61	12.61	3200.00
2012-09-13	12.65	13.55	12.65	13.54	7600.00
2012-09-14	13.79	14.15	13.75	13.82	18200.00
2012-09-17	13.72	13.72	13.39	13.39	15332.00
2012-09-18	13.19	13.33	13.19	13.33	4800.00
2012-09-19	13.32	13.45	13.27	13.40	5200.00
2012-09-20	12.84	12.93	12.82	12.89	6332.00
2012-09-21	13.17	13.17	12.98	12.98	11652.00
2012-09-24	12.72	13.06	12.72	12.90	4096.00
2012-09-25	13.03	13.09	12.52	12.52	28272.00
2012-09-26	12.24	12.31	12.15	12.15	18976.00
2012-09-27	12.35	12.50	12.27	12.50	7728.00
2012-09-28	12.26	12.28	12.20	12.23	12640.00
2012-10-01	12.58	12.79	12.55	12.77	23832.00
2012-10-02	12.63	12.63	12.45	12.45	19600.00
2012-10-03	12.67	12.88	12.52	12.88	15600.00
2012-10-04	13.10	13.35	13.09	13.33	34200.00
2012-10-05	13.60	13.67	13.38	13.38	20700.00
2012-10-08	13.13	13.27	13.13	13.27	18400.00
2012-10-09	13.40	13.40	13.01	13.01	12400.00
2012-10-10	13.21	13.53	12.84	12.99	198000.00
2012-10-11	13.35	13.44	13.18	13.18	25200.00
2012-10-12	13.09	13.09	12.69	12.74	28000.00
2012-10-15	12.79	13.09	12.79	13.09	4800.00
2012-10-16	13.35	13.42	13.26	13.42	2820.00
2012-10-17	13.64	13.72	13.64	13.69	10400.00
2012-10-18	13.89	13.89	13.82	13.84	7200.00
2012-10-19	13.88	13.88	13.30	13.32	10732.00
2012-10-22	13.32	13.32	13.32	13.32	0.00
2012-10-23	12.72	12.80	12.68	12.77	9600.00
2012-10-24	12.94	12.94	12.94	12.94	800.00
2012-10-25	12.71	12.71	12.71	12.71	800.00
2012-10-26	12.50	12.65	12.47	12.65	1600.00
2012-10-31	12.60	12.60	12.60	12.60	400.00
2012-11-01	13.25	13.25	13.25	13.25	400.00
2012-11-02	13.11	13.21	13.11	13.21	800.00
2012-11-05	12.84	12.91	12.84	12.91	2356.00
2012-11-06	13.32	13.33	13.32	13.33	1200.00
2012-11-07	12.76	12.80	12.11	12.42	20400.00
2012-11-08	12.42	12.42	12.14	12.14	1600.00
2012-11-09	12.14	12.14	12.14	12.14	0.00
2012-11-12	12.04	12.04	11.92	11.94	5348.00
2012-11-13	11.94	11.94	11.94	11.94	0.00
2012-11-14	11.42	11.42	11.31	11.31	1600.00
2012-11-15	11.25	11.26	10.99	11.06	27552.00
2012-11-16	11.09	11.42	10.96	11.42	38508.00
2012-11-19	11.85	11.98	11.85	11.98	4800.00
2012-11-20	11.98	11.98	11.98	11.98	0.00
2012-11-21	12.11	12.11	12.11	12.11	1080.00
2012-11-23	12.41	12.64	12.38	12.64	7600.00
2012-11-26	12.42	12.42	12.42	12.42	800.00
2012-11-27	12.47	12.54	12.34	12.40	25200.00
2012-11-28	12.03	12.32	12.00	12.32	6000.00
2012-11-29	12.59	12.59	12.45	12.54	2568.00
2012-11-30	12.54	12.54	12.54	12.54	0.00
2012-12-03	12.73	12.73	12.55	12.63	6404.00
2012-12-04	12.26	12.33	12.26	12.33	800.00
2012-12-05	12.35	12.73	12.35	12.72	2400.00
2012-12-06	12.76	12.76	12.75	12.75	2000.00
2012-12-07	12.75	12.75	12.75	12.75	0.00
2012-12-10	12.75	12.75	12.75	12.75	0.00
2012-12-11	13.27	13.31	13.27	13.31	1200.00
2012-12-12	13.40	13.53	13.40	13.53	4000.00
2012-12-13	13.33	13.33	13.33	13.33	400.00
2012-12-14	12.96	12.96	12.96	12.96	400.00
2012-12-17	13.45	13.52	13.40	13.52	8808.00
2012-12-18	13.76	14.11	13.76	14.11	6980.00
2012-12-19	14.25	14.25	14.16	14.22	18144.00
2012-12-20	14.12	14.39	14.11	14.36	13600.00
2012-12-21	14.28	14.28	13.76	14.06	100980.00
2012-12-24	13.90	13.90	13.90	13.90	800.00
2012-12-26	13.99	13.99	13.99	13.99	800.00
2012-12-27	13.74	13.75	13.27	13.74	8996.00
2012-12-28	13.50	13.50	13.50	13.50	1140.00
2012-12-31	13.68	13.92	13.68	13.79	14308.00
2013-01-02	14.54	15.11	14.54	15.10	41600.00
2013-01-03	15.12	15.24	15.12	15.19	4588.00
2013-01-04	15.15	15.66	15.15	15.66	5268.00
2013-01-07	15.57	15.57	15.39	15.56	7384.00
2013-01-08	15.42	15.42	15.25	15.34	5508.00
2013-01-09	15.61	15.76	15.47	15.48	10336.00
2013-01-10	15.67	15.93	15.61	15.92	22776.00
2013-01-11	15.96	15.96	15.61	15.84	91548.00
2013-01-14	15.90	15.90	15.50	15.69	18556.00
2013-01-15	15.45	15.90	15.43	15.90	6232.00
2013-01-16	15.91	15.91	15.90	15.90	2340.00
2013-01-17	15.81	16.01	15.81	16.01	10560.00
2013-01-18	15.85	15.85	15.70	15.76	11200.00
2013-01-22	16.07	16.07	16.03	16.05	1320.00
2013-01-23	16.19	16.41	16.19	16.28	4000.00
2013-01-24	16.29	16.79	16.29	16.55	23064.00
2013-01-25	16.99	16.99	16.52	16.72	11404.00
2013-01-28	16.73	16.73	16.44	16.68	5800.00
2013-01-29	16.84	16.84	16.69	16.69	1400.00
2013-01-30	16.60	16.60	16.51	16.51	2472.00
2013-01-31	15.42	16.58	15.42	16.55	7168.00
2013-02-01	17.11	17.25	17.11	17.20	10800.00
2013-02-04	17.20	17.20	17.20	17.20	0.00
2013-02-05	17.61	17.61	16.89	17.28	8188.00
2013-02-06	16.90	17.23	16.90	17.23	3996.00
2013-02-07	17.39	17.39	17.02	17.02	2060.00
2013-02-08	17.05	17.27	17.05	17.27	10000.00
2013-02-11	17.59	17.59	17.27	17.47	4980.00
2013-02-12	17.56	17.80	17.56	17.80	3740.00
2013-02-13	17.91	17.91	17.68	17.68	6992.00
2013-02-14	17.75	17.82	17.75	17.77	5600.00
2013-02-15	17.84	17.84	17.79	17.79	3080.00
2013-02-19	18.02	18.09	18.02	18.09	6548.00
2013-02-20	18.07	18.07	17.40	17.40	7000.00
2013-02-21	17.55	17.55	16.85	16.85	19036.00
2013-02-22	17.36	17.54	17.36	17.54	8772.00
2013-02-25	17.86	17.86	16.35	16.35	20796.00
2013-02-26	16.20	16.24	16.20	16.24	2800.00
2013-02-27	16.89	17.11	16.89	17.05	5244.00
2013-02-28	17.28	17.39	17.28	17.39	800.00
2013-03-01	17.35	17.35	17.25	17.25	6000.00
2013-03-04	17.25	17.25	17.25	17.25	576.00
2013-03-05	18.23	18.40	18.23	18.24	2400.00
2013-03-06	18.66	18.66	18.35	18.44	4000.00
2013-03-07	19.22	19.22	18.70	18.70	8920.00
2013-03-08	19.10	19.40	18.70	18.98	11820.00
2013-03-11	18.85	19.30	18.85	19.24	26944.00
2013-03-12	19.27	19.27	18.95	18.95	3820.00
2013-03-13	18.96	19.15	18.96	19.15	3400.00
2013-03-14	19.50	19.51	19.50	19.51	5400.00
2013-03-15	19.89	19.89	19.41	19.63	19600.00
2013-03-18	19.08	19.40	19.06	19.12	24480.00
2013-03-19	19.37	19.48	18.63	18.74	24452.00
2013-03-20	19.26	19.38	19.18	19.36	26648.00
2013-03-21	19.55	19.55	18.87	18.89	16400.00
2013-03-22	18.93	19.02	18.93	18.98	2740.00
2013-03-25	19.12	19.12	18.88	18.88	23400.00
2013-03-26	19.25	19.25	19.12	19.12	3340.00
2013-03-27	18.88	19.17	18.84	19.17	11200.00
2013-03-28	19.06	19.25	19.06	19.25	13000.00
2013-04-01	19.39	19.50	19.00	19.00	9640.00
2013-04-02	19.25	19.42	19.25	19.36	8520.00
2013-04-03	19.75	19.75	18.42	18.48	23948.00
2013-04-04	18.55	18.86	18.55	18.58	12556.00
2013-04-05	18.16	18.39	18.16	18.39	1904.00
2013-04-08	18.76	19.03	18.66	19.03	2628.00
2013-04-09	19.19	19.30	19.19	19.30	2900.00
2013-04-10	19.69	20.14	19.69	20.14	8768.00
2013-04-11	20.33	20.38	20.29	20.30	12216.00
2013-04-12	19.90	20.00	19.77	20.00	9484.00
2013-04-15	19.77	19.77	18.83	18.83	11200.00
2013-04-16	19.30	19.36	19.30	19.35	4200.00
