Date	Close	High	Low	Open	Volume
	FMS	FMS	FMS	FMS	FMS
1996-09-17	6.74	6.82	6.38	6.58	8822800
1996-09-18	7.06	7.06	6.86	6.94	6311800
1996-09-19	7.10	7.22	7.02	7.10	4334000
1996-09-20	7.10	7.14	7.06	7.10	5842400
1996-09-23	7.06	7.10	7.02	7.10	3110000
1996-09-24	7.10	7.18	7.06	7.06	4147800
1996-09-25	7.18	7.25	7.14	7.14	5642000
1996-09-26	7.41	7.49	7.22	7.22	3172400
1996-09-27	7.41	7.77	7.33	7.69	6095600
1996-09-30	7.41	7.49	7.29	7.33	4050000
1996-10-01	7.85	7.85	7.45	7.49	4613000
1996-10-02	8.17	8.73	8.01	8.69	7314000
1996-10-03	8.09	8.33	8.01	8.25	4401400
1996-10-04	8.05	8.33	8.05	8.29	5924200
1996-10-07	8.05	8.21	8.01	8.17	5005400
1996-10-08	7.93	8.09	7.89	8.05	4830800
1996-10-09	7.73	8.01	7.73	8.01	6069200
1996-10-10	7.73	7.77	7.65	7.77	5160800
1996-10-11	8.21	8.21	7.85	8.09	9079400
1996-10-14	8.41	8.65	8.21	8.45	8740800
1996-10-15	8.45	8.65	8.37	8.53	7691800
1996-10-16	8.45	8.53	8.21	8.49	5079800
1996-10-17	8.73	8.77	8.45	8.53	2362800
1996-10-18	9.37	9.41	9.01	9.09	2746800
1996-10-21	9.41	9.69	9.09	9.57	3301400
1996-10-22	9.13	9.21	9.01	9.21	1485000
1996-10-23	8.97	9.25	8.77	9.25	1910200
1996-10-24	8.77	8.97	8.77	8.97	2203400
1996-10-25	9.25	9.25	8.93	9.01	2228600
1996-10-28	9.45	9.49	9.25	9.25	2587200
1996-10-29	9.49	9.49	9.33	9.45	1572000
1996-10-30	9.45	9.73	9.37	9.61	3923400
1996-10-31	9.49	9.49	9.21	9.37	1415400
1996-11-01	9.49	9.53	9.33	9.53	1160800
1996-11-04	9.45	9.45	9.33	9.41	995200
1996-11-05	9.49	9.57	9.41	9.45	1519200
1996-11-06	9.73	9.81	9.49	9.57	1410400
1996-11-07	9.93	9.97	9.73	9.77	837000
1996-11-08	10.09	10.13	9.45	9.57	1595600
1996-11-11	10.13	10.40	10.13	10.20	1248200
1996-11-12	10.05	10.32	10.01	10.32	2457000
1996-11-13	10.16	10.20	10.01	10.13	1303600
1996-11-14	10.16	10.16	10.01	10.09	1490400
1996-11-15	9.97	10.16	9.85	10.13	1017800
1996-11-18	9.89	9.97	9.81	9.97	275000
