Date	Close	High	Low	Open	Volume
	FNV	FNV	FNV	FNV	FNV
2007-12-07	12.70	12.70	12.70	12.70	0
2007-12-10	12.63	12.63	12.63	12.63	400
2007-12-11	12.62	12.62	12.62	12.62	2000
2007-12-12	12.55	12.55	12.55	12.55	600
2007-12-13	12.52	12.52	12.52	12.52	12000
2007-12-14	12.35	12.44	12.35	12.35	325500
2007-12-17	12.31	12.35	12.27	12.31	4400
2007-12-18	11.50	11.50	11.50	11.50	1000
2007-12-19	12.12	12.16	12.08	12.12	10400
2007-12-20	11.95	12.05	11.92	11.95	17700
2007-12-21	12.65	12.65	11.99	12.65	5000
2007-12-24	12.98	12.98	12.98	12.98	100
2007-12-26	12.98	12.98	12.98	12.98	0
2007-12-27	13.03	13.06	12.97	13.03	1800
2007-12-28	13.07	13.08	13.07	13.07	14900
2007-12-31	12.87	12.91	12.87	12.87	2000
2008-01-02	13.00	13.00	12.94	13.00	16100
2008-01-03	13.89	13.97	13.15	13.89	8300
2008-01-04	13.86	13.89	13.83	13.86	12600
2008-01-07	13.91	13.92	13.50	13.91	1500
2008-01-08	14.92	14.92	14.34	14.92	13800
2008-01-09	15.29	15.34	14.78	15.29	9800
2008-01-10	15.59	15.59	15.34	15.59	3600
2008-01-11	16.28	16.36	15.45	16.28	6900
2008-01-14	16.92	16.92	16.76	16.92	27200
2008-01-15	15.87	16.80	15.85	15.87	5100
2008-01-16	15.58	15.61	15.16	15.58	6900
2008-01-17	14.79	15.27	14.79	14.79	1400
2008-01-18	14.89	15.23	14.77	14.89	9400
2008-01-22	14.74	14.97	13.90	14.74	8000
2008-01-23	14.49	14.79	14.40	14.49	7800
2008-01-24	15.56	15.75	15.50	15.56	5000
2008-01-25	16.16	16.25	16.04	16.16	2200
2008-01-28	16.41	16.41	15.94	16.41	1100
2008-01-29	16.38	16.54	16.38	16.38	2600
2008-01-30	16.38	16.38	16.38	16.38	0
2008-01-31	16.36	16.36	16.36	16.36	600
2008-02-01	16.06	16.42	15.77	16.06	2000
2008-02-04	16.55	16.55	15.93	16.55	6400
2008-02-05	15.99	16.19	15.99	15.99	500
2008-02-06	16.53	16.75	16.21	16.53	2900
2008-02-07	16.65	16.65	16.49	16.65	20000
2008-02-08	17.09	17.12	17.09	17.09	1300
2008-02-11	17.38	17.47	16.75	17.38	18200
2008-02-12	17.45	17.73	17.39	17.45	5200
2008-02-13	17.44	17.55	17.19	17.44	9300
2008-02-14	17.78	17.78	17.28	17.78	2200
2008-02-15	17.56	17.66	17.40	17.56	3700
2008-02-19	18.58	18.58	18.04	18.58	3400
2008-02-20	18.67	18.90	18.55	18.67	1700
2008-02-21	18.96	19.33	18.96	18.96	7000
2008-02-22	18.17	18.20	17.83	18.17	5200
2008-02-25	18.27	18.53	18.20	18.27	1300
2008-02-26	18.84	18.84	18.75	18.84	1100
2008-02-27	19.31	19.34	18.98	19.31	3200
2008-02-28	19.42	19.92	19.38	19.42	7800
2008-02-29	19.41	19.76	19.31	19.41	2800
2008-03-03	19.43	19.65	19.33	19.43	5700
2008-03-04	18.42	19.59	18.36	18.42	8800
2008-03-05	19.13	19.20	18.90	19.13	3000
2008-03-06	19.01	19.13	18.52	19.01	4100
2008-03-07	18.56	18.78	18.40	18.56	1500
2008-03-10	17.37	17.99	16.97	17.37	31800
2008-03-11	17.22	17.57	16.68	17.22	8400
2008-03-12	17.50	18.24	17.23	17.50	3300
2008-03-13	18.33	18.35	17.45	18.33	7300
2008-03-14	18.62	18.66	17.91	18.62	13400
2008-03-17	17.84	18.76	17.63	17.84	15900
2008-03-18	17.34	17.72	17.32	17.34	5200
2008-03-19	16.40	16.94	15.84	16.40	12200
2008-03-20	15.64	15.98	15.42	15.64	6300
2008-03-24	16.31	16.31	16.03	16.31	3900
2008-03-25	16.80	16.80	16.30	16.80	3700
2008-03-26	17.15	17.52	16.68	17.15	3500
2008-03-27	16.43	16.43	16.04	16.43	4300
2008-03-28	16.28	16.37	15.97	16.28	4500
2008-03-31	15.91	15.91	15.90	15.91	200
2008-04-01	15.83	15.83	15.73	15.83	3500
2008-04-02	16.14	16.18	16.06	16.14	7100
2008-04-03	16.14	16.14	16.14	16.14	0
2008-04-04	16.78	16.78	16.44	16.78	800
2008-04-07	16.78	16.78	16.78	16.78	0
2008-04-08	16.84	16.98	16.84	16.84	4200
2008-04-09	16.86	17.43	16.86	16.86	7300
2008-04-10	17.02	17.07	16.89	17.02	1400
2008-04-11	16.84	16.84	16.84	16.84	1200
2008-04-14	16.21	16.49	16.21	16.21	8400
2008-04-15	16.56	16.56	16.54	16.56	1000
2008-04-16	17.45	17.56	17.45	17.45	1200
2008-04-17	16.77	17.43	16.77	16.77	400
2008-04-18	16.80	16.88	16.62	16.80	1300
2008-04-21	16.64	16.90	16.58	16.64	5300
2008-04-22	16.64	16.64	16.64	16.64	0
2008-04-23	15.67	15.73	15.67	15.67	4200
2008-04-24	14.44	15.35	14.35	14.44	8800
2008-04-25	15.46	15.46	15.06	15.46	3100
2008-04-28	14.93	15.28	14.83	14.93	2600
2008-04-29	14.43	14.55	14.32	14.43	3000
2008-04-30	15.02	15.02	14.67	15.02	6200
2008-05-01	14.79	14.79	14.55	14.79	8600
2008-05-02	14.93	14.97	14.93	14.93	1600
2008-05-05	14.93	14.93	14.93	14.93	0
2008-05-06	15.61	15.61	15.51	15.61	1600
2008-05-07	14.92	15.42	14.89	14.92	5700
2008-05-08	15.45	15.45	15.23	15.45	5500
2008-05-09	15.69	15.73	15.61	15.69	3500
2008-05-12	15.41	15.92	15.41	15.41	700
2008-05-13	15.37	15.45	15.29	15.37	3100
2008-05-14	15.23	15.66	15.18	15.23	6300
2008-05-15	15.18	15.26	15.18	15.18	2000
2008-05-16	16.21	16.21	15.59	16.21	10600
2008-05-19	16.21	16.21	16.21	16.21	0
2008-05-20	17.72	17.81	16.53	17.72	33400
2008-05-21	18.35	18.35	17.93	18.35	9000
2008-05-22	17.92	18.34	17.67	17.92	7900
2008-05-23	18.15	18.19	17.99	18.15	2900
2008-05-27	17.43	17.88	17.34	17.43	6600
2008-05-28	17.34	17.40	17.12	17.34	2000
2008-05-29	17.23	17.23	17.23	17.23	400
2008-05-30	18.53	18.53	17.21	18.53	2100
2008-06-02	17.72	17.86	17.58	17.72	18200
2008-06-03	17.56	17.84	17.55	17.56	29700
2008-06-04	17.28	17.55	17.28	17.28	11300
2008-06-05	17.34	17.34	17.01	17.34	2100
2008-06-06	17.56	17.66	17.34	17.56	7300
2008-06-09	17.50	17.67	17.35	17.50	3600
2008-06-10	17.46	17.49	17.46	17.46	1300
2008-06-11	17.46	17.46	17.46	17.46	100
2008-06-12	17.43	17.43	17.41	17.43	300
2008-06-13	17.62	17.62	17.43	17.62	1700
2008-06-16	18.96	19.14	18.78	18.96	2700
2008-06-17	18.22	18.53	18.22	18.22	400
2008-06-18	18.33	18.33	17.97	18.33	3100
2008-06-19	18.36	18.38	18.28	18.36	10400
2008-06-20	18.36	18.36	18.36	18.36	0
2008-06-23	18.36	18.36	18.36	18.36	0
2008-06-24	18.72	18.72	18.72	18.72	0
2008-06-25	18.25	18.86	18.25	18.25	1700
2008-06-26	18.96	19.03	18.90	18.96	1000
2008-06-27	20.42	20.42	19.28	20.42	2200
2008-06-30	20.30	20.55	19.95	20.30	4900
2008-07-01	20.30	20.30	20.30	20.30	0
2008-07-02	20.28	20.65	19.93	20.28	6800
2008-07-03	19.54	19.54	19.47	19.54	10500
2008-07-07	19.11	19.35	19.10	19.11	1400
2008-07-08	17.96	18.70	17.85	17.96	1700
2008-07-09	18.21	18.53	18.15	18.21	1100
2008-07-10	18.35	18.66	18.35	18.35	3700
2008-07-11	19.78	20.04	18.96	19.78	11800
2008-07-14	20.66	20.66	20.54	20.66	2500
2008-07-15	20.09	20.74	20.02	20.09	3500
2008-07-16	19.51	20.09	19.51	19.51	3700
2008-07-17	20.21	20.44	20.01	20.21	2600
2008-07-18	20.01	20.01	19.94	20.01	200
2008-07-21	19.85	19.99	19.85	19.85	900
2008-07-22	19.49	19.76	19.44	19.49	3600
2008-07-23	17.99	19.37	17.99	17.99	2100
2008-07-24	18.54	18.60	18.31	18.54	2100
2008-07-25	18.45	18.45	18.21	18.45	3400
2008-07-28	18.57	18.57	18.44	18.57	600
2008-07-29	18.04	18.21	17.80	18.04	1400
2008-07-30	18.50	18.50	17.29	18.50	2200
2008-07-31	17.69	18.76	17.58	17.69	3800
2008-08-01	17.56	17.56	17.47	17.56	600
2008-08-04	17.56	17.56	17.56	17.56	0
2008-08-05	15.61	17.37	15.61	15.61	16900
2008-08-06	14.85	16.02	14.85	14.85	11500
2008-08-07	14.84	15.10	14.68	14.84	8000
2008-08-08	14.59	14.59	14.20	14.59	7700
2008-08-11	14.08	15.01	14.08	14.08	6100
2008-08-12	13.74	13.91	13.59	13.74	14100
2008-08-13	14.58	14.59	13.86	14.58	17800
2008-08-14	14.67	14.71	14.43	14.67	5100
2008-08-15	14.67	14.67	14.33	14.67	7600
2008-08-18	14.76	14.84	14.59	14.76	3400
2008-08-19	15.39	15.39	14.45	15.39	1400
2008-08-20	15.86	16.32	15.35	15.86	52300
2008-08-21	17.06	17.34	16.78	17.06	18400
2008-08-22	16.12	16.96	16.04	16.12	2100
2008-08-25	16.24	16.27	16.24	16.24	700
2008-08-26	16.86	16.99	16.13	16.86	3400
2008-08-27	16.87	16.87	16.87	16.87	200
2008-08-28	16.80	17.17	16.80	16.80	3000
2008-08-29	16.84	17.22	16.84	16.84	17600
2008-09-02	15.64	15.65	15.18	15.64	1700
2008-09-03	15.28	15.40	15.28	15.28	2100
2008-09-04	15.19	15.64	15.02	15.19	3000
2008-09-05	15.37	15.37	14.89	15.37	4500
2008-09-08	15.16	15.89	15.06	15.16	11400
2008-09-09	13.51	14.72	13.51	13.51	10600
2008-09-10	14.22	14.24	13.38	14.22	6600
2008-09-11	13.70	13.97	13.60	13.70	27600
2008-09-12	15.07	15.09	14.45	15.07	35400
2008-09-15	14.92	15.06	14.58	14.92	3400
2008-09-16	14.26	14.52	14.17	14.26	11400
2008-09-17	15.38	15.61	13.98	15.38	12300
2008-09-18	16.45	16.55	16.08	16.45	5200
2008-09-19	16.81	16.81	16.58	16.81	800
2008-09-22	17.39	18.06	16.79	17.39	45200
2008-09-23	16.89	17.19	16.46	16.89	42700
2008-09-24	16.98	17.22	16.64	16.98	21500
2008-09-25	16.93	16.93	16.10	16.93	45800
2008-09-26	17.03	17.14	16.55	17.03	89600
2008-09-29	16.70	17.28	15.72	16.70	43900
2008-09-30	15.89	16.40	15.74	15.89	44600
2008-10-01	16.74	16.74	16.74	16.74	500
2008-10-02	14.18	15.94	14.18	14.18	41100
2008-10-03	14.28	14.80	14.28	14.28	99200
2008-10-06	13.23	14.11	12.87	13.23	35300
2008-10-07	12.88	13.61	12.88	12.88	5200
2008-10-08	15.10	15.10	12.31	15.10	19400
2008-10-09	13.87	14.61	13.87	13.87	14400
2008-10-10	12.50	13.57	11.35	12.50	14900
2008-10-13	12.50	12.50	12.50	12.50	0
2008-10-14	13.43	13.96	12.47	13.43	37600
2008-10-15	12.38	13.26	12.33	12.38	3900
2008-10-16	11.22	11.93	10.82	11.22	12100
2008-10-17	11.02	11.31	10.78	11.02	5600
2008-10-20	11.19	11.63	10.74	11.19	6600
2008-10-21	11.09	11.17	10.97	11.09	40800
2008-10-22	8.86	10.37	8.86	8.86	20200
2008-10-23	8.68	8.82	8.68	8.68	10200
2008-10-24	8.61	9.09	7.70	8.61	17400
2008-10-27	8.52	8.56	8.02	8.56	42000
2008-10-28	9.67	9.67	8.87	8.87	1200
2008-10-29	11.41	11.41	10.90	10.90	2400
2008-10-30	12.15	12.57	12.06	12.57	1100
2008-10-31	12.13	12.43	12.00	12.00	29600
2008-11-03	12.72	12.79	12.37	12.37	23000
2008-11-04	14.79	15.15	14.38	14.43	30600
2008-11-05	13.72	14.47	13.32	14.34	73800
2008-11-06	11.88	12.98	11.88	12.98	4300
2008-11-07	11.74	12.27	11.57	11.57	24000
2008-11-10	11.11	11.85	11.03	11.84	47200
2008-11-11	10.38	10.38	9.41	10.23	132700
2008-11-12	10.27	10.55	10.27	10.48	39800
2008-11-13	11.19	11.19	10.33	10.33	4800
2008-11-14	11.28	11.36	10.81	11.19	7200
2008-11-17	10.94	11.63	10.94	11.21	9700
2008-11-18	10.35	11.14	10.17	11.14	3700
2008-11-19	9.96	10.63	9.96	10.58	5200
2008-11-20	9.67	9.95	9.50	9.57	28600
2008-11-21	10.03	10.03	9.46	9.67	20900
2008-11-24	11.12	11.48	10.93	11.48	27200
2008-11-25	10.35	11.14	10.17	11.14	11000
2008-11-26	10.99	10.99	10.56	10.57	11600
2008-11-28	11.28	11.30	11.19	11.30	5500
2008-12-01	10.79	11.07	10.59	10.97	9500
2008-12-02	10.99	11.27	10.89	11.27	15900
2008-12-03	9.79	10.49	9.79	10.43	5400
2008-12-04	9.93	10.31	9.82	10.31	5900
2008-12-05	10.47	10.58	9.60	9.60	6200
2008-12-08	10.90	11.28	10.58	11.28	7300
2008-12-09	10.71	11.03	10.65	10.65	68400
2008-12-10	11.28	11.45	10.96	10.96	7900
2008-12-11	12.26	13.17	12.26	12.66	2400
2008-12-12	12.69	12.99	11.23	11.23	4100
2008-12-15	12.74	13.27	12.62	13.27	6300
2008-12-16	13.46	13.46	12.68	12.75	11000
2008-12-17	13.62	13.62	13.38	13.38	500
2008-12-18	13.26	13.79	12.98	13.67	12100
2008-12-19	13.47	13.55	13.35	13.35	2600
2008-12-22	13.58	13.94	13.44	13.94	32900
2008-12-23	14.03	14.10	13.80	13.90	11900
2008-12-24	14.06	14.12	13.83	13.88	9800
2008-12-26	14.06	14.06	14.06	14.06	0
2008-12-29	14.52	14.63	14.05	14.51	14300
2008-12-30	14.04	14.20	13.84	14.11	8700
2008-12-31	14.64	14.70	14.08	14.30	8100
2009-01-02	14.50	14.87	14.33	14.87	14300
2009-01-05	14.38	14.38	13.75	13.75	2100
2009-01-06	14.26	15.28	14.26	14.32	3600
2009-01-07	13.80	14.23	13.48	14.23	10400
2009-01-08	14.09	14.17	13.90	14.17	2000
2009-01-09	14.53	14.90	14.53	14.64	3400
2009-01-12	13.64	14.62	13.49	14.62	6700
2009-01-13	13.43	13.92	13.42	13.82	5900
2009-01-14	12.90	13.51	12.90	13.51	2900
2009-01-15	13.35	13.35	12.79	12.79	600
2009-01-16	13.72	13.72	13.34	13.65	4100
2009-01-20	13.29	13.74	13.29	13.73	7000
2009-01-21	14.00	14.26	13.29	13.56	14100
2009-01-22	14.80	15.58	14.26	14.26	24400
2009-01-23	15.98	16.60	15.50	15.55	8400
2009-01-26	16.60	17.08	16.18	16.47	17800
2009-01-27	16.69	16.69	16.42	16.50	8800
2009-01-28	16.18	16.74	16.18	16.41	6400
2009-01-29	17.23	17.34	16.54	16.54	22400
2009-01-30	17.54	17.74	17.06	17.41	6100
2009-02-02	17.68	17.89	16.81	16.81	9400
2009-02-03	17.72	17.89	17.17	17.88	7500
