Date	Close	High	Low	Open	Volume
	FRMI	FRMI	FRMI	FRMI	FRMI
2025-10-01	32.53	33.46	24.50	25.13	41146500
2025-10-02	28.78	36.99	27.39	36.09	23635600
2025-10-03	28.60	31.55	27.80	30.01	10265200
2025-10-06	26.35	29.29	25.87	28.65	7894800
2025-10-07	28.17	28.25	24.30	25.69	7702600
2025-10-08	26.84	28.67	26.27	27.37	5094200
2025-10-09	26.77	27.84	26.05	27.15	3276300
2025-10-10	29.08	30.00	26.47	27.00	8334000
2025-10-13	30.01	32.39	27.80	28.11	6030800
2025-10-14	29.59	30.55	28.08	29.11	2969400
2025-10-15	28.50	31.00	27.80	30.89	4336600
2025-10-16	29.66	31.47	28.00	28.50	3812700
2025-10-17	27.00	28.70	26.71	28.57	3402700
2025-10-20	25.39	28.00	24.10	27.60	5350200
2025-10-21	21.71	24.81	21.26	24.75	6397700
2025-10-22	19.89	23.10	18.70	21.85	7742000
2025-10-23	19.84	21.64	18.90	19.97	3934100
2025-10-24	23.54	23.99	20.77	20.84	5343500
2025-10-27	23.83	25.65	23.00	25.52	5154400
2025-10-28	29.86	30.90	25.49	25.65	11150600
2025-10-29	28.71	29.83	27.92	28.51	4110600
2025-10-30	27.39	28.69	25.50	28.68	3727700
2025-10-31	26.21	30.02	26.11	27.76	3048200
2025-11-03	27.95	29.31	27.18	27.58	2790900
2025-11-04	26.62	28.25	24.75	26.45	3284900
2025-11-05	26.45	28.90	25.70	27.29	3063575
