Date	Open	High	Low	Close	Adj Close	Volume
2011-09-09	6.88	6.88	6.88	6.88		0.00
2011-09-12	6.94	6.94	6.94	6.94		0.00
2011-09-13	7.07	7.07	7.07	7.07		0.00
2011-09-14	7.19	7.19	7.19	7.19		0.00
2011-09-15	7.29	7.29	7.29	7.29		0.00
2011-09-16	7.29	7.29	7.29	7.29		0.00
2011-09-19	7.17	7.17	7.17	7.17		0.00
2011-09-20	7.05	7.05	7.05	7.05		0.00
2011-09-21	6.79	6.79	6.79	6.79		0.00
2011-09-22	6.58	6.58	6.58	6.58		0.00
2011-09-23	6.67	6.67	6.67	6.67		0.00
2011-09-26	6.80	6.80	6.80	6.80		0.00
2011-09-27	6.95	6.95	6.95	6.95		0.00
2011-09-28	6.67	6.67	6.67	6.67		0.00
2011-09-29	6.78	6.78	6.78	6.78		0.00
2011-09-30	6.59	6.59	6.59	6.59		0.00
2011-10-03	6.24	6.24	6.24	6.24		0.00
2011-10-04	6.63	6.63	6.63	6.63		0.00
2011-10-05	6.73	6.73	6.73	6.73		0.00
2011-10-06	6.89	6.89	6.89	6.89		0.00
2011-10-07	6.71	6.71	6.71	6.71		0.00
2011-10-10	7.00	7.00	7.00	7.00		0.00
2011-10-11	7.05	7.05	7.05	7.05		0.00
2011-10-12	7.17	7.17	7.17	7.17		0.00
2011-10-13	7.15	7.15	7.15	7.15		0.00
2011-10-14	7.29	7.29	7.29	7.29		0.00
2011-10-17	7.05	7.05	7.05	7.05		0.00
2011-10-18	7.26	7.26	7.26	7.26		0.00
2011-10-19	7.10	7.10	7.10	7.10		0.00
2011-10-20	7.12	7.12	7.12	7.12		0.00
2011-10-21	7.29	7.29	7.29	7.29		0.00
2011-10-24	7.53	7.53	7.53	7.53		0.00
2011-10-25	7.30	7.30	7.30	7.30		0.00
2011-10-26	7.44	7.44	7.44	7.44		0.00
2011-10-27	7.83	7.83	7.83	7.83		0.00
2011-10-28	7.78	7.78	7.78	7.78		0.00
2011-10-31	7.58	7.58	7.58	7.58		0.00
2011-11-01	7.30	7.30	7.30	7.30		0.00
2011-11-02	7.49	7.49	7.49	7.49		0.00
2011-11-03	7.68	7.68	7.68	7.68		0.00
2011-11-04	7.64	7.64	7.64	7.64		0.00
2011-11-07	7.62	7.62	7.62	7.62		0.00
2011-11-08	7.72	7.72	7.72	7.72		0.00
2011-11-09	7.35	7.35	7.35	7.35		0.00
2011-11-10	7.42	7.42	7.42	7.42		0.00
2011-11-11	7.61	7.61	7.61	7.61		0.00
2011-11-14	7.50	7.50	7.50	7.50		0.00
2011-11-15	7.60	7.60	7.60	7.60		0.00
2011-11-16	7.46	7.46	7.46	7.46		0.00
2011-11-17	7.35	7.35	7.35	7.35		0.00
2011-11-18	7.36	7.36	7.36	7.36		0.00
2011-11-21	7.18	7.18	7.18	7.18		0.00
2011-11-22	7.12	7.12	7.12	7.12		0.00
2011-11-23	6.90	6.90	6.90	6.90		0.00
