Date	Close	High	Low	Open	Volume
	FTLF	FTLF	FTLF	FTLF	FTLF
2007-11-02	1.94	1.98	1.73	1.73	5120
2007-11-05	1.94	1.94	1.94	1.94	0
2007-11-06	2.10	2.10	2.04	2.04	1760
2007-11-07	2.29	2.35	2.19	2.19	2880
2007-11-08	2.29	2.29	2.29	2.29	0
2007-11-09	2.50	2.54	2.47	2.54	2880
2007-11-12	2.66	2.66	2.66	2.66	400
2007-11-13	2.66	2.66	2.66	2.66	0
2007-11-14	2.66	2.66	2.66	2.66	0
2007-11-15	2.69	2.69	2.69	2.69	480
2007-11-16	2.69	2.69	2.69	2.69	0
2007-11-19	2.69	2.69	2.69	2.69	0
2007-11-20	2.81	2.81	2.81	2.81	160
2007-11-21	2.81	2.81	2.81	2.81	0
2007-11-23	2.81	2.81	2.81	2.81	0
2007-11-26	2.81	2.81	2.81	2.81	0
2007-11-27	2.81	2.81	2.81	2.81	4800
2007-11-28	2.97	3.16	2.88	3.12	48800
2007-11-29	2.97	2.97	2.97	2.97	8080
2007-11-30	2.97	2.97	2.97	2.97	0
2007-12-03	2.97	2.97	2.97	2.97	0
2007-12-04	2.97	2.97	2.97	2.97	0
2007-12-05	2.97	2.97	2.97	2.97	0
2007-12-06	2.97	2.97	2.97	2.97	0
2007-12-07	3.44	3.75	3.44	3.75	8480
2007-12-10	3.44	3.44	3.44	3.44	0
2007-12-11	4.06	4.06	4.06	4.06	240
2007-12-12	4.06	4.06	4.06	4.06	240
2007-12-13	4.06	4.06	4.06	4.06	0
2007-12-14	3.91	4.06	3.75	4.06	1280
2007-12-17	3.91	3.91	3.91	3.91	0
2007-12-18	3.91	3.91	3.91	3.91	0
2007-12-19	4.06	4.06	4.06	4.06	480
2007-12-20	4.06	4.06	4.06	4.06	0
2007-12-21	4.06	4.06	4.06	4.06	0
2007-12-24	4.06	4.06	4.06	4.06	0
2007-12-26	4.06	4.06	4.06	4.06	0
2007-12-27	4.06	4.06	4.06	4.06	0
2007-12-28	4.06	4.06	4.06	4.06	0
2007-12-31	4.06	4.06	4.06	4.06	0
2008-01-02	4.06	4.06	4.06	4.06	0
2008-01-03	4.06	4.06	4.06	4.06	0
2008-01-04	4.06	4.06	4.06	4.06	0
2008-01-07	4.06	4.06	4.06	4.06	0
2008-01-08	4.06	4.06	2.81	2.81	560
2008-01-09	4.06	4.06	4.06	4.06	320
2008-01-10	4.06	4.06	4.06	4.06	0
2008-01-11	4.06	4.06	4.06	4.06	240
2008-01-14	4.06	4.06	4.06	4.06	0
2008-01-15	4.06	4.06	4.06	4.06	0
2008-01-16	4.06	4.06	4.06	4.06	160
2008-01-17	4.06	4.06	4.06	4.06	0
2008-01-18	4.06	4.06	4.06	4.06	0
2008-01-22	4.06	4.06	4.06	4.06	0
2008-01-23	4.06	4.06	4.06	4.06	0
2008-01-24	4.06	4.06	4.06	4.06	0
2008-01-25	4.06	4.06	4.06	4.06	0
2008-01-28	4.06	4.06	4.06	4.06	0
2008-01-29	4.06	4.06	3.62	3.62	400
2008-01-30	4.06	4.06	4.06	4.06	0
2008-01-31	4.06	4.06	4.06	4.06	0
2008-02-01	4.06	4.06	4.06	4.06	0
2008-02-04	3.75	3.75	3.62	3.62	960
2008-02-05	3.75	3.75	3.75	3.75	0
2008-02-06	3.75	3.75	3.75	3.75	0
2008-02-07	3.75	3.75	3.75	3.75	0
2008-02-08	3.75	3.75	3.75	3.75	0
2008-02-11	3.75	3.75	3.75	3.75	0
2008-02-12	3.75	3.75	3.75	3.75	0
2008-02-13	3.75	3.75	3.75	3.75	0
2008-02-14	3.75	3.75	3.75	3.75	1200
2008-02-15	3.75	3.75	3.75	3.75	0
2008-02-19	3.75	3.75	3.75	3.75	0
2008-02-20	3.75	3.75	3.75	3.75	0
2008-02-21	3.75	3.75	3.75	3.75	0
2008-02-22	3.75	3.75	3.75	3.75	0
2008-02-25	3.75	3.75	3.75	3.75	0
2008-02-26	3.75	3.75	3.75	3.75	0
2008-02-27	3.75	3.75	3.75	3.75	0
2008-02-28	3.75	3.75	3.75	3.75	0
2008-02-29	3.75	3.75	3.75	3.75	0
2008-03-03	3.75	3.75	3.75	3.75	0
2008-03-04	3.75	3.75	3.56	3.56	800
2008-03-05	3.75	3.75	3.75	3.75	0
2008-03-06	3.75	3.75	3.75	3.75	0
2008-03-07	3.75	3.75	3.75	3.75	0
2008-03-10	3.75	3.75	3.75	3.75	0
2008-03-11	3.75	3.75	3.75	3.75	0
2008-03-12	3.75	3.75	3.75	3.75	0
2008-03-13	3.12	3.12	2.85	2.85	3600
2008-03-14	3.12	3.12	3.12	3.12	0
2008-03-17	3.12	3.12	3.12	3.12	0
2008-03-18	3.12	3.12	3.12	3.12	0
2008-03-19	3.12	3.12	3.12	3.12	0
2008-03-20	3.12	3.12	3.12	3.12	0
2008-03-24	3.12	3.12	3.12	3.12	0
2008-03-25	3.12	3.12	3.12	3.12	0
2008-03-26	3.12	3.12	3.12	3.12	0
2008-03-27	3.12	3.12	3.12	3.12	0
2008-03-28	2.50	2.50	1.56	1.56	320
2008-03-31	1.88	1.88	1.88	1.88	400
2008-04-01	2.75	2.75	2.75	2.75	80
2008-04-02	2.75	2.75	2.75	2.75	0
2008-04-03	2.75	2.75	2.75	2.75	2320
2008-04-04	2.75	2.75	2.75	2.75	560
2008-04-07	2.50	2.50	2.50	2.50	960
2008-04-08	2.50	2.50	2.50	2.50	0
2008-04-09	2.50	2.50	2.50	2.50	0
2008-04-10	2.50	2.50	2.50	2.50	0
2008-04-11	2.50	2.50	2.50	2.50	0
2008-04-14	2.50	2.50	2.50	2.50	0
2008-04-15	2.50	2.50	2.50	2.50	0
2008-04-16	2.50	2.50	2.50	2.50	0
2008-04-17	2.50	2.50	2.50	2.50	0
2008-04-18	2.50	2.50	2.50	2.50	0
2008-04-21	2.50	2.50	2.50	2.50	0
2008-04-22	2.50	2.50	2.50	2.50	0
2008-04-23	2.17	2.19	2.17	2.19	1600
2008-04-24	2.19	2.19	2.19	2.19	560
2008-04-25	2.19	2.19	2.19	2.19	0
2008-04-28	2.19	2.19	2.19	2.19	0
2008-04-29	2.19	2.19	2.19	2.19	0
2008-04-30	2.50	2.50	1.62	2.06	1040
2008-05-01	2.50	2.50	2.50	2.50	0
2008-05-02	2.50	2.50	2.50	2.50	0
2008-05-05	2.50	2.50	2.50	2.50	0
2008-05-06	2.50	2.50	2.50	2.50	0
2008-05-07	2.50	2.50	2.50	2.50	0
2008-05-08	2.62	2.62	2.00	2.25	8000
2008-05-09	1.94	2.25	1.94	2.12	2560
2008-05-12	2.12	2.12	2.12	2.12	2400
2008-05-13	2.19	2.19	2.19	2.19	160
2008-05-14	2.12	2.12	2.12	2.12	1600
2008-05-15	2.12	2.12	2.12	2.12	0
2008-05-16	2.19	2.19	1.69	1.69	560
2008-05-19	2.19	2.19	2.19	2.19	0
2008-05-20	2.19	2.19	2.19	2.19	0
2008-05-21	2.19	2.19	2.19	2.19	0
2008-05-22	2.19	2.19	2.19	2.19	0
2008-05-23	2.19	2.19	2.19	2.19	0
2008-05-27	2.01	2.01	1.56	1.56	9200
2008-05-28	2.01	2.01	2.01	2.01	0
2008-05-29	2.01	2.01	2.01	2.01	0
2008-05-30	2.00	2.00	2.00	2.00	160
2008-06-02	2.00	2.00	2.00	2.00	0
2008-06-03	2.00	2.00	2.00	2.00	0
2008-06-04	2.00	2.00	2.00	2.00	0
2008-06-05	1.88	1.88	1.88	1.88	1600
2008-06-06	2.19	2.19	1.31	1.88	5360
2008-06-09	2.19	2.19	1.62	1.62	6400
2008-06-10	1.88	1.88	1.88	1.88	3200
2008-06-11	2.00	2.00	1.88	1.88	7600
2008-06-12	2.00	2.00	2.00	2.00	0
2008-06-13	1.62	1.62	1.62	1.62	400
2008-06-16	1.62	1.62	1.62	1.62	0
2008-06-17	1.62	1.62	1.62	1.62	0
2008-06-18	1.69	1.69	1.69	1.69	3200
2008-06-19	1.69	1.69	1.69	1.69	800
2008-06-20	1.69	1.69	1.69	1.69	0
2008-06-23	1.69	1.69	1.69	1.69	0
2008-06-24	1.69	1.69	1.69	1.69	0
2008-06-25	1.69	2.31	1.69	2.31	1200
2008-06-26	1.69	1.69	1.69	1.69	0
2008-06-27	1.69	1.69	1.69	1.69	0
2008-06-30	1.69	1.69	1.69	1.69	0
2008-07-01	1.69	1.69	1.69	1.69	0
2008-07-02	1.69	1.69	1.69	1.69	800
2008-07-03	1.69	1.69	1.69	1.69	0
2008-07-07	1.69	1.69	1.69	1.69	0
2008-07-08	2.19	4.06	1.67	2.25	6960
2008-07-09	1.75	1.75	1.75	1.75	800
2008-07-10	1.56	1.56	1.56	1.56	2800
2008-07-11	1.26	1.31	0.94	1.31	5680
2008-07-14	1.26	1.26	1.26	1.26	0
2008-07-15	1.26	1.26	1.26	1.26	0
2008-07-16	1.26	1.26	1.26	1.26	0
2008-07-17	1.55	1.55	1.31	1.38	6000
2008-07-18	1.56	1.56	1.56	1.56	160
2008-07-21	1.50	1.50	0.81	1.26	3040
2008-07-22	1.38	1.50	1.38	1.50	800
2008-07-23	1.26	1.44	1.26	1.44	40480
2008-07-24	1.26	1.26	1.26	1.26	0
2008-07-25	1.19	1.19	1.19	1.19	800
2008-07-28	1.19	1.19	1.19	1.19	0
2008-07-29	1.19	1.19	1.19	1.19	0
2008-07-30	1.19	1.19	1.19	1.19	0
2008-07-31	1.19	1.19	1.19	1.19	0
2008-08-01	0.94	0.94	0.94	0.94	2400
2008-08-04	1.26	1.26	1.10	1.10	5520
2008-08-05	1.26	1.26	1.26	1.26	0
2008-08-06	1.26	1.26	1.26	1.26	0
2008-08-07	1.26	1.26	1.26	1.26	0
2008-08-08	1.38	1.38	1.38	1.38	160
2008-08-11	1.38	1.38	1.38	1.38	0
2008-08-12	1.38	1.38	1.38	1.38	0
2008-08-13	1.38	1.38	1.12	1.12	1280
2008-08-14	1.19	1.19	1.12	1.12	2400
2008-08-15	1.38	1.38	1.38	1.38	960
2008-08-18	1.38	1.38	1.38	1.38	0
2008-08-19	1.38	1.38	1.38	1.38	0
2008-08-20	1.19	1.19	1.19	1.19	2800
2008-08-21	1.19	1.19	1.19	1.19	400
2008-08-22	1.19	1.19	1.19	1.19	0
2008-08-25	1.25	1.25	1.19	1.19	5600
2008-08-26	1.12	1.25	1.12	1.12	6400
2008-08-27	1.19	1.25	1.00	1.12	18560
2008-08-28	1.19	1.19	1.19	1.19	7840
2008-08-29	1.19	1.19	1.19	1.19	0
2008-09-02	1.19	1.19	1.00	1.00	7040
2008-09-03	1.12	1.12	1.06	1.06	13360
2008-09-04	1.12	1.12	1.12	1.12	0
2008-09-05	1.06	1.12	1.06	1.08	14640
2008-09-08	1.06	1.06	1.06	1.06	0
2008-09-09	1.10	1.10	1.10	1.10	160
2008-09-10	1.10	1.10	1.10	1.10	0
2008-09-11	1.06	1.14	1.00	1.10	15760
2008-09-12	1.06	1.19	0.89	1.05	1920
2008-09-15	0.89	0.89	0.89	0.89	2000
