Date	Close	High	Low	Open	Volume
	FTV	FTV	FTV	FTV	FTV
2016-07-05	29.49	32.98	29.37	29.98	9880426
2016-07-06	28.98	29.49	28.09	28.56	10634933
2016-07-07	28.97	29.13	28.73	28.90	8700775
2016-07-08	30.46	30.71	28.84	29.10	6729194
2016-07-11	31.02	31.09	29.72	29.86	9581668
2016-07-12	30.69	30.99	30.50	30.95	8805594
2016-07-13	30.72	31.01	30.24	30.69	7714271
2016-07-14	31.30	31.40	30.31	30.54	5520999
2016-07-15	31.09	31.50	30.71	31.42	5851156
2016-07-18	31.13	31.30	30.65	30.81	2469829
2016-07-19	31.28	31.29	30.61	30.97	3099695
2016-07-20	30.55	31.51	30.35	31.46	5315009
2016-07-21	30.49	30.72	30.34	30.59	4804709
2016-07-22	29.98	30.52	29.91	30.34	3886076
2016-07-25	29.72	30.01	29.04	29.87	4828337
2016-07-26	29.91	29.99	29.30	29.47	2491871
2016-07-27	29.69	30.04	29.56	29.78	2582577
2016-07-28	29.52	29.79	29.34	29.58	4635350
2016-07-29	29.26	29.61	29.14	29.41	7110729
2016-08-01	29.01	29.44	28.88	29.20	4727165
2016-08-02	28.83	29.14	28.63	28.83	5181170
2016-08-03	29.91	30.03	28.73	28.83	7468795
2016-08-04	30.36	30.41	30.03	30.09	4831509
2016-08-05	30.69	30.94	30.50	30.50	4227491
2016-08-08	30.37	30.87	30.31	30.73	3356272
2016-08-09	30.62	30.66	29.38	29.57	1709296
2016-08-10	30.62	30.83	30.40	30.63	1875009
2016-08-11	31.89	31.99	30.77	30.79	3159954
2016-08-12	31.99	32.08	31.44	31.56	2042148
2016-08-15	32.56	32.63	32.08	32.13	2311887
2016-08-16	32.50	32.74	32.33	32.52	1589412
2016-08-17	32.41	32.61	32.37	32.57	1636668
2016-08-18	32.26	32.48	32.12	32.30	1387069
2016-08-19	31.51	32.13	31.38	32.13	1896734
2016-08-22	31.11	31.58	31.00	31.51	1715322
2016-08-23	31.50	31.62	31.03	31.17	3985979
2016-08-24	31.22	31.47	30.75	31.15	1098618
2016-08-25	31.37	31.53	30.98	31.10	2196126
2016-08-26	31.52	31.81	31.31	31.38	1486813
2016-08-29	31.85	32.08	31.33	31.47	1656807
2016-08-30	31.97	32.49	31.71	31.71	1509807
2016-08-31	32.01	32.10	31.60	31.88	2622221
2016-09-01	31.98	32.27	31.68	32.18	1521383
2016-09-02	32.44	32.49	32.09	32.22	1333311
2016-09-06	32.04	32.54	31.78	32.51	2051663
2016-09-07	32.17	32.28	31.61	31.86	2764306
2016-09-08	31.80	32.18	31.76	32.01	1740853
2016-09-09	30.72	31.61	30.72	31.46	3442220
2016-09-12	31.12	31.26	30.30	30.40	2953329
2016-09-13	30.41	31.23	30.37	30.91	2548483
2016-09-14	30.40	30.69	30.17	30.41	1827277
2016-09-15	30.68	30.75	30.08	30.37	2236087
2016-09-16	30.54	30.62	30.03	30.45	3729561
2016-09-19	30.86	31.24	30.61	30.63	1546597
2016-09-20	30.54	31.04	30.51	30.86	1697403
2016-09-21	30.98	31.00	30.52	30.67	1349169
2016-09-22	31.38	31.59	31.17	31.20	2615244
2016-09-23	30.92	31.34	30.78	31.17	1280030
2016-09-26	31.13	31.29	30.57	30.78	1690901
2016-09-27	31.36	31.47	31.02	31.05	1897209
2016-09-28	31.43	31.46	31.20	31.44	1436227
2016-09-29	30.81	31.36	30.77	31.05	2312204
2016-09-30	30.93	31.16	30.55	31.06	3096048
2016-10-03	31.23	31.39	30.75	30.75	2157750
2016-10-04	30.88	31.26	30.72	31.15	1923216
2016-10-05	30.96	31.17	30.75	31.00	1402609
2016-10-06	30.81	30.97	30.69	30.89	1211524
2016-10-07	30.34	30.88	30.30	30.69	1673934
2016-10-10	30.35	30.58	30.32	30.52	1619383
2016-10-11	29.91	30.48	29.79	30.34	2223084
2016-10-12	29.77	30.02	29.56	30.02	2568939
2016-10-13	29.67	30.19	29.17	29.55	1918141
2016-10-14	30.06	30.34	29.66	29.82	1383263
2016-10-17	29.81	30.13	29.72	30.12	1770507
2016-10-18	29.83	30.58	29.78	30.17	1827753
2016-10-19	30.01	30.26	29.45	29.94	1205023
2016-10-20	29.59	29.89	29.44	29.86	2250676
2016-10-21	29.58	29.71	29.25	29.30	2706901
