Date	Open	High	Low	Close	Adj Close	Volume
2004-10-08	11.36	11.44	11.34	11.36		1733700
2004-10-11	11.49	11.51	11.44	11.50		1034700
2004-10-12	11.34	11.40	11.30	11.36		744600
2004-10-13	11.22	11.28	11.05	11.07		1107300
2004-10-14	11.00	11.03	10.89	10.92		359400
2004-10-15	11.02	11.14	11.01	11.09		703500
2004-10-18	10.98	10.99	10.92	10.95		560400
2004-10-19	11.09	11.10	11.01	11.02		475200
2004-10-20	10.87	10.89	10.77	10.88		687000
2004-10-21	10.83	10.96	10.81	10.94		556500
2004-10-22	10.95	10.96	10.80	10.81		363300
2004-10-25	10.75	10.76	10.69	10.74		417900
2004-10-26	10.75	10.90	10.74	10.88		696600
2004-10-27	10.86	10.89	10.77	10.87		1058400
2004-10-28	10.96	10.96	10.62	10.71		1715400
2004-10-29	10.85	10.90	10.84	10.90		435900
2004-11-01	10.91	10.91	10.86	10.88		363600
2004-11-02	11.07	11.16	11.02	11.06		464100
2004-11-03	11.17	11.24	11.15	11.23		703200
2004-11-04	11.15	11.27	11.11	11.24		562200
2004-11-05	11.25	11.30	11.23	11.28		719100
2004-11-08	11.28	11.30	11.18	11.22		755700
2004-11-09	11.30	11.31	11.27	11.29		655200
2004-11-10	11.48	11.57	11.43	11.52		1566600
2004-11-11	11.48	11.55	11.45	11.53		1172100
2004-11-12	11.53	11.67	11.53	11.66		1610100
2004-11-15	11.74	11.81	11.72	11.78		2206200
2004-11-16	11.60	11.60	11.52	11.54		1273200
2004-11-17	11.65	11.76	11.64	11.71		1118100
2004-11-18	11.67	11.68	11.64	11.67		649500
2004-11-19	11.62	11.63	11.50	11.51		1370700
2004-11-22	11.54	11.61	11.53	11.61		687900
2004-11-23	11.72	11.78	11.71	11.76		1278000
2004-11-24	11.79	11.89	11.78	11.89		1508700
2004-11-26	11.87	11.87	11.80	11.83		832500
2004-11-29	11.90	11.90	11.80	11.82		1497600
2004-11-30	11.86	11.86	11.80	11.81		1043100
2004-12-01	11.85	11.96	11.85	11.95		1261800
2004-12-02	12.03	12.03	11.96	11.96		1429800
2004-12-03	11.95	11.95	11.88	11.94		1558800
2004-12-06	11.95	11.96	11.91	11.93		1088100
2004-12-07	11.87	11.90	11.72	11.78		1111500
2004-12-08	11.64	11.64	11.54	11.64		668700
2004-12-09	11.63	11.64	11.45	11.62		1083000
2004-12-10	11.47	11.47	11.39	11.43		640200
2004-12-13	11.43	11.45	11.38	11.44		603300
2004-12-14	11.55	11.55	11.44	11.51		697800
2004-12-15	11.71	11.71	11.62	11.71		947400
2004-12-16	11.66	11.66	11.59	11.63		696900
2004-12-17	11.64	11.64	11.57	11.60		502800
2004-12-20	11.83	11.83	11.78	11.80		3759000
2004-12-21	11.80	11.81	11.76	11.81		841800
2004-12-22	11.80	11.80	11.72	11.73		712200
2004-12-23	11.78	11.80	11.77	11.80		700200
2004-12-27	11.80	11.81	11.73	11.74		647400
2004-12-28	11.75	11.79	11.71	11.78		550200
2004-12-29	11.78	11.78	11.75	11.76		439800
2004-12-30	11.66	11.67	11.62	11.64		704400
2004-12-31	11.72	11.74	11.69	11.74		532500
2005-01-03	11.74	11.76	11.67	11.67		997500
2005-01-04	11.60	11.61	11.34	11.35		1670400
2005-01-05	11.22	11.22	11.07	11.09		1034400
2005-01-06	11.10	11.11	11.03	11.10		712800
2005-01-07	11.10	11.10	10.96	11.00		678000
2005-01-10	11.09	11.13	11.04	11.09		1213500
2005-01-11	11.04	11.04	10.99	11.00		1011600
2005-01-12	11.12	11.14	11.05	11.14		757500
2005-01-13	11.20	11.20	11.07	11.08		662100
2005-01-14	11.03	11.06	10.99	11.05		345300
2005-01-18	11.25	11.28	11.17	11.28		911400
2005-01-19	11.34	11.34	11.24	11.24		608100
2005-01-20	11.23	11.24	11.17	11.20		544500
2005-01-21	11.16	11.18	11.10	11.10		914400
2005-01-24	11.09	11.09	11.01	11.03		486600
2005-01-25	11.21	11.24	11.17	11.17		453000
2005-01-26	11.36	11.36	11.29	11.33		632100
2005-01-27	11.37	11.37	11.31	11.33		455700
2005-01-28	11.38	11.38	11.26	11.28		456300
2005-01-31	11.46	11.57	11.40	11.47		510600
2005-02-01	11.41	11.41	11.32	11.36		705600
2005-02-02	11.41	11.41	11.34	11.37		513000
2005-02-03	11.33	11.33	11.30	11.33		418500
2005-02-04	11.43	11.51	11.43	11.50		808200
2005-02-07	11.67	11.72	11.65	11.69		690600
2005-02-08	11.76	11.80	11.76	11.78		585600
2005-02-09	11.82	11.82	11.68	11.69		399600
2005-02-10	11.75	11.79	11.71	11.79		752400
2005-02-11	11.78	11.94	11.77	11.87		615900
2005-02-14	11.88	11.91	11.88	11.90		712800
2005-02-15	11.84	11.87	11.82	11.84		437100
2005-02-16	11.80	11.81	11.77	11.81		349200
2005-02-17	11.81	11.81	11.70	11.70		685200
2005-02-18	11.82	11.86	11.80	11.86		359700
2005-02-22	11.91	11.94	11.84	11.84		798900
2005-02-23	11.89	11.89	11.83	11.87		387900
2005-02-24	11.90	11.97	11.89	11.96		329100
2005-02-25	12.15	12.24	12.08	12.21		924300
2005-02-28	12.32	12.32	12.21	12.23		901800
2005-03-01	12.27	12.27	12.16	12.18		903900
2005-03-02	12.04	12.05	11.92	11.95		721200
2005-03-03	12.04	12.04	12.00	12.03		495300
2005-03-04	11.87	12.02	11.87	11.94		700500
2005-03-07	11.96	12.02	11.93	11.99		636600
2005-03-08	12.08	12.09	12.05	12.06		666300
2005-03-09	12.09	12.11	12.01	12.01		998100
2005-03-10	12.01	12.01	11.90	11.94		783300
2005-03-11	12.02	12.02	11.96	11.99		494700
2005-03-14	12.02	12.03	11.97	11.99		431700
2005-03-15	11.96	11.96	11.78	11.79		603600
2005-03-16	11.88	11.88	11.79	11.79		1294500
2005-03-17	11.87	12.00	11.87	12.00		833400
2005-03-18	11.98	11.99	11.95	11.95		489000
2005-03-21	12.04	12.04	11.94	11.95		361200
2005-03-22	11.91	11.91	11.68	11.68		579900
2005-03-23	11.67	11.67	11.54	11.57		887400
2005-03-24	11.64	11.67	11.60	11.62		542400
2005-03-28	11.66	11.66	11.59	11.61		386100
2005-03-29	11.53	11.56	11.43	11.43		629100
2005-03-30	11.46	11.54	11.46	11.53		476100
2005-03-31	11.56	11.58	11.53	11.56		430500
2005-04-01	11.67	11.69	11.58	11.60		480000
2005-04-04	11.64	11.65	11.58	11.65		507900
2005-04-05	11.70	11.70	11.61	11.62		285300
2005-04-06	11.68	11.73	11.67	11.69		292500
2005-04-07	11.72	11.77	11.71	11.75		286800
2005-04-08	11.85	11.85	11.77	11.78		610500
2005-04-11	11.79	11.81	11.72	11.77		321600
2005-04-12	11.72	11.77	11.64	11.76		677700
2005-04-13	11.83	11.83	11.71	11.73		397200
2005-04-14	11.77	11.77	11.60	11.61		667800
2005-04-15	11.57	11.57	11.26	11.27		798900
2005-04-18	11.11	11.25	11.10	11.25		785400
2005-04-19	11.32	11.38	11.30	11.38		373200
2005-04-20	11.38	11.38	11.16	11.16		438000
2005-04-21	11.27	11.54	11.27	11.53		489900
2005-04-22	11.59	11.59	11.43	11.49		260100
2005-04-25	11.54	11.64	11.54	11.60		292800
2005-04-26	11.61	11.72	11.61	11.65		428400
2005-04-27	11.61	11.61	11.49	11.50		1234500
2005-04-28	11.56	11.56	11.44	11.47		587100
2005-04-29	11.56	11.71	11.51	11.71		847800
2005-05-02	11.65	11.72	11.62	11.72		519900
2005-05-03	11.66	11.66	11.59	11.60		251700
2005-05-04	11.64	11.77	11.61	11.76		473100
2005-05-05	11.83	11.83	11.71	11.78		342000
2005-05-06	11.83	11.83	11.79	11.81		164100
2005-05-09	11.85	11.86	11.82	11.85		441900
2005-05-10	11.83	11.83	11.69	11.71		239400
2005-05-11	11.69	11.76	11.69	11.75		331500
2005-05-12	11.75	11.75	11.50	11.51		952200
2005-05-13	11.53	11.56	11.50	11.53		483900
2005-05-16	11.53	11.59	11.51	11.59		318000
2005-05-17	11.41	11.42	11.34	11.41		297000
2005-05-18	11.40	11.49	11.37	11.47		375600
2005-05-19	11.49	11.55	11.48	11.53		279300
2005-05-20	11.52	11.54	11.50	11.54		299400
2005-05-23	11.53	11.53	11.45	11.51		354900
2005-05-24	11.50	11.51	11.45	11.47		273600
2005-05-25	11.36	11.38	11.32	11.38		157200
2005-05-26	11.37	11.42	11.35	11.40		375000
2005-05-27	11.48	11.53	11.48	11.52		365400
2005-05-31	11.53	11.58	11.53	11.56		432600
2005-06-01	11.53	11.58	11.50	11.54		554700
2005-06-02	11.54	11.55	11.44	11.46		429300
2005-06-03	11.47	11.48	11.40	11.42		216000
2005-06-06	11.47	11.58	11.47	11.58		664200
2005-06-07	11.62	11.67	11.60	11.60		367200
2005-06-08	11.74	11.75	11.69	11.71		613500
2005-06-09	11.73	11.73	11.67	11.69		221700
2005-06-10	11.71	11.75	11.70	11.73		628800
2005-06-13	11.75	11.75	11.69	11.73		437400
2005-06-14	11.68	11.74	11.68	11.73		411600
2005-06-15	11.72	11.72	11.68	11.72		279900
2005-06-16	11.71	11.75	11.69	11.71		408300
2005-06-17	11.72	11.83	11.72	11.81		217800
2005-06-20	11.85	11.85	11.78	11.80		285600
2005-06-21	11.89	11.89	11.80	11.81		120900
2005-06-22	12.00	12.01	11.94	11.97		273900
2005-06-23	11.99	12.03	11.88	11.88		570000
2005-06-24	11.98	12.02	11.95	11.95		319500
2005-06-27	12.04	12.05	11.99	12.04		324300
2005-06-28	12.13	12.19	12.13	12.17		317400
2005-06-29	12.17	12.17	12.11	12.11		246000
2005-06-30	12.15	12.17	12.09	12.09		421800
2005-07-01	12.09	12.14	12.07	12.13		205200
2005-07-05	12.11	12.23	12.09	12.22		486900
2005-07-06	12.19	12.21	12.15	12.17		383400
2005-07-07	11.99	12.04	11.94	12.02		599700
2005-07-08	11.98	12.04	11.97	12.04		478200
2005-07-11	12.07	12.15	12.07	12.14		231900
2005-07-12	12.13	12.14	12.08	12.14		254100
2005-07-13	12.19	12.23	12.16	12.22		533100
2005-07-14	12.26	12.27	12.21	12.23		559200
2005-07-15	12.25	12.25	12.18	12.22		191400
2005-07-18	12.25	12.25	12.18	12.20		157200
2005-07-19	12.23	12.33	12.20	12.32		347700
2005-07-20	12.37	12.42	12.35	12.40		337800
2005-07-21	12.50	12.86	12.49	12.85		2519100
2005-07-22	12.80	12.84	12.74	12.83		709800
2005-07-25	12.82	12.85	12.80	12.82		541800
2005-07-26	12.82	12.82	12.79	12.81		464400
2005-07-27	12.89	13.00	12.87	12.99		661500
2005-07-28	12.99	13.03	12.93	13.03		1093200
2005-07-29	13.04	13.10	13.03	13.07		707700
2005-08-01	13.12	13.23	13.12	13.22		1245600
2005-08-02	13.38	13.51	13.37	13.50		1602600
2005-08-03	13.40	13.41	13.27	13.35		1020000
2005-08-04	13.33	13.33	13.18	13.19		660900
2005-08-05	13.26	13.26	13.18	13.22		581400
2005-08-08	13.39	13.43	13.38	13.41		476400
2005-08-09	13.41	13.43	13.36	13.40		578100
2005-08-10	13.72	13.81	13.68	13.75		1404900
2005-08-11	13.75	13.77	13.69	13.74		957000
2005-08-12	13.82	13.82	13.70	13.75		826200
2005-08-15	13.95	13.95	13.87	13.93		820800
2005-08-16	13.90	13.90	13.59	13.61		939900
2005-08-17	13.61	13.72	13.59	13.62		704700
2005-08-18	13.30	13.31	13.21	13.26		1330800
2005-08-19	13.23	13.26	13.20	13.25		595500
2005-08-22	13.40	13.43	13.38	13.38		815400
2005-08-23	13.38	13.38	13.09	13.12		1722600
2005-08-24	13.02	13.02	12.91	12.92		903900
2005-08-25	12.97	13.06	12.96	13.06		370500
2005-08-26	13.22	13.22	13.09	13.10		421200
2005-08-29	13.07	13.13	13.04	13.13		456000
2005-08-30	13.12	13.12	13.01	13.04		792000
2005-08-31	13.03	13.08	13.00	13.08		442500
2005-09-01	13.21	13.26	13.17	13.26		422400
2005-09-02	13.26	13.26	13.20	13.21		409200
2005-09-06	13.19	13.24	13.16	13.24		482700
2005-09-07	13.27	13.27	13.21	13.21		636900
2005-09-08	13.12	13.13	13.10	13.11		453600
2005-09-09	13.16	13.21	13.13	13.21		729300
2005-09-12	13.31	13.32	13.21	13.22		480300
2005-09-13	13.10	13.13	13.05	13.06		425100
2005-09-14	13.08	13.11	13.04	13.06		430500
2005-09-15	13.10	13.15	13.08	13.12		472200
2005-09-16	13.17	13.17	13.07	13.10		446100
2005-09-19	13.09	13.14	13.07	13.07		547800
2005-09-20	13.28	13.33	13.21	13.24		897300
2005-09-21	13.27	13.30	13.24	13.26		757200
2005-09-22	13.24	13.26	13.15	13.18		665400
2005-09-23	13.14	13.14	13.07	13.09		441300
2005-09-26	13.23	13.25	13.16	13.22		665400
2005-09-27	13.22	13.22	13.11	13.13		516000
2005-09-28	13.13	13.20	13.10	13.20		310500
2005-09-29	13.56	13.70	13.53	13.66		1307700
2005-09-30	13.62	13.66	13.57	13.60		578400
2005-10-03	13.65	13.69	13.63	13.67		649200
2005-10-04	13.65	13.65	13.46	13.47		739200
2005-10-05	13.37	13.37	13.09	13.09		1288200
2005-10-06	13.01	13.02	12.69	12.71		1601100
2005-10-07	12.91	13.04	12.91	13.01		417900
2005-10-10	13.13	13.13	13.00	13.02		600900
2005-10-11	13.05	13.12	13.05	13.10		395100
2005-10-12	13.01	13.11	12.67	12.69		756000
2005-10-13	12.69	12.75	12.57	12.67		957300
2005-10-14	12.67	12.67	12.49	12.61		480900
2005-10-17	12.69	12.76	12.63	12.75		616800
2005-10-18	12.75	12.75	12.61	12.61		310800
2005-10-19	12.58	12.60	12.29	12.60		806100
2005-10-20	12.50	12.51	12.19	12.19		1229700
2005-10-21	12.38	12.42	12.26	12.40		511800
2005-10-24	12.29	12.49	12.27	12.48		641100
2005-10-25	12.38	12.40	12.27	12.33		1707900
2005-10-26	12.24	12.37	12.24	12.27		608100
2005-10-27	12.20	12.21	11.98	11.99		573300
2005-10-28	11.96	12.09	11.91	12.09		725700
2005-10-31	12.18	12.24	12.17	12.19		677100
2005-11-01	12.41	12.41	12.35	12.36		783000
2005-11-02	12.48	12.58	12.47	12.58		849900
2005-11-03	12.67	12.68	12.61	12.63		708000
2005-11-04	12.66	12.66	12.50	12.54		555000
2005-11-07	12.45	12.47	12.39	12.42		408600
2005-11-08	12.47	12.47	12.43	12.45		551100
2005-11-09	12.61	12.66	12.57	12.64		483900
2005-11-10	12.87	12.87	12.54	12.65		436200
2005-11-11	12.69	12.74	12.65	12.73		369300
2005-11-14	12.63	12.63	12.54	12.55		391500
2005-11-15	12.68	12.68	12.53	12.53		528000
2005-11-16	12.56	12.63	12.56	12.62		524700
2005-11-17	12.81	12.81	12.77	12.80		584700
2005-11-18	12.89	12.90	12.78	12.85		551400
2005-11-21	12.89	12.94	12.84	12.93		437100
2005-11-22	12.88	12.93	12.82	12.93		611400
2005-11-23	12.93	13.08	12.93	13.04		507900
2005-11-25	13.04	13.04	12.98	13.04		246300
2005-11-28	13.07	13.10	12.96	12.99		614700
2005-11-29	12.92	12.97	12.91	12.91		348900
2005-11-30	12.92	12.94	12.88	12.90		432600
2005-12-01	13.00	13.18	13.00	13.17		864300
2005-12-02	13.17	13.20	13.15	13.17		485100
2005-12-05	13.12	13.17	13.10	13.17		332700
2005-12-06	13.04	13.16	13.03	13.08		717600
2005-12-07	13.22	13.22	13.12	13.15		371700
2005-12-08	13.18	13.19	13.09	13.13		417600
2005-12-09	13.14	13.17	13.07	13.12		304200
2005-12-12	13.20	13.20	13.13	13.19		490800
2005-12-13	13.18	13.25	13.16	13.25		405000
2005-12-14	13.27	13.29	13.16	13.23		402600
2005-12-15	13.18	13.22	13.14	13.22		310500
2005-12-16	13.26	13.27	13.15	13.17		372600
2005-12-19	13.33	13.34	13.21	13.25		518100
2005-12-20	13.33	13.40	13.33	13.40		625800
2005-12-21	13.43	13.51	13.42	13.49		772800
2005-12-22	13.44	13.51	13.42	13.44		279600
2005-12-23	13.49	13.50	13.43	13.49		479400
2005-12-27	13.49	13.53	13.35	13.38		590100
2005-12-28	13.36	13.42	13.34	13.39		446400
2005-12-29	13.45	13.50	13.42	13.45		430200
2005-12-30	13.31	13.33	13.19	13.30		449100
2006-01-03	13.48	13.62	13.47	13.60		1049700
2006-01-04	13.86	13.94	13.83	13.92		1138800
2006-01-05	13.94	13.96	13.91	13.93		1097400
2006-01-06	14.12	14.27	14.10	14.26		1790100
2006-01-09	14.38	14.42	14.32	14.42		1658400
2006-01-10	14.28	14.29	14.23	14.28		1072800
2006-01-11	14.36	14.45	14.31	14.44		2588100
2006-01-12	14.49	14.49	14.37	14.38		1229700
2006-01-13	14.62	14.65	14.54	14.65		836100
2006-01-17	14.62	14.65	14.43	14.46		2121600
2006-01-18	14.44	14.53	14.44	14.48		1364100
2006-01-19	14.90	15.05	14.85	14.95		1879800
2006-01-20	14.95	14.95	14.65	14.67		1634400
2006-01-23	14.73	14.74	14.65	14.74		991200
2006-01-24	14.90	14.91	14.82	14.91		1470900
2006-01-25	14.91	14.93	14.75	14.81		1521900
2006-01-26	14.90	15.07	14.79	14.94		1712700
2006-01-27	15.28	15.62	15.28	15.52		2931000
2006-01-30	15.60	15.63	15.46	15.54		1905900
2006-01-31	15.55	15.57	15.48	15.49		1705500
