Date	Close	High	Low	Open	Volume
	GEHC	GEHC	GEHC	GEHC	GEHC
2022-12-15	59.73	62.72	59.73	62.72	1318200
2022-12-16	56.49	59.73	54.75	59.73	2307500
2022-12-19	56.25	58.73	52.76	52.76	117200
2022-12-20	56.95	57.74	56.51	57.74	22200
2022-12-21	56.70	65.98	55.25	58.74	290700
2022-12-22	57.34	60.75	56.74	58.17	3253200
2022-12-23	57.24	60.37	56.74	57.83	125800
2022-12-27	57.19	58.73	57.12	57.72	26500
2022-12-28	57.24	57.74	56.74	57.67	514800
2022-12-29	57.74	58.52	57.49	58.24	374800
2022-12-30	58.12	58.74	57.47	58.48	351100
2023-01-03	55.75	60.41	55.62	60.41	1794100
2023-01-04	60.22	60.44	53.26	53.89	33338500
2023-01-05	58.74	62.70	57.88	60.37	8850600
2023-01-06	58.69	59.67	57.61	59.41	5902600
2023-01-09	57.84	59.71	57.47	58.53	5288900
2023-01-10	59.73	59.79	57.79	58.88	6663000
2023-01-11	64.70	66.08	59.81	60.17	9219400
2023-01-12	65.36	66.22	63.37	65.79	5819800
2023-01-13	65.15	65.21	63.45	64.71	3772100
2023-01-17	63.05	65.44	62.98	63.65	3774600
2023-01-18	61.80	63.22	61.71	62.92	2610300
2023-01-19	63.65	64.21	61.03	61.06	2585600
2023-01-20	66.47	67.52	63.26	63.67	4001600
2023-01-23	69.21	69.60	66.48	67.05	3724100
2023-01-24	69.29	70.31	68.40	68.72	2591000
2023-01-25	68.40	69.39	66.65	68.15	2802100
2023-01-26	68.91	69.14	67.50	68.20	2075900
2023-01-27	69.77	70.19	68.05	68.55	2810600
2023-01-30	71.18	73.62	67.62	68.10	4259900
2023-01-31	69.21	70.80	68.19	70.69	3084300
2023-02-01	69.70	70.42	67.23	68.69	2698700
2023-02-02	70.33	71.57	68.69	69.28	2776000
2023-02-03	70.23	70.31	68.79	69.32	3074900
2023-02-06	71.54	72.03	69.23	69.60	2227400
2023-02-07	71.31	71.88	70.78	71.26	1932300
2023-02-08	69.86	71.10	69.71	70.89	1111900
2023-02-09	68.10	70.66	67.90	69.94	1186000
2023-02-10	68.93	69.23	67.88	67.89	1968100
2023-02-13	69.12	69.56	67.61	68.21	2223200
2023-02-14	72.28	72.84	68.41	68.64	3036000
2023-02-15	72.00	73.21	71.40	72.37	1773000
2023-02-16	70.59	71.50	70.02	71.28	1829400
2023-02-17	72.84	73.15	70.57	70.65	2408600
2023-02-21	72.15	72.77	71.93	72.29	1835500
2023-02-22	71.62	72.67	70.53	71.95	2010200
2023-02-23	75.56	75.87	71.96	72.12	3763200
2023-02-24	74.67	75.43	73.89	74.50	2102900
2023-02-27	75.70	76.63	74.24	74.66	2139600
2023-02-28	75.66	76.00	74.96	75.70	3511800
2023-03-01	74.96	75.40	74.67	75.03	2534300
2023-03-02	74.70	75.13	74.17	74.45	1391900
2023-03-03	76.03	76.56	74.78	75.19	2082700
2023-03-06	76.34	76.81	75.36	75.57	1874100
2023-03-07	75.91	76.49	75.59	76.02	1709400
2023-03-08	76.29	77.05	75.76	75.91	1641300
2023-03-09	76.04	77.05	75.56	76.65	1683800
2023-03-10	74.63	76.19	74.17	75.54	3388600
2023-03-13	75.90	77.13	73.71	74.61	2272100
2023-03-14	76.79	78.41	76.01	76.35	1992300
2023-03-15	76.42	76.47	75.25	75.59	2326200
2023-03-16	76.28	77.10	75.41	75.62	1624600
2023-03-17	75.50	77.19	75.09	76.52	5803300
2023-03-20	74.86	75.47	74.18	75.15	1714100
2023-03-21	76.18	76.34	75.16	75.31	1401600
2023-03-22	74.43	76.70	74.38	76.52	1549800
2023-03-23	75.37	76.37	74.53	75.07	1393700
2023-03-24	76.12	76.15	74.55	74.92	1154800
2023-03-27	76.04	77.11	75.92	76.48	1196600
2023-03-28	76.56	76.60	75.81	76.04	760800
2023-03-29	78.88	79.11	76.71	77.01	1786000
2023-03-30	81.77	81.92	79.14	79.42	2188900
2023-03-31	81.66	82.22	81.21	81.88	1916200
2023-04-03	81.44	82.25	81.10	81.63	1913100
2023-04-04	81.22	81.79	81.10	81.63	1552700
2023-04-05	80.76	81.43	80.29	81.13	1410600
2023-04-06	79.80	80.70	79.73	80.61	1356700
2023-04-10	80.23	80.27	79.34	79.57	1579200
2023-04-11	80.23	80.32	79.60	80.23	1167000
2023-04-12	81.38	81.53	80.25	80.64	1232000
2023-04-13	82.57	82.80	81.02	81.28	1252800
2023-04-14	82.00	82.91	81.61	82.08	1163600
2023-04-17	82.35	82.87	81.63	81.80	861000
2023-04-18	83.28	83.78	82.42	82.42	1522000
2023-04-19	85.37	86.49	83.37	83.41	2422900
2023-04-20	84.62	85.93	84.30	84.99	1634900
2023-04-21	86.09	86.13	84.71	84.82	1850600
2023-04-24	87.40	87.44	85.79	86.21	2692800
2023-04-25	80.03	83.13	78.43	83.13	7291400
2023-04-26	79.76	79.91	77.21	79.37	3489500
2023-04-27	81.15	81.17	80.26	80.46	1557000
2023-04-28	80.98	81.36	80.65	80.84	1617600
2023-05-01	80.42	81.36	80.36	80.72	1355800
2023-05-02	78.11	80.29	77.54	79.98	1879100
2023-05-03	79.35	80.06	77.67	78.12	1748900
2023-05-04	77.91	79.90	77.34	79.26	1751400
2023-05-05	78.64	79.17	78.15	78.15	1077400
2023-05-08	79.06	79.13	78.26	78.53	842300
2023-05-09	76.03	78.44	75.78	78.20	2499700
2023-05-10	75.56	76.42	74.63	76.16	1792900
2023-05-11	74.65	75.37	74.38	75.37	1504800
2023-05-12	74.58	74.67	73.94	74.55	2577800
2023-05-15	74.59	75.22	74.37	74.76	1187900
2023-05-16	77.43	77.92	74.88	74.93	2668900
2023-05-17	79.94	80.25	75.86	77.58	3716300
2023-05-18	79.33	80.77	78.86	80.06	1483500
2023-05-19	78.98	80.73	78.77	79.73	1312900
2023-05-22	78.76	79.09	78.39	79.02	1357700
2023-05-23	76.87	79.45	76.74	78.64	1382400
2023-05-24	76.22	76.82	75.77	76.65	1431900
2023-05-25	79.53	79.73	75.30	76.22	3127800
2023-05-26	78.11	79.87	78.05	79.44	2243100
2023-05-30	77.64	78.73	77.09	77.93	1775800
2023-05-31	79.18	79.40	77.42	78.22	4501500
2023-06-01	79.50	79.77	78.57	79.40	2355500
2023-06-02	79.64	80.54	79.57	79.97	2404500
2023-06-05	80.16	80.39	78.46	79.58	1416700
2023-06-06	82.59	82.84	77.48	77.68	23800600
2023-06-07	80.15	81.92	79.86	81.16	3883900
2023-06-08	77.43	78.08	76.43	77.03	15048600
2023-06-09	76.78	78.18	76.74	77.78	4894700
2023-06-12	77.95	77.99	76.58	76.93	5545200
2023-06-13	77.47	78.13	76.39	77.98	4122300
2023-06-14	78.21	78.48	77.16	77.86	3322600
2023-06-15	78.78	78.84	77.90	78.34	3277900
2023-06-16	78.33	79.77	78.17	79.17	5390600
2023-06-20	78.58	78.83	77.43	78.04	3151100
2023-06-21	79.29	79.67	77.97	78.47	2805700
2023-06-22	79.88	80.42	79.25	79.61	2229200
2023-06-23	79.49	80.02	78.69	79.53	7973000
2023-06-26	77.48	79.97	77.42	79.69	2500700
2023-06-27	76.75	78.03	75.88	77.63	3250400
2023-06-28	76.87	77.27	76.03	77.18	2920500
2023-06-29	78.36	78.38	76.83	76.95	1908200
2023-06-30	80.91	81.08	78.99	79.09	3429500
2023-07-03	80.36	81.13	79.57	81.08	1086900
2023-07-05	80.32	80.96	79.61	80.04	2655900
2023-07-06	78.80	79.94	78.68	79.67	2595900
2023-07-07	79.29	79.78	77.98	78.66	2892600
2023-07-10	80.33	80.45	79.67	79.80	2263000
2023-07-11	80.93	81.11	79.88	80.17	1793100
2023-07-12	81.35	82.32	80.96	80.96	2124800
2023-07-13	81.07	81.66	80.57	81.39	1476300
2023-07-14	81.48	81.82	80.90	81.17	1791900
2023-07-17	80.86	82.02	80.75	81.40	2343200
