Date	Close	High	Low	Open	Volume
	GH	GH	GH	GH	GH
2018-10-04	32.20	35.50	27.04	27.75	10336300
2018-10-05	29.20	32.69	28.75	31.89	1703300
2018-10-08	29.55	30.41	28.52	29.78	1061800
2018-10-09	31.51	32.56	28.73	29.63	719600
2018-10-10	30.92	32.68	30.66	31.51	1297400
2018-10-11	31.60	32.40	30.85	31.58	478500
2018-10-12	33.58	34.42	31.98	32.00	483800
2018-10-15	33.37	34.34	32.72	33.88	471300
2018-10-16	37.72	37.90	33.75	33.75	690400
2018-10-17	40.73	43.80	37.77	38.49	935900
2018-10-18	40.11	44.25	37.75	40.53	1296200
2018-10-19	35.79	43.25	35.38	40.51	774000
2018-10-22	37.41	38.37	35.52	36.01	363600
2018-10-23	34.48	36.50	33.43	36.46	502200
2018-10-24	34.71	37.84	34.06	34.06	308500
2018-10-25	35.14	35.24	32.18	34.55	379500
2018-10-26	34.99	35.72	33.60	34.82	329600
2018-10-29	32.59	37.00	31.52	36.00	516300
2018-10-30	34.07	34.24	31.01	31.99	340900
2018-10-31	33.48	35.89	33.05	34.41	340000
2018-11-01	34.23	35.77	33.34	33.64	295400
2018-11-02	40.11	40.22	34.16	34.16	453800
2018-11-05	35.13	40.98	35.13	40.07	523200
2018-11-06	35.69	37.43	35.00	35.00	374200
2018-11-07	36.86	38.00	35.71	35.92	392600
2018-11-08	38.18	38.29	36.80	37.05	198900
2018-11-09	38.10	38.50	35.50	38.15	453400
2018-11-12	39.12	39.97	38.10	38.10	339200
2018-11-13	37.67	39.65	37.20	39.65	388400
2018-11-14	37.26	38.37	36.66	38.00	254900
2018-11-15	37.50	38.13	36.30	37.50	288900
2018-11-16	37.25	37.60	36.87	37.25	138900
2018-11-19	33.62	37.74	32.15	37.22	507800
2018-11-20	34.74	35.85	31.06	33.66	542700
2018-11-21	37.16	38.00	33.69	34.76	680600
2018-11-23	38.40	38.83	37.25	38.69	393200
2018-11-26	39.81	40.00	38.00	39.79	643200
2018-11-27	38.05	39.99	37.01	39.35	492200
2018-11-28	37.73	39.45	37.62	38.50	264700
2018-11-29	37.55	37.87	37.05	37.50	341400
2018-11-30	35.73	38.69	35.43	38.17	893300
2018-12-03	45.94	46.28	36.38	36.70	2034500
2018-12-04	42.46	45.99	41.30	45.99	1196000
2018-12-06	46.10	46.27	40.28	41.50	798700
2018-12-07	45.01	49.55	44.13	46.40	1339200
2018-12-10	43.66	45.68	42.15	45.50	318900
2018-12-11	43.74	46.41	43.21	44.28	427800
2018-12-12	42.44	44.65	42.01	44.28	406000
2018-12-13	41.89	43.20	40.30	42.76	537000
2018-12-14	39.81	41.85	38.02	41.73	778000
2018-12-17	36.24	39.80	36.19	39.75	757700
2018-12-18	34.92	37.75	34.55	36.49	689300
2018-12-19	36.23	37.83	35.17	35.19	674000
2018-12-20	35.68	37.05	34.13	36.68	880500
2018-12-21	34.35	37.27	33.61	35.90	2787400
2018-12-24	32.53	34.92	32.40	33.51	304100
2018-12-26	35.46	35.99	32.33	32.82	427800
2018-12-27	35.63	36.01	33.68	34.93	351400
2018-12-28	37.71	38.54	35.79	35.92	468800
2018-12-31	37.59	38.65	36.38	38.03	361800
2019-01-02	36.50	38.64	35.36	37.16	524500
2019-01-03	34.30	36.17	33.70	36.17	414500
2019-01-04	36.20	36.99	34.00	34.82	559500
2019-01-07	38.14	39.20	36.22	36.39	349200
2019-01-08	39.93	39.98	38.00	38.69	411000
2019-01-09	39.97	40.87	39.36	40.80	445500
2019-01-10	41.54	41.62	38.54	39.23	456600
2019-01-11	42.94	43.48	40.80	41.52	380400
2019-01-14	39.53	43.30	39.49	42.88	479600
2019-01-15	40.08	41.99	39.69	39.69	425100
2019-01-16	40.34	41.20	39.67	40.47	233000
2019-01-17	41.39	41.80	40.24	40.31	264300
2019-01-18	41.25	42.28	40.47	41.48	234400
2019-01-22	40.61	41.87	39.71	41.00	242100
2019-01-23	39.99	41.30	39.37	41.00	200100
2019-01-24	39.47	40.39	39.10	40.00	199900
2019-01-25	39.25	40.46	38.71	39.82	709400
2019-01-28	41.14	41.41	39.05	39.51	380200
2019-01-29	40.47	41.87	40.47	41.14	142900
2019-01-30	39.86	40.84	38.81	40.50	260800
2019-01-31	40.34	41.80	39.28	39.73	251400
2019-02-01	40.20	40.51	39.07	40.09	184200
2019-02-04	39.90	41.00	39.31	40.19	232000
2019-02-05	42.02	42.49	39.51	40.00	391200
2019-02-06	41.27	42.90	40.86	41.92	128800
2019-02-07	39.97	41.34	39.63	41.11	184400
2019-02-08	39.92	40.50	38.88	39.95	217400
2019-02-11	41.43	41.68	39.13	39.85	289600
2019-02-12	42.03	42.44	41.24	41.43	173800
2019-02-13	43.06	43.83	41.61	42.29	245400
2019-02-14	48.87	49.12	42.30	43.02	1217500
2019-02-15	51.07	52.13	49.25	50.21	802400
