Date	Open	High	Low	Close	Volume
1992-01-22	0.38	0.48	0.38	0.45	168022400.00
1992-01-23	0.46	0.50	0.45	0.48	38368000.00
1992-01-24	0.49	0.51	0.47	0.49	12044800.00
1992-01-27	0.51	0.53	0.49	0.53	10716800.00
1992-01-28	0.52	0.53	0.50	0.52	19913600.00
1992-01-29	0.50	0.52	0.48	0.48	13238400.00
1992-01-30	0.48	0.49	0.43	0.43	10848000.00
1992-01-31	0.44	0.46	0.43	0.46	2496000.00
1992-02-03	0.46	0.46	0.45	0.45	2320000.00
1992-02-04	0.46	0.48	0.46	0.48	2499200.00
1992-02-05	0.48	0.48	0.47	0.47	1148800.00
1992-02-06	0.48	0.48	0.47	0.48	5504000.00
1992-02-07	0.47	0.48	0.46	0.46	4560000.00
1992-02-10	0.46	0.47	0.43	0.43	14140800.00
1992-02-11	0.43	0.43	0.40	0.40	9868800.00
1992-02-12	0.40	0.40	0.39	0.40	3942400.00
1992-02-13	0.40	0.40	0.38	0.39	3241600.00
1992-02-14	0.40	0.40	0.37	0.38	13753600.00
1992-02-18	0.39	0.39	0.34	0.35	3046400.00
1992-02-19	0.34	0.37	0.34	0.36	4284800.00
1992-02-20	0.40	0.42	0.39	0.40	4784000.00
1992-02-21	0.40	0.42	0.39	0.42	1865600.00
1992-02-24	0.42	0.45	0.41	0.42	3129600.00
1992-02-25	0.43	0.43	0.39	0.39	3129600.00
1992-02-26	0.38	0.40	0.38	0.39	1657600.00
1992-02-27	0.40	0.40	0.38	0.39	204800.00
1992-02-28	0.39	0.40	0.38	0.39	227200.00
1992-03-02	0.40	0.40	0.35	0.36	5177600.00
1992-03-03	0.36	0.38	0.35	0.38	531200.00
1992-03-04	0.38	0.40	0.36	0.39	464000.00
1992-03-05	0.38	0.40	0.37	0.37	454400.00
1992-03-06	0.37	0.39	0.35	0.36	1744000.00
1992-03-09	0.36	0.39	0.35	0.39	1078400.00
1992-03-10	0.37	0.43	0.37	0.41	1542400.00
1992-03-11	0.42	0.42	0.39	0.39	1020800.00
1992-03-12	0.38	0.38	0.36	0.38	5561600.00
1992-03-13	0.37	0.38	0.37	0.37	1744000.00
1992-03-16	0.39	0.39	0.37	0.37	835200.00
1992-03-17	0.37	0.39	0.37	0.37	396800.00
1992-03-18	0.39	0.39	0.37	0.37	630400.00
1992-03-19	0.40	0.42	0.38	0.42	3443200.00
1992-03-20	0.42	0.42	0.37	0.37	2876800.00
1992-03-23	0.39	0.39	0.37	0.38	608000.00
