Date	Close	High	Low	Open	Volume
	GPAT	GPAT	GPAT	GPAT	GPAT
2024-07-02	9.99	10.00	9.98	9.98	786200
2024-07-03	9.99	9.99	9.98	9.98	12000
2024-07-05	9.99	9.99	9.98	9.98	180500
2024-07-08	9.98	10.00	9.98	9.99	1915300
2024-07-09	9.99	10.00	9.98	9.99	976900
2024-07-10	9.99	10.00	9.99	10.00	48800
2024-07-11	10.00	10.00	9.99	9.99	49800
2024-07-12	9.99	9.99	9.99	9.99	42000
2024-07-15	10.00	10.01	10.00	10.01	500
2024-07-16	10.00	10.01	10.00	10.01	62200
2024-07-17	10.00	10.01	10.00	10.00	500800
2024-07-18	10.01	10.02	10.00	10.00	1377700
2024-07-19	10.01	10.01	10.00	10.01	374000
2024-07-22	10.05	10.05	10.03	10.03	6400
2024-07-23	10.03	10.03	10.01	10.03	170900
2024-07-24	10.03	10.03	10.03	10.03	1800
2024-07-25	10.02	10.03	10.02	10.02	28500
2024-07-26	10.03	10.04	10.03	10.04	17400
2024-07-29	10.03	10.03	10.03	10.03	1100
2024-07-30	10.01	10.03	10.01	10.03	85400
2024-07-31	10.02	10.03	10.01	10.02	1246200
2024-08-01	10.02	10.02	10.02	10.02	0
2024-08-02	10.02	10.03	10.01	10.02	267900
2024-08-05	10.02	10.02	10.01	10.02	54700
2024-08-06	10.01	10.02	10.00	10.02	1534000
2024-08-07	10.01	10.02	10.00	10.01	167300
2024-08-08	10.02	10.02	10.02	10.02	229600
2024-08-09	10.02	10.02	10.02	10.02	200
2024-08-12	10.03	10.03	10.02	10.02	78000
2024-08-13	10.02	10.02	10.01	10.01	800
2024-08-14	10.02	10.02	10.02	10.02	50600
2024-08-15	10.02	10.03	10.02	10.02	105700
2024-08-16	10.02	10.02	10.02	10.02	100
2024-08-19	10.02	10.02	10.02	10.02	100
2024-08-20	10.04	10.04	10.02	10.02	500
2024-08-21	10.04	10.04	10.04	10.04	0
2024-08-22	10.05	10.05	10.05	10.05	200
2024-08-23	10.02	10.05	10.01	10.05	2444000
2024-08-26	10.02	10.04	10.01	10.02	457400
2024-08-27	10.02	10.02	10.01	10.01	14500
2024-08-28	10.02	10.02	10.02	10.02	1100
2024-08-29	10.02	10.02	10.02	10.02	100200
2024-08-30	10.06	10.06	10.06	10.06	100
2024-09-03	10.01	10.01	10.01	10.01	50000
2024-09-04	10.02	10.02	10.01	10.01	134200
2024-09-05	10.02	10.02	10.01	10.01	172900
2024-09-06	10.02	10.03	10.02	10.03	101100
2024-09-09	10.00	10.00	10.00	10.00	900
2024-09-10	10.02	10.02	10.02	10.02	3200
2024-09-11	10.03	10.04	10.02	10.03	222600
2024-09-12	10.03	10.03	10.03	10.03	99800
2024-09-13	10.02	10.02	10.02	10.02	150000
2024-09-16	10.02	10.02	10.02	10.02	5700
2024-09-17	10.04	10.04	10.02	10.02	374600
2024-09-18	10.04	10.04	10.04	10.04	4100
2024-09-19	10.04	10.06	10.04	10.06	104900
2024-09-20	10.04	10.05	10.03	10.04	504600
2024-09-23	10.06	10.06	10.05	10.05	41300
2024-09-24	10.06	10.07	10.06	10.06	67400
2024-09-25	10.08	10.08	10.07	10.07	408100
2024-09-26	10.08	10.08	10.08	10.08	24200
2024-09-27	10.08	10.08	10.08	10.08	0
2024-09-30	10.08	10.08	10.07	10.07	76300
2024-10-01	10.08	10.08	10.08	10.08	3100
2024-10-02	10.08	10.08	10.08	10.08	0
2024-10-03	10.08	10.08	10.08	10.08	1700
2024-10-04	10.08	10.08	10.08	10.08	0
2024-10-07	10.08	10.08	10.08	10.08	0
2024-10-08	10.08	10.08	10.08	10.08	0
2024-10-09	10.07	10.07	10.06	10.07	79600
2024-10-10	10.06	10.08	10.06	10.06	6700
2024-10-11	10.05	10.07	10.05	10.07	9400
2024-10-14	10.07	10.07	10.07	10.07	3400
2024-10-15	10.06	10.06	10.05	10.06	24200
2024-10-16	10.07	10.07	10.07	10.07	9700
2024-10-17	10.08	10.08	10.06	10.07	121400
2024-10-18	10.08	10.08	10.07	10.07	10800
2024-10-21	10.08	10.08	10.08	10.08	0
2024-10-22	10.08	10.08	10.06	10.06	4400
2024-10-23	10.07	10.08	10.06	10.06	316700
2024-10-24	10.07	10.07	10.07	10.07	2100
2024-10-25	10.07	10.07	10.07	10.07	2300
2024-10-28	10.07	10.08	10.07	10.08	95300
2024-10-29	10.07	10.07	10.07	10.07	2500
2024-10-30	10.08	10.10	10.07	10.07	6000
2024-10-31	10.07	10.07	10.07	10.07	1000
2024-11-01	10.08	10.10	10.08	10.10	7500
2024-11-04	10.07	10.07	10.07	10.07	400
2024-11-05	10.08	10.08	10.07	10.08	11000
2024-11-06	10.08	10.10	10.07	10.08	155200
2024-11-07	10.07	10.08	10.07	10.08	1900
2024-11-08	10.07	10.09	10.07	10.08	17500
2024-11-11	10.08	10.08	10.08	10.08	300
2024-11-12	10.08	10.08	10.08	10.08	0
2024-11-13	10.08	10.08	10.07	10.08	43600
2024-11-14	10.08	10.10	10.08	10.09	137100
2024-11-15	10.08	10.08	10.08	10.08	200
2024-11-18	10.08	10.08	10.08	10.08	13100
2024-11-19	10.08	10.09	10.08	10.09	58100
2024-11-20	10.08	10.09	10.08	10.08	263100
2024-11-21	10.09	10.10	10.09	10.09	10600
2024-11-22	10.08	10.09	10.08	10.08	53000
2024-11-25	10.11	10.14	10.10	10.10	230900
2024-11-26	10.12	10.15	10.10	10.10	547500
2024-11-27	10.12	10.14	10.12	10.14	2700
2024-11-29	10.12	10.12	10.12	10.12	0
2024-12-02	10.14	10.14	10.12	10.12	30100
2024-12-03	10.14	10.14	10.13	10.13	90600
2024-12-04	10.14	10.14	10.14	10.14	0
2024-12-05	10.14	10.14	10.14	10.14	1100
2024-12-06	10.12	10.15	10.12	10.15	69400
2024-12-09	10.13	10.13	10.13	10.13	3500
2024-12-10	10.13	10.13	10.12	10.12	3000
2024-12-11	10.14	10.15	10.13	10.14	120000
2024-12-12	10.14	10.14	10.14	10.14	2400
2024-12-13	10.14	10.14	10.13	10.13	13700
2024-12-16	10.13	10.14	10.13	10.14	3000
2024-12-17	10.14	10.14	10.14	10.14	8400
2024-12-18	10.15	10.15	10.14	10.14	128900
2024-12-19	10.15	10.15	10.15	10.15	1000
2024-12-20	10.14	10.15	10.14	10.15	5600
2024-12-23	10.16	10.16	10.14	10.14	82800
2024-12-24	10.15	10.15	10.15	10.15	12600
2024-12-26	10.15	10.15	10.15	10.15	0
2024-12-27	10.15	10.15	10.15	10.15	0
2024-12-30	10.16	10.16	10.16	10.16	200
2024-12-31	10.14	10.14	10.14	10.14	500
2025-01-02	10.15	10.15	10.14	10.14	157800
2025-01-03	10.18	10.18	10.18	10.18	200
2025-01-06	10.16	10.16	10.15	10.15	2800
2025-01-07	10.18	10.18	10.15	10.15	2200
2025-01-08	10.15	10.15	10.15	10.15	500
2025-01-10	10.15	10.15	10.15	10.15	0
2025-01-13	10.15	10.15	10.15	10.15	0
2025-01-14	10.16	10.17	10.16	10.17	4000
2025-01-15	10.17	10.17	10.17	10.17	5300
2025-01-16	10.17	10.17	10.16	10.16	112400
2025-01-17	10.17	10.17	10.17	10.17	300
2025-01-21	10.17	10.18	10.17	10.18	10000
2025-01-22	10.19	10.19	10.17	10.17	3600
2025-01-23	10.19	10.19	10.19	10.19	0
2025-01-24	10.18	10.25	10.16	10.16	26200
2025-01-27	10.20	10.20	10.18	10.18	2300
2025-01-28	10.20	10.20	10.18	10.18	37700
2025-01-29	10.24	10.24	10.18	10.20	3200
2025-01-30	10.19	10.20	10.19	10.20	5600
2025-01-31	10.24	10.24	10.21	10.21	800
2025-02-03	10.24	10.24	10.21	10.24	2600
2025-02-04	10.24	10.24	10.21	10.21	1000
2025-02-05	10.22	10.27	10.22	10.27	2100
2025-02-06	10.28	10.28	10.28	10.28	200
2025-02-07	10.22	10.22	10.22	10.22	100
2025-02-10	10.21	10.21	10.20	10.21	24500
2025-02-11	10.22	10.24	10.21	10.22	7200
2025-02-12	10.29	10.29	10.22	10.22	2400
2025-02-13	10.30	10.30	10.30	10.30	200
2025-02-14	10.29	10.29	10.21	10.29	3500
2025-02-18	10.24	10.25	10.24	10.25	2300
2025-02-19	10.29	10.29	10.29	10.29	100
2025-02-20	10.29	10.29	10.29	10.29	200
2025-02-21	10.29	10.29	10.24	10.29	1900
2025-02-24	10.27	10.27	10.23	10.25	10100
2025-02-25	10.28	10.28	10.24	10.24	2100
2025-02-26	10.30	10.30	10.26	10.26	200
2025-02-27	10.30	10.30	10.30	10.30	100
2025-02-28	10.26	10.26	10.26	10.26	1500
2025-03-03	10.25	10.25	10.24	10.24	8000
2025-03-04	10.25	10.26	10.25	10.26	57100
2025-03-05	10.25	10.25	10.25	10.25	900
2025-03-06	10.30	10.30	10.26	10.26	251000
2025-03-07	10.26	10.28	10.26	10.26	13700
2025-03-10	10.26	10.30	10.25	10.30	13500
2025-03-11	10.26	10.26	10.26	10.26	0
2025-03-12	10.27	10.28	10.27	10.28	900
2025-03-13	10.27	10.27	10.27	10.27	0
2025-03-14	10.27	10.27	10.27	10.27	0
2025-03-17	10.27	10.27	10.27	10.27	0
2025-03-18	10.27	10.27	10.27	10.27	4300
2025-03-19	10.28	10.29	10.28	10.29	500
2025-03-20	10.30	10.30	10.27	10.27	8600
2025-03-21	10.27	10.27	10.27	10.27	200
2025-03-24	10.30	10.30	10.30	10.30	700
2025-03-25	10.30	10.30	10.30	10.30	0
2025-03-26	10.30	10.30	10.30	10.30	0
2025-03-27	10.30	10.30	10.30	10.30	2800
2025-03-28	10.30	10.30	10.30	10.30	0
2025-03-31	10.30	10.30	10.30	10.30	0
2025-04-01	10.31	10.31	10.31	10.31	1000
2025-04-02	10.31	10.31	10.31	10.31	0
2025-04-03	10.30	10.30	10.30	10.30	500
2025-04-04	10.31	10.32	10.31	10.32	974200
2025-04-07	10.35	10.35	10.30	10.31	215600
2025-04-08	10.31	10.34	10.31	10.34	16200
2025-04-09	10.34	10.34	10.34	10.34	500
