Date	Close	High	Low	Open	Volume
	GPC	GPC	GPC	GPC	GPC
1980-03-17	1.08	1.08	1.07	1.07	111881
1980-03-18	1.12	1.12	1.07	1.08	88594
1980-03-19	1.14	1.14	1.12	1.12	69356
1980-03-20	1.15	1.16	1.15	1.15	36450
1980-03-21	1.12	1.15	1.12	1.15	53663
1980-03-24	1.10	1.13	1.09	1.12	247556
1980-03-25	1.09	1.10	1.08	1.10	21769
1980-03-26	1.15	1.15	1.08	1.09	187819
1980-03-27	1.12	1.13	1.10	1.13	248569
1980-03-28	1.16	1.17	1.11	1.12	174150
1980-03-31	1.17	1.17	1.14	1.16	74419
1980-04-01	1.17	1.17	1.16	1.17	43031
1980-04-02	1.15	1.17	1.15	1.17	63281
1980-04-03	1.17	1.17	1.17	1.17	28350
1980-04-07	1.15	1.17	1.13	1.17	90113
1980-04-08	1.17	1.17	1.15	1.15	15694
1980-04-09	1.17	1.17	1.17	1.17	115425
1980-04-10	1.17	1.17	1.17	1.17	90619
1980-04-11	1.13	1.16	1.13	1.16	135675
1980-04-14	1.05	1.13	1.04	1.13	41006
1980-04-15	1.06	1.06	1.05	1.05	245025
1980-04-16	1.04	1.06	1.04	1.06	91125
1980-04-17	1.04	1.04	1.04	1.04	34931
1980-04-18	1.04	1.05	1.04	1.04	24300
1980-04-21	1.04	1.04	1.03	1.04	101250
1980-04-22	1.04	1.06	1.04	1.04	245025
1980-04-23	1.02	1.04	1.02	1.04	144281
1980-04-24	1.03	1.05	1.02	1.02	102769
1980-04-25	1.03	1.04	1.02	1.03	95681
1980-04-28	1.04	1.06	1.03	1.03	173644
1980-04-29	1.06	1.06	1.04	1.04	349819
1980-04-30	1.05	1.06	1.03	1.06	96188
1980-05-01	1.03	1.05	1.03	1.05	68850
1980-05-02	1.02	1.03	1.02	1.03	47588
1980-05-05	1.03	1.03	1.02	1.02	59738
1980-05-06	1.04	1.04	1.01	1.03	169594
1980-05-07	1.03	1.04	1.02	1.04	91631
1980-05-08	1.03	1.04	1.01	1.03	144788
1980-05-09	1.02	1.03	1.02	1.03	82519
1980-05-12	1.02	1.03	1.01	1.02	12150
1980-05-13	1.07	1.07	1.02	1.02	127575
1980-05-14	1.11	1.11	1.08	1.08	124031
1980-05-15	1.17	1.17	1.12	1.12	64294
1980-05-16	1.17	1.17	1.15	1.17	52144
1980-05-19	1.17	1.18	1.17	1.17	133144
1980-05-20	1.18	1.18	1.17	1.17	160988
1980-05-21	1.18	1.18	1.17	1.18	48094
1980-05-22	1.17	1.18	1.16	1.18	78469
1980-05-23	1.15	1.18	1.15	1.17	20250
1980-05-27	1.17	1.17	1.17	1.17	96694
1980-05-28	1.18	1.18	1.17	1.17	17719
1980-05-29	1.17	1.19	1.17	1.18	84038
1980-05-30	1.17	1.17	1.15	1.17	57713
1980-06-02	1.15	1.15	1.15	1.15	86063
1980-06-03	1.18	1.18	1.15	1.15	89606
1980-06-04	1.17	1.18	1.17	1.18	23288
1980-06-05	1.18	1.18	1.17	1.17	49613
1980-06-06	1.17	1.17	1.15	1.17	97706
1980-06-09	1.22	1.22	1.17	1.17	86063
1980-06-10	1.22	1.24	1.20	1.22	52650
1980-06-11	1.25	1.25	1.24	1.24	31894
1980-06-12	1.20	1.25	1.19	1.25	130106
1980-06-13	1.19	1.21	1.18	1.20	127069
1980-06-16	1.19	1.19	1.18	1.19	12656
1980-06-17	1.12	1.17	1.12	1.17	237431
1980-06-18	1.18	1.18	1.13	1.13	59231
1980-06-19	1.20	1.22	1.18	1.18	116438
1980-06-20	1.20	1.21	1.19	1.20	19744
1980-06-23	1.22	1.23	1.20	1.20	118463
1980-06-24	1.22	1.22	1.18	1.22	43031
1980-06-25	1.22	1.22	1.20	1.22	84544
1980-06-26	1.22	1.22	1.21	1.22	118463
1980-06-27	1.22	1.24	1.21	1.22	61256
1980-06-30	1.20	1.23	1.18	1.22	24806
1980-07-01	1.21	1.23	1.20	1.20	182756
1980-07-02	1.23	1.24	1.22	1.22	82013
1980-07-03	1.22	1.24	1.22	1.23	13669
1980-07-07	1.27	1.27	1.23	1.23	169594
1980-07-08	1.29	1.29	1.27	1.27	45563
1980-07-09	1.32	1.32	1.28	1.29	72394
1980-07-10	1.32	1.35	1.32	1.32	84038
1980-07-11	1.34	1.34	1.32	1.32	27844
1980-07-14	1.48	1.48	1.34	1.34	110363
1980-07-15	1.40	1.45	1.40	1.45	355894
1980-07-16	1.34	1.39	1.34	1.39	79481
1980-07-17	1.33	1.36	1.33	1.34	33919
1980-07-18	1.32	1.34	1.32	1.33	112894
1980-07-21	1.29	1.32	1.28	1.32	120994
1980-07-22	1.27	1.30	1.27	1.29	566494
1980-07-23	1.28	1.29	1.27	1.27	320456
1980-07-24	1.29	1.29	1.27	1.28	125550
1980-07-25	1.29	1.29	1.27	1.29	68344
1980-07-28	1.29	1.30	1.28	1.29	30375
1980-07-29	1.29	1.29	1.27	1.29	43031
1980-07-30	1.33	1.34	1.29	1.29	54675
1980-07-31	1.36	1.36	1.33	1.33	49613
1980-08-01	1.35	1.35	1.34	1.35	25819
1980-08-04	1.38	1.38	1.35	1.35	34425
