Date	Close	High	Low	Open	Volume
	GRAB	GRAB	GRAB	GRAB	GRAB
2020-12-01	11.89	11.89	11.89	11.89	500
2020-12-02	11.82	12.48	11.82	12.48	1000
2020-12-03	11.90	11.90	11.80	11.82	14100
2020-12-04	12.40	13.98	11.50	12.99	15500
2020-12-07	12.55	14.00	12.20	13.15	14500
2020-12-08	12.38	13.44	12.25	12.99	14900
2020-12-09	12.70	13.00	12.30	12.34	39600
2020-12-10	12.65	13.10	12.12	12.50	27200
2020-12-11	12.75	13.20	12.50	12.77	37100
2020-12-14	13.20	13.50	12.85	12.95	51500
2020-12-15	12.69	13.45	12.69	13.38	35100
2020-12-16	12.61	13.18	12.55	13.18	47800
2020-12-17	13.19	13.44	12.80	13.09	28200
2020-12-18	13.04	13.75	12.90	13.75	48400
2020-12-21	13.49	13.50	13.25	13.50	25400
2020-12-22	13.62	13.92	13.15	13.52	48700
2020-12-23	13.29	14.00	13.28	14.00	84600
2020-12-24	13.32	14.62	13.23	13.29	33900
2020-12-28	12.90	13.50	12.90	13.50	91300
2020-12-29	12.94	13.25	12.85	12.96	149100
2020-12-30	13.20	13.39	13.00	13.39	22100
2020-12-31	12.86	13.90	12.61	13.44	33200
2021-01-04	12.95	13.99	12.63	13.99	36700
2021-01-05	12.85	13.22	12.61	12.78	20600
2021-01-06	12.85	12.99	12.70	12.84	159400
2021-01-07	13.75	13.94	12.91	13.00	261500
2021-01-08	13.81	14.99	13.40	14.17	168000
2021-01-11	14.01	14.50	13.80	13.90	198100
2021-01-12	14.25	14.50	14.11	14.11	77600
2021-01-13	14.03	14.57	14.02	14.44	276100
2021-01-14	14.39	15.61	14.00	15.02	230000
2021-01-15	14.85	15.20	14.47	14.72	215300
2021-01-19	14.73	15.83	14.65	15.14	97500
2021-01-20	14.88	15.34	14.57	14.96	38000
2021-01-21	16.50	17.25	14.54	14.92	583500
2021-01-22	16.75	18.11	15.55	17.26	504000
2021-01-25	15.22	16.26	14.80	15.70	510600
2021-01-26	14.47	15.71	14.31	15.35	143800
2021-01-27	12.77	14.38	12.62	14.38	409000
2021-01-28	14.00	14.89	13.01	13.13	197200
2021-01-29	13.90	14.23	13.50	13.91	93700
2021-02-01	14.12	14.75	13.93	14.17	134700
2021-02-02	14.40	14.73	14.13	14.38	159600
2021-02-03	14.40	14.99	14.26	14.55	178400
2021-02-04	13.85	14.49	13.75	14.39	233000
2021-02-05	14.35	14.81	14.17	14.45	225600
2021-02-08	14.59	15.10	14.29	14.52	266600
2021-02-09	14.30	14.59	14.09	14.09	136400
2021-02-10	14.30	14.88	14.06	14.41	197000
2021-02-11	13.99	14.54	13.90	14.54	137400
2021-02-12	13.87	14.67	13.81	13.95	198000
2021-02-16	13.88	14.43	13.75	14.00	121800
2021-02-17	13.90	14.28	13.54	13.98	100300
2021-02-18	14.00	14.13	13.63	13.90	48800
2021-02-19	13.90	14.24	13.80	13.80	57400
2021-02-22	13.64	14.25	13.59	13.90	242500
2021-02-23	13.63	14.49	12.80	13.49	173000
2021-02-24	13.26	13.98	13.10	13.61	159400
2021-02-25	12.84	13.37	12.82	13.37	230800
2021-02-26	12.95	13.25	12.51	13.00	168600
2021-03-01	12.89	13.27	12.70	13.08	146600
2021-03-02	12.70	13.24	12.29	13.12	295000
2021-03-03	11.38	12.85	11.35	12.76	361400
2021-03-04	11.30	11.78	11.03	11.18	296700
2021-03-05	11.52	12.38	10.79	11.44	282700
2021-03-08	10.98	11.69	10.91	11.55	84300
2021-03-09	11.88	12.39	11.19	11.19	217800
2021-03-10	12.00	12.81	11.65	11.99	1445700
2021-03-11	14.65	15.50	11.92	12.24	6065400
2021-03-12	13.95	14.82	13.78	14.65	2107200
2021-03-15	13.73	14.59	13.65	14.08	1163600
2021-03-16	12.85	13.93	12.51	13.93	1052800
2021-03-17	12.85	13.38	12.50	12.50	457000
2021-03-18	12.95	13.37	12.76	12.83	427400
2021-03-19	12.99	13.14	12.84	13.06	359100
2021-03-22	13.50	13.90	12.94	13.00	522700
2021-03-23	12.45	13.42	12.42	13.42	456600
2021-03-24	11.58	12.93	11.50	12.65	538900
2021-03-25	12.05	12.25	11.00	11.50	716200
2021-03-26	11.67	12.00	11.40	12.00	340200
2021-03-29	11.64	11.98	11.26	11.90	263000
2021-03-30	11.35	11.59	11.20	11.50	231400
2021-03-31	11.70	11.89	11.50	11.52	138000
2021-04-01	11.95	12.19	11.70	12.00	156800
2021-04-05	12.17	12.41	11.95	12.06	244900
2021-04-06	12.70	13.05	12.24	12.24	385000
2021-04-07	13.13	14.14	12.71	13.99	5383000
2021-04-08	14.10	14.22	13.40	13.60	1135600
2021-04-09	13.75	14.39	13.42	14.09	1696600
2021-04-12	13.95	14.45	13.80	14.44	1059800
2021-04-13	15.33	15.98	12.80	14.53	29224100
2021-04-14	14.40	15.33	13.75	15.22	6143200
2021-04-15	13.51	14.65	13.01	14.47	4570500
2021-04-16	12.52	13.60	12.50	13.27	6627400
2021-04-19	13.16	13.29	12.66	12.97	2944200
2021-04-20	12.72	13.68	12.65	13.36	3315000
