Date	Close	High	Low	Open	Volume
	GRMN	GRMN	GRMN	GRMN	GRMN
2000-12-08	5.25	6.01	3.97	4.15	17149800
2000-12-11	5.56	5.97	5.22	5.96	2919200
2000-12-12	5.22	5.58	5.09	5.57	1077400
2000-12-13	5.22	5.48	5.19	5.45	422400
2000-12-14	5.29	5.32	5.22	5.25	265400
2000-12-15	5.29	5.32	4.73	5.32	950200
2000-12-18	5.27	5.38	5.10	5.38	483600
2000-12-19	5.15	5.27	5.06	5.26	457400
2000-12-20	4.79	5.15	4.73	5.09	1228800
2000-12-21	4.78	4.86	4.66	4.74	1017400
2000-12-22	5.06	5.09	4.86	4.89	416000
2000-12-26	4.99	5.09	4.96	5.07	754000
2000-12-27	4.87	5.02	4.79	4.97	361400
2000-12-28	4.89	5.09	4.81	4.89	1048600
2000-12-29	5.19	5.29	4.92	4.99	232800
2001-01-02	5.06	5.32	4.91	5.30	330400
2001-01-03	4.63	5.09	4.60	4.93	545400
2001-01-04	4.74	4.99	4.63	4.71	287600
2001-01-05	4.76	4.86	4.66	4.76	962000
2001-01-08	4.60	4.78	4.60	4.73	631000
2001-01-09	4.53	4.73	4.46	4.70	821800
2001-01-10	4.46	4.53	4.40	4.51	976800
2001-01-11	4.78	4.86	4.46	4.47	1357000
2001-01-12	5.02	5.06	4.86	4.88	566200
2001-01-16	4.99	5.38	4.96	5.15	663200
2001-01-17	5.09	5.22	4.96	5.02	486000
2001-01-18	4.99	5.12	4.86	5.12	292800
2001-01-19	4.83	5.06	4.79	5.01	254200
2001-01-22	4.69	4.89	4.63	4.89	764600
2001-01-23	4.69	4.83	4.69	4.79	442600
2001-01-24	4.46	4.73	4.45	4.70	1197200
2001-01-25	4.69	4.73	4.27	4.53	985800
2001-01-26	4.89	5.09	4.56	4.60	249000
2001-01-29	5.24	5.25	4.89	4.99	206600
2001-01-30	5.27	5.27	4.97	5.24	188800
2001-01-31	5.10	5.27	5.09	5.19	84200
2001-02-01	5.22	5.27	5.09	5.09	100600
2001-02-02	5.68	5.71	5.25	5.27	477200
2001-02-05	6.27	6.40	5.71	5.79	562400
2001-02-06	6.50	6.75	6.27	6.36	585600
2001-02-07	6.40	6.57	6.27	6.34	189400
2001-02-08	6.60	6.66	6.37	6.37	451400
