Date	Close	High	Low	Open	Volume
	GSK	GSK	GSK	GSK	GSK
1980-03-28	0.13	0.14	0.13	0.13	2400
1980-03-31	0.13	0.13	0.13	0.13	0
1980-04-01	0.13	0.13	0.13	0.13	0
1980-04-02	0.13	0.14	0.13	0.13	800
1980-04-03	0.13	0.13	0.13	0.13	0
1980-04-07	0.13	0.14	0.13	0.13	2400
1980-04-08	0.13	0.13	0.13	0.13	0
1980-04-09	0.13	0.13	0.13	0.13	0
1980-04-10	0.13	0.13	0.13	0.13	0
1980-04-11	0.13	0.14	0.13	0.13	1600
1980-04-14	0.13	0.13	0.13	0.13	0
1980-04-15	0.12	0.13	0.12	0.13	4000
1980-04-16	0.12	0.13	0.12	0.12	4000
1980-04-17	0.12	0.12	0.12	0.12	0
1980-04-18	0.12	0.12	0.12	0.12	0
1980-04-21	0.12	0.12	0.12	0.12	0
1980-04-22	0.12	0.12	0.12	0.12	0
1980-04-23	0.12	0.12	0.12	0.12	0
1980-04-24	0.12	0.12	0.12	0.12	0
1980-04-25	0.12	0.12	0.12	0.12	0
1980-04-28	0.12	0.12	0.12	0.12	0
1980-04-29	0.11	0.12	0.11	0.12	800
1980-04-30	0.11	0.11	0.11	0.11	0
1980-05-01	0.11	0.11	0.11	0.11	0
1980-05-02	0.11	0.12	0.11	0.11	1600
1980-05-05	0.11	0.11	0.11	0.11	0
1980-05-06	0.11	0.12	0.11	0.11	3200
1980-05-07	0.11	0.11	0.11	0.11	0
1980-05-08	0.11	0.11	0.11	0.11	0
1980-05-09	0.11	0.11	0.11	0.11	0
1980-05-12	0.11	0.11	0.11	0.11	0
1980-05-13	0.11	0.11	0.11	0.11	0
1980-05-14	0.11	0.11	0.11	0.11	0
1980-05-15	0.11	0.11	0.11	0.11	0
1980-05-16	0.11	0.12	0.11	0.11	800
1980-05-19	0.11	0.12	0.11	0.11	2400
1980-05-20	0.11	0.11	0.11	0.11	0
1980-05-21	0.11	0.12	0.11	0.11	1600
1980-05-22	0.11	0.11	0.11	0.11	0
1980-05-23	0.11	0.12	0.11	0.11	2400
1980-05-27	0.11	0.11	0.11	0.11	0
1980-05-28	0.11	0.11	0.11	0.11	0
1980-05-29	0.11	0.11	0.11	0.11	0
1980-05-30	0.11	0.12	0.11	0.11	3200
1980-06-02	0.11	0.11	0.11	0.11	0
1980-06-03	0.11	0.12	0.11	0.11	7200
1980-06-04	0.11	0.12	0.11	0.11	1600
1980-06-05	0.11	0.12	0.11	0.11	1600
1980-06-06	0.11	0.11	0.11	0.11	0
1980-06-09	0.12	0.13	0.12	0.12	17600
1980-06-10	0.12	0.12	0.12	0.12	0
1980-06-11	0.12	0.12	0.12	0.12	0
1980-06-12	0.12	0.13	0.12	0.12	8000
1980-06-13	0.12	0.13	0.12	0.12	800
