Date	Close	High	Low	Open	Volume
	GWRE	GWRE	GWRE	GWRE	GWRE
2012-01-25	17.12	18.00	16.45	16.75	7030900
2012-01-26	17.43	17.90	16.77	17.30	809500
2012-01-27	17.83	17.90	17.06	17.54	371700
2012-01-30	18.05	18.45	17.86	18.10	266900
2012-01-31	18.03	18.50	17.66	18.39	206500
2012-02-01	18.95	19.10	18.00	18.19	170800
2012-02-02	19.95	20.00	18.95	19.30	116700
2012-02-03	20.19	21.78	19.70	21.00	698500
2012-02-06	20.12	20.61	19.88	20.26	125600
2012-02-07	20.98	21.04	20.25	20.34	54300
2012-02-08	21.77	22.00	21.00	21.34	131800
2012-02-09	21.74	21.75	21.15	21.75	88100
2012-02-10	22.06	22.71	21.21	21.69	121800
2012-02-13	23.09	23.38	22.60	23.38	121900
2012-02-14	22.60	23.29	22.44	23.24	215600
2012-02-15	22.80	23.01	22.65	22.89	316700
2012-02-16	22.35	22.96	21.78	21.78	102700
2012-02-17	22.11	22.81	22.07	22.50	220400
2012-02-21	22.48	22.98	22.26	22.77	197000
2012-02-22	23.99	25.05	22.30	22.60	290500
2012-02-23	23.95	24.25	23.81	24.09	100100
2012-02-24	23.49	24.07	23.17	24.01	264400
2012-02-27	22.81	23.60	22.79	23.37	110700
2012-02-28	23.01	23.25	22.80	22.88	76600
2012-02-29	22.62	23.15	22.45	23.15	40600
2012-03-01	22.94	23.35	22.58	22.90	274000
2012-03-02	22.95	23.17	22.88	22.93	77500
2012-03-05	21.69	23.29	21.69	22.93	201900
2012-03-06	21.69	22.42	20.04	21.60	335300
2012-03-07	21.84	22.08	21.49	21.91	36500
2012-03-08	22.08	22.20	21.83	21.85	61000
2012-03-09	22.43	22.75	21.89	22.13	112700
2012-03-12	22.73	22.73	22.42	22.49	56200
2012-03-13	25.65	25.65	22.75	22.75	183600
2012-03-14	30.04	32.85	28.40	29.50	821700
2012-03-15	32.35	32.91	30.00	30.00	496000
2012-03-16	32.31	32.75	31.00	32.75	145200
2012-03-19	33.05	33.80	32.35	32.52	120400
2012-03-20	32.68	32.74	31.61	32.70	91100
2012-03-21	32.35	32.80	32.04	32.66	61100
2012-03-22	31.55	32.01	31.15	31.86	65400
2012-03-23	32.89	34.03	31.69	31.69	159600
2012-03-26	35.37	38.13	33.50	33.50	313600
2012-03-27	35.00	35.86	33.88	35.70	170600
2012-03-28	32.70	35.50	32.27	34.99	232200
2012-03-29	31.93	32.64	31.09	32.32	323700
2012-03-30	30.78	32.92	30.60	32.32	1047500
2012-04-02	30.00	30.89	29.40	30.83	548100
2012-04-03	28.02	29.70	27.86	28.13	649200
2012-04-04	29.23	29.36	27.15	27.64	307900
2012-04-05	30.65	31.71	29.05	29.16	253000
2012-04-09	30.24	30.28	29.20	30.06	109500
2012-04-10	27.67	30.69	27.55	30.24	274300
2012-04-11	27.85	28.64	26.70	28.39	150100
2012-04-12	28.45	29.19	27.71	27.91	140300
2012-04-13	27.98	28.55	27.42	28.49	93600
2012-04-16	27.09	28.17	26.70	28.15	166200
2012-04-17	28.49	28.68	26.85	27.21	241900
2012-04-18	29.14	29.70	28.40	28.50	471700
2012-04-19	28.65	29.89	28.54	29.20	4127100
2012-04-20	27.15	29.00	26.96	28.99	508900
2012-04-23	26.41	26.77	25.33	26.76	454800
2012-04-24	25.33	26.70	24.34	26.37	443400
2012-04-25	26.19	26.37	24.87	25.71	543600
2012-04-26	26.14	26.95	25.64	26.29	245600
2012-04-27	26.89	27.02	25.90	26.35	170200
2012-04-30	27.22	27.22	26.64	26.94	111000
2012-05-01	27.05	27.52	26.81	27.14	171100
2012-05-02	27.58	27.72	26.78	26.78	205000
2012-05-03	27.27	27.66	27.07	27.66	124000
2012-05-04	27.05	27.26	26.27	27.12	245800
2012-05-07	27.09	27.47	26.93	27.00	131000
2012-05-08	25.99	26.92	25.37	26.92	149000
2012-05-09	25.17	25.87	24.78	25.57	156300
2012-05-10	23.14	25.92	22.61	25.34	2286400
2012-05-11	25.77	26.00	23.14	23.14	202000
2012-05-14	26.72	27.06	25.08	25.50	280800
2012-05-15	27.11	28.00	26.60	26.63	220000
2012-05-16	25.90	27.65	25.67	27.30	179500
2012-05-17	25.38	26.05	25.21	26.02	123900
2012-05-18	25.45	25.95	24.81	25.32	174900
2012-05-21	26.00	26.26	24.91	25.51	170600
2012-05-22	26.25	27.11	26.00	26.02	105900
2012-05-23	26.92	27.03	25.88	25.91	109000
2012-05-24	26.50	27.04	26.35	27.04	97400
2012-05-25	26.20	26.55	26.00	26.55	82500
2012-05-29	26.66	26.99	26.25	26.54	63900
2012-05-30	25.70	26.36	25.42	26.36	106400
2012-05-31	25.91	26.27	25.05	25.77	228700
2012-06-01	24.19	25.57	24.11	25.04	172100
2012-06-04	23.03	24.48	22.40	24.34	232200
2012-06-05	24.26	24.69	22.81	22.93	54200
2012-06-06	24.07	27.28	22.76	26.20	904000
2012-06-07	22.77	24.65	22.61	24.57	434100
2012-06-08	23.46	24.41	22.51	22.77	370900
2012-06-11	24.22	24.40	23.16	23.89	318300
2012-06-12	24.27	24.35	23.70	24.18	323500
2012-06-13	25.07	25.35	23.95	24.16	358000
2012-06-14	25.84	25.99	24.91	25.00	252200
2012-06-15	26.72	26.97	25.93	26.00	440500
2012-06-18	27.60	27.80	26.26	26.45	203800
2012-06-19	28.76	28.81	27.69	27.81	169900
2012-06-20	29.36	29.50	28.17	28.39	220600
2012-06-21	28.30	29.05	27.51	29.05	401400
2012-06-22	29.12	29.15	28.02	28.46	1623100
2012-06-25	28.75	29.29	28.07	28.67	408000
2012-06-26	29.00	29.18	28.56	28.56	286400
2012-06-27	29.19	29.46	28.41	28.41	262500
2012-06-28	26.89	29.33	26.83	28.88	230100
2012-06-29	28.12	28.19	27.26	27.87	201100
2012-07-02	28.15	28.49	27.62	28.25	202800
2012-07-03	27.78	28.16	27.64	28.03	138200
2012-07-05	27.11	28.28	26.89	27.68	125400
2012-07-06	26.79	27.05	26.44	26.77	157800
2012-07-09	25.28	26.84	24.45	26.73	360200
2012-07-10	25.35	25.56	25.07	25.34	303200
2012-07-11	24.21	25.53	23.96	25.46	195800
2012-07-12	23.66	24.63	23.48	23.97	289200
2012-07-13	24.69	24.91	23.80	23.88	401500
2012-07-16	25.47	25.60	24.40	24.58	129000
2012-07-17	26.88	27.00	25.75	26.00	344500
2012-07-18	26.68	26.99	26.47	26.72	244200
2012-07-19	28.08	28.23	26.85	26.86	334900
2012-07-20	27.68	28.49	27.08	28.15	751000
2012-07-23	25.48	26.66	24.95	26.56	1424300
2012-07-24	25.00	25.50	24.58	25.42	472900
2012-07-25	24.51	25.55	24.44	25.00	606400
2012-07-26	25.14	25.50	24.60	25.15	477300
2012-07-27	25.86	25.89	24.90	25.39	360000
2012-07-30	25.66	25.78	24.70	25.67	423700
2012-07-31	25.66	25.84	24.70	25.33	367100
2012-08-01	25.69	26.47	25.11	25.74	308100
2012-08-02	25.74	26.00	25.26	25.29	190800
2012-08-03	26.92	27.55	25.90	26.16	590700
2012-08-06	26.50	27.27	26.39	26.96	254400
2012-08-07	26.27	26.59	25.87	26.56	349500
2012-08-08	25.74	26.22	25.63	26.01	215100
2012-08-09	25.37	25.85	25.06	25.54	399100
2012-08-10	25.29	25.90	25.05	25.59	265600
2012-08-13	24.81	25.29	24.30	25.29	199700
2012-08-14	24.64	25.00	24.00	24.92	400200
2012-08-15	25.47	25.57	24.56	24.60	628000
2012-08-16	26.37	26.43	25.10	25.50	328500
2012-08-17	26.99	27.00	26.43	26.46	260600
2012-08-20	26.97	26.99	26.12	26.83	221700
2012-08-21	27.67	27.67	26.80	27.00	372700
2012-08-22	27.94	28.05	27.50	27.51	341800
2012-08-23	27.87	27.96	26.85	27.64	400200
2012-08-24	27.64	28.05	27.29	27.46	272200
2012-08-27	27.63	27.97	27.38	27.48	264000
2012-08-28	28.03	28.20	27.50	27.65	569100
2012-08-29	28.38	28.51	27.71	28.14	253500
2012-08-30	28.09	28.41	27.95	28.23	155600
2012-08-31	28.55	28.60	27.97	28.45	181500
2012-09-04	29.35	29.50	27.96	28.44	747400
2012-09-05	32.25	33.15	31.32	32.94	2845200
2012-09-06	31.98	32.38	30.93	32.11	939900
2012-09-07	31.30	31.50	28.04	30.41	1381800
2012-09-10	30.23	30.45	29.08	30.04	1078000
2012-09-11	30.65	30.75	30.01	30.05	491100
2012-09-12	30.14	30.70	29.92	30.66	409500
2012-09-13	30.57	30.91	29.96	30.08	483200
2012-09-14	30.63	30.65	30.18	30.65	400200
2012-09-17	31.26	31.37	30.49	30.52	673500
2012-09-18	31.13	31.31	30.64	31.23	368800
2012-09-19	31.31	31.41	30.70	30.92	428700
2012-09-20	31.30	31.49	30.87	31.04	385300
2012-09-21	31.34	31.62	30.35	31.62	507800
2012-09-24	31.10	31.24	30.82	31.13	348400
2012-09-25	30.11	30.92	29.93	30.60	1227200
2012-09-26	29.59	30.17	29.02	30.17	416500
2012-09-27	30.97	31.00	29.66	29.87	411900
2012-09-28	31.05	31.29	30.53	30.79	597200
2012-10-01	31.17	31.30	30.46	31.24	572400
2012-10-02	30.72	31.27	29.52	31.05	802700
2012-10-03	30.97	31.20	30.64	30.78	301700
2012-10-04	32.15	32.26	30.82	31.23	1072700
2012-10-05	31.87	32.38	31.61	32.00	828000
2012-10-08	31.85	32.00	31.34	31.55	300600
2012-10-09	30.84	31.64	30.59	30.97	739100
2012-10-10	29.96	30.04	29.20	30.00	1112100
2012-10-11	30.24	30.93	29.93	30.39	314200
2012-10-12	30.17	30.58	29.97	30.29	376600
2012-10-15	31.00	31.05	30.10	30.13	602500
2012-10-16	31.00	31.24	30.81	31.06	408300
2012-10-17	29.59	31.00	29.41	31.00	451200
2012-10-18	29.37	29.71	29.03	29.71	341000
2012-10-19	28.70	29.27	28.32	29.20	466800
2012-10-22	28.76	28.99	28.42	28.89	366000
2012-10-23	29.94	30.03	28.08	28.39	747400
2012-10-24	30.06	30.15	29.56	29.95	326500
2012-10-25	29.93	30.41	29.65	30.41	364500
2012-10-26	29.56	30.11	28.73	30.01	400900
2012-10-31	30.64	30.74	29.60	29.82	422900
2012-11-01	31.74	31.84	29.15	30.75	693700
2012-11-02	30.06	31.85	30.02	31.85	238400
2012-11-05	31.40	31.52	30.32	31.32	350300
2012-11-06	29.99	31.62	29.86	31.57	287000
2012-11-07	29.29	29.87	29.01	29.59	372600
2012-11-08	28.68	29.36	28.05	29.12	396900
2012-11-09	28.62	29.44	28.29	28.34	398100
2012-11-12	29.06	29.29	28.40	28.68	192400
2012-11-13	29.24	29.67	28.57	28.82	342600
2012-11-14	29.06	29.82	28.84	29.39	482900
