Date	Close	High	Low	Open	Volume
	HEI-A	HEI-A	HEI-A	HEI-A	HEI-A
1998-04-27	3.95	4.00	3.93	4.00	6347
1998-04-28	3.93	3.95	3.90	3.95	36811
1998-04-29	3.88	3.92	3.88	3.92	8885
1998-04-30	3.83	3.88	3.82	3.87	51408
1998-05-01	3.83	3.87	3.80	3.80	42523
1998-05-04	3.87	3.87	3.82	3.83	19675
1998-05-05	3.93	3.93	3.88	3.90	17136
1998-05-06	3.87	3.95	3.87	3.93	23483
1998-05-07	3.83	3.87	3.83	3.87	6347
1998-05-08	3.90	3.90	3.83	3.83	19040
1998-05-11	3.93	3.99	3.88	3.88	24752
1998-05-12	3.90	4.00	3.88	3.95	47600
1998-05-13	3.90	3.90	3.90	3.90	0
1998-05-14	3.78	3.90	3.78	3.90	37446
1998-05-15	3.75	3.78	3.75	3.76	8885
1998-05-18	3.80	3.80	3.71	3.71	32368
1998-05-19	3.81	3.82	3.80	3.80	12059
1998-05-20	4.00	4.24	4.00	4.17	86950
1998-05-21	3.90	4.00	3.90	4.00	31099
1998-05-22	3.90	3.93	3.90	3.93	3173
1998-05-26	3.80	3.93	3.80	3.92	53312
1998-05-27	3.75	3.76	3.75	3.76	4443
1998-05-28	3.75	3.75	3.71	3.75	14597
1998-05-29	3.73	3.78	3.73	3.76	17771
1998-06-01	3.80	3.93	3.73	3.73	45062
1998-06-02	3.85	3.85	3.80	3.80	6347
1998-06-03	3.87	3.87	3.87	3.87	635
1998-06-04	3.88	3.88	3.86	3.86	1269
1998-06-05	3.88	3.88	3.88	3.88	0
1998-06-08	3.83	3.88	3.83	3.88	34907
1998-06-09	3.76	3.85	3.76	3.82	28560
1998-06-10	3.66	3.73	3.66	3.73	38080
1998-06-11	3.73	3.73	3.68	3.70	22213
1998-06-12	3.73	3.75	3.73	3.75	5077
1998-06-15	3.63	3.70	3.63	3.66	19675
1998-06-16	3.61	3.63	3.61	3.63	8885
1998-06-17	3.63	3.65	3.61	3.61	6981
1998-06-18	3.61	3.61	3.61	3.61	1269
1998-06-19	3.60	3.61	3.58	3.61	14597
1998-06-22	3.58	3.58	3.58	3.58	635
1998-06-23	3.56	3.61	3.56	3.56	18405
1998-06-24	3.60	3.60	3.60	3.60	3173
1998-06-25	3.60	3.60	3.60	3.60	1904
1998-06-26	3.66	3.66	3.55	3.58	65371
1998-06-29	3.61	3.65	3.61	3.65	12693
1998-06-30	3.48	3.58	3.48	3.58	33003
1998-07-01	3.29	3.44	3.21	3.44	103451
1998-07-02	3.26	3.27	3.26	3.27	5077
1998-07-06	3.26	3.29	3.26	3.26	12059
