Date	Open	High	Low	Close	Volume
1999-07-16	17.08	17.14	16.95	17.07	231400.00
1999-07-19	17.50	17.51	16.91	17.10	158200.00
1999-07-20	16.98	16.98	16.71	16.74	79400.00
1999-07-21	16.74	16.83	16.60	16.77	75200.00
1999-07-22	16.76	16.77	16.67	16.74	33500.00
1999-07-23	16.09	16.09	15.74	15.83	114700.00
1999-07-26	15.76	16.02	15.74	15.95	46000.00
1999-07-27	16.31	16.57	16.22	16.53	82400.00
1999-07-28	16.09	16.33	15.95	16.19	93100.00
1999-07-29	16.19	16.19	15.81	15.81	65600.00
1999-07-30	16.57	16.57	16.36	16.57	82900.00
1999-08-02	16.64	17.41	16.64	17.22	73700.00
1999-08-03	17.39	17.39	17.15	17.32	97300.00
1999-08-04	17.39	17.60	17.20	17.57	64500.00
1999-08-05	16.86	16.98	16.50	16.96	192800.00
1999-08-06	16.45	16.53	16.22	16.26	110200.00
1999-08-09	16.16	16.22	16.10	16.14	52900.00
1999-08-10	15.67	15.85	15.57	15.85	67500.00
1999-08-11	16.02	16.16	15.92	16.16	46500.00
1999-08-12	16.81	16.81	16.60	16.62	70200.00
1999-08-13	16.50	16.77	16.50	16.67	55200.00
1999-08-16	16.67	16.74	16.57	16.65	53000.00
1999-08-17	16.77	16.77	16.64	16.67	36800.00
1999-08-18	16.84	16.88	16.60	16.69	36000.00
1999-08-19	16.98	17.30	16.98	17.24	69300.00
1999-08-20	17.40	17.64	17.40	17.61	52300.00
1999-08-23	17.71	18.06	17.71	17.78	105400.00
1999-08-24	17.68	17.73	17.31	17.73	119000.00
1999-08-25	17.75	17.82	17.17	17.19	137700.00
1999-08-26	17.68	17.68	17.23	17.24	89700.00
1999-08-27	17.31	17.43	17.00	17.02	88100.00
1999-08-30	17.40	17.49	17.23	17.24	97400.00
1999-08-31	17.31	17.40	17.09	17.33	51000.00
1999-09-01	17.17	17.17	17.03	17.16	81200.00
1999-09-02	16.89	16.91	16.70	16.89	41400.00
1999-09-03	17.12	17.19	17.07	17.19	88300.00
1999-09-07	17.33	17.33	17.16	17.19	21900.00
1999-09-08	16.98	17.10	16.95	17.05	25900.00
1999-09-09	17.47	17.47	17.35	17.43	74300.00
1999-09-10	17.47	17.47	17.33	17.47	82200.00
1999-09-13	17.16	17.19	17.03	17.16	75400.00
1999-09-14	16.95	16.95	16.83	16.86	59200.00
1999-09-15	16.48	16.48	16.15	16.36	118500.00
1999-09-16	16.29	16.32	16.15	16.29	58400.00
1999-09-17	16.51	16.77	16.51	16.74	54200.00
1999-09-20	16.56	16.62	16.44	16.62	41100.00
1999-09-21	16.37	16.37	16.08	16.09	50900.00
1999-09-22	16.11	16.43	16.11	16.39	97000.00
1999-09-23	16.36	16.36	16.01	16.02	33700.00
1999-09-24	16.32	16.36	16.09	16.15	44700.00
1999-09-27	16.63	16.81	16.62	16.63	66700.00
1999-09-28	16.32	16.36	16.08	16.13	86900.00
1999-09-29	15.82	16.02	15.82	15.90	79600.00
1999-09-30	15.97	16.16	15.97	16.16	58400.00
1999-10-01	16.16	16.16	15.92	16.09	28500.00
1999-10-04	16.22	16.53	16.22	16.48	55300.00
1999-10-05	16.22	16.37	16.15	16.16	61400.00
1999-10-06	16.39	16.56	16.37	16.46	30400.00
1999-10-07	16.53	16.55	16.22	16.29	308700.00
1999-10-08	16.29	16.41	16.18	16.37	32500.00
1999-10-11	16.22	16.25	16.06	16.18	34200.00
1999-10-12	16.15	16.15	15.61	15.90	94700.00
1999-10-13	15.61	15.61	15.22	15.38	159300.00
1999-10-14	15.47	15.76	15.35	15.76	81900.00
1999-10-15	15.03	15.17	14.79	15.02	124700.00
1999-10-18	14.89	14.98	14.82	14.98	20900.00
1999-10-19	15.35	15.49	15.24	15.29	28800.00
1999-10-20	15.42	15.73	15.42	15.73	61900.00
1999-10-21	14.96	15.24	14.96	15.24	84100.00
1999-10-22	15.97	16.09	15.90	15.99	43300.00
1999-10-25	15.82	16.06	15.82	16.02	97400.00
1999-10-26	16.02	16.15	15.97	16.01	79700.00
1999-10-27	15.90	16.15	15.83	16.13	35000.00
1999-10-28	16.58	16.91	16.27	16.46	542500.00
1999-10-29	16.98	17.19	16.98	17.14	179400.00
1999-11-01	16.98	16.98	16.86	16.91	60100.00
1999-11-02	16.93	16.95	16.83	16.84	34800.00
1999-11-03	16.95	17.02	16.77	16.95	56400.00
1999-11-04	17.24	17.40	17.12	17.23	95000.00
1999-11-05	17.21	17.33	17.12	17.26	54200.00
1999-11-08	17.14	17.35	17.12	17.14	59300.00
1999-11-09	17.64	17.78	17.56	17.63	107100.00
1999-11-10	17.57	17.66	17.54	17.59	34700.00
1999-11-11	17.59	17.61	17.33	17.38	52300.00
1999-11-12	17.42	17.87	17.33	17.87	51600.00
1999-11-15	17.85	17.99	17.76	17.82	67100.00
