Date	Close	High	Low	Open	Volume
	IHG	IHG	IHG	IHG	IHG
2003-04-10	5.84	5.84	5.84	5.84	0
2003-04-11	5.84	5.84	5.84	5.84	0
2003-04-14	5.84	5.84	5.84	5.84	0
2003-04-15	5.95	6.14	5.94	6.03	2920
2003-04-16	5.54	5.92	5.54	5.92	2154
2003-04-17	5.64	5.69	5.59	5.64	574
2003-04-21	5.49	5.76	5.49	5.59	3159
2003-04-22	5.29	5.43	5.08	5.38	12875
2003-04-23	5.66	5.89	5.28	5.28	21059
2003-04-24	5.54	5.69	5.15	5.59	64038
2003-04-25	5.74	5.84	5.43	5.43	16895
2003-04-28	6.08	6.08	5.66	5.66	22399
2003-04-29	5.84	6.05	5.79	6.04	26419
2003-04-30	6.44	6.44	6.04	6.04	20580
2003-05-01	6.39	6.44	6.18	6.34	12875
2003-05-02	6.54	6.79	6.38	6.44	12875
2003-05-05	6.22	6.34	6.09	6.34	24361
2003-05-06	6.79	6.81	6.46	6.46	40969
2003-05-07	7.04	7.04	6.64	6.74	38336
2003-05-08	6.76	6.89	6.59	6.74	25175
2003-05-09	7.01	7.03	6.76	6.76	18044
2003-05-12	6.94	7.10	6.84	6.84	10003
2003-05-13	6.80	6.89	6.74	6.87	4499
2003-05-14	6.99	7.14	6.86	6.99	12970
2003-05-15	7.35	7.49	7.20	7.20	10912
2003-05-16	7.60	7.65	7.26	7.32	30631
2003-05-19	7.25	7.28	7.16	7.25	12587
2003-05-20	7.40	7.55	7.10	7.21	19096
2003-05-21	7.25	7.35	7.13	7.22	9716
2003-05-22	7.20	7.22	7.01	7.10	12683
2003-05-23	7.13	7.15	6.79	7.15	21872
2003-05-27	7.29	7.50	7.08	7.09	11295
2003-05-28	7.41	7.55	7.18	7.22	24888
2003-05-29	7.45	7.55	7.35	7.35	21920
2003-05-30	7.30	7.49	7.16	7.25	12348
2003-06-02	7.30	7.50	7.16	7.25	14693
2003-06-03	7.13	7.30	7.08	7.15	12875
2003-06-04	7.29	7.34	7.09	7.10	10099
2003-06-05	7.12	7.19	7.06	7.19	9094
2003-06-06	7.42	7.50	7.12	7.12	21011
2003-06-09	7.67	7.72	7.46	7.46	18379
2003-06-10	7.60	7.69	7.50	7.61	17373
2003-06-11	7.85	8.00	7.51	7.59	19431
2003-06-12	7.55	7.90	7.45	7.70	12540
2003-06-13	7.64	7.80	7.43	7.49	17708
2003-06-16	7.53	7.80	7.44	7.57	10099
2003-06-17	7.67	7.79	7.55	7.55	14310
2003-06-18	7.85	7.89	7.51	7.65	13784
2003-06-19	7.78	7.83	7.55	7.75	12875
2003-06-20	7.50	7.62	7.39	7.58	12683
2003-06-23	7.53	7.67	7.40	7.47	17517
2003-06-24	7.30	7.39	7.24	7.33	9094
2003-06-25	7.43	7.65	7.24	7.24	11822
2003-06-26	7.16	7.45	7.04	7.29	10386
2003-06-27	7.33	7.35	7.15	7.20	27424
2003-06-30	7.35	7.42	7.16	7.31	36087
2003-07-01	7.44	7.58	7.41	7.53	29195
2003-07-02	7.77	7.86	7.61	7.78	33742
2003-07-03	7.80	7.82	7.73	7.74	7658
2003-07-07	7.85	7.97	7.70	7.83	22830
2003-07-08	7.84	7.97	7.75	7.84	14263
2003-07-09	7.93	7.95	7.81	7.85	29961
2003-07-10	7.90	7.94	7.75	7.85	7562
2003-07-11	7.80	7.85	7.70	7.83	7179
2003-07-14	7.95	8.10	7.75	7.85	65474
2003-07-15	7.85	7.96	7.83	7.95	5217
2003-07-16	7.72	7.96	7.65	7.75	7801
2003-07-17	7.55	7.70	7.50	7.70	19766
2003-07-18	7.75	7.90	7.45	7.52	15603
2003-07-21	7.74	7.90	7.51	7.65	17565
2003-07-22	7.53	7.75	7.45	7.73	12970
2003-07-23	7.65	7.75	7.55	7.63	19144
2003-07-24	8.01	8.12	7.68	7.68	41782
